"id"	"肉质"	"栽培季节"	"品种名称"	"叶形"	"瓜刺多少"	"种质库编号"	"单瓜重"	"商瓜次色"	"老瓜皮色"	"分枝性"	"生育期"	"熟性"	"结瓜习性"	"瓜形"	"备注"	"瓜面腊粉"	"风味"	"抗逆性"	"瓜棱形状"	"抗病虫性"	"种子来源"	"亩产"	"老瓜斑纹"	"商瓜皮色"	"老瓜次色"	"保存单位"	"商瓜斑纹"	"译名"	"统一编号"	"保存编号"	"生长习性"
"1"	"酥脆"	"4上-6中"	"香酥瓜"	"心形"	"无"	"Ⅱ5N0006"	"0.9"	"--"	"绿色"	"中"	"70"	"早"	"4-5"	"椭圆形"	"--"	"无"	"--"	"强"	"平"	"重感"	"安徽凤阳县"	"625"	"--"	"绿"	"--"	"安徽农科院园艺所"	"--"	"XIANG SU GUA"	"V05Q0001"	"Cm(3)8(86)"	"蔓生"
"2"	"--"	"4下-8下"	"关公脸"	"心形"	"无"	"Ⅱ5N0008"	"0.3"	"--"	"红色"	"中"	"60"	"早"	"子蔓1-2节"	"圆柱形"	"--"	"无"	"微甜"	"中"	"--"	"抗"	"安徽凤阳县"	"750"	"--"	"褐"	"--"	"安徽农科院园艺所"	"--"	"GUAN GONG LIAN"	"V05Q0002"	"Cm(3)10(86)"	"蔓生"
"3"	"圆滑致密"	"4上-8上"	"蛤蟆皮"	"心形"	"无"	"Ⅱ5N0004"	"1.0"	"--"	"黄色"	"强"	"120"	"晚"	"5-6"	"椭圆形"	"--"	"少"	"甜"	"强"	"平"	"抗"	"安徽凤阳县"	"625"	"--"	"绿"	"--"	"安徽农科院园艺所"	"--"	"GE MA PI"	"V05Q0003"	"Cm(3)6(86)"	"蔓生"
"4"	"--"	"5上-8上"	"特甜香瓜(珍珠瓜)"	"心形"	"少"	"Ⅱ5N0001"	"0.2"	"--"	"绿色"	"中"	"90"	"中"	"1-2"	"扁圆形"	"香气浓"	"--"	"甜"	"中"	"平"	"重感"	"安徽阜南县"	"500"	"纹"	"--"	"--"	"安徽农科院园艺所"	"--"	"TE TIAN XIANG GUA (ZHEN ZHU GUA )"	"V05Q0004"	"Cm3(85)"	"蔓生"
"5"	"--"	"5上-8上"	"花皮甜瓜"	"心形"	"无"	"Ⅱ5N0215"	"0.4"	"--"	"绿色"	"中"	"90"	"中"	"5-6"	"扁圆形"	"--"	"--"	"甜"	"强"	"粗糙"	"抗"	"安徽阜南县"	"1250"	"纹"	"绿"	"--"	"安徽农科院园艺所"	"--"	"HUA PI TIAN GUA"	"V05Q0005"	"Cm15(88)"	"蔓生"
"6"	"--"	"5上-8上"	"火烧皮面瓜"	"心形"	"无"	"Ⅱ5N0216"	"1.0"	"--"	"黄色"	"中"	"90"	"中"	"5-6"	"圆柱形"	"--"	"--"	"甜"	"中"	"平"	"中"	"安徽阜南县"	"1250"	"--"	"绿"	"--"	"安徽农科院园艺所"	"--"	"HUO SHAO PI MIAN GUA"	"V05Q0006"	"Cm12(88)"	"蔓生"
"7"	"--"	"4下-7下"	"西洋嘴甜瓜"	"心形"	"无"	"Ⅱ5N0217"	"0.7"	"--"	"绿"	"中"	"110"	"晚"	"8-9"	"圆柱形"	"--"	"--"	"甜"	"强"	"平"	"抗"	"安徽阜南县"	"1500"	"--"	"绿"	"--"	"安徽农科院园艺所"	"--"	"XI YANG ZUI TIAN GUA"	"V05Q0007"	"Cm14(88)"	"蔓生"
"8"	"圆滑致密"	"5上-8上"	"蜜子红心菜瓜"	"心形"	"无"	"Ⅱ5I0066"	"0.5"	"--"	"黄色"	"强"	"90"	"中"	"5-6"	"扁圆形"	"--"	"--"	"甜"	"强"	"平"	"抗"	"安徽阜南县"	"1000"	"--"	"绿"	"--"	"安徽农科院园艺所"	"--"	"MI ZI HONG XIN CAI GUA"	"V05Q0008"	"Cm13(88)"	"蔓生"
"9"	"--"	"4下-7下"	"水香瓜"	"心形"	"无"	"Ⅱ5N0114"	"0.9"	"--"	"黄色"	"弱"	"85"	"早"	"4-5"	"椭圆形"	"--"	"少"	"甜"	"强"	"平"	"抗"	"安徽怀远县"	"1000"	"--"	"绿"	"--"	"安徽农科院园艺所"	"--"	"SHUI XIANG GUA"	"V05Q0009"	"CM11(88)"	"蔓生"
"10"	"--"	"4上-7上"	"十道黄"	"心形"	"无"	"Ⅱ5N0005"	"0.8"	"--"	"奶油色"	"强"	"85"	"早"	"4-5"	"圆柱形"	"--"	"无"	"香"	"强"	"棱"	"抗"	"安徽芜湖市"	"750"	"--"	"绿"	"--"	"安徽农科院园艺所"	"--"	"SHI DAO HUANG"	"V05Q0010"	"Cm(3)7(86)"	"蔓生"
"11"	"--"	"春4中-7下"	"黄香梨"	"心形"	"--"	"Ⅱ5N0007"	"0.5"	"--"	"--"	"强"	"100"	"晚"	"--"	"圆形"	"--"	"--"	"甜"	"--"	"平"	"--"	"安徽芜湖市"	"875"	"--"	"--"	"--"	"安徽农科院园艺所"	"--"	"HUANG XIANG LI"	"V05Q0011"	"Cm(3)9(86)"	"蔓生"
"12"	"软"	"4上-5上,6下-8中"	"香蕉瓜"	"心形"	"--"	"Ⅱ5N0002"	"1.1"	"--"	"黄色"	"强"	"73"	"早"	"3-4"	"圆形"	"--"	"少"	"甜"	"中"	"平"	"中"	"福建长乐县"	"1000"	"--"	"绿"	"--"	"福州市蔬菜科研所"	"--"	"XIANG JIAO GUA"	"V05Q0012"	"87-OK-3"	"葡匐蔓生"
"13"	"软"	"4上-5上,6上中-8中"	"福清长乐雪梨瓜"	"心形"	"--"	"Ⅱ5N0070"	"0.5"	"--"	"奶油色"	"强"	"65"	"早"	"4-5"	"圆形"	"--"	"少"	"微甜"	"强"	"平"	"中"	"福建福州市"	"750"	"--"	"绿"	"--"	"福州市蔬菜科研所"	"--"	"FU QING CHANG LE XUE LI GUA"	"V05Q0013"	"88-OK-5"	"葡匐蔓生"
"14"	"质柔软汁"	"4上-8上"	"菜虫(黄皮)"	"心形"	"--"	"Ⅱ5N0034"	"--"	"--"	"--"	"强"	"110"	"晚"	"子孙蔓"	"圆柱形"	"--"	"--"	"香"	"中"	"--"	"中"	"甘肃"	"--"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"CAI CHONG (HUANG PI )"	"V05Q0014"	"甘Ⅱ5I018-2"	"--"
"15"	"软"	"4下-8中"	"黄皮毛甜瓜"	"椭圆"	"--"	"Ⅱ5N0172"	"1.5"	"--"	"--"	"--"	"110"	"中"	"子蔓"	"椭圆形"	"--"	"--"	"香"	"中"	"--"	"中"	"甘肃安西县"	"1000"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"HUANG PI MAO TIAN GUA"	"V05Q0015"	"甘Ⅱ5I041"	"--"
"16"	"软"	"4下-8中"	"麻皮甜瓜"	"椭圆"	"--"	"Ⅱ5N0102"	"2.0"	"--"	"--"	"--"	"110"	"中"	"子蔓"	"扁圆形"	"--"	"--"	"中"	"不耐贮湿阴"	"--"	"中"	"甘肃安西县"	"1000"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"MA PI TIAN GUA"	"V05Q0016"	"甘Ⅱ5I057"	"--"
"17"	"质柔软汁"	"4上-8上"	"菜虫(花皮)"	"心形"	"--"	"Ⅱ5N0033"	"--"	"--"	"--"	"强"	"110"	"晚"	"子孙"	"圆柱形"	"--"	"--"	"香"	"中"	"--"	"中"	"甘肃白银市"	"--"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"CAI CHONG (HUA PI )"	"V05Q0017"	"甘Ⅱ5I018-1"	"--"
"18"	"细粒质密"	"4上-8上"	"胀死狗"	"心形"	"--"	"Ⅱ5N0090"	"1.5"	"--"	"--"	"--"	"110"	"晚"	"子孙蔓"	"椭圆形"	"--"	"--"	"香"	"耐贮"	"--"	"中"	"甘肃白银市"	"--"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"ZHANG SI GOU"	"V05Q0018"	"甘Ⅱ5I017"	"--"
"19"	"松脆汁多"	"4下-8下"	"枕头甜瓜"	"椭圆"	"--"	"Ⅱ5N0175"	"2.0"	"--"	"--"	"--"	"120"	"晚"	"孙子蔓"	"圆柱形"	"--"	"--"	"中"	"中"	"--"	"中"	"甘肃敦煌市"	"1000"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"ZHEN TOU TIAN GUA"	"V05Q0019"	"甘Ⅱ5I048"	"--"
"20"	"软"	"4下-8中下"	"黄皮网纹甜瓜"	"椭圆"	"--"	"Ⅱ5N0177"	"3.0"	"--"	"--"	"--"	"110"	"中"	"子蔓"	"椭圆形"	"--"	"--"	"香"	"不耐贮"	"--"	"中"	"甘肃敦煌市"	"1000"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"HUANG PI WANG WEN TIAN GUA"	"V05Q0020"	"甘Ⅱ5I059"	"--"
"21"	"软"	"4下-8下9上"	"花皮网纹甜瓜"	"椭圆"	"--"	"Ⅱ5N0106"	"4.0"	"--"	"--"	"--"	"120"	"晚"	"孙子蔓"	"椭圆形"	"--"	"--"	"香"	"耐贮阴湿"	"--"	"重感"	"甘肃敦煌县"	"1250"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"HUA PI WANG WEN TIAN GUA"	"V05Q0026"	"甘Ⅱ5I061"	"--"
"22"	"圆滑致密"	"4上-8中"	"竹叶青"	"心形"	"--"	"Ⅱ5N0105"	"0.4"	"--"	"--"	"--"	"100"	"中"	"孙子蔓"	"椭圆形"	"--"	"--"	"香"	"强"	"--"	"抗"	"甘肃古浪县"	"500"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"ZHU YE QING"	"V05Q0030"	"甘Ⅱ5I010"	"--"
"23"	"松脆汁多"	"4下-8中下"	"黄绿皮克克奇"	"椭圆"	"--"	"Ⅱ5N0173"	"2.5"	"--"	"--"	"--"	"110"	"中"	"孙子蔓"	"椭圆形"	"--"	"--"	"香"	"耐阴湿"	"--"	"重感"	"甘肃金塔县"	"1000"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"HUANG LU PI KE KE QI"	"V05Q0032"	"甘Ⅱ5I043"	"--"
"24"	"圆滑致密"	"4下-8中下"	"花皮克克奇"	"心形"	"--"	"Ⅱ5N0174"	"2.5"	"--"	"--"	"--"	"110"	"中"	"孙子蔓"	"椭圆形"	"--"	"--"	"香"	"耐阴湿"	"--"	"重感"	"甘肃金塔县"	"1000"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"HUA PI KE KE QI"	"V05Q0033"	"甘Ⅱ5I045"	"--"
"25"	"松脆汁多"	"4下-8中下"	"白皮克克奇"	"心形"	"--"	"Ⅱ5N0094"	"2.5"	"--"	"--"	"--"	"110"	"中"	"孙蔓"	"椭圆形"	"--"	"--"	"香"	"耐阴湿"	"--"	"重感"	"甘肃金塔县"	"1000"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"BAI PI KE KE QI"	"V05Q0034"	"甘Ⅱ5I044"	"--"
"26"	"质软汁多"	"4上-7中"	"兰甜五号"	"心形"	"--"	"Ⅱ5N0074"	"1.5"	"--"	"--"	"--"	"100"	"中"	"子孙蔓"	"椭圆形"	"--"	"--"	"香"	"耐寒"	"--"	"抗"	"甘肃兰州市"	"1000"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"LAN TIAN WU HAO"	"V05Q0039"	"甘Ⅱ5I081"	"--"
