"id"	"蜡质厚薄"	"科名"	"子叶面积"	"钠含量"	"保存编号"	"品种名称"	"叶盖面直径"	"种子产量"	"染色体倍性"	"种子成熟期"	"粒性"	"开花盛期"	"白粉病"	"根头大小"	"省"	"抽苔盛期"	"译名"	"根沟深浅"	"类型"	"当年抽苔率"	"库编号"	"肉质粗细"	"育性"	"蔗糖产量"	"学名"	"统一编号"	"黄花毒病"	"叶柄宽"	"块根深度"	"果盖脱落率"	"处署绿叶"	"种子成熟度"	"叶面形状"	"块根形状"	"幼苗百株重"	"钾含量"	"种子发芽率"	"花粉量"	"叶柄色"	"子叶大小"	"处署枯叶"	"褐斑病"	"属名"	"单粒率"	"结实密度"	"株型"	"苗期生长势"	"保存单位"	"叶色"	"种株株型"	"氮含量"	"叶丛型"	"根腐病"	"备注"	"叶肉厚薄"	"蔗糖含量"	"叶缘形"	"叶形"	"维管束环数"	"根叶比值"	"叶柄长"	"下胚轴色"	"叶面多毛性"	"茎叶产量"	"经济类型"	"种子单粒率"	"块根产量吨"	"块根产量"	"不育率"	"品种来源"	"抽苔率"	"叶数"	"种子千粒重"	"根皮光滑"	"出苗盛期"	"蔗糖产量吨"	"根肉色"
"1"	"厚"	"Chenopodiaceae(藜科)"	"111.19"	"6.368"	"D05001"	"GW49"	"65.0"	"--"	"2x"	"--"	"多"	"6.24"	"--"	"大"	"国外"	"6.10"	"GW49"	"浅"	"国外"	"0.00"	"I6A00001"	"细"	"可育"	"187.31"	"Beta vulgaris L.(甜菜)"	"ZT000001"	"--"	"中"	"--"	"--"	"--"	"100.0"	"波浪"	"圆锥"	"926.00"	"3.190"	"83.0"	"多"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"21.3"	"多茎"	"较弱"	"中国农科院蔬菜研究所"	"绿"	"多茎"	"0.863"	"斜立"	"--"	"--"	"厚"	"15.70"	"大波"	"犁铧"	"7"	"3.382"	"长"	"混"	"光滑"	"572.80"	"N"	"--"	"17.88"	"1192.29"	"0"	"美国"	"92.60"	"30.3"	"29.0"	"光滑"	"5.17"	"2.81"	"白"
"2"	"薄"	"Chenopodiaceae(藜科)"	"87.84"	"3.041"	"D05002"	"MonoHy6"	"63.0"	"20.00"	"2x"	"--"	"多"	"6.26"	"--"	"小"	"国外"	"6.14"	"MonoHy6"	"深"	"国外"	"6.70"	"I6A00200"	"细"	"可育"	"207.98"	"Beta vulgaris L.(甜菜)"	"ZT000002"	"--"	"中"	"--"	"--"	"--"	"99.0"	"波浪"	"纺锤"	"1015.00"	"3.023"	"77.0"	"多"	"淡绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"35.7"	"单茎"	"中"	"中国农科院甜菜研究所"	"绿"	"单茎"	"2.825"	"斜立"	"--"	"--"	"厚"	"15.60"	"中波"	"舌形"	"7"	"4.365"	"中"	"混"	"光滑"	"499.81"	"E"	"--"	"20.04"	"1336.25"	"0"	"美国"	"100.00"	"33.0"	"24.0"	"光滑"	"5.22"	"3.13"	"白"
"3"	"薄"	"Chenopodiaceae(藜科)"	"91.95"	"1.590"	"D05003"	"GW64"	"60.0"	"10.00"	"2x"	"--"	"多"	"6.30"	"--"	"大"	"国外"	"6.28"	"GW64"	"浅"	"国外"	"0.00"	"I6A00201"	"细"	"可育"	"164.85"	"Beta vulgaris L.(甜菜)"	"ZT000003"	"--"	"宽"	"--"	"--"	"--"	"99.0"	"波浪"	"圆锥"	"612.00"	"2.824"	"87.0"	"中"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"22.3"	"混和"	"弱"	"中国农科院甜菜研究所"	"淡绿"	"混合"	"2.537"	"斜立"	"--"	"--"	"厚"	"16.90"	"中波"	"犁铧"	"8"	"3.411"	"中"	"混"	"光滑"	"375.60"	"LL"	"--"	"14.66"	"977.67"	"0"	"美国"	"100.00"	"30.3"	"15.0"	"较光滑"	"5.23"	"2.48"	"淡黄"
"4"	"厚"	"Chenopodiaceae(藜科)"	"108.04"	"5.141"	"D05004"	"Holly-Hybrid22"	"55.0"	"--"	"2x"	"--"	"多"	"6.25"	"--"	"大"	"国外"	"6.14"	"Holly-Hybrid22"	"深"	"国外"	"1.70"	"I6A00002"	"细"	"可育"	"222.93"	"Beta vulgaris L.(甜菜)"	"ZT000004"	"--"	"宽"	"--"	"--"	"--"	"100.0"	"波浪"	"纺锤"	"750.00"	"3.910"	"92.0"	"多"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"26.0"	"多茎"	"较弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"3.814"	"斜立"	"--"	"--"	"厚"	"16.10"	"中波"	"犁铧"	"4"	"6.526"	"长"	"混"	"光滑"	"294.48"	"NE"	"--"	"20.85"	"1390.22"	"0"	"美国"	"100.00"	"39.0"	"21.0"	"光滑"	"5.23"	"3.36"	"淡黄"
"5"	"中"	"Chenopodiaceae(藜科)"	"98.61"	"8.914"	"D05005"	"US200×215"	"45.0"	"--"	"2x"	"--"	"多"	"6.28"	"--"	"大"	"国外"	"6.17"	"US200×215"	"深"	"国外"	"0.42"	"I6A00553"	"细"	"可育"	"151.52"	"Beta vulgaris L.(甜菜)"	"ZT000005"	"--"	"宽"	"--"	"--"	"--"	"98.0"	"皱褶"	"楔形"	"656.00"	"3.412"	"80.0"	"多"	"绿"	"--"	"--"	"HS"	"Beta(甜菜属)"	"0"	"18.4"	"单茎"	"弱"	"中国农科院甜菜研究所"	"绿"	"单茎"	"0.492"	"斜立"	"--"	"--"	"厚"	"13.30"	"大波"	"舌形"	"5"	"5.650"	"中"	"混"	"光滑"	"232.39"	"LL"	"--"	"17.08"	"1138.38"	"0"	"美国"	"70.00"	"36.3"	"32.0"	"光滑"	"5.23"	"2.27"	"白"
"6"	"厚"	"Chenopodiaceae(藜科)"	"192.30"	"3.079"	"D01001"	"范8-8"	"65.0"	"35.00"	"2x"	"--"	"多"	"6.27"	"--"	"大"	"吉林"	"6.12"	"FAN 8-8"	"浅"	"地方"	"1.70"	"I6A00273"	"细"	"可育"	"211.40"	"Beta vulgaris L.(甜菜)"	"ZT000006"	"--"	"中"	"--"	"--"	"--"	"91.0"	"皱褶"	"圆锥"	"598.00"	"3.298"	"76.0"	"多"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"22.4"	"多茎"	"中"	"中国农科院甜菜研究所"	"浓绿"	"多茎"	"1.077"	"斜立"	"--"	"--"	"厚"	"18.20"	"大波"	"犁铧"	"7"	"2.685"	"长"	"混"	"光滑"	"794.25"	"NZ"	"--"	"17.45"	"1163.18"	"0"	"中国:吉林"	"100.00"	"36.0"	"25.0"	"光滑"	"5.20"	"3.18"	"淡黄"
"7"	"厚"	"Chenopodiaceae(藜科)"	"173.38"	"3.180"	"D01002"	"范443-12"	"55.0"	"--"	"2x"	"--"	"多"	"6.25"	"--"	"大"	"吉林"	"6.10"	"FAN 443-12"	"深"	"地方"	"0.00"	"I6A00003"	"粗"	"可育"	"215.97"	"Beta vulgaris L.(甜菜)"	"ZT000007"	"--"	"中"	"--"	"--"	"--"	"100.0"	"波浪"	"圆锥"	"883.00"	"2.087"	"88.0"	"多"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"28.4"	"多茎"	"较弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"3.473"	"斜立"	"--"	"--"	"厚"	"17.70"	"大波"	"犁铧"	"5"	"2.275"	"长"	"混"	"光滑"	"199.20"	"NZ"	"--"	"18.35"	"1223.61"	"0"	"中国:吉林"	"100.00"	"34.7"	"33.0"	"光滑"	"5.17"	"3.25"	"白"
"8"	"厚"	"Chenopodiaceae(藜科)"	"133.47"	"1.930"	"D01003"	"林甸红大个"	"52.0"	"--"	"2x"	"--"	"多"	"6.29"	"--"	"小"	"黑龙江"	"6.17"	"LIN DIAN HONG DA GE"	"浅"	"地方"	"0.00"	"I6A00004"	"细"	"可育"	"173.53"	"Beta vulgaris L.(甜菜)"	"ZT000008"	"--"	"中"	"--"	"--"	"--"	"99.0"	"波浪"	"楔形"	"667.00"	"3.263"	"96.0"	"多"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"22.6"	"多茎"	"弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"0.594"	"斜立"	"--"	"--"	"厚"	"13.20"	"中波"	"舌形"	"5"	"3.999"	"长"	"混"	"光滑"	"309.48"	"E"	"--"	"19.72"	"1314.42"	"0"	"中国:黑龙江"	"85.70"	"44.1"	"25.0"	"光滑"	"5.20"	"2.60"	"白"
"9"	"厚"	"Chenopodiaceae(藜科)"	"136.77"	"4.951"	"D01004"	"延寿中和公社"	"60.0"	"65.00"	"2x"	"--"	"多"	"6.24"	"--"	"大"	"黑龙江"	"6.15"	"YAN SHOU ZHONG HE GONG SHE"	"浅"	"地方"	"1.70"	"I6A00005"	"细"	"可育"	"207.97"	"Beta vulgaris L.(甜菜)"	"ZT000009"	"--"	"宽"	"--"	"--"	"--"	"100.0"	"皱褶"	"纺锤"	"540.00"	"2.244"	"93.0"	"多"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"21.7"	"混和"	"弱"	"中国农科院甜菜研究所"	"绿"	"混合"	"1.697"	"斜立"	"--"	"--"	"厚"	"16.10"	"大波"	"犁铧"	"6"	"3.464"	"长"	"混"	"光滑"	"448.46"	"NE"	"--"	"19.39"	"1292.54"	"0"	"中国:黑龙江"	"100.00"	"24.4"	"29.0"	"光滑"	"5.23"	"3.12"	"白"
"10"	"厚"	"Chenopodiaceae(藜科)"	"121.24"	"2.704"	"D01005"	"丰光"	"52.0"	"50.00"	"2x"	"--"	"多"	"6.25"	"--"	"小"	"黑龙江"	"6.16"	"FENG GUANG"	"深"	"地方"	"0.00"	"I6A00006"	"细"	"可育"	"166.53"	"Beta vulgaris L.(甜菜)"	"ZT000010"	"--"	"中"	"--"	"--"	"--"	"100.0"	"波浪"	"圆锥"	"661.00"	"2.459"	"95.0"	"少"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"21.7"	"混和"	"弱"	"中国农科院甜菜研究所"	"淡绿"	"混合"	"3.480"	"斜立"	"--"	"--"	"厚"	"15.80"	"中波"	"犁铧"	"7"	"3.561"	"长"	"混"	"光滑"	"394.66"	"LL"	"--"	"15.77"	"1051.30"	"0"	"中国:黑龙江"	"85.00"	"30.4"	"36.0"	"光滑"	"5.22"	"2.49"	"白"
