"id"	"肉质"	"栽培季节"	"品种名称"	"果面特征"	"抗逆性"	"种质库编号"	"果形"	"始花节位"	"株型"	"抗病虫性"	"生育期"	"熟性"	"成熟果皮色"	"果脐大小"	"备注"	"风味"	"单果重"	"种子来源"	"叶型"	"用途"	"叶色"	"亩产"	"生长习性"	"果肉色"	"保存单位"	"译名"	"省"	"保存编号"	"统一编号"
"1"	"--"	"4上-6上"	"真善美"	"平滑"	"中"	"Ⅱ6A0105"	"圆形"	"9"	"蔓生"	"较强"	"60"	"中熟"	"红"	"中"	"*"	"淡"	"125.0"	"安徽蚌埠市"	"普通叶"	"鲜食"	"深绿"	"2250"	"无限"	"红"	"安徽农科院园艺所"	"ZHEN SHAN MEI"	"安徽"	"Le8(80)"	"V06A0001"
"2"	"面"	"4上-7上"	"瑞光"	"平滑"	"中"	"Ⅱ6A0107"	"圆形"	"8"	"蔓生"	"较抗病"	"70"	"中熟"	"桔红"	"小"	"--"	"微甜"	"100.0"	"安徽合肥市"	"普通叶"	"鲜食"	"浅绿"	"3750"	"无限"	"红"	"安徽农科院园艺所"	"RUI GUANG"	"安徽"	"Le10(80)"	"V06A0002"
"3"	"面"	"4上-7中"	"鲁粉一号"	"平滑"	"中"	"Ⅱ6A0112"	"圆形"	"9"	"蔓生"	"抗病毒病"	"80"	"中熟"	"红"	"中"	"--"	"微甜"	"140.0"	"安徽合肥市"	"普通叶"	"鲜食"	"绿"	"3250"	"无限"	"红"	"安徽农科院园艺所"	"LU FEN YI HAO"	"安徽"	"Le14(80)"	"V06A0003"
"4"	"面"	"4上-7上"	"上海大红"	"平滑"	"强"	"Ⅱ6A0104"	"圆形"	"5"	"蔓生"	"强"	"65"	"中熟"	"桔红"	"小"	"--"	"微酸"	"150.0"	"安徽合肥市"	"普通叶"	"鲜食"	"浅绿"	"4500"	"无限"	"桔红"	"安徽农科院园艺所"	"SHANG HAI DA HONG"	"安徽"	"Le6(80)"	"V06A0004"
"5"	"--"	"4上-6上"	"粉红甜肉"	"平滑"	"耐热"	"Ⅱ6A0108"	"圆形"	"8"	"蔓生"	"抗病"	"60"	"--"	"红"	"小"	"*"	"酸甜"	"150.0"	"安徽合肥市"	"普通叶"	"鲜食"	"深绿"	"2250"	"无限"	"红"	"安徽农科院园艺所"	"FEN HONG TIAN ROU"	"安徽"	"Le11(80)"	"V06A0005"
"6"	"面"	"4上-7中"	"栗圆"	"平滑"	"强"	"Ⅱ6A0111"	"圆形"	"7"	"半蔓生"	"较强"	"110"	"--"	"红"	"小"	"--"	"微甜"	"175.0"	"安徽合肥市"	"普通叶"	"鲜食"	"浅绿"	"2000"	"无限"	"红"	"安徽农科院园艺所"	"LI YUAN"	"安徽"	"Le13(80)"	"V06A0006"
"7"	"--"	"4上-6上"	"宁红一号"	"平滑"	"--"	"Ⅱ6A0113"	"圆形"	"6"	"半蔓生"	"抗虫不抗病"	"60"	"中熟"	"桔红"	"中"	"*"	"微酸"	"100.0"	"安徽合肥市"	"马铃薯叶"	"鲜食"	"深绿"	"500"	"有限"	"红"	"安徽农科院园艺所"	"NING HONG YI HAO"	"安徽"	"Le12(80)"	"V06A0007"
"8"	"多汁"	"4上中-6中"	"武昌大红"	"平滑"	"耐热肥"	"Ⅱ6A0106"	"圆形"	"10"	"蔓生"	"--"	"60"	"--"	"红"	"中"	"*"	"--"	"200.0"	"安徽合肥市"	"普通叶"	"鲜食"	"绿"	"3750"	"无限"	"红"	"安徽农科院园艺所"	"WU CHANG DA HONG"	"安徽"	"Le9(80)"	"V06A0008"
"9"	"多汁"	"4下-5下"	"古巴402"	"平滑"	"强"	"Ⅱ6A0076"	"圆形"	"5"	"--"	"--"	"50"	"--"	"红"	"中"	"*"	"甜"	"125.0"	"安徽淮南市"	"普通叶"	"鲜食"	"绿"	"2750"	"有限"	"红"	"安徽农科院园艺所"	"GU BA 402"	"安徽"	"Le5(80)"	"V06A0009"
"10"	"面"	"4上-6中"	"桔黄加辰"	"平滑"	"耐旱热"	"Ⅱ6A0160"	"圆形"	"10"	"蔓生"	"较抗病"	"70"	"--"	"桔黄"	"中"	"*"	"甜"	"225.0"	"安徽歙县"	"普通叶"	"鲜食"	"绿"	"3250"	"无限"	"黄"	"安徽农科院园艺所"	"JIE HUANG JIA CHEN"	"安徽"	"Le2(80)"	"V06A0010"
"11"	"面多汁"	"4上中-7上"	"罗城一号"	"平滑"	"耐热"	"Ⅱ6A0423"	"梨形"	"7"	"半蔓生"	"较强"	"95"	"晚熟"	"红"	"小"	"*"	"--"	"50.0"	"安徽歙县"	"普通叶"	"鲜食加工"	"浅绿"	"1750"	"有限"	"红"	"安徽农科院园艺所"	"LUO CHENG YI HAO"	"安徽"	"Le15(80)"	"V06A0011"
"12"	"软多汁"	"1下2上播4下定植6中-7中收"	"加八号"	"平滑"	"中"	"Ⅱ6A0263"	"圆形"	"8"	"半蔓生"	"--"	"50"	"中熟"	"红"	"小"	"*易得日烧病成熟较集中"	"较酸"	"150.0"	"北京"	"普通叶"	"鲜食"	"绿"	"3500"	"有限"	"--"	"北京蔬菜研究中心"	"JIA BA HAO"	"北京"	"B68"	"V06A0012"
"13"	"软"	"春"	"特罗皮克"	"平滑"	"耐热适应性强"	"Ⅱ6A0266"	"圆形"	"9"	"蔓生"	"--"	"58"	"晚熟"	"桔红"	"中"	"*"	"酸甜"	"200.0"	"北京"	"普通叶"	"鲜食"	"深绿"	"3750"	"无限"	"--"	"北京蔬菜研究中心"	"TE LUO PI KE"	"北京"	"B73"	"V06A0013"
"14"	"面"	"春"	"顺义大粉"	"平滑"	"耐热"	"Ⅱ6A0265"	"圆形"	"9"	"蔓生"	"--"	"--"	"中熟"	"红"	"中"	"*"	"酸甜"	"225.0"	"北京"	"普通叶"	"鲜食"	"绿"	"3750"	"无限"	"--"	"北京蔬菜研究中心"	"SHUN YI DA FEN"	"北京"	"B82"	"V06A0014"
"15"	"面"	"1下2上播4下定植6上中-7上中收"	"矮红早熟"	"平滑"	"中"	"Ⅱ6A0262"	"圆形"	"7"	"半蔓生"	"--"	"44"	"早熟"	"桔红"	"小"	"*宜春早熟栽培"	"酸甜"	"150.0"	"北京"	"普通叶"	"鲜食"	"绿"	"3000"	"有限"	"--"	"北京蔬菜研究中心"	"AI HONG ZAO SHU"	"北京"	"B67"	"V06A0015"
"16"	"面"	"春"	"强力米寿"	"平滑"	"耐热"	"Ⅱ6A0264"	"圆形"	"8"	"蔓生"	"--"	"53"	"中熟"	"红"	"中"	"*"	"酸甜"	"150.0"	"北京"	"普通叶"	"鲜食"	"深绿"	"3250"	"无限"	"--"	"北京蔬菜研究中心"	"QIANG LI MI SHOU"	"北京"	"B64"	"V06A0016"
"17"	"--"	"春秋"	"漳州古雷西红柿"	"--"	"--"	"Ⅱ6A0841"	"圆形"	"--"	"蔓生"	"--"	"--"	"中熟"	"红"	"--"	"*"	"--"	"130.0"	"福建漳州市"	"--"	"--"	"--"	"3750"	"无限"	"--"	"福州市蔬菜科研所"	"ZHANG ZHOU GU LEI XI HONG SHI"	"福建"	"89-FN-9"	"V06A0017"
"18"	"软不面"	"11中-7下"	"福州五风番茄"	"棱沟"	"强"	"Ⅱ6A0842"	"圆形"	"5"	"半蔓生"	"强"	"60"	"中熟"	"红"	"小"	"--"	"酸甜"	"150.0"	"福州市五风"	"普通叶"	"鲜食"	"深绿"	"1375"	"无限"	"红"	"福州市蔬菜科研所"	"FU ZHOU WU FENG FAN QIE"	"福建"	"89-FN-12"	"V06A0018"
"19"	"软"	"2中-6中"	"甘早黄番茄"	"平滑"	"中"	"Ⅱ6A0566"	"圆形"	"5"	"半蔓生"	"中"	"60"	"早熟"	"黄"	"小"	"--"	"淡"	"150.0"	"甘肃兰州市"	"普通叶"	"鲜食"	"浅绿"	"2000"	"有限"	"黄"	"甘肃农科院蔬菜所"	"GAN ZAO HUANG FAN QIE"	"甘肃"	"甘Ⅱ6A010"	"V06A0019"
"20"	"面"	"2中-7上"	"粉红甜肉"	"平滑"	"--"	"Ⅱ6A0284"	"圆形"	"8"	"蔓生"	"弱"	"80"	"中熟"	"红"	"中"	"*"	"酸甜"	"175.0"	"甘肃兰州市"	"普通叶"	"鲜食"	"绿"	"4750"	"无限"	"红"	"甘肃农科院蔬菜所"	"FEN HONG TIAN ROU"	"甘肃"	"甘Ⅱ6A005"	"V06A0020"
"21"	"面"	"2中-6下"	"早粉二号"	"平滑"	"中"	"Ⅱ6A0283"	"圆形"	"8"	"半蔓生"	"弱"	"70"	"中熟"	"红"	"小"	"*"	"酸甜"	"135.0"	"甘肃兰州市"	"普通叶"	"鲜食"	"绿"	"3750"	"有限"	"红"	"甘肃农科院蔬菜所"	"ZAO FEN ER HAO"	"甘肃"	"甘Ⅱ6A002"	"V06A0021"
"22"	"软"	"2中-6中"	"北京十号"	"平滑"	"中"	"Ⅱ6A0016"	"圆形"	"6"	"半蔓生"	"弱"	"60"	"早熟"	"桔红"	"小"	"*"	"酸"	"100.0"	"甘肃兰州市"	"普通叶"	"鲜食"	"浅绿"	"3250"	"有限"	"红"	"甘肃农科院蔬菜所"	"BEI JING SHI HAO"	"甘肃"	"甘Ⅱ6A001"	"V06A0022"
"23"	"软"	"2中-7上"	"农大23"	"平滑"	"--"	"Ⅱ6A0017"	"圆形"	"8"	"蔓生"	"中"	"80"	"中熟"	"红"	"小"	"*"	"酸甜"	"150.0"	"甘肃兰州市"	"马铃薯叶"	"鲜食"	"深绿"	"4750"	"无限"	"红"	"甘肃农科院蔬菜所"	"NONG DA 23"	"甘肃"	"甘Ⅱ6A003"	"V06A0023"
"24"	"软"	"8-9"	"澄海200号"	"平滑"	"--"	"Ⅱ6A0365"	"圆形"	"6"	"蔓生"	"--"	"70"	"--"	"红"	"小"	"--"	"酸甜"	"73.0"	"广东澄海县"	"普通叶"	"鲜食"	"绿"	"3000"	"无限"	"红"	"广东农科院经作所"	"CHENG HAI 200 HAO"	"广东"	"G28-16"	"V06A0029"
"25"	"中"	"3-69-12"	"长粤一号番茄"	"平滑"	"强"	"Ⅱ6A0370"	"圆形"	"12"	"--"	"中"	"96"	"中熟"	"红"	"中"	"--"	"酸甜"	"50.2"	"广东澄海县"	"普通叶"	"鲜食"	"绿"	"--"	"--"	"红"	"广东农科院经作所"	"CHANG YUE YI HAO FAN QIE"	"广东"	"G28-28"	"V06A0030"
"26"	"--"	"--"	"澄海100号"	"平滑"	"--"	"Ⅱ6A0946"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"广东澄海县"	"--"	"--"	"--"	"--"	"无限"	"--"	"广东农科院经作所"	"CHENG HAI 100 HAO"	"广东"	"G28-12"	"V06A0032"
"27"	"软"	"8-9"	"华南44"	"棱沟"	"--"	"Ⅱ6A0383"	"圆形"	"9"	"蔓生"	"--"	"65"	"晚熟"	"红"	"大"	"*"	"甜"	"175.0"	"广东广州市"	"--"	"鲜食"	"深绿"	"3250"	"无限"	"红"	"广东农科院经作所"	"HUA NAN 44"	"广东"	"G28-3"	"V06A0036"
