"id"	"品种名称"	"叶形"	"叶色"	"种质库编号"	"叶缘"	"属名"	"繁种单位"	"单产"	"学名"	"耐旱性"	"叶柄宽"	"株幅"	"叶柄长"	"叶宽"	"叶裂刻"	"耐寒性"	"叶柄色"	"译名"	"单株重"	"备注"	"统一编号"	"抗逆性"	"抗虫性"	"种子千粒重"	"单位编号"	"播种期"	"科名"	"纤维含量"	"株型"	"熟性"	"叶长"	"叶面刺毛"	"叶面"	"耐热性"	"收获期"	"叶柄厚"	"定植期"	"省"	"品种来源"	"贮藏性"	"用途"	"耐涝性"	"株高"	"抗病性"	"栽培时期"	"品质"	"生长期"
"1"	"中桩白"	"椭圆"	"浅绿"	"Ⅱ2B0002"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"3125"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"ZHONG ZHUANG BAI"	"1250"	"--"	"V02B0001"	"较耐热"	"--"	"--"	"Bc2(81)"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"安徽"	"安徽安庆市"	"--"	"熟食腌制"	"--"	"52.0"	"中"	"(7中下-8中)-(9中-10上)"	"--"	"60"
"2"	"绿边菊花心"	"近圆"	"浅绿"	"Ⅱ2B0107"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"8.0"	"--"	"--"	"--"	"白"	"LU BIAN JU HUA XIN"	"300"	"--"	"V02B0002"	"强"	"--"	"--"	"Bc24-(86)"	"--"	"Cruciferae(十字花科)"	"--"	"半塌地"	"--"	"--"	"--"	"中皱"	"--"	"--"	"0.4"	"--"	"安徽"	"安徽蚌埠市"	"--"	"熟食"	"--"	"20.0"	"强"	"9上-12下"	"--"	"100"
"3"	"二笨子"	"近圆"	"深绿"	"Ⅱ2B0117"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"ER BEN ZI"	"500"	"--"	"V02B0003"	"抗寒"	"--"	"--"	"Bc31(85)"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"中皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽蚌埠市"	"--"	"熟食"	"--"	"30.0"	"--"	"(8上-9下)-(次年2中下)"	"--"	"165"
"4"	"大头白"	"卵圆"	"浅绿"	"Ⅱ2B0052"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"DA TOU BAI"	"350"	"--"	"V02B0004"	"耐热"	"--"	"--"	"Bc12(85)"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"安徽"	"安徽巢县"	"--"	"熟食腌制"	"--"	"32.0"	"强"	"9-11"	"--"	"60"
"5"	"宝塔乌"	"倒卵圆"	"浅绿"	"Ⅱ2B0530"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"1625"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"BAO TA WU"	"350"	"--"	"V02B0005"	"耐寒"	"--"	"--"	"BC47(87)"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"中皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽肥东县"	"--"	"熟食"	"--"	"28.0"	"较强"	"9上-12下"	"--"	"110"
"6"	"黄心乌"	"椭圆"	"深绿"	"Ⅱ2B0118"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"HUANG XIN WU"	"300"	"极耐寒"	"V02B0006"	"极耐寒"	"--"	"--"	"Bc32(86)"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"中皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽凤台县"	"--"	"熟食"	"--"	"30.0"	"强"	"9-(12-次年2)"	"--"	"120"
"7"	"马蹄黄"	"近圆"	"浅绿"	"Ⅱ2B0108"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"8.0"	"--"	"--"	"--"	"白"	"MA TI HUANG"	"250"	"极耐寒"	"V02B0007"	"极耐寒"	"--"	"--"	"Bc26(85)"	"--"	"Cruciferae(十字花科)"	"--"	"半塌地"	"--"	"--"	"--"	"中皱"	"--"	"--"	"0.4"	"--"	"安徽"	"安徽阜南县"	"--"	"熟食"	"--"	"18.0"	"强"	"9上-2上"	"--"	"140"
"8"	"阜阳乌白菜"	"近圆"	"深绿"	"Ⅱ2B0008"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"1750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"6.0"	"--"	"--"	"--"	"白"	"FU YANG WU BAI CAI"	"700"	"--"	"V02B0008"	"耐寒"	"--"	"--"	"Bc10(81)"	"--"	"Cruciferae(十字花科)"	"--"	"半塌地"	"--"	"--"	"--"	"中皱"	"--"	"--"	"0.5"	"--"	"安徽"	"安徽阜阳县"	"--"	"熟食"	"--"	"35.0"	"强"	"9中-12下"	"--"	"100"
"9"	"春不老"	"椭圆"	"绿"	"Ⅱ2B0007"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"1250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"绿白"	"CHUN BU LAO"	"500"	"--"	"V02B0009"	"强"	"--"	"--"	"Bc6(81)"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"中皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽合肥市"	"--"	"熟食"	"--"	"50.0"	"强"	"10上-次年4上"	"--"	"150"
"10"	"小叶菜"	"近圆"	"绿"	"Ⅱ2B0004"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"XIAO YE CAI"	"375"	"耐热"	"V02B0010"	"耐热"	"--"	"--"	"Bc3(81)"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽合肥市"	"--"	"熟食"	"--"	"65.0"	"强"	"8中-11上"	"--"	"95"
