"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"肉质"	"雌首花节位"	"省"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"1"	"晚"	"Cm3(80)"	"白皮笋瓜"	"葡匐蔓生"	"BAI PI SUN GUA"	"2.0"	"65"	"无"	"强"	"--"	"奶油色"	"--"	"扁圆形"	"--"	"--"	"--"	"奶油色"	"*"	"圆柱形"	"细嫩"	"5"	"安徽"	"V05D0002"	"安徽农科院园艺所"	"强"	"Ⅱ5Bc118"	"安徽合肥市"	"--"	"4上-6上中"	"--"	"平"
"2"	"早"	"Cm4(80)"	"黄皮笋瓜"	"葡匐蔓生"	"HUANG PI SUN GUA"	"2.3"	"40"	"无"	"弱"	"--"	"黄"	"--"	"心形"	"--"	"--"	"--"	"黄色"	"*嫩瓜易老"	"椭圆形"	"圆滑致密"	"7"	"安徽"	"V05D0004"	"安徽农科院园艺所"	"--"	"Ⅱ5Bc119"	"安徽淮北市"	"白色"	"4上-5中"	"线条状"	"平"
"3"	"中"	"甘Ⅱ5B005"	"长蔓脆瓜"	"蔓生"	"CHANG MAN CUI GUA"	"3.8"	"70"	"--"	"强"	"抗"	"白"	"--"	"--"	"--"	"--"	"--"	"奶油色"	"*引自陕西"	"圆柱形"	"细脆"	"8"	"甘肃"	"V05D0005"	"甘肃农科院蔬菜所"	"耐寒"	"Ⅱ5Bc037"	"甘肃成县"	"--"	"3中下-6上始收"	"--"	"--"
"4"	"晚"	"甘Ⅱ5I009-2"	"窝葫芦（白皮种）"	"蔓生"	"WO HU LU （BAI PI ZHONG ）"	"4.5"	"130"	"--"	"强"	"抗"	"--"	"--"	"扁圆形"	"甜"	"--"	"--"	"黑色"	"--"	"扁圆形"	"质面汁中"	"--"	"甘肃"	"V05D0006"	"甘肃农科院蔬菜所"	"耐旱"	"Ⅱ5Bc206"	"甘肃酒泉市"	"--"	"4上-8下"	"--"	"棱"
"5"	"晚"	"甘Ⅱ5B006"	"天水笋瓜"	"蔓生"	"TIAN SHUI SUN GUA"	"2.3"	"105"	"--"	"强"	"抗"	"奶油色"	"--"	"心形"	"甜"	"--"	"--"	"--"	"*"	"圆柱形"	"细粒质密"	"5"	"甘肃"	"V05D0008"	"甘肃农科院蔬菜所"	"耐寒旱"	"Ⅱ5Bc038"	"甘肃天水市"	"--"	"3上下-6中7上始收"	"--"	"棱"
"6"	"晚"	"甘Ⅱ5B007"	"武都金瓜"	"蔓生"	"WU DU JIN GUA"	"1.5"	"120"	"--"	"强"	"中"	"--"	"--"	"心形"	"甜"	"--"	"--"	"奶油色"	"*零星种植"	"扁圆形"	"多纤维"	"9"	"甘肃"	"V05D0009"	"甘肃农科院蔬菜所"	"耐涝"	"Ⅱ5Bc039"	"甘肃武都市"	"--"	"3下4上-8收"	"--"	"--"
"7"	"中"	"5-B-C-22-12"	"独山笋瓜"	"蔓生"	"DU SHAN SUN GUA"	"1.5"	"90"	"无"	"强"	"--"	"黄"	"--"	"掌状"	"--"	"--"	"--"	"奶油色"	"*"	"圆形"	"--"	"7"	"贵州"	"V05D0010"	"贵州农科院园艺所"	"--"	"Ⅱ5Bc172"	"贵州独山县"	"--"	"3中-8"	"--"	"平"
"8"	"中"	"5-B-C-22-3"	"镇远笋瓜"	"蔓生"	"ZHEN YUAN SUN GUA"	"0.6"	"--"	"--"	"中"	"--"	"白"	"--"	"圆形"	"--"	"--"	"--"	"奶油色"	"--"	"圆柱形"	"--"	"11"	"贵州"	"V05D0013"	"贵州农科院园艺所"	"--"	"Ⅱ5Bc171"	"贵州镇远县"	"--"	"3-9"	"--"	"平"
"9"	"中"	"5-B-C-22-4"	"榕江笋瓜"	"蔓生"	"RONG JIANG SUN GUA"	"0.7"	"--"	"--"	"中"	"--"	"黄"	"--"	"圆形"	"--"	"--"	"--"	"褐色"	"--"	"椭圆形"	"--"	"8"	"贵州"	"V05D0014"	"贵州农科院园艺所"	"--"	"Ⅱ5Bc173"	"贵州榕江县"	"--"	"3-9"	"--"	"平"
"10"	"中"	"南19号"	"京瓜"	"葡匐蔓生"	"JING GUA"	"2.0"	"100"	"--"	"强"	"中"	"绿"	"--"	"心形"	"甜"	"--"	"--"	"桔黄色"	"--"	"扁圆形"	"--"	"13"	"河北"	"V05D0015"	"河北农科院蔬菜所"	"强"	"Ⅱ5Bc248"	"河北承德县"	"--"	"4-7"	"--"	"棱"
