"id"	"成熟期"	"主花序长度"	"科名"	"花序色"	"保存编号"	"品种名称"	"原产地"	"叶色"	"千粒重"	"类别"	"省"	"粒色"	"来源地"	"花序性"	"样品类型"	"系谱"	"播种期"	"学名"	"统一编号"	"保存单位"	"其它"	"属名"	"茎色"	"株高"
"1"	"8.08"	"74.3"	"Amaranthaceae(苋科)"	"绿"	"01"	"R104"	"墨西哥"	"绿"	"0.77"	"--"	"国外"	"白黄"	"--"	"直立"	"国外"	"A.cruentus L.(红苋)"	"4.29"	"Amaranthus paniculatus L.(繁穗苋)×红苋"	"XY000001"	"中国农科院作物所"	"--"	"Amaranthus(苋属)"	"绿"	"200.7"
"2"	"8.06"	"86.3"	"Amaranthaceae(苋科)"	"红"	"02"	"K112"	"墨西哥"	"绿"	"0.69"	"--"	"国外"	"白黄"	"--"	"直立"	"国外"	"A.cruentus L.(红苋)"	"4.29"	"Amaranthus paniculatus L.(繁穗苋)×红苋"	"XY000002"	"中国农科院作物所"	"--"	"Amaranthus(苋属)"	"绿"	"237.8"
"3"	"10.22"	"--"	"Amaranthaceae(苋科)"	"绿"	"03"	"NO1"	"墨西哥"	"绿"	"1.05"	"--"	"国外"	"白"	"--"	"松散"	"国外"	"A.hypochondriacus L.(千穗谷)"	"4.29"	"Amaranthus hypochondriacus L.(千穗谷)"	"XY000003"	"中国农科院作物所"	"--"	"Amaranthus(苋属)"	"绿"	"172.3"
"4"	"10.22"	"--"	"Amaranthaceae(苋科)"	"绿"	"04"	"NO2"	"墨西哥"	"绿"	"0.99"	"--"	"国外"	"白黄"	"--"	"松散"	"国外"	"A.hypochondriacus L.(千穗谷)"	"4.29"	"Amaranthus hypochondriacus L.(千穗谷)"	"XY000004"	"中国农科院作物所"	"--"	"Amaranthus(苋属)"	"绿"	"180.0"
"5"	"8.14"	"69.9"	"Amaranthaceae(苋科)"	"红"	"05"	"NO3"	"巴基斯坦"	"绿"	"0.60"	"--"	"国外"	"黑"	"--"	"直立"	"国外"	"A.hybridus L.(绿穗苋)"	"4.29"	"Amaranthus paniculatus L.(繁穗苋)×绿穗苋"	"XY000005"	"中国农科院作物所"	"--"	"Amaranthus(苋属)"	"绿"	"170.2"
"6"	"9.12"	"80.3"	"Amaranthaceae(苋科)"	"粉"	"06"	"K574"	"美国"	"绿"	"0.67"	"--"	"国外"	"白"	"--"	"直立"	"国外"	"HG 674/尾 Cusco"	"4.29"	"--"	"XY000006"	"中国农科院作物所"	"--"	"Amaranthus(苋属)"	"绿"	"187.6"
"7"	"7.25"	"65.3"	"Amaranthaceae(苋科)"	"粉红"	"07"	"K283"	"美国"	"绿"	"0.73"	"--"	"国外"	"白"	"--"	"直立"	"国外"	"红/红"	"4.29"	"--"	"XY000007"	"中国农科院作物所"	"--"	"Amaranthus(苋属)"	"绿"	"143.0"
"8"	"9.08"	"100.0"	"Amaranthaceae(苋科)"	"绿"	"08"	"K266"	"美国"	"绿"	"0.65"	"--"	"国外"	"白"	"--"	"直立"	"国外"	"--"	"4.29"	"--"	"XY000008"	"中国农科院作物所"	"--"	"Amaranthus(苋属)"	"绿"	"263.3"
"9"	"9.19"	"126.0"	"Amaranthaceae(苋科)"	"绿"	"09"	"K436-18"	"美国"	"绿"	"0.51"	"--"	"国外"	"白"	"--"	"直立"	"国外"	"--"	"4.29"	"--"	"XY000009"	"中国农科院作物所"	"--"	"Amaranthus(苋属)"	"绿"	"272.4"
"10"	"9.19"	"116.0"	"Amaranthaceae(苋科)"	"红"	"10"	"K468"	"美国"	"绿"	"0.61"	"--"	"国外"	"白"	"--"	"直立"	"国外"	"红/千 chapingo"	"4.29"	"--"	"XY000010"	"中国农科院作物所"	"--"	"Amaranthus(苋属)"	"绿"	"218.1"
