"id"	"熟性"	"科名"	"品质"	"品种名称"	"定植至始收"	"叶面蜡粉"	"叶球重"	"叶面"	"株幅"	"外叶色"	"省"	"单产"	"叶球横径"	"收获期"	"耐寒性"	"叶球紧实度"	"播种期"	"属名"	"统一编号"	"学名"	"抗逆性"	"繁种单位"	"纤维含量"	"外叶形"	"耐旱性"	"种质库编号"	"定植期"	"抗虫性"	"叶球形状"	"耐涝性"	"贮藏性"	"叶球大小"	"备注"	"叶球色"	"抗病性"	"球中心柱高"	"单位编号"	"译名"	"品种来源"	"叶球纵径"	"栽培时期"	"种子千粒重"	"株高"	"耐热性"
"1"	"早"	"Cruciferae(十字花科)"	"中"	"牛心包"	"70"	"多"	"1300"	"--"	"55.0"	"--"	"安徽"	"1000"	"--"	"--"	"--"	"松"	"--"	"Brassica(芸薹属)"	"V04A0001"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"中"	"安徽农科院园艺所"	"--"	"--"	"--"	"Ⅱ4A0001"	"--"	"--"	"圆锥"	"--"	"--"	"小"	"--"	"深绿"	"抗病"	"--"	"Bo1(84)"	"NIU XIN BAO"	"安徽蚌埠市"	"--"	"2上-5下"	"--"	"30.0"	"--"
"2"	"晚"	"Cruciferae(十字花科)"	"上"	"大平头"	"130"	"多"	"2500"	"--"	"75.0"	"--"	"安徽"	"2000"	"--"	"--"	"--"	"紧"	"--"	"Brassica(芸薹属)"	"V04A0002"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"强"	"安徽农科院园艺所"	"--"	"--"	"--"	"Ⅱ4A0148"	"--"	"--"	"扁圆"	"--"	"--"	"大"	"--"	"浅绿"	"抗病"	"--"	"Bo2(88)"	"DA PING TOU"	"安徽屯溪市"	"--"	"7下-12上"	"--"	"37.5"	"--"
"3"	"中"	"Cruciferae(十字花科)"	"上"	"粗筋二乌叶"	"125"	"多"	"2000"	"--"	"70.0"	"--"	"四川"	"3000"	"--"	"--"	"--"	"紧"	"--"	"Brassica(芸薹属)"	"V04A0003"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"耐寒"	"成都市第一农科所"	"--"	"--"	"--"	"Ⅱ4A0114"	"--"	"--"	"扁圆"	"--"	"--"	"中"	"--"	"绿"	"强"	"--"	"D1-047"	"CU JIN ER WU YE"	"四川成都市"	"--"	"7-12"	"--"	"33.0"	"--"
"4"	"早"	"Cruciferae(十字花科)"	"中"	"鸡心甘兰"	"115"	"多"	"800"	"--"	"57.0"	"--"	"四川"	"1750"	"--"	"--"	"--"	"紧"	"--"	"Brassica(芸薹属)"	"V04A0004"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"较耐热,寒,旱"	"成都市第一农科所"	"--"	"--"	"--"	"Ⅱ4A0011"	"--"	"--"	"圆锥"	"--"	"--"	"小"	"引自上海"	"深绿"	"较抗病"	"--"	"D1-046"	"JI XIN GAN LAN"	"四川成都市"	"--"	"1上-4下"	"--"	"34.0"	"--"
"5"	"晚"	"Cruciferae(十字花科)"	"上"	"大鸟叶莲白"	"150"	"多"	"2500"	"--"	"77.5"	"--"	"四川"	"3500"	"--"	"--"	"--"	"紧"	"--"	"Brassica(芸薹属)"	"V04A0005"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"耐寒"	"成都市第一农科所"	"--"	"--"	"--"	"Ⅱ4A0112"	"--"	"--"	"扁圆"	"--"	"--"	"大"	"--"	"深绿"	"强"	"--"	"D1-044"	"DA NIAO YE LIAN BAI"	"四川成都市"	"--"	"7-1"	"--"	"35.0"	"--"
"6"	"中"	"Cruciferae(十字花科)"	"上"	"二乌叶莲白"	"120"	"多"	"2000"	"--"	"68.5"	"--"	"四川"	"3000"	"--"	"--"	"--"	"紧"	"--"	"Brassica(芸薹属)"	"V04A0006"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"耐寒"	"成都市第一农科所"	"--"	"--"	"--"	"Ⅱ4A0113"	"--"	"--"	"扁圆"	"--"	"--"	"中"	"--"	"绿"	"强"	"--"	"D1-045"	"ER WU YE LIAN BAI"	"四川成都市"	"--"	"7-12"	"--"	"32.0"	"--"
"7"	"中"	"Cruciferae(十字花科)"	"上"	"福安100天包菜"	"110"	"中"	"2000"	"--"	"67.0"	"--"	"福建"	"600"	"--"	"--"	"--"	"紧"	"--"	"Brassica(芸薹属)"	"V04A0007"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"耐寒"	"福州市蔬菜科研所"	"--"	"--"	"--"	"Ⅱ4A0006"	"--"	"--"	"扁圆"	"--"	"--"	"中"	"--"	"浅绿"	"强"	"--"	"87-KN-10"	"FU AN 100 TIAN BAO CAI"	"福建福安县"	"--"	"夏-春"	"--"	"35.0"	"--"
"8"	"中"	"Cruciferae(十字花科)"	"上"	"福清占阳秋甘兰"	"90"	"多"	"1500"	"--"	"45.0"	"--"	"福建"	"1250"	"--"	"--"	"--"	"中"	"--"	"Brassica(芸薹属)"	"V04A0008"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"强"	"福州市蔬菜科研所"	"--"	"--"	"--"	"Ⅱ4A0076"	"--"	"--"	"扁圆"	"--"	"--"	"中"	"--"	"深绿"	"强"	"--"	"88-KN-16"	"FU QING ZHAN YANG QIU GAN LAN"	"福建福清县"	"--"	"6中-10中"	"--"	"20.0"	"--"
"9"	"中"	"Cruciferae(十字花科)"	"上"	"金星包菜"	"83"	"中"	"3000"	"--"	"70.0"	"--"	"福建"	"1500"	"--"	"--"	"--"	"紧"	"--"	"Brassica(芸薹属)"	"V04A0009"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"较耐旱"	"福州市蔬菜科研所"	"--"	"--"	"--"	"Ⅱ4A0005"	"--"	"--"	"扁圆"	"--"	"--"	"中"	"--"	"绿"	"强"	"--"	"87-KN-5"	"JIN XING BAO CAI"	"福建福州市"	"--"	"夏秋"	"--"	"32.0"	"--"
"10"	"中"	"Cruciferae(十字花科)"	"上"	"龙岩90天包菜"	"135"	"多"	"4500"	"--"	"57.5"	"--"	"福建"	"3000"	"--"	"--"	"--"	"紧"	"--"	"Brassica(芸薹属)"	"V04A0010"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"中"	"福州市蔬菜科研所"	"--"	"--"	"--"	"Ⅱ4A0075"	"--"	"--"	"扁圆"	"--"	"--"	"大"	"--"	"绿"	"强"	"--"	"88-KN-6"	"LONG YAN 90 TIAN BAO CAI"	"福建龙岩市"	"--"	"6下8下-10下1下"	"--"	"40.0"	"--"
