"id"	"抗虫性"	"裂荚性"	"科名"	"种子来源地"	"品种名称"	"粗蛋白"	"鲜草产量"	"脐色"	"五氧化二磷"	"耐湿性"	"子叶出土"	"播种地点"	"初花期"	"茎形"	"茎生长习性"	"烘干率"	"单株分枝数"	"花序类型"	"成熟荚色"	"耐荫性"	"茎的性质"	"栽培类别"	"初生叶形"	"译名"	"叶缘"	"幼茎色"	"单株荚数"	"落荚性"	"播种期"	"属名"	"统一编号"	"耐瘠性"	"出苗期"	"学名"	"粒形"	"耐盐性"	"耐酸性"	"落叶性"	"茎色"	"种皮色"	"花色"	"成熟期"	"再生性"	"结荚习性"	"库编号"	"耐碱性"	"结荚高度"	"叶尖"	"省"	"氧化钾"	"荚形"	"盛花期"	"复叶类形"	"叶序"	"单株粒数"	"叶形"	"氮"	"生育天数"	"株高"	"备注"	"抗寒性"	"抗病性"	"荚长"	"千粒重"	"保存单位"	"繁殖系数"	"抗旱性"	"生活周期"	"叶基"	"子叶颜色"	"种子产量"
"1"	"强"	"易裂"	"Leguminosae(豆科)"	"广东省连县吉田"	"吉田紫云英"	"--"	"4811"	"褐"	"0.62"	"强"	"出土"	"长沙"	"4.10"	"圆柱"	"半匍匐"	"8.80"	"2.3"	"伞状"	"黑"	"弱"	"草本"	"冬"	"倒卵"	"--"	"全缘"	"淡绿"	"143.8"	"不落"	"10.07"	"Astragalus(黄芪属)"	"00000001"	"中"	"10.12"	"Astragalus sinicus L.(紫云英)"	"扁肾"	"弱"	"中"	"半落"	"淡绿"	"黄绿"	"紫红"	"5.24"	"中"	"无限"	"I7A00001"	"弱"	"70.0"	"稍凹"	"广东"	"3.75"	"三角矩形稍弯"	"4.12"	"奇数羽状复"	"互生"	"1006.6"	"倒卵形"	"3.18"	"224"	"127.3"	"--"	"弱"	"中"	"--"	"3.20"	"浙江省土肥所59"	"10.7-61.1"	"弱"	"越年生"	"楔形"	"绿"	"35.0"
"2"	"中"	"易裂"	"Leguminosae(豆科)"	"福建省光泽县"	"光泽紫云英"	"10.44"	"3600"	"褐"	"0.83"	"强"	"出土"	"长沙"	"3.19"	"圆柱"	"半匍匐"	"9.10"	"2.6"	"伞状"	"黑"	"弱"	"草本"	"冬"	"倒卵"	"--"	"全缘"	"淡绿"	"140.4"	"不落"	"10.07"	"Astragalus(黄芪属)"	"00000002"	"中"	"10.12"	"Astragalus sinicus L.(紫云英)"	"扁肾"	"弱"	"中"	"半落"	"淡绿"	"黄绿夹褐"	"紫红"	"5.17"	"中"	"无限"	"I7A00002"	"弱"	"55.7"	"稍凹"	"福建"	"3.56"	"三角矩形稍弯"	"3.31"	"奇数羽状复"	"互生"	"1122.5"	"倒卵形"	"3.06"	"217"	"122.5"	"--"	"弱"	"中"	"--"	"3.40"	"湖南、浙江土肥所56"	"10.7-41.3"	"弱"	"越年生"	"楔形"	"绿"	"50.0"
"3"	"中"	"易裂"	"Leguminosae(豆科)"	"广东农科院"	"连选2号紫云英"	"--"	"2378"	"褐"	"0.93"	"强"	"出土"	"长沙"	"3.14"	"圆柱"	"半匍匐"	"7.70"	"1.8"	"伞状"	"黑"	"弱"	"草本"	"冬"	"倒卵"	"--"	"全缘"	"淡绿"	"59.9"	"不落"	"10.07"	"Astragalus(黄芪属)"	"00000003"	"中"	"10.12"	"Astragalus sinicus L.(紫云英)"	"扁肾"	"弱"	"中"	"半落"	"淡绿"	"褐黄"	"紫红"	"5.16"	"中"	"无限"	"I7A00003"	"弱"	"63.0"	"稍凹"	"广东"	"3.90"	"三角矩形稍弯"	"3.23"	"奇数羽状复"	"互生"	"413.2"	"倒卵形"	"3.65"	"216"	"118.9"	"--"	"弱"	"中"	"--"	"3.50"	"湖南、浙江土肥所58"	"19.1-60.0"	"弱"	"越年生"	"楔形"	"绿"	"57.0"
"4"	"中"	"易裂"	"Leguminosae(豆科)"	"广东省花县"	"马溪紫云英"	"--"	"2467"	"褐"	"0.97"	"强"	"出土"	"长沙"	"3.14"	"圆柱"	"半匍匐"	"7.90"	"1.8"	"伞状"	"黑"	"弱"	"草本"	"冬"	"倒卵"	"--"	"全缘"	"淡绿"	"89.9"	"不落"	"10.07"	"Astragalus(黄芪属)"	"00000004"	"中"	"10.12"	"Astragalus sinicus L.(紫云英)"	"扁肾"	"弱"	"中"	"半落"	"淡绿"	"黄褐"	"紫红"	"5.16"	"中"	"无限"	"I7A00004"	"弱"	"48.4"	"稍凹"	"广东"	"4.33"	"三角矩形稍弯"	"3.23"	"奇数羽状复"	"互生"	"584.4"	"倒卵形"	"3.60"	"216"	"104.7"	"--"	"弱"	"中"	"--"	"3.20"	"湖南、浙江土肥所60"	"8.1-60.0"	"弱"	"越年生"	"楔形"	"绿"	"51.0"
"5"	"中"	"易裂"	"Leguminosae(豆科)"	"广东农科院"	"广绿紫云英"	"11.52"	"2585"	"褐"	"0.81"	"强"	"出土"	"长沙"	"3.21"	"圆柱"	"半匍匐"	"8.60"	"2.4"	"伞状"	"黑"	"弱"	"草本"	"冬"	"倒卵"	"--"	"全缘"	"淡绿"	"142.7"	"不落"	"10.07"	"Astragalus(黄芪属)"	"00000005"	"中"	"10.12"	"Astragalus sinicus L.(紫云英)"	"扁肾"	"弱"	"中"	"半落"	"淡绿"	"黄绿夹褐"	"紫红"	"5.21"	"中"	"无限"	"I7A00005"	"弱"	"49.5"	"稍凹"	"广东"	"4.58"	"三角矩形稍弯"	"4.20"	"奇数羽状复"	"互生"	"1227.3"	"倒卵形"	"3.79"	"221"	"121.4"	"--"	"弱"	"中"	"--"	"3.40"	"湖南、浙江土肥所57"	"11.0-77.8"	"弱"	"越年生"	"楔形"	"绿"	"95.0"
"6"	"中"	"易裂"	"Leguminosae(豆科)"	"湖南省醴陵县"	"醴陵紫云英"	"--"	"4584"	"褐"	"0.78"	"强"	"出土"	"长沙"	"3.28"	"圆柱"	"半匍匐"	"9.00"	"2.4"	"伞状"	"黑"	"弱"	"草本"	"冬"	"倒卵"	"--"	"全缘"	"淡绿"	"118.6"	"不落"	"10.07"	"Astragalus(黄芪属)"	"00000006"	"中"	"10.12"	"Astragalus sinicus L.(紫云英)"	"扁肾"	"弱"	"中"	"半落"	"淡绿"	"黄绿夹褐"	"紫红"	"5.20"	"中"	"无限"	"I7A00006"	"弱"	"58.1"	"稍凹"	"湖南"	"2.74"	"三角矩形稍弯"	"4.07"	"奇数羽状复"	"互生"	"865.5"	"倒卵形"	"3.34"	"220"	"118.3"	"--"	"中"	"中"	"--"	"3.00"	"湖南、浙江土肥所46"	"10.3-54.0"	"弱"	"越年生"	"楔形"	"绿"	"71.0"
"7"	"中"	"易裂"	"Leguminosae(豆科)"	"湖南省岳阳县"	"岳阳紫云英"	"--"	"4434"	"褐"	"0.80"	"强"	"出土"	"长沙"	"3.28"	"圆柱"	"半匍匐"	"8.50"	"2.1"	"伞状"	"黑"	"弱"	"草本"	"冬"	"倒卵"	"--"	"全缘"	"淡绿"	"138.7"	"不落"	"10.07"	"Astragalus(黄芪属)"	"00000007"	"中"	"10.12"	"Astragalus sinicus L.(紫云英)"	"扁肾"	"弱"	"中"	"半落"	"淡绿"	"黄绿夹褐"	"紫红"	"5.21"	"中"	"无限"	"I7A00007"	"弱"	"62.0"	"稍凹"	"湖南"	"3.51"	"三角矩形稍弯"	"4.06"	"奇数羽状复"	"互生"	"1040.9"	"倒卵形"	"3.24"	"221"	"128.0"	"--"	"中"	"弱"	"--"	"3.30"	"湖南、浙江土肥所47"	"7.1-64.5"	"弱"	"越年生"	"楔形"	"绿"	"70.0"
"8"	"中"	"易裂"	"Leguminosae(豆科)"	"湖北省大悟县"	"大悟紫云英"	"10.72"	"3000"	"褐"	"0.83"	"强"	"出土"	"长沙"	"3.25"	"圆柱"	"半匍匐"	"8.40"	"2.1"	"伞状"	"黑"	"弱"	"草本"	"冬"	"倒卵"	"--"	"全缘"	"淡绿"	"117.4"	"不落"	"10.07"	"Astragalus(黄芪属)"	"00000008"	"中"	"10.12"	"Astragalus sinicus L.(紫云英)"	"扁肾"	"弱"	"中"	"半落"	"淡绿"	"黄绿夹褐"	"紫红"	"5.19"	"中"	"无限"	"I7A00008"	"弱"	"60.9"	"稍凹"	"湖北"	"3.61"	"三角矩形稍弯"	"4.04"	"奇数羽状复"	"互生"	"1115.3"	"倒卵形"	"3.42"	"219"	"116.5"	"--"	"强"	"中"	"--"	"3.50"	"湖南、浙江土肥所48"	"8.3-90.0"	"弱"	"越年生"	"楔形"	"绿"	"96.0"
"9"	"中"	"易裂"	"Leguminosae(豆科)"	"河南省信阳地区"	"信阳紫云英"	"9.95"	"3867"	"褐"	"0.82"	"强"	"出土"	"长沙"	"3.26"	"圆柱"	"半匍匐"	"8.30"	"2.7"	"伞状"	"黑"	"弱"	"草本"	"冬"	"倒卵"	"--"	"全缘"	"淡绿"	"184.3"	"不落"	"10.07"	"Astragalus(黄芪属)"	"00000009"	"中"	"10.12"	"Astragalus sinicus L.(紫云英)"	"扁肾"	"弱"	"中"	"半落"	"淡绿"	"黄褐"	"紫红"	"5.21"	"中"	"无限"	"I7A00009"	"弱"	"51.0"	"稍凹"	"河南"	"3.38"	"三角矩形稍弯"	"4.05"	"奇数羽状复"	"互生"	"1419.1"	"倒卵形"	"3.25"	"221"	"115.4"	"--"	"强"	"中"	"--"	"3.50"	"湖南、浙江土肥所49"	"6.5-62.7"	"弱"	"越年生"	"楔形"	"绿"	"76.0"
"10"	"中"	"易裂"	"Leguminosae(豆科)"	"湖北省咸宁县"	"咸宁紫云英"	"10.11"	"3056"	"褐"	"0.81"	"强"	"出土"	"长沙"	"3.26"	"圆柱"	"半匍匐"	"8.70"	"2.4"	"伞状"	"黑"	"弱"	"草本"	"冬"	"倒卵"	"--"	"全缘"	"淡绿"	"110.2"	"不落"	"10.07"	"Astragalus(黄芪属)"	"00000010"	"中"	"10.12"	"Astragalus sinicus L.(紫云英)"	"扁肾"	"弱"	"中"	"半落"	"淡绿"	"黄绿夹褐"	"紫红"	"5.21"	"中"	"无限"	"I7A00010"	"弱"	"64.9"	"稍凹"	"湖北"	"3.58"	"三角矩形稍弯"	"4.05"	"奇数羽状复"	"互生"	"859.9"	"倒卵形"	"3.28"	"221"	"118.7"	"--"	"强"	"中"	"--"	"3.30"	"湖南、浙江土肥所50"	"7.0-76.7"	"弱"	"越年生"	"楔形"	"绿"	"75.0"
