"id"	"蛋氨酸"	"科名"	"保存编号"	"叶斑病级"	"谷氨酸"	"选育单位"	"播种期"	"缬氨酸"	"结荚习性"	"精氨酸"	"苏氨酸"	"丙氨酸"	"单株产量"	"总和"	"天冬氨酸"	"异亮氨酸"	"根腐病级"	"省"	"直链淀粉"	"脂肪"	"组氨酸"	"分枝数"	"全生育日数"	"品种名称"	"总淀粉"	"根腐病指数"	"色氨酸"	"百粒重"	"属名"	"统一编号"	"芽期抗旱"	"学名"	"粒形"	"选育方法"	"苯丙氨酸"	"熟期抗旱"	"支链淀粉"	"花色"	"成熟期"	"蛋白质"	"苗期耐盐"	"种皮光泽"	"亮氨酸"	"库编号"	"生长习性"	"保存单位"	"原产地"	"备注"	"蚜害指数"	"甘氨酸"	"单荚粒数"	"蚜害病评价"	"胱氨酸"	"样品类型"	"芽期耐盐"	"单株荚数"	"粒色"	"育成年份"	"酩氨酸"	"根腐病评价"	"脯氨酸"	"叶斑病指数"	"荚长"	"赖氨酸"	"丝氨酸"	"译名"	"蚜害病级别"	"荚色"	"蚜害比值"	"种子来源"	"株高"	"叶斑病评价"	"粒型"	"褐斑病指数"	"锈病评价"	"蚜害病指数"	"均匀度"	"赤斑病指数"	"蚜害病级"	"抗涝性"	"赤斑病级"	"粗蛋白"	"有效枝"	"锈病指数"	"荚宽"	"褐斑病级"	"粗脂肪"	"赤斑病评价"	"熟性"
"1"	"0.38"	"Leguminosae(豆科)"	"D0676"	"9"	"4.49"	"--"	"6.17"	"1.40"	"有限"	"1.57"	"0.73"	"0.98"	"17.0"	"23.08"	"2.66"	"1.21"	"5-9"	"北京"	"13.76"	"0.75"	"0.68"	"2.8"	"90"	"绿豆(夏4)"	"49.28"	"93.3"	"0.12"	"6.3"	"Vigna(豇豆属)"	"C0000001"	"2"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.62"	"3"	"35.52"	"黄"	"9.15"	"24.52"	"4"	"--"	"1.99"	"I2E02220"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"75.0"	"0.89"	"14.6"	"HS"	"0.37"	"地方"	"5"	"23.2"	"绿(光)"	"--"	"0.66"	"HS"	"0.64"	"98.5"	"11.6"	"1.66"	"1.03"	"LU DOU (XIA 4)"	"9"	"黑"	"1.03"	"--"	"63.6"	"HS"																	
"2"	"0.41"	"Leguminosae(豆科)"	"D0677"	"9"	"5.20"	"--"	"6.17"	"1.59"	"有限"	"1.80"	"0.87"	"1.11"	"13.0"	"26.34"	"3.09"	"1.35"	"9"	"北京"	"12.46"	"0.86"	"0.82"	"3.6"	"90"	"绿豆(夏7)"	"48.05"	"98.5"	"0.14"	"5.4"	"Vigna(豇豆属)"	"C0000002"	"3"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.74"	"3"	"35.59"	"黄"	"9.15"	"24.18"	"5"	"--"	"2.24"	"I2E02221"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"70.0"	"1.02"	"11.0"	"HS"	"0.39"	"地方"	"5"	"35.6"	"绿(光)"	"--"	"0.75"	"HS"	"0.73"	"97.0"	"10.6"	"1.85"	"1.24"	"LU DOU (XIA 7)"	"9"	"黑"	"1.03"	"--"	"76.2"	"HS"																	
"3"	"0.39"	"Leguminosae(豆科)"	"D0678"	"9"	"5.08"	"--"	"6.17"	"1.53"	"有限"	"1.59"	"0.89"	"1.11"	"19.0"	"25.41"	"3.05"	"1.18"	"9"	"北京"	"12.96"	"0.70"	"0.74"	"4.8"	"87"	"绿豆(夏11)"	"51.65"	"97.0"	"0.12"	"5.0"	"Vigna(豇豆属)"	"C0000003"	"1"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.76"	"4"	"38.69"	"黄"	"9.12"	"22.49"	"5"	"--"	"2.03"	"I2E02222"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"84.4"	"1.03"	"11.9"	"HS"	"0.38"	"地方"	"5"	"45.0"	"绿(光)"	"--"	"0.56"	"HS"	"0.86"	"97.0"	"7.5"	"1.84"	"1.29"	"LU DOU (XIA 11)"	"9"	"黑"	"1.16"	"--"	"96.4"	"HS"																	
"4"	"0.24"	"Leguminosae(豆科)"	"D0679"	"7-9"	"4.79"	"--"	"6.17"	"1.45"	"有限"	"1.66"	"0.77"	"1.05"	"13.2"	"23.95"	"2.85"	"1.12"	"5-9"	"北京"	"13.94"	"0.60"	"0.76"	"3.0"	"85"	"绿豆(夏15)"	"53.06"	"91.9"	"0.15"	"5.7"	"Vigna(豇豆属)"	"C0000004"	"2"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.78"	"3"	"39.12"	"黄"	"9.10"	"21.71"	"4"	"--"	"1.92"	"I2E02223"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"85.0"	"0.92"	"11.9"	"HS"	"0.35"	"地方"	"5"	"30.6"	"绿(光)"	"--"	"0.58"	"HS"	"0.71"	"95.6"	"8.8"	"1.78"	"1.09"	"LU DOU (XIA 15)"	"9"	"黑"	"1.16"	"--"	"60.8"	"HS"																	
"5"	"0.49"	"Leguminosae(豆科)"	"D0680"	"9"	"4.62"	"--"	"6.17"	"1.44"	"有限"	"1.52"	"0.78"	"1.09"	"12.4"	"24.14"	"2.75"	"1.24"	"9"	"北京"	"12.58"	"1.12"	"0.76"	"2.2"	"90"	"绿豆(夏18)"	"50.72"	"98.5"	"0.14"	"5.4"	"Vigna(豇豆属)"	"C0000005"	"4"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.67"	"3"	"38.14"	"黄"	"9.15"	"22.44"	"4"	"--"	"2.02"	"I2E02224"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"57.5"	"0.98"	"13.4"	"HS"	"0.36"	"地方"	"5"	"22.8"	"绿(光)"	"--"	"0.73"	"HS"	"0.76"	"97.0"	"9.0"	"1.72"	"1.06"	"LU DOU(XIA 18)"	"9"	"黑"	"0.79"	"--"	"78.4"	"HS"																	
"6"	"0.24"	"Leguminosae(豆科)"	"D0681"	"9"	"5.18"	"--"	"6.17"	"1.54"	"有限"	"1.77"	"0.84"	"1.13"	"13.6"	"25.45"	"3.07"	"1.23"	"9"	"北京"	"12.78"	"1.16"	"0.77"	"3.8"	"80"	"绿豆(夏19)"	"49.12"	"97.8"	"0.14"	"5.5"	"Vigna(豇豆属)"	"C0000006"	"5"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.81"	"3"	"36.34"	"黄"	"9.05"	"22.80"	"5"	"--"	"2.11"	"I2E02225"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"62.5"	"0.98"	"13.0"	"HS"	"0.33"	"地方"	"5"	"28.8"	"绿(光)"	"--"	"0.58"	"HS"	"0.66"	"97.0"	"9.2"	"1.92"	"1.15"	"LU DOU (XIA 19)"	"9"	"深褐"	"0.86"	"--"	"70.8"	"HS"																	
"7"	"0.47"	"Leguminosae(豆科)"	"D0682"	"7-9"	"4.87"	"--"	"6.17"	"1.50"	"有限"	"1.65"	"0.79"	"1.06"	"6.0"	"24.74"	"2.90"	"1.24"	"9"	"北京"	"13.46"	"1.03"	"0.74"	"2.4"	"90"	"绿豆(夏22)"	"50.45"	"97.8"	"0.14"	"4.3"	"Vigna(豇豆属)"	"C0000007"	"5"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.69"	"3"	"36.99"	"黄"	"9.15"	"22.55"	"5"	"--"	"2.10"	"I2E02226"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"60.7"	"0.95"	"12.8"	"HS"	"0.34"	"地方"	"5"	"12.2"	"绿(光)"	"--"	"0.76"	"HS"	"0.66"	"95.6"	"10.4"	"1.79"	"1.10"	"LU DOU (XIA 22)"	"9"	"黑"	"0.83"	"--"	"82.2"	"HS"																	
"8"	"0.43"	"Leguminosae(豆科)"	"D0683"	"7-9"	"4.83"	"--"	"6.17"	"1.48"	"有限"	"1.56"	"0.79"	"1.05"	"19.6"	"24.46"	"2.87"	"1.24"	"9"	"北京"	"12.86"	"1.46"	"0.71"	"4.6"	"87"	"绿豆(夏45)"	"50.09"	"100.0"	"0.15"	"3.7"	"Vigna(豇豆属)"	"C0000008"	"4"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.65"	"4"	"37.23"	"黄"	"9.12"	"25.25"	"2"	"--"	"2.07"	"I2E02227"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"75.0"	"0.94"	"12.7"	"HS"	"0.34"	"地方"	"5"	"47.8"	"绿(光)"	"--"	"0.73"	"HS"	"0.70"	"89.6"	"8.3"	"1.82"	"1.08"	"LU DOU (XIA 45)"	"9"	"深褐"	"1.03"	"--"	"64.0"	"HS"																	
"9"	"0.38"	"Leguminosae(豆科)"	"D0684"	"7-9"	"4.88"	"--"	"6.17"	"1.47"	"有限"	"1.55"	"0.82"	"1.07"	"13.4"	"24.58"	"2.88"	"1.21"	"9"	"北京"	"13.18"	"1.30"	"0.71"	"3.8"	"90"	"绿豆(夏46)"	"50.07"	"100.0"	"0.18"	"3.4"	"Vigna(豇豆属)"	"C0000009"	"5"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.67"	"4"	"36.89"	"黄"	"9.15"	"24.49"	"4"	"--"	"2.07"	"I2E02228"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"96.4"	"0.94"	"13.2"	"HS"	"0.31"	"地方"	"5"	"56.4"	"绿(光)"	"--"	"0.71"	"HS"	"0.77"	"88.1"	"8.2"	"1.85"	"1.12"	"LU DOU (XIA 46)"	"9"	"深褐"	"1.10"	"--"	"70.6"	"HS"																	
"10"	"0.46"	"Leguminosae(豆科)"	"D0685"	"7-9"	"4.62"	"--"	"6.17"	"1.40"	"有限"	"1.46"	"0.76"	"0.99"	"15.0"	"23.12"	"2.69"	"1.08"	"9"	"北京"	"14.78"	"1.48"	"0.63"	"4.4"	"87"	"绿豆(夏47)"	"53.04"	"96.3"	"0.19"	"4.0"	"Vigna(豇豆属)"	"C0000010"	"5"	"Vigna rabiata (L.) Wilczek(绿豆)"	"圆柱形"	"--"	"1.66"	"3"	"38.26"	"黄"	"9.12"	"23.57"	"4"	"--"	"1.87"	"I2E02229"	"直立"	"中国农科院"	"中国农科院作物所"	"--"	"100.0"	"0.89"	"12.8"	"HS"	"0.37"	"地方"	"5"	"36.0"	"绿(光)"	"--"	"0.58"	"HS"	"0.69"	"94.1"	"7.9"	"1.73"	"1.04"	"LU DOU (XIA 47)"	"9"	"黑"	"1.37"	"--"	"72.4"	"HS"																	
