"id"	"熟性"	"科名"	"肉质根形"	"品种名称"	"根肉水分"	"译名"	"风味"	"单产"	"收获期"	"根髓大小"	"省"	"肉质根长"	"根髓色"	"播种期"	"属名"	"统一编号"	"根肉口感"	"学名"	"抗逆性"	"繁种单位"	"生长期"	"叶柄色"	"叶面茸毛"	"贮藏性"	"叶簇"	"叶色"	"肉质根粗"	"叶柄茸毛"	"抗虫性"	"耐涝性"	"耐旱性"	"备注"	"根肉质"	"抗病性"	"单位编号"	"耐寒性"	"品种来源"	"用途"	"种质库编号"	"根皮色"	"栽培时期"	"根肩部大小"	"单根重"	"耐热性"	"根肉色"
"1"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"王宗二胡萝卜"	"少"	"WANG ZONG ER HU LUO BU"	"甜"	"5000"	"--"	"小"	"安徽"	"--"	"浅黄"	"--"	"Daucus(胡萝卜属)"	"V01B0001"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐热寒"	"安徽农科院园艺所"	"120"	"浅绿"	"--"	"强"	"直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆"	"强"	"Dc2(85)"	"--"	"安徽肥东县"	"熟食"	"Ⅱ1B0018"	"黄"	"7上-11上"	"--"	"150.0"	"--"	"黄"
"2"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"黄胡萝卜"	"中"	"HUANG HU LUO BU"	"浓"	"5000"	"--"	"中"	"安徽"	"--"	"深黄"	"--"	"Daucus(胡萝卜属)"	"V01B0002"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"中"	"安徽农科院园艺所"	"125"	"绿"	"--"	"中"	"半直立"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"疏松"	"强"	"Dc11(88)"	"--"	"安徽嘉山县"	"熟食"	"Ⅱ1B0257"	"黄"	"7上-11中"	"--"	"100.0"	"--"	"黄"
"3"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"大黄胡萝卜"	"少"	"DA HUANG HU LUO BU"	"淡"	"6000"	"--"	"大"	"安徽"	"--"	"深黄"	"--"	"Daucus(胡萝卜属)"	"V01B0003"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"强"	"安徽农科院园艺所"	"120"	"绿"	"--"	"中"	"半直立"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"疏松"	"强"	"Dc5(86)"	"--"	"安徽六安市"	"熟食"	"Ⅱ1B0017"	"黄"	"7上-11上"	"--"	"60.0"	"--"	"黄"
"4"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"潜山红胡萝卜"	"少"	"QIAN SHAN HONG HU LUO BU"	"甜"	"5000"	"--"	"小"	"安徽"	"--"	"浅红"	"--"	"Daucus(胡萝卜属)"	"V01B0004"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"强"	"安徽农科院园艺所"	"120"	"绿"	"--"	"强"	"直立"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"致密"	"强"	"Dc1(85)"	"--"	"安徽替山县"	"熟食"	"Ⅱ1B0006"	"红"	"7上-11上"	"--"	"50.0"	"--"	"红"
"5"	"--"	"Umbelliferae(伞形花科)"	"圆锥"	"红胡萝卜"	"少"	"HONG HU LUO BU"	"甜"	"5000"	"--"	"中"	"安徽"	"--"	"浅红"	"--"	"Daucus(胡萝卜属)"	"V01B0005"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"中"	"安徽农科院园艺所"	"125"	"绿"	"--"	"强"	"半直立"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆"	"强"	"Dc9(88)"	"--"	"安徽铜陵市"	"生熟"	"Ⅱ1B0224"	"红"	"7上-11中"	"--"	"100.0"	"--"	"红"
"6"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"望江红萝卜"	"多"	"WANG JIANG HONG LUO BU"	"甜"	"2250"	"--"	"小"	"安徽"	"--"	"红"	"--"	"Daucus(胡萝卜属)"	"V01B0006"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"中"	"安徽农科院园艺所"	"140"	"绿"	"--"	"中"	"半直立"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"致密"	"中"	"Dc6(88)"	"--"	"安徽望江县"	"加工"	"Ⅱ1B0258"	"--"	"8上-12下"	"--"	"100.0"	"--"	"红"
"7"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"濉溪黄皮"	"少"	"SUI XI HUANG PI"	"甜"	"7000"	"--"	"小"	"安徽"	"--"	"浅黄"	"--"	"Daucus(胡萝卜属)"	"V01B0007"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"强"	"安徽农科院园艺所"	"115"	"浅绿"	"--"	"强"	"直立"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆"	"强"	"Dc4(81)"	"--"	"安徽濉溪县"	"熟食"	"Ⅱ1B0016"	"黄"	"7中-11上"	"--"	"150.0"	"--"	"黄"
"8"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"鞭杆红"	"少"	"BIAN GAN HONG"	"甜"	"3750"	"--"	"中"	"北京"	"--"	"橙黄"	"--"	"Daucus(胡萝卜属)"	"V01B0008"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"较耐旱"	"北京蔬菜研究中心"	"120"	"紫"	"--"	"强"	"直立"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆"	"较抗病虫"	"B241"	"--"	"北京"	"熟食"	"Ⅱ1B0058"	"紫红"	"7上-11上"	"--"	"137.5"	"--"	"橙红"
"9"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"胡萝卜"	"中"	"HU LUO BU"	"甜"	"4000"	"--"	"小"	"四川"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0009"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐寒旱"	"成都市第一农科所"	"100"	"紫"	"--"	"强"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆嫩"	"抗病"	"A2-002"	"--"	"四川汉源县"	"生熟"	"Ⅱ1B0207"	"紫红"	"6-9"	"--"	"100.0"	"--"	"红"
"10"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"胡萝卜"	"少"	"HU LUO BU"	"甜"	"2500"	"--"	"小"	"四川"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0010"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐旱"	"成都市第一农科所"	"115"	"紫"	"--"	"强"	"半直立"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆嫩"	"抗"	"A2-047"	"--"	"四川雅安市"	"熟食"	"Ⅱ1B0206"	"--"	"9-10"	"--"	"75.0"	"--"	"红"
