"id"	"成熟期"	"茎秆茸毛量"	"科名"	"油酸"	"保存编号"	"品种名称"	"株型"	"耐渍性"	"棕榈酸"	"千粒重"	"成熟茎秆色"	"含油量"	"省"	"每叶腋花数"	"硬脂酸"	"蒴果长度"	"产地或来源"	"耐旱性"	"译名"	"库编号"	"茎点枯病"	"蒴果棱数"	"播种期"	"学名"	"统一编号"	"蛋白质含量"	"保存单位"	"属名"	"亚油酸"	"生育日数"	"裂蒴性"	"株高"	"种皮色"	"枯萎病"	"花色"
"1"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.22"	"33"	"鞭秆"	"单秆"	"高耐"	"8.52"	"3.10"	"绿"	"54.03"	"辽宁"	"单花"	"3.57"	"中"	"辽宁台安"	"--"	"BIAN GAN"	"I4C01203"	"感病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00001"	"23.17"	"辽宁省农科院"	"Sesamum(胡麻属)"	"43.68"	"122"	"裂"	"125.0"	"白"	"抗病"	"淡紫"
"2"	"9/14"	"少"	"Pedaliaceae(胡麻科)"	"43.57"	"75"	"马鞭"	"单秆"	"中耐"	"9.02"	"3.00"	"绿"	"54.59"	"辽宁"	"单花"	"3.90"	"短"	"辽宁旅顺"	"--"	"MA BIAN"	"I4C01204"	"感病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00002"	"22.94"	"辽宁省农科院"	"Sesamum(胡麻属)"	"43.50"	"118"	"裂"	"108.4"	"白"	"抗病"	"淡紫"
"3"	"9/14"	"少"	"Pedaliaceae(胡麻科)"	"44.95"	"39"	"朝鲜芝麻"	"单秆"	"中耐"	"8.31"	"3.00"	"绿"	"55.20"	"辽宁"	"单花"	"4.24"	"短"	"辽宁凤城"	"--"	"CHAO XIAN ZHI MA"	"I4C01205"	"高感"	"6.8"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00003"	"23.29"	"辽宁省农科院"	"Sesamum(胡麻属)"	"42.50"	"118"	"裂"	"116.4"	"白"	"抗病"	"淡紫"
"4"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.52"	"71"	"霸王鞭"	"单秆"	"中耐"	"8.01"	"3.25"	"绿"	"55.54"	"辽宁"	"三花"	"3.36"	"中"	"辽宁抚顺"	"--"	"BA WANG BIAN"	"I4C01206"	"高感"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00004"	"23.15"	"辽宁省农科院"	"Sesamum(胡麻属)"	"44.11"	"122"	"裂"	"126.0"	"白"	"抗病"	"淡紫"
"5"	"9/14"	"少"	"Pedaliaceae(胡麻科)"	"46.36"	"34"	"芝麻"	"单秆"	"中耐"	"7.52"	"3.00"	"绿"	"55.32"	"辽宁"	"三花"	"3.23"	"短"	"辽宁台安"	"--"	"ZHI MA"	"I4C01207"	"感病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00005"	"22.26"	"辽宁省农科院"	"Sesamum(胡麻属)"	"42.89"	"118"	"裂"	"108.8"	"白"	"感病"	"淡紫"
"6"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.37"	"70"	"霸王鞭"	"单秆"	"耐"	"8.63"	"3.10"	"绿"	"53.64"	"辽宁"	"三花"	"3.41"	"短"	"辽宁黑山"	"--"	"BA WANG BIAN"	"I4C01208"	"高感"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00006"	"23.05"	"辽宁省农科院"	"Sesamum(胡麻属)"	"43.58"	"122"	"裂"	"112.6"	"白"	"抗病"	"淡紫"
"7"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.40"	"81"	"霸王鞭"	"单秆"	"耐"	"8.13"	"3.10"	"绿"	"53.06"	"辽宁"	"三花"	"3.49"	"中"	"辽宁黑山"	"--"	"BA WANG BIAN"	"I4C01209"	"高感"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00007"	"23.43"	"辽宁省农科院"	"Sesamum(胡麻属)"	"43.97"	"122"	"裂"	"124.0"	"白"	"抗病"	"淡紫"
"8"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.50"	"79"	"一束香"	"单秆"	"中耐"	"9.61"	"3.11"	"绿"	"53.75"	"辽宁"	"三花"	"3.54"	"中"	"辽宁黑山"	"--"	"YI SHU XIANG"	"I4C01210"	"高感"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00008"	"23.62"	"辽宁省农科院"	"Sesamum(胡麻属)"	"42.35"	"122"	"裂"	"107.0"	"黄"	"抗病"	"淡紫"
"9"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"45.38"	"63"	"芝麻"	"单秆"	"中耐"	"8.75"	"3.20"	"绿"	"54.54"	"辽宁"	"三花"	"3.56"	"中"	"辽宁盘山"	"--"	"ZHI MA"	"I4C01211"	"高感"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00009"	"23.91"	"辽宁省农科院"	"Sesamum(胡麻属)"	"42.31"	"122"	"裂"	"123.4"	"白"	"抗病"	"淡紫"
"10"	"9/18"	"少"	"Pedaliaceae(胡麻科)"	"44.47"	"64"	"芝麻"	"单秆"	"中耐"	"9.30"	"3.00"	"绿"	"54.30"	"辽宁"	"三花"	"3.54"	"短"	"辽宁辽阳"	"--"	"ZHI MA"	"I4C01212"	"感病"	"4"	"5/19"	"Sesamum indicum L.(芝麻)"	"ZZM00010"	"23.48"	"辽宁省农科院"	"Sesamum(胡麻属)"	"42.70"	"122"	"裂"	"105.6"	"白"	"感病"	"淡紫"
