"id"	"熟性"	"科名"	"品质"	"品种名称"	"定植至始收"	"叶面蜡粉"	"株幅"	"主薹粗"	"风味"	"叶裂刻"	"定植期"	"译名"	"叶缘"	"肉质"	"单产"	"单株薹数"	"播种期"	"属名"	"统一编号"	"小裂片对数"	"学名"	"抗逆性"	"繁种单位"	"末收期"	"叶柄色"	"花色"	"贮藏性"	"省"	"叶色"	"抗虫性"	"主薹高"	"叶形"	"耐涝性"	"始收期"	"耐旱性"	"备注"	"主薹色"	"抗病性"	"单株产量"	"单位编号"	"耐寒性"	"品种来源"	"种质库编号"	"栽培时期"	"种子千粒重"	"株高"	"叶翼"	"耐热性"
"1"	"中"	"Cruciferae(十字花科)"	"--"	"福州本地芥兰"	"35"	"--"	"--"	"8.5"	"微甜"	"--"	"--"	"FU ZHOU BEN DI JIE LAN"	"锯齿"	"中"	"1200"	"2.5"	"--"	"Brassica(芸薹属)"	"V04E0001"	"--"	"Brassica alboglabra Bailey(芥蓝)"	"耐热"	"福州市蔬菜科研所"	"--"	"灰绿"	"--"	"--"	"福建"	"绿"	"--"	"10.0"	"卵圆"	"--"	"--"	"--"	"嫩株供食"	"绿"	"抗病强"	"--"	"87-Kj-1"	"--"	"福建福州市"	"Ⅱ4E0002"	"(8.9)-(10.11)"	"--"	"30.0"	"--"	"--"
"2"	"早"	"Cruciferae(十字花科)"	"--"	"连城再生芥兰"	"80"	"--"	"--"	"10.0"	"淡"	"--"	"--"	"LIAN CHENG ZAI SHENG JIE LAN"	"全缘"	"脆嫩"	"2500"	"3.5"	"--"	"Brassica(芸薹属)"	"V04E0002"	"--"	"Brassica alboglabra Bailey(芥蓝)"	"耐旱"	"福州市蔬菜科研所"	"--"	"绿白"	"--"	"--"	"福建"	"深绿"	"--"	"14.0"	"短椭圆"	"--"	"--"	"--"	"--"	"浅绿"	"中"	"--"	"87-Kj-5"	"--"	"福建连城县"	"Ⅱ4E0005"	"四季栽培"	"--"	"50.0"	"--"	"--"
"3"	"早"	"Cruciferae(十字花科)"	"--"	"莆田黄花芥兰"	"48"	"--"	"--"	"7.5"	"甜"	"--"	"--"	"PU TIAN HUANG HUA JIE LAN"	"浅锯齿"	"中"	"2000"	"2.5"	"--"	"Brassica(芸薹属)"	"V04E0003"	"--"	"Brassica alboglabra Bailey(芥蓝)"	"耐旱"	"福州市蔬菜科研所"	"--"	"绿白"	"--"	"--"	"福建"	"深绿"	"--"	"10.5"	"椭圆"	"--"	"--"	"--"	"--"	"绿"	"中"	"--"	"87-Kj-4"	"--"	"福建莆田市"	"Ⅱ4E0003"	"7-10"	"--"	"42.0"	"--"	"--"
"4"	"早"	"Cruciferae(十字花科)"	"--"	"三明三元白花芥兰"	"60"	"--"	"--"	"8.0"	"微甜"	"--"	"--"	"SAN MING SAN YUAN BAI HUA JIE LAN"	"锯齿"	"中"	"1500"	"3.5"	"--"	"Brassica(芸薹属)"	"V04E0004"	"--"	"Brassica alboglabra Bailey(芥蓝)"	"耐热"	"福州市蔬菜科研所"	"--"	"绿白"	"--"	"--"	"福建"	"浅绿"	"--"	"11.5"	"椭圆"	"--"	"--"	"--"	"--"	"浅绿"	"中"	"--"	"87-Kj-6"	"--"	"福建三明市"	"Ⅱ4E0004"	"7-10"	"--"	"27.0"	"--"	"--"
"5"	"晚"	"Cruciferae(十字花科)"	"--"	"官寮晚芥兰"	"60"	"--"	"--"	"2.4"	"甜"	"--"	"--"	"GUAN LIAO WAN JIE LAN"	"微波"	"脆嫩"	"2250"	"3.0"	"--"	"Brassica(芸薹属)"	"V04E0005"	"--"	"Brassica alboglabra Bailey(芥蓝)"	"耐热稍耐寒"	"广东农科院经作所"	"--"	"灰绿"	"--"	"--"	"广东"	"绿"	"--"	"20.0"	"卵圆"	"--"	"--"	"--"	"--"	"绿"	"强"	"--"	"G8-28"	"--"	"广东潮安县"	"Ⅱ4E0014"	"7-10"	"--"	"41.0"	"--"	"--"
"6"	"中"	"Cruciferae(十字花科)"	"--"	"孤老种芥兰"	"58"	"--"	"--"	"1.9"	"中"	"--"	"--"	"GU LAO ZHONG JIE LAN"	"微波"	"中"	"2000"	"3.0"	"--"	"Brassica(芸薹属)"	"V04E0006"	"--"	"Brassica alboglabra Bailey(芥蓝)"	"强"	"广东农科院经作所"	"--"	"绿白"	"--"	"--"	"广东"	"深绿"	"--"	"23.7"	"近圆"	"--"	"--"	"--"	"--"	"浅绿"	"强"	"--"	"G8-65"	"--"	"广东潮州市"	"Ⅱ4E0046"	"9-12"	"--"	"32.6"	"--"	"--"
"7"	"中"	"Cruciferae(十字花科)"	"--"	"中迟熟割枝芥兰"	"63"	"--"	"--"	"2.1"	"甜"	"--"	"--"	"ZHONG CHI SHU GE ZHI JIE LAN"	"微波"	"中"	"2000"	"3.0"	"--"	"Brassica(芸薹属)"	"V04E0007"	"--"	"Brassica alboglabra Bailey(芥蓝)"	"强"	"广东农科院经作所"	"--"	"绿白"	"--"	"--"	"广东"	"深绿"	"--"	"22.4"	"椭圆"	"--"	"--"	"--"	"--"	"绿白"	"强"	"--"	"G8-66"	"--"	"广东潮州市"	"Ⅱ4E0047"	"9-12"	"--"	"40.4"	"--"	"--"
"8"	"中"	"Cruciferae(十字花科)"	"--"	"尖叶芥兰"	"71"	"--"	"--"	"2.2"	"中"	"--"	"--"	"JIAN YE JIE LAN"	"微波"	"中"	"2000"	"3.0"	"--"	"Brassica(芸薹属)"	"V04E0008"	"--"	"Brassica alboglabra Bailey(芥蓝)"	"强"	"广东农科院经作所"	"--"	"绿白"	"--"	"--"	"广东"	"浅绿"	"--"	"31.8"	"椭圆"	"--"	"--"	"--"	"--"	"浅绿"	"强"	"--"	"G8-51"	"--"	"广东澄海县"	"Ⅱ4E0033"	"10-2"	"--"	"55.6"	"--"	"--"
"9"	"晚"	"Cruciferae(十字花科)"	"--"	"迟花割茎芥兰"	"78"	"--"	"--"	"2.2"	"中"	"--"	"--"	"CHI HUA GE JING JIE LAN"	"微波"	"中"	"2500"	"3.0"	"--"	"Brassica(芸薹属)"	"V04E0009"	"--"	"Brassica alboglabra Bailey(芥蓝)"	"强"	"广东农科院经作所"	"--"	"绿白"	"--"	"--"	"广东"	"绿"	"--"	"21.2"	"椭圆"	"--"	"--"	"--"	"--"	"浅绿"	"强"	"--"	"G8-52"	"--"	"广东澄海县"	"Ⅱ4E0034"	"10-2"	"--"	"36.2"	"--"	"--"
"10"	"晚"	"Cruciferae(十字花科)"	"--"	"老鼠耳晚芥兰"	"70"	"--"	"--"	"1.9"	"中"	"--"	"--"	"LAO SHU ER WAN JIE LAN"	"微波"	"中"	"2500"	"3.0"	"--"	"Brassica(芸薹属)"	"V04E0010"	"--"	"Brassica alboglabra Bailey(芥蓝)"	"强"	"广东农科院经作所"	"--"	"灰绿"	"--"	"--"	"广东"	"深绿"	"--"	"23.8"	"短椭圆"	"--"	"--"	"--"	"叶片很皱"	"浅绿"	"强"	"--"	"G8-54"	"--"	"广东澄海县"	"Ⅱ4E0036"	"10-2"	"--"	"40.4"	"--"	"--"
