"id"	"保存编号"	"品种名称"	"生育期"	"叶面"	"株幅"	"叶缘"	"单株叶数"	"栽培季节"	"叶形"	"叶柄长"	"亩产"	"译名"	"备注"	"叶长"	"叶宽"	"单株重"	"统一编号"	"保存单位"	"抗逆性"	"叶色"	"抗病虫性"	"种子来源"	"叶角"	"株高"	"叶柄色"	"种质库编号"
"1"	"B315"	"本地香菜"	"75"	"--"	"--"	"深缺刻"	"--"	"春3-5,秋8-10收"	"卵圆"	"--"	"1500"	"BEN DI XIANG CAI"	"*有特有香味"	"--"	"--"	"12.0"	"V09H0001"	"北京蔬菜研究中心"	"较耐寒.旱"	"绿"	"强"	"北京"	"--"	"30.0"	"浅绿"	"Ⅱ9H0001"
"2"	"甘Ⅱ9H001"	"芫荽"	"60"	"平滑"	"--"	"深缺刻"	"--"	"春-秋播"	"卵圆"	"--"	"500"	"YAN SUI"	"*特有香味浓"	"--"	"--"	"10.0"	"V09H0002"	"甘肃农科院蔬菜所"	"耐寒"	"绿"	"较强"	"甘肃"	"--"	"25.0"	"浅绿"	"Ⅱ9H0007"
"3"	"9-H-22-16"	"都匀芫荽"	"40"	"平滑"	"--"	"深缺刻"	"--"	"全年"	"--"	"--"	"350"	"DU YUN YAN SUI"	"*清香浓"	"--"	"--"	"--"	"V09H0003"	"贵州农科院园艺所"	"--"	"绿"	"中"	"贵州都匀市"	"--"	"--"	"紫"	"Ⅱ9H0025"
"4"	"9-H-22-21"	"贵阳芫荽"	"40"	"--"	"--"	"--"	"--"	"全年"	"--"	"--"	"350"	"GUI YANG YAN SUI"	"*"	"--"	"--"	"--"	"V09H0004"	"贵州农科院园艺所"	"较耐寒,热"	"深绿"	"中"	"贵州贵阳市"	"--"	"--"	"--"	"Ⅱ9H0011"
"5"	"9-H-22-17"	"金家山小叶芫荽"	"60"	"--"	"--"	"--"	"--"	"3下-4下,8下-11上"	"--"	"--"	"--"	"JIN JIA SHAN XIAO YE YAN SUI"	"--"	"--"	"--"	"12.3"	"V09H0005"	"贵州农科院园艺所"	"强"	"绿"	"强"	"贵州贵阳市"	"半直立"	"19.0"	"--"	"Ⅱ9H0054"
"6"	"9-H-22-10"	"兴仁芫荽"	"40"	"平滑"	"--"	"浅缺刻"	"--"	"全年"	"--"	"--"	"300"	"XING REN YAN SUI"	"*有清香味"	"--"	"--"	"--"	"V09H0006"	"贵州农科院园艺所"	"强"	"深绿"	"强"	"贵州兴仁县"	"--"	"--"	"绿"	"Ⅱ9H0061"
"7"	"9-H-22-14"	"紫杆芫荽"	"40"	"平滑"	"--"	"浅缺刻"	"--"	"全年"	"圆形"	"--"	"350"	"ZI GAN YAN SUI"	"*有清香味"	"--"	"--"	"--"	"V09H0007"	"贵州农科院园艺所"	"强"	"浅绿"	"较强"	"贵州遵义市"	"--"	"--"	"绿"	"Ⅱ9H0051"
"8"	"9-H-22-15"	"白杆大叶芫荽"	"70"	"平滑"	"--"	"--"	"--"	"3下-4下,8下-11下"	"--"	"--"	"--"	"BAI GAN DA YE YAN SUI"	"--"	"--"	"--"	"17.0"	"V09H0008"	"贵州农科院园艺所"	"强"	"深绿"	"强"	"贵州遵义市"	"半直立"	"35.5"	"--"	"Ⅱ9H0052"
"9"	"9-H-22-16"	"小叶芫荽"	"60"	"平滑"	"--"	"--"	"--"	"3下-4下,8下-11上"	"--"	"--"	"--"	"XIAO YE YAN SUI"	"--"	"--"	"--"	"13.0"	"V09H0009"	"贵州农科院园艺所"	"强"	"绿"	"强"	"贵州遵义市"	"半直立"	"21.0"	"--"	"Ⅱ9H0053"
"10"	"芫9号"	"芫荽"	"50"	"平滑"	"--"	"--"	"--"	"4月-6月,8月-10月"	"--"	"--"	"1500"	"YAN SUI"	"--"	"--"	"--"	"45.0"	"V09H0010"	"河北农科院蔬菜所"	"中"	"深绿"	"中"	"河北沧州市"	"半直立"	"32.0"	"绿"	"Ⅱ9H0010"
