"id"	"花球横径"	"熟性"	"科名"	"品种名称"	"花球品质"	"定植至始收"	"叶面蜡粉"	"花球形状"	"株幅"	"外叶数"	"省"	"单产"	"定植期"	"译名"	"花球纵径"	"播种期"	"属名"	"统一编号"	"花球紧实度"	"学名"	"抗逆性"	"耐旱性"	"繁种单位"	"收获期"	"叶色"	"耐寒性"	"抗虫性"	"叶形"	"耐涝性"	"贮藏性"	"备注"	"花球色"	"抗病性"	"球面茸毛"	"单位编号"	"茸毛色"	"品种来源"	"花球重"	"种质库编号"	"栽培时期"	"种子千粒重"	"株高"	"耐热性"
"1"	"--"	"早"	"Cruciferae(十字花科)"	"瑞士雪球"	"上"	"45"	"--"	"圆球"	"57.5"	"--"	"北京"	"1500"	"--"	"RUI SHI XUE QIU"	"--"	"--"	"Brassica(芸薹属)"	"V04C0001"	"紧"	"Brassica oleracea L. var. botrytis L.(花椰菜)"	"耐寒不耐热"	"--"	"北京蔬菜研究中心"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"引自尼泊尔"	"白"	"--"	"无"	"B331"	"--"	"北京"	"800.0"	"Ⅱ4C0074"	"3下-5中-6上"	"--"	"60.0"	"--"
"2"	"--"	"早"	"Cruciferae(十字花科)"	"法国菜花"	"上"	"45"	"--"	"圆球"	"57.5"	"--"	"北京"	"1500"	"--"	"FA GUO CAI HUA"	"--"	"--"	"Brassica(芸薹属)"	"V04C0002"	"紧"	"Brassica oleracea L. var. botrytis L.(花椰菜)"	"耐寒"	"--"	"北京蔬菜研究中心"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"--"	"无"	"B330"	"--"	"北京"	"800.0"	"Ⅱ4C0075"	"3下-5上-6上"	"--"	"55.0"	"--"
"3"	"--"	"早"	"Cruciferae(十字花科)"	"荷兰雪球"	"上"	"60"	"--"	"圆球"	"52.5"	"--"	"北京"	"1250"	"--"	"HE LAN XUE QIU"	"--"	"--"	"Brassica(芸薹属)"	"V04C0003"	"紧"	"Brassica oleracea L. var. botrytis L.(花椰菜)"	"耐热"	"--"	"北京蔬菜研究中心"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"引自上海"	"白"	"易感黑腐病"	"无"	"B329"	"--"	"北京"	"800.0"	"Ⅱ4C0076"	"7下8上-9下-10下"	"--"	"55.0"	"--"
"4"	"--"	"中"	"Cruciferae(十字花科)"	"成都二花"	"上"	"105"	"多"	"扁圆"	"80.0"	"--"	"四川"	"2000"	"--"	"CHENG DU ER HUA"	"--"	"--"	"Brassica(芸薹属)"	"V04C0004"	"紧"	"Brassica oleracea L. var. botrytis L.(花椰菜)"	"较强"	"--"	"成都市第一农科所"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"强"	"中"	"D2-015"	"白"	"四川成都市"	"1400.0"	"Ⅱ4C0019"	"7上-9上-12中下"	"--"	"61.0"	"--"
"5"	"--"	"晚"	"Cruciferae(十字花科)"	"成都大花"	"上"	"150"	"多"	"扁圆"	"91.0"	"--"	"四川"	"2750"	"--"	"CHENG DU DA HUA"	"--"	"--"	"Brassica(芸薹属)"	"V04C0005"	"紧"	"Brassica oleracea L. var. botrytis L.(花椰菜)"	"强"	"--"	"成都市第一农科所"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"强"	"中"	"D2-014"	"白"	"四川成都市"	"1800.0"	"Ⅱ4C0018"	"7上-9上-2"	"--"	"65.0"	"--"
"6"	"--"	"晚"	"Cruciferae(十字花科)"	"细茸100天花菜"	"中"	"95"	"--"	"扁圆"	"113.0"	"--"	"福建"	"700"	"--"	"XI RONG 100 TIAN HUA CAI"	"--"	"--"	"Brassica(芸薹属)"	"V04C0006"	"紧"	"Brassica oleracea L. var. botrytis L.(花椰菜)"	"中"	"--"	"福州市蔬菜科研所"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"黄白"	"强"	"--"	"88-KW-27"	"黄白"	"福建长乐县"	"2000.0"	"Ⅱ4C0059"	"10上10下-2下-3下"	"--"	"92.5"	"--"
"7"	"--"	"晚"	"Cruciferae(十字花科)"	"福州120天花菜"	"上"	"125"	"--"	"扁圆"	"85.0"	"--"	"福建"	"1650"	"--"	"FU ZHOU 120 TIAN HUA CAI"	"--"	"--"	"Brassica(芸薹属)"	"V04C0007"	"紧"	"Brassica oleracea L. var. botrytis L.(花椰菜)"	"耐寒"	"--"	"福州市蔬菜科研所"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"强"	"中"	"87-KW-25"	"白"	"福建福州市"	"1200.0"	"Ⅱ4C0010"	"(9中.12下)-(1中下.5上)"	"--"	"60.0"	"--"
"8"	"--"	"早"	"Cruciferae(十字花科)"	"福州30天花菜"	"差"	"30"	"--"	"扁圆"	"45.0"	"--"	"福建"	"400"	"--"	"FU ZHOU 30 TIAN HUA CAI"	"--"	"--"	"Brassica(芸薹属)"	"V04C0008"	"松"	"Brassica oleracea L. var. botrytis L.(花椰菜)"	"耐热"	"--"	"福州市蔬菜科研所"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"黄白"	"菜螟黄条跳岬为害"	"无"	"88-KW-19"	"白"	"福建福州市"	"200.0"	"Ⅱ4C0047"	"(7上.7中)-(8上.8中)"	"--"	"30.0"	"--"
"9"	"--"	"早"	"Cruciferae(十字花科)"	"福州60天花菜"	"上"	"65"	"--"	"扁圆"	"60.0"	"--"	"福建"	"1000"	"--"	"FU ZHOU 60 TIAN HUA CAI"	"--"	"--"	"Brassica(芸薹属)"	"V04C0009"	"中"	"Brassica oleracea L. var. botrytis L.(花椰菜)"	"耐热"	"--"	"福州市蔬菜科研所"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"菜螟黄条跳岬为害"	"少"	"87-KW-22"	"黄白"	"福建福州市"	"800.0"	"Ⅱ4C0011"	"(8中.9上)-(10下.11上)"	"--"	"40.0"	"--"
"10"	"--"	"晚"	"Cruciferae(十字花科)"	"福州100天花菜"	"上"	"100"	"--"	"扁圆"	"60.0"	"--"	"福建"	"1350"	"--"	"FU ZHOU 100 TIAN HUA CAI"	"--"	"--"	"Brassica(芸薹属)"	"V04C0010"	"紧"	"Brassica oleracea L. var. botrytis L.(花椰菜)"	"耐寒"	"--"	"福州市蔬菜科研所"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"中"	"少"	"88-KW-24"	"白"	"福建福州市"	"1000.0"	"Ⅱ4C0050"	"(10上.12上)-(1中.3中)"	"--"	"55.0"	"--"
