"id"	"含油量"	"蛋氨酸"	"科名"	"品种名称"	"谷氨酸"	"种子来源"	"棕榈酸"	"精氨酸"	"丙氨酸"	"单株生产率"	"酪氨酸"	"抗根结线虫"	"单位编号"	"类型"	"硬脂酸"	"组氨酸"	"属名"	"保存单位"	"山芋酸"	"亚油酸"	"苏氨酸"	"统一编号"	"抗叶黑斑"	"学名"	"选育方法"	"苯丙氨酸"	"胱氨酸"	"蛋白质含量"	"天冬氨酸"	"油酸"	"亮氨酸"	"库编号"	"株型"	"生育期"	"花生酸"	"省"	"百果重"	"抗青枯"	"甘氨酸"	"缬氨酸"	"色氨酸"	"抗叶褐斑"	"脯氨酸"	"百仁重"	"分枝型"	"抗旱"	"赖氨酸"	"出仁率"	"抗涝"	"丝氨酸"	"开花习性"	"译名"	"花生烯酸"	"病毒病"	"抗锈病"	"异亮氨酸"	"主茎高"
"1"	"48.02"	"--"	"Leguminosae(豆科)"	"北大一窝猴"	"--"	"北京市"	"11.52"	"--"	"--"	"--"	"--"	"HS"	"A001"	"多粒型"	"3.40"	"--"	"Arachis(落花生属)"	"北京市农科院作物所"	"0.92"	"39.60"	"--"	"Zh.h0001"	"MR"	"Arachis hypogaea L.(花生)"	"地方品种"	"--"	"--"	"30.43"	"--"	"39.94"	"--"	"I4A00787"	"直立"	"130"	"2.83"	"北京"	"100.0"	"HS"	"--"	"--"	"--"	"--"	"--"	"30.0"	"疏枝"	"--"	"--"	"69.30"	"弱"	"--"	"连续"	"BEI DA YI WO HOU"	"1.79"	"HS"	"MR"	"--"	"--"
"2"	"50.32"	"--"	"Leguminosae(豆科)"	"景农2号"	"--"	"河北景县"	"11.03"	"--"	"--"	"--"	"--"	"HS"	"A001"	"多粒型"	"4.71"	"--"	"Arachis(落花生属)"	"河北省唐山地区农科所"	"1.47"	"40.96"	"--"	"Zh.h0002"	"HS"	"Arachis hypogaea L.(花生)"	"系选"	"--"	"--"	"26.45"	"--"	"37.93"	"--"	"I4A01532"	"直立"	"140"	"2.80"	"河北"	"161.0"	"HS"	"--"	"--"	"--"	"HS"	"--"	"48.0"	"疏枝"	"弱"	"--"	"69.00"	"强"	"--"	"连续"	"JING NONG 2 HAO"	"1.10"	"HS"	"MR"	"--"	"--"
"3"	"58.12"	"--"	"Leguminosae(豆科)"	"抚宁多粒"	"--"	"河北抚宁县"	"11.30"	"--"	"--"	"--"	"--"	"HS"	"A002"	"多粒型"	"2.85"	"--"	"Arachis(落花生属)"	"河北省唐山地区农科所"	"3.15"	"42.50"	"--"	"Zh.h0003"	"MR"	"Arachis hypogaea L.(花生)"	"地方品种"	"--"	"--"	"29.80"	"--"	"33.65"	"--"	"I4A02738"	"直立"	"140"	"3.09"	"河北"	"160.0"	"HS"	"--"	"--"	"--"	"HR"	"--"	"48.0"	"疏枝"	"中"	"--"	"75.00"	"强"	"--"	"连续"	"FU NING DUO LI"	"3.47"	"HS"	"S"	"--"	"--"
"4"	"52.96"	"0.42"	"Leguminosae(豆科)"	"荣城小粒红"	"5.82"	"山东荣城县"	"10.48"	"3.20"	"1.08"	"--"	"0.94"	"HS"	"A001"	"多粒型"	"3.12"	"0.62"	"Arachis(落花生属)"	"山东省花生研究所"	"3.44"	"39.45"	"0.72"	"Zh.h0004"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.69"	"0.38"	"29.68"	"3.19"	"38.53"	"3.26"	"I4A01448"	"直立"	"133"	"2.05"	"山东"	"182.0"	"HS"	"1.53"	"1.27"	"--"	"HS"	"0.98"	"46.4"	"疏枝"	"--"	"0.97"	"71.60"	"--"	"1.28"	"连续"	"RONG CHENG XIAO LI HONG"	"1.28"	"HS"	"HS"	"0.95"	"--"
"5"	"51.46"	"0.41"	"Leguminosae(豆科)"	"文登小粒红"	"6.19"	"山东文登县"	"10.43"	"3.39"	"1.14"	"--"	"0.99"	"HS"	"A002"	"多粒型"	"3.29"	"0.66"	"Arachis(落花生属)"	"山东省花生研究所"	"3.11"	"38.87"	"0.75"	"Zh.h0005"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.57"	"0.53"	"30.75"	"3.40"	"39.62"	"3.49"	"I4A01449"	"直立"	"133"	"1.89"	"山东"	"187.0"	"HS"	"1.63"	"1.36"	"--"	"S"	"1.14"	"52.0"	"疏枝"	"--"	"1.13"	"70.80"	"--"	"1.35"	"连续"	"WEN DENG XIAO LI HONG"	"1.16"	"HS"	"HS"	"1.02"	"--"
"6"	"50.19"	"0.59"	"Leguminosae(豆科)"	"海阳四粒红"	"6.00"	"山东海阳县"	"10.52"	"3.29"	"1.12"	"--"	"1.02"	"HS"	"A003"	"多粒型"	"3.68"	"0.62"	"Arachis(落花生属)"	"山东省花生研究所"	"3.55"	"39.63"	"0.58"	"Zh.h0006"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.47"	"0.44"	"33.84"	"3.15"	"37.70"	"3.38"	"I4A00001"	"直立"	"133"	"2.02"	"山东"	"179.0"	"HS"	"1.53"	"1.31"	"--"	"S"	"0.55"	"52.0"	"疏枝"	"--"	"1.01"	"68.80"	"--"	"1.12"	"连续"	"HAI YANG SI LI HONG"	"1.24"	"HS"	"HS"	"1.10"	"--"
"7"	"50.16"	"0.40"	"Leguminosae(豆科)"	"福山红豆花生"	"5.65"	"山东福山县"	"11.05"	"3.12"	"1.10"	"--"	"1.17"	"HS"	"A004"	"多粒型"	"2.78"	"0.69"	"Arachis(落花生属)"	"山东省花生研究所"	"3.74"	"39.20"	"0.82"	"Zh.h0007"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.48"	"0.59"	"31.75"	"3.32"	"38.26"	"1.80"	"I4A00002"	"直立"	"133"	"1.77"	"山东"	"189.0"	"HS"	"1.55"	"1.70"	"--"	"HS"	"1.73"	"54.0"	"疏枝"	"--"	"1.05"	"67.60"	"--"	"1.43"	"连续"	"FU SHAN HONG DOU HUA SHENG"	"1.39"	"HS"	"HS"	"0.96"	"--"
"8"	"51.28"	"0.43"	"Leguminosae(豆科)"	"蓬莱小粒红皮"	"5.59"	"山东蓬莱县"	"10.72"	"3.07"	"1.03"	"--"	"0.91"	"HS"	"A005"	"多粒型"	"3.79"	"0.60"	"Arachis(落花生属)"	"山东省花生研究所"	"3.48"	"38.57"	"0.70"	"Zh.h0008"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.74"	"0.39"	"31.68"	"3.24"	"38.85"	"3.18"	"I4A00003"	"直立"	"133"	"1.98"	"山东"	"181.6"	"HS"	"1.51"	"1.23"	"--"	"HS"	"0.91"	"46.4"	"疏枝"	"--"	"1.02"	"69.60"	"--"	"1.25"	"连续"	"PENG LAI XIAO LI HONG PI"	"1.09"	"HS"	"HS"	"0.99"	"--"
"9"	"52.74"	"0.32"	"Leguminosae(豆科)"	"栖霞六猴花生"	"5.38"	"山东栖霞县"	"10.35"	"2.94"	"1.05"	"--"	"1.22"	"HS"	"A006"	"多粒型"	"3.57"	"0.67"	"Arachis(落花生属)"	"山东省花生研究所"	"3.14"	"38.43"	"0.79"	"Zh.h0009"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.41"	"0.40"	"28.50"	"3.13"	"39.96"	"1.73"	"I4A00004"	"直立"	"133"	"2.00"	"山东"	"177.0"	"HS"	"1.57"	"1.26"	"--"	"HS"	"1.20"	"52.1"	"疏枝"	"--"	"1.03"	"68.00"	"--"	"1.37"	"连续"	"QI XIA LIU HOU HUA SHENG"	"1.06"	"HS"	"HS"	"0.88"	"--"
"10"	"51.13"	"0.40"	"Leguminosae(豆科)"	"栖霞糠皮三粒红"	"5.96"	"山东栖霞县"	"10.83"	"3.33"	"1.11"	"--"	"0.95"	"HS"	"A007"	"多粒型"	"3.27"	"0.62"	"Arachis(落花生属)"	"山东省花生研究所"	"3.63"	"38.20"	"0.73"	"Zh.h0010"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.91"	"0.47"	"28.53"	"3.27"	"38.47"	"3.35"	"I4A00005"	"直立"	"133"	"2.57"	"山东"	"178.2"	"HS"	"1.53"	"1.31"	"--"	"S"	"1.02"	"48.0"	"疏枝"	"--"	"1.09"	"69.80"	"--"	"1.37"	"连续"	"QI XIA KANG PI SAN LI HONG"	"1.43"	"HS"	"HS"	"0.98"	"--"
