"id"	"保存编号"	"品种名称"	"叶色"	"叶柄肉质"	"生育期"	"抗逆性"	"风味"	"叶柄长"	"亩产"	"译名"	"备注"	"单株重"	"统一编号"	"保存单位"	"叶柄宽"	"抗病虫性"	"叶柄厚"	"种子来源"	"叶柄断面"	"株高"	"叶柄色"	"种质库编号"	"栽培季节"
"1"	"Ag5(86)"	"涧沟集芹菜"	"绿"	"脆嫩"	"130"	"强"	"浓"	"45.0"	"1000"	"JIAN GOU JI QIN CAI"	"--"	"100.0"	"V09B0001"	"安徽农科院园艺所"	"1.1"	"强"	"0.7"	"安徽寿县"	"空心"	"60.0"	"浅绿"	"Ⅱ9B0017"	"6下-11上"
"2"	"Ag9(87)"	"白杆芹"	"绿"	"脆嫩"	"160"	"耐寒不耐热"	"浓"	"40.0"	"875"	"BAI GAN QIN"	"--"	"90.0"	"V09B0002"	"安徽农科院园艺所"	"1.2"	"较强"	"0.6"	"安徽舒城县"	"空心"	"60.0"	"白"	"Ⅱ9B0172"	"6下-12上"
"3"	"B299"	"铁杆青"	"绿"	"--"	"165"	"耐旱耐热"	"浓"	"37.0"	"--"	"TIE GAN QING"	"--"	"225.0"	"V09B0003"	"北京蔬菜研究中心"	"3.4"	"抗病"	"0.8"	"北京朝阳区小红门"	"实心"	"50.0"	"--"	"Ⅱ9B0030"	"冬-夏"
"4"	"87-GN-2"	"福清白梗芹菜"	"绿"	"--"	"100"	"中"	"--"	"46.0"	"1750"	"FU QING BAI GENG QIN CAI"	"--"	"40.0"	"V09B0004"	"福州市蔬菜科研所"	"0.4"	"中"	"0.3"	"福建福清县"	"空心"	"61.0"	"浅绿"	"Ⅱ9B0016"	"8下-9下,10中-4下"
"5"	"87-GN-5"	"福州白梗芹菜"	"浅绿"	"--"	"100"	"中"	"--"	"51.0"	"1500"	"FU ZHOU BAI GENG QIN CAI"	"--"	"40.0"	"V09B0005"	"福州市蔬菜科研所"	"0.4"	"中"	"0.3"	"福建福州市"	"空心"	"61.0"	"浅黄"	"Ⅱ9B0014"	"8下-10中,9下-4下"
"6"	"87-GN-1"	"大富芹菜"	"浅绿"	"--"	"100"	"弱"	"--"	"35.0"	"625"	"DA FU QIN CAI"	"--"	"20.0"	"V09B0006"	"福州市蔬菜科研所"	"0.5"	"中"	"0.5"	"福建明溪县"	"空心"	"50.0"	"白"	"Ⅱ9B0015"	"6下-10上,8中-2下"
"7"	"甘Ⅱ9B005"	"实杆芹"	"绿"	"中等"	"95"	"耐寒中不耐旱"	"中"	"40.0"	"2500"	"SHI GAN QIN"	"--"	"85.0"	"V09B0007"	"甘肃农科院蔬菜所"	"1.0"	"强"	"0.6"	"甘肃兰州市"	"实心"	"85.0"	"浅绿"	"Ⅱ9B0005"	"3下-6中"
"8"	"甘Ⅱ9B004"	"空杆绿芹"	"绿"	"脆嫩"	"100"	"耐寒不耐旱"	"浓"	"40.0"	"2000"	"KONG GAN LU QIN"	"--"	"60.0"	"V09B0008"	"甘肃农科院蔬菜所"	"1.0"	"强"	"0.7"	"甘肃民乐县"	"空心"	"90.0"	"浅绿"	"Ⅱ9B0040"	"3下-6中"
"9"	"甘Ⅱ9B001"	"白芹"	"浅绿"	"脆嫩"	"80"	"耐寒热"	"中"	"30.0"	"2500"	"BAI QIN"	"--"	"60.0"	"V09B0009"	"甘肃农科院蔬菜所"	"0.9"	"较强"	"0.5"	"甘肃文县"	"空心"	"55.0"	"白"	"Ⅱ9B0233"	"8月-10上"
"10"	"甘Ⅱ9B002"	"武都芹菜"	"绿"	"中等"	"80"	"耐寒"	"中"	"30.0"	"1000"	"WU DU QIN CAI"	"--"	"50.0"	"V09B0010"	"甘肃农科院蔬菜所"	"0.8"	"强"	"0.6"	"甘肃武都县"	"空心"	"60.0"	"浅绿"	"Ⅱ9B0164"	"8-10上"
"11"	"甘Ⅱ9B003"	"泾川芹菜"	"绿"	"脆嫩"	"85"	"耐寒不耐旱"	"浓"	"40.0"	"2000"	"JING CHUAN QIN CAI"	"--"	"75.0"	"V09B0011"	"甘肃农科院蔬菜所"	"0.8"	"强"	"0.6"	"甘肃泾川县"	"空心"	"85.0"	"浅绿"	"Ⅱ9B0039"	"--"
"12"	"G66-11"	"澄海芹菜"	"绿"	"中等"	"105"	"强"	"浓"	"29.5"	"1500"	"CHENG HAI QIN CAI"	"--"	"450.0"	"V09B0012"	"广东农科院经作所"	"3.5"	"强"	"0.3"	"广东澄海县"	"空心"	"32.0"	"浅绿"	"Ⅱ9B0177"	"7-9"
"13"	"G66-2"	"白梗芹菜"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"BAI GENG QIN CAI"	"--"	"--"	"V09B0013"	"广东农科院经作所"	"--"	"--"	"--"	"广东广州市"	"--"	"82.0"	"--"	"Ⅱ9B0049"	"--"
"14"	"G66-7"	"白梗芹菜"	"浅绿"	"中等"	"130"	"强"	"浓"	"30.5"	"1750"	"BAI GENG QIN CAI"	"--"	"500.0"	"V09B0014"	"广东农科院经作所"	"4.2"	"强"	"0.3"	"广东鹤山县"	"空心"	"48.0"	"浅绿"	"Ⅱ9B0051"	"8-10"
"15"	"G66-8"	"青梗芹菜"	"绿"	"中等"	"120"	"强"	"浓"	"27.0"	"1250"	"QING GENG QIN CAI"	"--"	"200.0"	"V09B0015"	"广东农科院经作所"	"3.5"	"强"	"0.2"	"广东鹤山县"	"空心"	"37.0"	"浅绿"	"Ⅱ9B0052"	"10-12"
"16"	"G66-12"	"炭陟香芹"	"绿"	"中等"	"105"	"强"	"浓"	"29.0"	"1000"	"TAN ZHI XIANG QIN"	"--"	"400.0"	"V09B0016"	"广东农科院经作所"	"3.9"	"强"	"0.3"	"广东花县"	"空心"	"34.0"	"浅绿"	"Ⅱ9B0178"	"7-9"
"17"	"G66-10"	"饶平白芹"	"绿"	"中等"	"120"	"强"	"浓"	"31.0"	"1500"	"RAO PING BAI QIN"	"--"	"450.0"	"V09B0017"	"广东农科院经作所"	"3.1"	"强"	"0.3"	"广东饶平县"	"空心"	"31.0"	"浅绿"	"Ⅱ9B0110"	"8-10"
"18"	"G66-9"	"青系四芹13号"	"绿"	"脆嫩"	"120"	"强"	"淡"	"19.0"	"3273"	"QING XI SI QIN 13 HAO"	"--"	"975.0"	"V09B0020"	"广东农科院经作所"	"1.8"	"强"	"0.9"	"广东引自上海"	"实心"	"47.5"	"浅绿"	"Ⅱ9B0132"	"8-10"
