"id"	"保存编号"	"品种名称"	"生长状态"	"叶面"	"种子来源"	"生育期"	"抗逆性"	"叶形"	"亩产"	"茸毛"	"译名"	"备注"	"叶缘"	"单株重"	"统一编号"	"保存单位"	"抗病虫性"	"叶色"	"茎色"	"叶角"	"株高"	"种质库编号"	"栽培季节"
"1"	"At15(80)"	"大青叶苋"	"直立"	"平滑"	"安徽合肥市"	"140"	"强"	"长卵"	"850"	"无"	"DA QING YE XIAN"	"鲜食嫩茎叶"	"--"	"160.0"	"V09C0001"	"安徽农科院园艺所"	"强"	"绿"	"绿"	"--"	"46.0"	"Ⅱ9C0068"	"4上-8下"
"2"	"At8(80)"	"尖叶大红苋"	"直立"	"平滑"	"安徽合肥市"	"130"	"强"	"长卵"	"1000"	"无"	"JIAN YE DA HONG XIAN"	"鲜食嫩茎叶"	"--"	"120.0"	"V09C0002"	"安徽农科院园艺所"	"强"	"紫"	"紫"	"--"	"35.0"	"Ⅱ9C0061"	"4上-8中"
"3"	"At12(80)"	"红荷叶苋"	"--"	"微皱"	"安徽合肥市"	"35"	"耐热,旱"	"卵圆"	"1750"	"--"	"HONG HE YE XIAN"	"*质糯味浓,组织易老"	"全缘"	"--"	"V09C0003"	"安徽农科院园艺所"	"--"	"紫"	"紫"	"--"	"50.0"	"Ⅱ9C0065"	"3下播4下收"
"4"	"At1(85)"	"花荷包苋"	"直立"	"平滑"	"安徽合肥市"	"130"	"强"	"卵圆"	"750"	"无"	"HUA HE BAO XIAN"	"鲜食嫩茎叶"	"--"	"155.0"	"V09C0004"	"安徽农科院园艺所"	"强"	"浅绿"	"浅紫"	"--"	"20.0"	"Ⅱ9C0003"	"4上-8中"
"5"	"At2(81)"	"花叶苋"	"--"	"皱缩"	"安徽淮北市"	"40"	"耐热"	"长卵"	"1000"	"--"	"HUA YE XIAN"	"*质柔嫩"	"全缘"	"--"	"V09C0005"	"安徽农科院园艺所"	"--"	"绿"	"浅绿"	"--"	"50.0"	"Ⅱ9C0001"	"3至5播4至6始收"
"6"	"At7(80)"	"蛤蟆苋"	"--"	"皱缩"	"安徽淮南市"	"35"	"耐热,旱"	"卵圆"	"1125"	"--"	"GE MA XIAN"	"*"	"全缘"	"--"	"V09C0006"	"安徽农科院园艺所"	"--"	"绿"	"浅绿"	"--"	"57.0"	"Ⅱ9C0060"	"4上播5中始收"
"7"	"At3(81)"	"紫叶苋(胭脂苋)"	"矮生"	"微皱"	"安徽庐江县"	"38"	"耐寒热旱"	"长卵"	"750"	"无"	"ZI YE XIAN (YAN ZHI XIAN )"	"--"	"全缘"	"80.0"	"V09C0007"	"安徽农科院园艺所"	"--"	"深紫"	"紫"	"--"	"20.0"	"Ⅱ9C0002"	"3下-5上"
"8"	"At9(80)"	"观音米苋"	"--"	"微皱"	"安徽马鞍山市"	"40"	"耐热,旱"	"卵圆"	"1000"	"--"	"GUAN YIN MI XIAN"	"*味浓"	"全缘"	"--"	"V09C0008"	"安徽农科院园艺所"	"--"	"绿"	"紫"	"--"	"16.0"	"Ⅱ9C0062"	"4上播5中收"
"9"	"At14(80)"	"绿尖叶苋"	"直立"	"平滑"	"安徽宁国县"	"130"	"强"	"卵圆"	"1250"	"无"	"LU JIAN YE XIAN"	"鲜食嫩茎叶"	"--"	"170.0"	"V09C0009"	"安徽农科院园艺所"	"强"	"紫"	"紫"	"--"	"35.0"	"Ⅱ9C0067"	"4上-8中"
"10"	"At13(80)"	"大紫苋菜"	"--"	"皱缩"	"安徽铜陵市"	"35"	"耐热,旱"	"长卵"	"1750"	"--"	"DA ZI XIAN CAI"	"*品质优良,味浓"	"缺刻"	"--"	"V09C0010"	"安徽农科院园艺所"	"--"	"绿"	"浅绿"	"--"	"32.0"	"Ⅱ9C0066"	"3下播4下始收"
"11"	"At4(81)"	"红芝麻苋"	"--"	"皱缩"	"安徽铜陵市"	"35"	"耐热,旱"	"长卵"	"--"	"--"	"HONG ZHI MA XIAN"	"*易抽薹,嫩株纤维较多"	"缺刻"	"--"	"V09C0011"	"安徽农科院园艺所"	"--"	"红"	"浅绿"	"--"	"29.0"	"Ⅱ9C0004"	"3下播4下始收"
"12"	"At5(81)"	"青芝麻苋"	"--"	"皱缩"	"安徽铜陵市"	"35"	"耐热,旱"	"长卵"	"--"	"--"	"QING ZHI MA XIAN"	"*易抽薹,嫩株纤维较多"	"缺刻"	"--"	"V09C0012"	"安徽农科院园艺所"	"--"	"绿"	"浅绿"	"--"	"25.0"	"Ⅱ9C0005"	"3下播4下始收"
"13"	"At16(80)"	"绿尖叶苋"	"矮生"	"较皱"	"安徽铜陵市"	"35"	"耐旱"	"长卵"	"875"	"--"	"LU JIAN YE XIAN"	"--"	"缺刻"	"60.0"	"V09C0013"	"安徽农科院园艺所"	"--"	"绿"	"浅绿"	"半横展"	"37.0"	"Ⅱ9C0120"	"夏3下-4下"
"14"	"At10(80)"	"花叶芝麻苋"	"矮生"	"较皱"	"安徽铜陵市"	"30"	"耐热旱"	"长卵"	"1000"	"无"	"HUA YE ZHI MA XIAN"	"--"	"缺刻"	"70.0"	"V09C0014"	"安徽农科院园艺所"	"--"	"--"	"浅绿"	"--"	"22.0"	"Ⅱ9C0063"	"3下-4下"
"15"	"At11(80)"	"红尖叶苋(红鸡毛)"	"--"	"皱缩"	"安徽铜陵市"	"35"	"耐热,旱"	"长卵"	"2000"	"--"	"HONG JIAN YE XIAN (HONG JI MAO )"	"*品质优良"	"全缘"	"--"	"V09C0015"	"安徽农科院园艺所"	"--"	"绿"	"绿"	"--"	"30.0"	"Ⅱ9C0064"	"3下播4下始收"
"16"	"At6(80)"	"红边苋菜"	"直立"	"平滑"	"安徽园艺所"	"130"	"强"	"长卵"	"1000"	"无"	"HONG BIAN XIAN CAI"	"鲜食嫩茎叶"	"缺刻"	"150.0"	"V09C0016"	"安徽农科院园艺所"	"强"	"浅绿"	"浅绿"	"--"	"30.0"	"Ⅱ9C0059"	"4下-9中"
