"id"	"耐旱性"	"科名"	"保存编号"	"库编号"	"锈脚"	"原产地"	"鲜皮厚度"	"叶色"	"雌蕾色"	"根型"	"花叶病"	"麻骨色"	"原麻产量"	"叶形"	"备注"	"分株力"	"雌蕾现蕾期"	"蔸型"	"译名"	"单纤维强力"	"生长整齐度"	"品种名称"	"生长均匀度"	"抗风性"	"工艺成熟天"	"叶面皱纹"	"省"	"学名"	"统一编号"	"雌花开花期"	"保存单位"	"单纤支数"	"属名"	"鲜皮出麻率"	"种子来源"	"株高"	"有效株率"	"茎粗"	"单位编号"	"米色"	"抽穗日数"	"北纬"	"粒色"	"高程"	"单株秆重"	"粗蛋白"	"东经"	"主茎节数"	"刺毛长度"	"单株粒重"	"蚕豆"	"脂肪酸160"
"1"	"强"	"Urticaceae(荨麻科)"	"56"	"56"	"短"	"粤乐昌县"	"0.63"	"绿"	"黄白"	"深"	"MR"	"黄白"	"90.0"	"尖椭"	"--"	"中"	"9月下旬"	"丛生"	"huangpizhu"	"57.3"	"整齐"	"黄皮苎"	"均匀"	"中"	"197"	"多"	"广东"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00001"	"10月上旬"	"中国农科院麻类所"	"1635"	"Boehmeria(苎麻属)"	"10.2"	"粤乐昌县"	"168.0"	"79.4"	"1.01"														
"2"	"强"	"Urticaceae(荨麻科)"	"57"	"57"	"短"	"粤乐昌县"	"0.69"	"绿"	"黄白"	"深"	"MS"	"黄白"	"70.0"	"尖椭"	"--"	"弱"	"9月下旬"	"丛生"	"qingpizhu"	"47.3"	"整齐"	"青皮苎"	"均匀"	"强"	"200"	"多"	"广东"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00002"	"10月中旬"	"中国农科院麻类所"	"1843"	"Boehmeria(苎麻属)"	"9.3"	"粤乐昌县"	"148.0"	"78.1"	"0.98"														
"3"	"中"	"Urticaceae(荨麻科)"	"58"	"58"	"长"	"粤乐昌县"	"0.74"	"绿"	"黄白"	"深"	"R"	"黄白"	"90.0"	"尖椭"	"--"	"中"	"9月中旬"	"丛生"	"qizhu"	"50.4"	"不整齐"	"歧苎"	"不均匀"	"中"	"204"	"少"	"广东"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00003"	"9月下旬"	"中国农科院麻类所"	"1509"	"Boehmeria(苎麻属)"	"12.6"	"粤乐昌县"	"159.0"	"70.9"	"1.03"														
"4"	"弱"	"Urticaceae(荨麻科)"	"59"	"59"	"短"	"粤保亭县"	"0.57"	"深绿"	"淡红"	"深"	"I"	"绿白"	"90.0"	"卵圆"	"--"	"中"	"9月中旬"	"丛生"	"qingmazhu"	"32.1"	"整齐"	"青麻苎"	"较均匀"	"弱"	"198"	"少"	"广东"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00004"	"9月下旬"	"中国农科院麻类所"	"2108"	"Boehmeria(苎麻属)"	"10.5"	"粤保亭县"	"131.0"	"71.0"	"0.83"														
"5"	"强"	"Urticaceae(荨麻科)"	"60"	"60"	"短"	"粤保亭县"	"0.79"	"绿"	"红"	"深"	"R"	"黄白"	"100.0"	"卵圆"	"--"	"弱"	"8月下旬"	"丛生"	"huangmazhu"	"42.7"	"不整齐"	"黄麻苎"	"不均匀"	"弱"	"176"	"少"	"广东"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00005"	"9月中旬"	"中国农科院麻类所"	"2020"	"Boehmeria(苎麻属)"	"9.2"	"粤保亭县"	"150.0"	"78.8"	"0.99"														
"6"	"强"	"Urticaceae(荨麻科)"	"66"	"61"	"短"	"桂平乐县"	"1.09"	"深绿"	"深红"	"深"	"R"	"绿白"	"165.2"	"卵圆"	"--"	"弱"	"9月中旬"	"丛生"	"heipidou"	"27.9"	"较整齐"	"黑皮蔸"	"较均匀"	"中"	"172"	"多"	"广西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00006"	"9月下旬"	"桂林地区农科所"	"1970"	"Boehmeria(苎麻属)"	"13.5"	"桂平乐县"	"161.0"	"73.6"	"1.05"														
"7"	"中"	"Urticaceae(荨麻科)"	"2"	"155"	"短"	"桂平乐县"	"0.92"	"绿"	"淡红"	"浅"	"R"	"绿白"	"81.2"	"近圆"	"--"	"中"	"9月中旬"	"串生"	"mandichuan"	"29.1"	"较整齐"	"满地串"	"较均匀"	"中"	"182"	"少"	"广西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00007"	"9月下旬"	"桂林地区农科所"	"1823"	"Boehmeria(苎麻属)"	"11.7"	"桂平乐县"	"125.0"	"66.5"	"0.86"														
"8"	"中"	"Urticaceae(荨麻科)"	"59"	"153"	"短"	"桂平乐县"	"0.92"	"黄绿"	"淡红"	"浅"	"R"	"绿白"	"85.4"	"近圆"	"--"	"中"	"9月中旬"	"串生"	"huangjinma"	"36.0"	"整齐"	"黄金麻"	"均匀"	"弱"	"174"	"少"	"广西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00008"	"9月下旬"	"桂林地区农科所"	"1666"	"Boehmeria(苎麻属)"	"12.1"	"桂平乐县"	"125.0"	"65.5"	"0.90"														
"9"	"强"	"Urticaceae(荨麻科)"	"63"	"64"	"短"	"桂平乐县"	"0.82"	"深绿"	"红"	"深"	"MR"	"绿白"	"119.9"	"卵圆"	"--"	"弱"	"9月上旬"	"丛生"	"hongyadou"	"38.0"	"较整齐"	"红芽蔸"	"较均匀"	"弱"	"188"	"多"	"广西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00009"	"9月下旬"	"桂林地区农科所"	"1562"	"Boehmeria(苎麻属)"	"12.1"	"桂平乐县"	"153.0"	"68.9"	"1.06"														
"10"	"强"	"Urticaceae(荨麻科)"	"56"	"589"	"短"	"桂平乐县"	"0.84"	"绿"	"深红"	"深"	"M"	"绿白"	"128.9"	"卵圆"	"--"	"弱"	"9月上旬"	"丛生"	"huangpima"	"40.1"	"较整齐"	"黄皮麻"	"较均匀"	"中"	"174"	"多"	"广西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00010"	"9月下旬"	"桂林地区农科所"	"1731"	"Boehmeria(苎麻属)"	"11.3"	"桂平乐县"	"169.0"	"69.1"	"1.08"														
