"id"	"科名"	"种子含油率"	"果穗数"	"产地或来源"	"库编号"	"分枝数"	"编号"	"千粒重"	"单株产量"	"类型"	"粒色"	"生育日数"	"译名"	"备注"	"省"	"品种名称"	"茎节数"	"播种期"	"学名"	"统一编号"	"主穗长"	"保存单位"	"属名"	"选育方法"	"株高"
"1"	"Labiatae(唇形科)"	"50.3"	"138"	"辽宁省"	"I4D00087"	"27.9"	"084"	"3.7"	"20.7"	"白苏"	"粉色"	"145"	"LIAO SU 1 HAO"	"--"	"辽宁"	"辽苏1号"	"15.3"	"4/20"	"Perilla frutescens L. Britt.(苏子)"	"00000001"	"13.80"	"辽宁省农科院"	"Perilla(紫苏属)"	"农家种"	"191"
"2"	"Labiatae(唇形科)"	"47.1"	"254"	"辽宁省"	"I4D00088"	"27.7"	"059"	"3.7"	"24.3"	"白苏"	"灰粉"	"151"	"LIAO SU 2 HAO"	"--"	"辽宁"	"辽苏2号"	"15.0"	"4/20"	"Perilla frutescens L. Britt.(苏子)"	"00000002"	"14.40"	"辽宁省农科院"	"Perilla(紫苏属)"	"农家种"	"193"
"3"	"Labiatae(唇形科)"	"46.5"	"257"	"辽宁省"	"I4D00089"	"26.2"	"060"	"3.9"	"19.9"	"白苏"	"灰粉"	"151"	"LIAO SU 3 HAO"	"--"	"辽宁"	"辽苏3号"	"13.9"	"4/20"	"Perilla frutescens L. Britt.(苏子)"	"00000003"	"16.80"	"辽宁省农科院"	"Perilla(紫苏属)"	"农家种"	"192"
"4"	"Labiatae(唇形科)"	"46.5"	"193"	"辽宁省"	"I4D00090"	"27.9"	"083"	"4.0"	"20.3"	"白苏"	"灰白"	"157"	"LIAO SU 4 HAO"	"--"	"辽宁"	"辽苏4号"	"16.8"	"4/20"	"Perilla frutescens L. Britt.(苏子)"	"00000004"	"15.10"	"辽宁省农科院"	"Perilla(紫苏属)"	"农家种"	"167"
"5"	"Labiatae(唇形科)"	"46.4"	"289"	"辽宁省"	"I4D00091"	"27.9"	"089"	"3.8"	"15.6"	"白苏"	"灰褐"	"153"	"LIAO SU 5 HAO"	"--"	"辽宁"	"辽苏5号"	"15.5"	"4/20"	"Perilla frutescens L. Britt.(苏子)"	"00000005"	"13.20"	"辽宁省农科院"	"Perilla(紫苏属)"	"农家种"	"217"
"6"	"Labiatae(唇形科)"	"49.2"	"252"	"辽宁省"	"I4D00092"	"29.1"	"043"	"4.6"	"31.4"	"白苏"	"灰褐"	"153"	"LIAO SU 6 HAO"	"--"	"辽宁"	"辽苏6号"	"17.0"	"4/20"	"Perilla frutescens L. Britt.(苏子)"	"00000006"	"15.80"	"辽宁省农科院"	"Perilla(紫苏属)"	"农家种"	"207"
"7"	"Labiatae(唇形科)"	"47.9"	"158"	"辽宁省"	"I4D00093"	"28.5"	"047"	"4.0"	"22.6"	"白苏"	"灰褐"	"154"	"LIAO SU 7 HAO"	"--"	"辽宁"	"辽苏7号"	"15.9"	"4/20"	"Perilla frutescens L. Britt.(苏子)"	"00000007"	"13.20"	"辽宁省农科院"	"Perilla(紫苏属)"	"农家种"	"191"
"8"	"Labiatae(唇形科)"	"47.9"	"143"	"辽宁省"	"I4D00094"	"27.7"	"071"	"3.8"	"24.3"	"白苏"	"灰褐"	"157"	"LIAO SU 8 HAO"	"--"	"辽宁"	"辽苏8号"	"15.3"	"4/20"	"Perilla frutescens L. Britt.(苏子)"	"00000008"	"13.00"	"辽宁省农科院"	"Perilla(紫苏属)"	"农家种"	"182"
"9"	"Labiatae(唇形科)"	"44.4"	"191"	"辽宁省"	"I4D00095"	"28.5"	"088"	"3.8"	"23.2"	"白苏"	"灰白"	"154"	"LIAO SU 9 HAO"	"--"	"辽宁"	"辽苏9号"	"15.3"	"4/20"	"Perilla frutescens L. Britt.(苏子)"	"00000009"	"11.90"	"辽宁省农科院"	"Perilla(紫苏属)"	"农家种"	"187"
"10"	"Labiatae(唇形科)"	"43.2"	"200"	"辽宁省"	"I4D00096"	"28.4"	"007"	"4.1"	"20.7"	"白苏"	"灰白"	"159"	"LIAO SU 10 HAO"	"--"	"辽宁"	"辽苏10号"	"16.7"	"4/20"	"Perilla frutescens L. Britt.(苏子)"	"00000010"	"16.30"	"辽宁省农科院"	"Perilla(紫苏属)"	"农家种"	"173"
"11"	"Labiatae(唇形科)"	"46.1"	"137"	"辽宁省"	"I4D00097"	"26.4"	"066"	"4.0"	"18.4"	"白苏"	"粉灰"	"139"	"LIAO SU 11 HAO"	"--"	"辽宁"	"辽苏11号"	"15.3"	"4/20"	"Perilla frutescens L. Britt.(苏子)"	"00000011"	"14.60"	"辽宁省农科院"	"Perilla(紫苏属)"	"农家种"	"197"
"12"	"Labiatae(唇形科)"	"45.9"	"180"	"辽宁省"	"I4D00098"	"20.7"	"075"	"3.4"	"15.7"	"白苏"	"粉色"	"132"	"LIAO SU 12 HAO"	"--"	"辽宁"	"辽苏12号"	"11.3"	"4/20"	"Perilla frutescens L. Britt.(苏子)"	"00000012"	"11.60"	"辽宁省农科院"	"Perilla(紫苏属)"	"农家种"	"139"
