"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"瓜刺多少"	"肉质"	"雌首花节位"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"1"	"中"	"88-KF-12"	"长汀苦瓜"	"攀援蔓生"	"CHANG TING KU GUA"	"0.4"	"90"	"无"	"强"	"抗"	"绿"	"--"	"掌状"	"苦"	"--"	"1000"	"桔黄色"	"--"	"椭圆形"	"--"	"疏松软"	"7"	"V05G0002"	"福州市蔬菜科研所"	"中"	"Ⅱ5E0040"	"福建长汀县"	"--"	"--"	"--"	"具瘤"
"2"	"晚"	"88-KF-1"	"福安苦瓜"	"葡匐蔓生"	"FU AN KU GUA"	"0.4"	"170"	"少"	"强"	"中"	"绿"	"--"	"掌状"	"苦"	"--"	"450"	"红色"	"--"	"椭圆形"	"--"	"软"	"12"	"V05G0003"	"福州市蔬菜科研所"	"中"	"Ⅱ5E0037"	"福建福安县"	"--"	"2中-6上"	"--"	"具瘤"
"3"	"中"	"88-KF-20-1"	"光泽米黄苦瓜"	"攀援蔓生"	"GUANG ZE MI HUANG KU GUA"	"0.3"	"90"	"少"	"强"	"抗"	"黄"	"--"	"掌状"	"苦"	"--"	"1250"	"桔黄色"	"--"	"长曲条"	"--"	"致密脆"	"15"	"V05G0004"	"福州市蔬菜科研所"	"强"	"Ⅱ5E0043"	"福建光泽县"	"--"	"--"	"--"	"具瘤"
"4"	"中"	"88-KF-10"	"龙岩短苦瓜"	"攀援蔓生"	"LONG YAN DUAN KU GUA"	"0.2"	"115"	"无"	"强"	"抗"	"绿"	"--"	"掌状"	"苦"	"--"	"400"	"桔黄色"	"--"	"椭圆形"	"--"	"致密脆"	"9"	"V05G0005"	"福州市蔬菜科研所"	"强"	"Ⅱ5E0039"	"福建龙岩市"	"--"	"--"	"--"	"具瘤"
"5"	"中"	"89-KF-25"	"南平西芹长条苦瓜"	"攀援蔓生"	"NAN PING XI QIN CHANG TIAO KU GUA"	"0.7"	"85"	"少"	"强"	"抗"	"绿"	"--"	"掌状"	"苦"	"--"	"875"	"桔黄色"	"--"	"圆柱形"	"--"	"--"	"9"	"V05G0006"	"福州市蔬菜科研所"	"中"	"Ⅱ5E0080"	"福建南平市"	"--"	"3中-4上,7中-8下"	"--"	"具瘤"
"6"	"中"	"88-KF-13"	"南平青苦瓜"	"攀援蔓生"	"NAN PING QING KU GUA"	"0.3"	"110"	"无"	"强"	"抗"	"绿"	"--"	"掌状"	"苦"	"--"	"1250"	"桔黄色"	"--"	"长曲条"	"--"	"致密脆"	"20"	"V05G0007"	"福州市蔬菜科研所"	"中"	"Ⅱ5E0041"	"福建南平市"	"--"	"--"	"--"	"--"
"7"	"中"	"88-KF-22"	"宁德县苦瓜"	"攀援蔓生"	"NING DE XIAN KU GUA"	"0.2"	"100"	"少"	"强"	"抗"	"绿"	"--"	"掌状"	"苦"	"--"	"1500"	"桔黄色"	"--"	"椭圆形"	"--"	"软"	"5"	"V05G0008"	"福州市蔬菜科研所"	"中"	"Ⅱ5E0044"	"福建宁德县"	"--"	"--"	"--"	"具瘤"
"8"	"早"	"88-KF-8"	"莆田苦瓜"	"攀援蔓生"	"PU TIAN KU GUA"	"0.4"	"70"	"少"	"强"	"中"	"绿"	"--"	"掌状"	"中"	"--"	"1625"	"桔黄色"	"--"	"椭圆形"	"--"	"软"	"2"	"V05G0009"	"福州市蔬菜科研所"	"中"	"Ⅱ5E0038"	"福建莆田县"	"--"	"3上-8"	"--"	"--"
"9"	"中"	"88-KF-14"	"永定大顶苦瓜"	"攀援蔓生"	"YONG DING DA DING KU GUA"	"0.5"	"100"	"少"	"强"	"中"	"绿"	"--"	"掌状"	"苦"	"--"	"1000"	"桔黄色"	"--"	"圆柱形"	"--"	"致密脆"	"4"	"V05G0010"	"福州市蔬菜科研所"	"中"	"Ⅱ5E0042"	"福建永安县"	"--"	"--"	"--"	"具瘤"
"10"	"--"	"甘Ⅱ5E001"	"文县苦瓜"	"蔓生"	"WEN XIAN KU GUA"	"0.2"	"90"	"--"	"强"	"--"	"绿"	"--"	"心形"	"苦"	"--"	"625"	"红色"	"--"	"椭圆形"	"--"	"细嫩"	"15"	"V05G0011"	"甘肃农科院蔬菜所"	"不耐旱耐热"	"Ⅱ5E0014"	"甘肃文县"	"--"	"3下-6中"	"--"	"具瘤"
