"id"	"青熟果色"	"品种名称"	"省"	"保存编号"	"抗逆性"	"备注"	"亩产"	"种子来源"	"译名"	"首花节位"	"生育期"	"株高"	"保存单位"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"种子多少"	"单果重"	"青果肉质"	"抗病虫性"	"株幅"	"果形"
"1"	"绿"	"蚌埠大青茄"	"安徽"	"Sm28(81)"	"--"	"*"	"1626"	"安徽蚌埠市"	"BANG BU DA QING QIE"	"--"	"50"	"72.0"	"安徽农科院园艺所"	"Ⅱ6B0424"	"V06B0001"	"4中-6上"	"早"	"中"	"470.0"	"中"	"--"	"60.0"	"卵形"
"2"	"紫红"	"蚌埠青长茄"	"安徽"	"Sm32(81)"	"强"	"--"	"1500"	"安徽蚌埠市"	"BANG BU QING CHANG QIE"	"8"	"62"	"72.0"	"安徽农科院园艺所"	"Ⅱ6B0428"	"V06B0002"	"4中-8下"	"中"	"多"	"550.0"	"致密"	"抗"	"57.0"	"圆筒形"
"3"	"紫红"	"牛角茄"	"安徽"	"Sm22(81)"	"耐热"	"*"	"1250"	"安徽蚌埠市"	"NIU JIAO QIE"	"5"	"40"	"52.5"	"安徽农科院园艺所"	"Ⅱ6B0141"	"V06B0003"	"4上-5中"	"早"	"少"	"165.0"	"中"	"--"	"62.0"	"羊角形"
"4"	"白"	"早白茄"	"安徽"	"Sm3(81)"	"耐热"	"--"	"500"	"安徽巢县"	"ZAO BAI QIE"	"8"	"50"	"55.0"	"安徽农科院园艺所"	"Ⅱ6B0020"	"V06B0004"	"4中-6上"	"--"	"多"	"164.0"	"--"	"抗"	"65.0"	"弯曲圆条形"
"5"	"白"	"迟白茄"	"安徽"	"Sm16(81)"	"耐热"	"*"	"1500"	"安徽巢县"	"CHI BAI QIE"	"11"	"85"	"66.5"	"安徽农科院园艺所"	"Ⅱ6B0032"	"V06B0005"	"4上-7上中"	"晚"	"多"	"275.0"	"软嫩"	"--"	"55.0"	"长卵形"
"6"	"黑紫"	"滁县紫圆茄"	"安徽"	"Sm27(80)"	"耐热"	"*"	"1126"	"安徽滁州市"	"CHU XIAN ZI YUAN QIE"	"9"	"70"	"80.0"	"安徽农科院园艺所"	"Ⅱ6B0423"	"V06B0006"	"4上-6中"	"中"	"中"	"400.0"	"--"	"--"	"76.0"	"圆球形"
"7"	"紫红"	"紫长圆茄"	"安徽"	"Sm26(86)"	"强"	"续目"	"1188"	"安徽阜南县"	"ZI CHANG YUAN QIE"	"8"	"60"	"65.0"	"安徽农科院园艺所"	"Ⅱ6B0349"	"V06B0007"	"5上-9下"	"中"	"多"	"275.0"	"软嫩"	"抗"	"50.0"	"长卵形"
"8"	"白绿"	"白青园茄"	"安徽"	"Sm14(81)"	"强"	"--"	"1126"	"安徽阜南县"	"BAI QING YUAN QIE"	"8"	"120"	"75.0"	"安徽农科院园艺所"	"Ⅱ6B0137"	"V06B0008"	"4中-8中下"	"中"	"多"	"260.0"	"致密"	"抗"	"46.0"	"卵形"
"9"	"绿"	"忙牛蛋茄"	"安徽"	"Sm15(85)"	"耐旱"	"*"	"1376"	"安徽阜南县"	"MANG NIU DAN QIE"	"8"	"60"	"75.0"	"安徽农科院园艺所"	"Ⅱ6B0138"	"V06B0009"	"4中-6中"	"中"	"少"	"500.0"	"中"	"--"	"68.0"	"卵形"
"10"	"紫红"	"紫长圆茄"	"安徽"	"Sm5(81)"	"耐热"	"*"	"1126"	"安徽贵池县"	"ZI CHANG YUAN QIE"	"8"	"45"	"80.0"	"安徽农科院园艺所"	"Ⅱ6B0027"	"V06B0010"	"4上-5上中"	"中"	"中"	"200.0"	"好"	"--"	"71.0"	"长卵形"
