"id"	"抗病性"	"芥辣味"	"定植期"	"单位编号"	"种子千粒重"	"叶面"	"省"	"叶柄特征"	"译名"	"繁种单位"	"叶缘"	"叶形"	"栽培时期"	"肉茎纵径"	"属名"	"抗虫性"	"叶面蜡粉"	"开展度"	"熟性"	"备注"	"叶面刺毛"	"肉茎类型"	"耐热性"	"肉茎重"	"收获期"	"抗逆性"	"品种名称"	"耐涝性"	"叶翼"	"肉茎横径"	"株型"	"学名"	"肉茎水分"	"叶色"	"贮藏性"	"播种期"	"耐寒性"	"叶裂刻"	"耐旱性"	"株高"	"肉茎皮色"	"品种来源"	"小裂片对数"	"肉质"	"叶柄色"	"种质库编号"	"统一编号"	"用途"	"单产"	"肉茎形状"	"株幅"	"科名"	"生长期"
"1"	"中"	"中"	"--"	"90-Kd-6"	"--"	"中皱"	"福建"	"粗长"	"PING NAN DA TOU CAI"	"福州市蔬菜科研所"	"深锯齿"	"椭圆"	"9中10下-(1上-3下)"	"20.0"	"Brassica(芸薹属)"	"--"	"--"	"90.0"	"--"	"--"	"--"	"笋子"	"--"	"350.0"	"--"	"强"	"屏南大头菜"	"--"	"--"	"5.0"	"--"	"Brassica juncea Coss. var. tsatsai Mao(茎芥菜)"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"85.0"	"浅绿"	"福建屏南"	"--"	"细嫩"	"--"	"resume08"	"V03B0001"	"熟食"	"1000"	"长纺锤"	"--"	"Cruciferae(十字花科)"	"90"
"2"	"弱"	"中"	"--"	"3-B-22-12"	"--"	"中皱"	"贵州"	"槽形"	"YANG JIAO CAI"	"贵州农科院园艺所"	"深锯"	"倒卵圆"	"9上-1中"	"8.0"	"Brassica(芸薹属)"	"--"	"--"	"62.5"	"--"	"--"	"--"	"--"	"--"	"300.0"	"--"	"弱"	"羊角菜"	"--"	"--"	"5.8"	"--"	"Brassica juncea Coss. var. tsatsai Mao(茎芥菜)"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"19.3"	"绿"	"贵州仁怀县"	"--"	"嫩"	"--"	"Ⅱ3B0044"	"V03B0002"	"熟食加工"	"1000"	"长圆"	"--"	"Cruciferae(十字花科)"	"140"
"3"	"弱"	"浓"	"--"	"3-B-22-25"	"--"	"微皱"	"贵州"	"窄细"	"SI NAN BAO BAO CAI"	"贵州农科院园艺所"	"全缘"	"椭圆"	"8-2"	"11.3"	"Brassica(芸薹属)"	"--"	"--"	"80.0"	"--"	"--"	"--"	"--"	"--"	"750.0"	"--"	"中"	"思南包包菜"	"--"	"--"	"7.9"	"--"	"Brassica juncea Coss. var. tsatsai Mao(茎芥菜)"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"70.0"	"绿白"	"贵州思南县"	"--"	"嫩"	"--"	"Ⅱ3B0098"	"V03B0003"	"熟食加工"	"2000"	"纺锤"	"--"	"Cruciferae(十字花科)"	"150"
"4"	"强"	"淡"	"--"	"3-B08"	"--"	"微皱"	"湖南"	"窄细"	"HUA YE CAI XIN"	"湖南农科院蔬菜所"	"深锯齿"	"长椭圆"	"8下-3下"	"37.5"	"Brassica(芸薹属)"	"--"	"--"	"57.5"	"--"	"--"	"--"	"--"	"--"	"600.0"	"--"	"弱"	"花叶菜心"	"--"	"--"	"7.0"	"--"	"Brassica juncea Coss. var. tsatsai Mao(茎芥菜)"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"77.0"	"浅绿"	"湖南津市市"	"--"	"脆嫩"	"--"	"Ⅱ3B0020"	"V03B0004"	"熟食"	"2250"	"纺锤"	"--"	"Cruciferae(十字花科)"	"200"
"5"	"中"	"浓"	"--"	"3-B06"	"--"	"微皱"	"湖南"	"宽厚"	"ZAO ZHA CAI"	"湖南农科院蔬菜所"	"全缘"	"椭圆"	"8下-12上中"	"18.0"	"Brassica(芸薹属)"	"--"	"--"	"65.0"	"--"	"引自四川"	"--"	"--"	"--"	"1000.0"	"--"	"耐热旱"	"早榨菜"	"--"	"--"	"15.0"	"--"	"Brassica juncea Coss. var. tsatsai Mao(茎芥菜)"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"38.0"	"浅绿"	"湖南南县"	"--"	"嫩"	"--"	"Ⅱ3B0019"	"V03B0005"	"熟食腌制"	"2000"	"近圆"	"--"	"Cruciferae(十字花科)"	"105"
"6"	"抗蚜弱"	"淡"	"--"	"3-B01"	"--"	"微皱"	"湖南"	"粗长"	"BANG BANG CAI"	"湖南农科院蔬菜所"	"全缘"	"椭圆"	"9上中-3中下"	"20.0"	"Brassica(芸薹属)"	"--"	"--"	"57.0"	"--"	"--"	"--"	"笋子"	"--"	"1500.0"	"--"	"耐热弱耐寒强"	"棒棒菜"	"--"	"--"	"9.0"	"--"	"Brassica juncea Coss. var. tsatsai Mao(茎芥菜)"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"52.0"	"浅绿"	"湖南黔阳县"	"--"	"嫩"	"--"	"Ⅱ3B0025"	"V03B0006"	"熟食腌制"	"3500"	"棍棒"	"--"	"Cruciferae(十字花科)"	"190"
"7"	"抗病"	"中"	"--"	"Ⅱ3B0004"	"--"	"微皱"	"江西"	"宽厚"	"CHI JIE CAI TOU"	"南昌市蔬菜所"	"波状"	"椭圆"	"(9上-10)-(3-4)"	"55.0"	"Brassica(芸薹属)"	"--"	"--"	"75.0"	"--"	"茎叶兼用"	"--"	"笋子"	"--"	"1250.0"	"--"	"耐寒耐湿"	"迟芥菜头"	"--"	"--"	"8.0"	"--"	"Brassica juncea Coss. var. tsatsai Mao(茎芥菜)"	"--"	"绿"	"--"	"--"	"--"	"15对"	"--"	"90.0"	"浅绿"	"江西赣州市"	"--"	"脆嫩"	"--"	"Ⅱ3B0023"	"V03B0007"	"熟食"	"2000"	"长柱"	"--"	"Cruciferae(十字花科)"	"195"
"8"	"稍弱"	"浓"	"--"	"Ⅱ3B0002"	"--"	"中皱"	"江西"	"宽厚"	"JI AN ZAO JIE CAI TOU"	"南昌市蔬菜所"	"细锯齿"	"倒卵圆"	"8上9上-(10下-12)"	"48.0"	"Brassica(芸薹属)"	"--"	"--"	"50.0"	"--"	"茎叶兼用"	"--"	"笋子"	"--"	"900.0"	"--"	"较耐热"	"吉安早芥菜头"	"--"	"--"	"7.0"	"--"	"Brassica juncea Coss. var. tsatsai Mao(茎芥菜)"	"--"	"深绿"	"--"	"--"	"--"	"13对"	"--"	"80.0"	"浅绿"	"江西吉安市"	"--"	"脆嫩"	"--"	"Ⅱ3B0021"	"V03B0008"	"熟食"	"1500"	"圆柱"	"--"	"Cruciferae(十字花科)"	"115"
"9"	"较抗病"	"淡"	"--"	"Ⅱ3B0003"	"--"	"中皱"	"江西"	"扁平"	"JI AN CHI JIE CAI TOU"	"南昌市蔬菜所"	"波状"	"倒卵圆"	"8下9上-(12下-2)"	"36.0"	"Brassica(芸薹属)"	"--"	"--"	"70.0"	"--"	"茎叶兼用"	"--"	"笋子"	"--"	"1000.0"	"--"	"耐寒"	"吉安迟芥菜头"	"--"	"--"	"8.0"	"--"	"Brassica juncea Coss. var. tsatsai Mao(茎芥菜)"	"--"	"绿"	"--"	"--"	"--"	"14对"	"--"	"92.5"	"浅绿"	"江西吉安市"	"--"	"脆嫩"	"--"	"Ⅱ3B0022"	"V03B0009"	"熟食"	"1875"	"短柱"	"--"	"Cruciferae(十字花科)"	"160"
"10"	"抗病性较强"	"中"	"--"	"Ⅱ3B0001"	"--"	"微皱"	"江西"	"扁圆"	"ZHONG SHU JIE CAI TOU"	"南昌市蔬菜所"	"波状"	"椭圆"	"8中-12"	"35.0"	"Brassica(芸薹属)"	"--"	"--"	"55.0"	"--"	"--"	"--"	"笋子"	"--"	"750.0"	"--"	"耐寒"	"中熟芥菜头"	"--"	"--"	"10.0"	"--"	"Brassica juncea Coss. var. tsatsai Mao(茎芥菜)"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"80.0"	"浅绿"	"江西上饶市"	"--"	"脆嫩"	"--"	"Ⅱ3B0099"	"V03B0010"	"熟食"	"1500"	"纺锤"	"--"	"Cruciferae(十字花科)"	"150"
