"id"	"叶身"	"花瓣数"	"叶尖"	"抗旱性"	"叶面"	"种子成熟期"	"叶肉厚"	"叶基"	"水浸出物"	"叶质"	"发芽日期"	"种径大小"	"新梢颜色"	"芽叶色泽"	"抗根结线虫"	"资源类型"	"茶多酚"	"咖啡碱"	"百粒重"	"抗云纹叶枯"	"叶齿密度"	"花瓣大小"	"品种名称"	"有效积温"	"叶色"	"叶齿深度"	"芽叶展开态"	"成茶香气"	"花瓣色泽"	"芽叶隆起性"	"儿茶素总量"	"繁殖方式"	"儿茶素一"	"柱头裂位"	"儿茶素三"	"叶宽"	"儿茶素四"	"花梗长度"	"红茶总分"	"儿茶素五"	"花萼数"	"种皮色泽"	"叶姿"	"茶果形状"	"抗寒性"	"科名"	"雌雄高比"	"树姿"	"新梢长度"	"统一编号"	"适制性"	"发芽密度"	"酯酶谱带数"	"栅栏组织厚"	"始花期"	"新梢茸毛"	"叶脉对数"	"新梢重量"	"丰产性"	"花柱长度"	"原产地"	"海绵组织厚"	"萜烯指数"	"叶形"	"种苗来源"	"属名"	"新梢密度"	"省"	"树型"	"乌龙茶总分"	"抗白星病"	"叶齿锐度"	"花萼色泽"	"抗螨类"	"花萼茸毛"	"柱头裂数"	"节间长度"	"抗小绿叶蝉"	"儿茶素二"	"抗轮斑病"	"叶缘"	"学名"	"树高"	"叶长"	"花冠直径"	"保存单位"	"盛花期"	"氨基酸"	"雄蕊数目"	"绿茶总分"	"倍数性"	"子房茸毛"	"生产力指数"	"苞片有无"	"分枝密度"	"芽叶茸毛"	"成茶滋味"	"结实性"
"1"	"平展"	"6.0"	"渐尖"	"--"	"隆起"	"--"	"--"	"--"	"43.61"	"中"	"迟"	"16.0"	"绿"	"--"	"--"	"--"	"--"	"4.55"	"211.10"	"抗"	"中"	"--"	"台湾大叶"	"--"	"深绿"	"--"	"--"	"高"	"--"	"--"	"--"	"有性系"	"--"	"--"	"--"	"5.1"	"--"	"--"	"--"	"--"	"5.0"	"--"	"稍上斜"	"--"	"弱"	"Theaceae(山茶科)"	"--"	"半开张"	"6.2"	"00000001"	"红茶"	"--"	"--"	"--"	"--"	"中"	"9"	"45.0"	"--"	"1.50"	"--"	"--"	"--"	"椭圆"	"--"	"Camellia(山茶属)"	"稀"	"台湾"	"乔木"	"--"	"--"	"--"	"--"	"感"	"无"	"3裂"	"5.3"	"抗"	"--"	"3"	"微波"	"--"	"--"	"11.7"	"4.4"	"中茶所"	"10/上"	"--"	"--"	"--"	"--"	"无"	"--"	"--"	"--"	"--"	"高"	"--"
"2"	"平展"	"6.0"	"渐尖"	"弱"	"强隆"	"--"	"--"	"--"	"47.50"	"硬脆"	"早"	"1.9"	"黄绿"	"--"	"--"	"农家品种"	"34.75"	"5.09"	"202.00"	"--"	"密"	"--"	"海南大叶种"	"--"	"深绿"	"深"	"--"	"--"	"--"	"--"	"186.60"	"有性系"	"--"	"--"	"--"	"5.0"	"--"	"--"	"--"	"--"	"5.0"	"--"	"稍上斜"	"--"	"--"	"Theaceae(山茶科)"	"中"	"直立"	"10.4"	"00000002"	"红茶"	"--"	"--"	"--"	"--"	"特多"	"8"	"91.2"	"高"	"1.20"	"海南琼中,通什"	"--"	"--"	"椭圆"	"海南琼中"	"Camellia(山茶属)"	"中"	"海南"	"乔木"	"--"	"--"	"--"	"--"	"--"	"多"	"3裂"	"3.1"	"感"	"--"	"--"	"微波"	"Camellia assamica (Mast) Chang(普洱茶)"	"--"	"10.2"	"3.5"	"海南岭头茶科所 (粤002)"	"11/11-11/20"	"2.50"	"--"	"--"	"二倍体"	"多"	"--"	"--"	"中"	"--"	"浓强"	"--"
"3"	"平展"	"7.0"	"渐尖"	"中"	"平"	"--"	"--"	"--"	"--"	"较脆"	"迟"	"8.2"	"--"	"--"	"--"	"农家品种"	"22.80"	"4.70"	"--"	"--"	"稀"	"--"	"乐昌白毛茶"	"--"	"绿"	"浅"	"--"	"高"	"--"	"--"	"142.20"	"有性系"	"--"	"中裂"	"--"	"6.5"	"--"	"--"	"--"	"--"	"6.0"	"--"	"上斜"	"--"	"中"	"Theaceae(山茶科)"	"高"	"直立"	"12.2"	"00000003"	"红茶"	"--"	"--"	"--"	"--"	"中"	"9"	"150.0"	"中"	"1.20"	"粤乐昌"	"--"	"--"	"椭圆"	"粤乐昌"	"Camellia(山茶属)"	"中"	"广东"	"乔木"	"--"	"--"	"钝"	"--"	"--"	"少"	"3裂"	"3.8"	"--"	"--"	"--"	"平"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"15.0"	"3.5"	"广东省茶科所 (粤003)"	"10/21-10/30"	"2.80"	"--"	"--"	"二倍体"	"少"	"--"	"--"	"中"	"--"	"浓强"	"--"
"4"	"平展"	"6.0"	"渐尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"农家品种"	"--"	"--"	"--"	"--"	"--"	"--"	"高州白心种"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"有性系"	"--"	"--"	"--"	"4.3"	"--"	"--"	"--"	"--"	"--"	"--"	"上斜"	"--"	"--"	"Theaceae(山茶科)"	"高"	"开张"	"11.3"	"00000004"	"绿茶"	"--"	"--"	"--"	"--"	"无"	"--"	"117.0"	"--"	"--"	"粤高州"	"--"	"--"	"椭圆"	"粤高州"	"Camellia(山茶属)"	"--"	"广东"	"乔木"	"--"	"--"	"--"	"--"	"--"	"少"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"9.6"	"3.8"	"广东省茶科所 (粤004)"	"11/21-11/30"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"5"	"内折"	"6.0"	"钝尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"农家品种"	"--"	"--"	"--"	"--"	"--"	"--"	"高州红芽种"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"有性系"	"--"	"--"	"--"	"4.5"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"中"	"半开张"	"9.5"	"00000005"	"绿茶"	"--"	"--"	"--"	"--"	"多"	"--"	"89.2"	"--"	"--"	"粤高州"	"--"	"--"	"椭圆"	"粤高州"	"Camellia(山茶属)"	"--"	"广东"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"多"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"11.0"	"4.0"	"广东省茶科所 (粤005)"	"11/11-11/20"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"6"	"平展"	"7.0"	"渐尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"农家品种"	"--"	"--"	"--"	"--"	"--"	"--"	"连南中叶种"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"有性系"	"--"	"--"	"--"	"4.0"	"--"	"--"	"--"	"--"	"--"	"--"	"稍上斜"	"--"	"--"	"Theaceae(山茶科)"	"中"	"开张"	"10.8"	"00000006"	"绿茶"	"--"	"--"	"--"	"--"	"中"	"--"	"113.4"	"--"	"--"	"粤连南"	"--"	"--"	"长椭圆"	"粤连南"	"Camellia(山茶属)"	"--"	"广东"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"多"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"10.6"	"3.5"	"广东省茶科所 (粤006)"	"11/11-11/20"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"7"	"平展"	"7.0"	"渐尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"迟"	"1.7"	"--"	"--"	"--"	"农家品种"	"--"	"--"	"154.00"	"--"	"--"	"--"	"仁化长叶种"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"有性系"	"--"	"--"	"--"	"4.4"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"高"	"直立"	"9.4"	"00000007"	"绿茶"	"--"	"--"	"--"	"--"	"中"	"--"	"67.5"	"--"	"--"	"粤仁化"	"--"	"--"	"椭圆"	"粤仁化"	"Camellia(山茶属)"	"--"	"广东"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"少"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"10.4"	"3.0"	"广东省茶科所 (粤007)"	"10/11-10/20"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"8"	"内折"	"6.0"	"渐尖"	"中"	"平"	"--"	"--"	"--"	"--"	"较脆"	"迟"	"--"	"--"	"--"	"--"	"农家品种"	"17.98"	"4.34"	"--"	"--"	"稀"	"--"	"广宁清桂大叶"	"--"	"绿"	"浅"	"--"	"--"	"--"	"--"	"113.02"	"有性系"	"9.42"	"浅裂"	"4.78"	"4.2"	"66.98"	"--"	"--"	"21.39"	"5.0"	"--"	"稍上斜"	"--"	"中"	"Theaceae(山茶科)"	"高"	"半开张"	"10.7"	"00000008"	"绿茶"	"--"	"--"	"--"	"--"	"特多"	"8"	"104.4"	"--"	"1.02"	"粤广宁"	"--"	"--"	"椭圆"	"粤广宁"	"Camellia(山茶属)"	"中"	"广东"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"多"	"3裂"	"--"	"--"	"10.45"	"--"	"平"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"10.2"	"4.0"	"广东省茶科所 (粤008)"	"11/11-11/20"	"4.26"	"--"	"--"	"二倍体"	"中"	"--"	"--"	"--"	"--"	"--"	"--"
"9"	"内折"	"6.0"	"渐尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"淡绿"	"--"	"--"	"农家品种"	"--"	"--"	"--"	"--"	"--"	"--"	"沿溪山白毛茶"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"有性系"	"--"	"--"	"--"	"4.1"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"高"	"半开张"	"9.4"	"00000009"	"绿茶"	"--"	"--"	"--"	"--"	"中"	"--"	"67.0"	"--"	"--"	"粤乐昌"	"--"	"--"	"椭圆"	"粤乐昌"	"Camellia(山茶属)"	"--"	"广东"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"少"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"9.9"	"3.0"	"广东省茶科所 (粤009)"	"10/21-10/31"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"10"	"--"	"6.0"	"钝尖"	"--"	"平"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"紫绿"	"--"	"--"	"农家品种"	"--"	"--"	"--"	"--"	"--"	"--"	"惠阳小叶种"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"有性系"	"--"	"--"	"--"	"3.4"	"--"	"--"	"--"	"--"	"--"	"--"	"上斜"	"--"	"--"	"Theaceae(山茶科)"	"高"	"半开张"	"8.5"	"00000010"	"绿茶"	"--"	"--"	"--"	"--"	"多"	"--"	"51.0"	"--"	"--"	"粤惠阳"	"--"	"--"	"长椭圆"	"粤惠阳"	"Camellia(山茶属)"	"--"	"广东"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"少"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"9.8"	"3.5"	"广东省茶科所 (粤010)"	"11/01-11/20"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
