"id"	"内质评价"	"香味"	"品种名称"	"原产地"	"特异及用途"	"省"	"学名"	"可滴定酸"	"单果重评价"	"果实成熟期"	"成熟期评价"	"光泽"	"风味"	"单果重G"	"译名"	"汁液"	"外观评价"	"色泽"	"属名"	"维生素C"	"可溶固形物"	"肉质"	"可溶性糖"	"统一编号"	"果实硬度"	"果形"	"采收期D"	"采收期评价"	"科名"
"1"	"中"	"有"	"大连四季"	"辽宁大连"	"--"	"辽宁"	"Fragaria ananassa Duch.(草莓)"	"1.21"	"小"	"5.10"	"早"	"中"	"甜酸"	"6.7"	"DA LIAN SI JI"	"中"	"差"	"红"	"Fragaria(草莓属)"	"92.25"	"9.2"	"细较软"	"6.76"	"CME0001"	"0.13"	"短圆锥"	"21"	"中"	"Rosaceae(蔷薇科)"
"2"	"中"	"稍有"	"福建四季"	"福建"	"--"	"福建"	"Fragaria ananassa Duch.(草莓)"	"1.16"	"小"	"5.07"	"早"	"中"	"甜酸"	"7.4"	"FU JIAN SI JI"	"较多"	"较差"	"红"	"Fragaria(草莓属)"	"64.68"	"8.8"	"细"	"4.76"	"CME0002"	"0.13"	"短圆锥"	"25"	"中"	"Rosaceae(蔷薇科)"
"3"	"中下"	"有"	"牡丹江四季"	"黑龙江牡丹江"	"--"	"黑龙"	"Fragaria ananassa Duch.(草莓)"	"1.39"	"小"	"5.08"	"早"	"中"	"甜酸"	"7.3"	"MU DAN JIANG SI JI"	"中"	"较差"	"红"	"Fragaria(草莓属)"	"60.90"	"10.1"	"细软"	"5.77"	"CME0003"	"0.13"	"短圆锥"	"29"	"长"	"Rosaceae(蔷薇科)"
"4"	"中下"	"无"	"通化四季"	"吉林通化"	"--"	"吉林"	"Fragaria ananassa Duch.(草莓)"	"1.23"	"小"	"5.07"	"早"	"较强"	"较酸"	"6.6"	"TONG HUA SI JI"	"中"	"较差"	"红"	"Fragaria(草莓属)"	"68.57"	"9.7"	"较粗"	"6.71"	"CME0004"	"0.15"	"短圆锥"	"30"	"长"	"Rosaceae(蔷薇科)"
"5"	"中下"	"无"	"通化四季"	"吉林通化"	"--"	"吉林"	"Fragaria ananassa Duch.(草莓)"	"1.23"	"小"	"5.07"	"早"	"较强"	"较酸"	"6.6"	"TONG HUA SI JI"	"中"	"较差"	"红"	"Fragaria(草莓属)"	"68.57"	"9.7"	"较粗"	"6.71"	"CME0004"	"0.15"	"短圆锥"	"30"	"长"	"Rosaceae(蔷薇科)"
"6"	"中"	"有"	"四季实生"	"江苏南京"	"--"	"江苏"	"Fragaria ananassa Duch.(草莓)"	"0.89"	"中"	"5.07"	"早"	"较强"	"酸甜适中"	"11.8"	"SI JI SHI SHENG"	"较多"	"较差"	"红"	"Fragaria(草莓属)"	"69.30"	"9.3"	"粗较软"	"6.68"	"CME0005"	"0.11"	"圆锥"	"26"	"长"	"Rosaceae(蔷薇科)"
"7"	"中下"	"稍有"	"牡丹江鸡心"	"黑龙江牡丹江"	"--"	"黑龙"	"Fragaria ananassa Duch.(草莓)"	"1.37"	"小"	"5.11"	"中早"	"弱"	"甜酸"	"6.4"	"MU DAN JIANG JI XIN"	"较少"	"差"	"红"	"Fragaria(草莓属)"	"91.43"	"8.8"	"较粗"	"5.97"	"CME0006"	"0.05"	"圆锥"	"22"	"中"	"Rosaceae(蔷薇科)"
"8"	"中"	"稍有"	"昌黎红鸡心"	"河北昌黎"	"--"	"河北"	"Fragaria ananassa Duch.(草莓)"	"1.12"	"中"	"5.12"	"中早"	"中"	"甜酸"	"12.5"	"CHANG LI HONG JI XIN"	"中"	"中"	"红"	"Fragaria(草莓属)"	"88.96"	"7.9"	"细较软"	"6.40"	"CME0008"	"0.17"	"楔形"	"22"	"中"	"Rosaceae(蔷薇科)"
"9"	"中上"	"有"	"烟台鸡心"	"山东烟台"	"--"	"山东"	"Fragaria ananassa Duch.(草莓)"	"0.19"	"中"	"5.09"	"早"	"中"	"酸甜适中"	"13.2"	"YAN TAI JI XIN"	"多"	"较好"	"红"	"Fragaria(草莓属)"	"73.15"	"10.1"	"细较软"	"6.22"	"CME0009"	"0.14"	"楔形"	"23"	"中"	"Rosaceae(蔷薇科)"
"10"	"中下"	"稍有"	"六里桥"	"北京"	"--"	"北京"	"Fragaria ananassa Duch.(草莓)"	"1.17"	"中"	"5.10"	"早"	"中"	"甜酸"	"9.7"	"LIU LI QIAO"	"中"	"差"	"红"	"Fragaria(草莓属)"	"76.35"	"7.8"	"细软"	"6.18"	"CME0010"	"0.19"	"短楔形"	"25"	"中"	"Rosaceae(蔷薇科)"
