"id"	"异亮氨酸"	"单位编号"	"样品类型"	"棱翅"	"花色"	"蛋氨酸"	"维生素PP"	"主茎节数"	"酪氨酸"	"硒"	"苯丙氨酸"	"籽粒形状"	"脂肪"	"译名"	"磷"	"色氨酸"	"千粒重"	"苏氨酸"	"属名"	"种子来源地"	"丝氨酸"	"赖氨酸"	"甘氨酸"	"谷壳率"	"天冬氨酸"	"生育日数"	"茎色"	"谷氨酸"	"省"	"类型"	"精氨酸"	"库编号"	"品种名称"	"倒伏性"	"主茎分枝数"	"株型"	"丙氨酸"	"学名"	"叶色"	"维生素E"	"腹沟"	"铁"	"脯氨酸"	"籽粒颜色"	"株高"	"组氨酸"	"保存单位"	"缬氨酸"	"锌"	"统一编号"	"铜"	"蛋白质"	"落粒性"	"胱氨酸"	"亮氨酸"	"钙"	"总和"	"单株粒重"	"锰"	"科名"
"1"	"--"	"1"	"地方"	"有"	"粉白"	"--"	"--"	"14.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO42"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"60"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞42"	"不抗"	"2.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"124.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000001"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"3.80"	"--"	"Polygonum(蓼科)"
"2"	"--"	"2"	"地方"	"有"	"粉白"	"--"	"--"	"14.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO43"	"--"	"--"	"15.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"60"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞43"	"不抗"	"4.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"130.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000002"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"--"	"--"	"Polygonum(蓼科)"
"3"	"--"	"3"	"地方"	"有"	"粉白"	"--"	"--"	"15.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO44"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"60"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞44"	"不抗"	"3.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"117.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000003"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.00"	"--"	"Polygonum(蓼科)"
"4"	"--"	"4"	"地方"	"有"	"粉白"	"--"	"--"	"18.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO46"	"--"	"--"	"20.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"60"	"红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞46"	"不抗"	"3.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"--"	"--"	"--"	"--"	"棕"	"115.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000004"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"2.70"	"--"	"Polygonum(蓼科)"
"5"	"--"	"5"	"地方"	"有"	"粉白"	"--"	"--"	"15.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO47"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"60"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞47"	"中"	"3.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"110.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000005"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.20"	"--"	"Polygonum(蓼科)"
"6"	"--"	"6"	"地方"	"有"	"粉白"	"--"	"--"	"14.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO48"	"--"	"--"	"20.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"60"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞48"	"中"	"2.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"93.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000006"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"--"	"--"	"Polygonum(蓼科)"
"7"	"--"	"7"	"地方"	"有"	"粉白"	"--"	"--"	"14.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO50"	"--"	"--"	"20.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"68"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞50"	"中"	"2.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"93.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000007"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.00"	"--"	"Polygonum(蓼科)"
"8"	"--"	"8"	"地方"	"有"	"粉白"	"--"	"--"	"13.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO53"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"75"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞53"	"中"	"2.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"深绿"	"--"	"--"	"--"	"--"	"棕"	"93.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000008"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.30"	"--"	"Polygonum(蓼科)"
"9"	"--"	"9"	"地方"	"有"	"粉白"	"--"	"--"	"13.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO54"	"--"	"--"	"30.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"62"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞54"	"中"	"2.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"103.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000009"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"1.50"	"--"	"Polygonum(蓼科)"
"10"	"--"	"10"	"地方"	"有"	"粉白"	"--"	"--"	"15.0"	"--"	"--"	"--"	"长形"	"--"	"64QIAO56"	"--"	"--"	"20.0"	"--"	"Fagopyrum(荞麦属)"	"--"	"--"	"--"	"--"	"--"	"--"	"62"	"淡红"	"--"	"黑龙江"	"甜荞"	"--"	"--"	"64荞56"	"中"	"2.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"120.0"	"--"	"黑嫩江农科所"	"--"	"--"	"00000010"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"--"	"--"	"Polygonum(蓼科)"
