"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"肉质"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"首雌花位"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"1"	"--"	"G35-14"	"白瓜"	"葡匐蔓生"	"BAI GUA"	"0.1"	"47"	"--"	"中"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"--"	"奶油色"	"--"	"圆柱形"	"艮疏松"	"V05K0002"	"广东农科院经作所"	"强"	"Ⅱ5I0041"	"广东东莞市"	"--"	"3"	"5-8"	"--"	"--"
"2"	"--"	"G35-8"	"青根白瓜"	"葡匐蔓生"	"QING GEN BAI GUA"	"0.3"	"75"	"--"	"强"	"--"	"绿"	"--"	"心形"	"--"	"--"	"1500"	"--"	"瓜供生熟蔬食"	"圆柱形"	"圆滑致密"	"V05K0003"	"广东农科院经作所"	"耐热"	"Ⅱ5I0007"	"广东东莞市"	"--"	"2"	"3-8播5-10收"	"--"	"有浅纵"
"3"	"--"	"G35-11"	"青根白瓜"	"葡匐蔓生"	"QING GEN BAI GUA"	"0.3"	"42"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"--"	"奶油色"	"--"	"圆柱形"	"微脆致"	"V05K0004"	"广东农科院经作所"	"强"	"Ⅱ5I0019"	"广东番禺县"	"--"	"3"	"5-8"	"--"	"--"
"4"	"--"	"G35-12"	"青根白瓜"	"葡匐蔓生"	"QING GEN BAI GUA"	"0.3"	"42"	"--"	"中"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"--"	"奶油色"	"老瓜有棱沟"	"圆柱形"	"圆滑致密"	"V05K0005"	"广东农科院经作所"	"强"	"Ⅱ5I0020"	"广东番禺县"	"--"	"2"	"5-8"	"--"	"--"
"5"	"中"	"G35-22"	"佛山长身青根白瓜"	"葡匐蔓生"	"FO SHAN CHANG SHEN QING GEN BAI GUA"	"0.3"	"56"	"无"	"中"	"中"	"绿"	"--"	"掌状"	"微甜"	"--"	"--"	"奶油色"	"--"	"圆柱形"	"圆滑致密"	"V05K0006"	"广东农科院经作所"	"中"	"Ⅱ5I0049"	"广东佛山市"	"--"	"2"	"4-6"	"--"	"稍有浅"
"6"	"早"	"G35-2"	"中度白瓜"	"葡匐蔓生"	"ZHONG DU BAI GUA"	"0.3"	"38"	"--"	"强"	"--"	"绿"	"--"	"心形"	"淡而无味"	"--"	"1500"	"--"	"--"	"圆柱形"	"脆品质佳"	"V05K0007"	"广东农科院经作所"	"耐热"	"Ⅱ5I0005"	"广东广州市"	"--"	"2"	"3-8播5-10始收"	"--"	"有浅纵"
"7"	"--"	"G35-1"	"长度白瓜"	"葡匐蔓生"	"CHANG DU BAI GUA"	"0.3"	"70"	"--"	"强"	"--"	"绿"	"--"	"心形"	"淡而无味"	"--"	"1125"	"--"	"瓜供生熟蔬食"	"圆柱形"	"圆滑致密"	"V05K0008"	"广东农科院经作所"	"耐热瘠"	"Ⅱ5I0006"	"广东广州市"	"--"	"1"	"3-8播5-10收"	"--"	"--"
"8"	"--"	"G35-9"	"青根白瓜"	"葡匐蔓生"	"QING GEN BAI GUA"	"0.3"	"46"	"--"	"中"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"--"	"奶油色"	"--"	"圆柱形"	"圆滑致密"	"V05K0009"	"广东农科院经作所"	"中"	"Ⅱ5I0018"	"广东鹤山县"	"--"	"2"	"5-8"	"--"	"--"
"9"	"--"	"G35-5"	"苦种"	"葡匐蔓生"	"KU ZHONG"	"--"	"75"	"--"	"强"	"--"	"--"	"--"	"掌状"	"苦"	"--"	"800"	"--"	"瓜专供加工腌制"	"圆柱形"	"--"	"V05K0010"	"广东农科院经作所"	"耐热旱"	"Ⅱ5I0004"	"广东茂名市"	"--"	"--"	"3-9播4-10收"	"--"	"--"
"10"	"早"	"G35-16"	"九江中度青根白瓜"	"葡匐蔓生"	"JIU JIANG ZHONG DU QING GEN BAI GUA"	"0.2"	"39"	"--"	"中"	"中"	"绿"	"--"	"掌状"	"微甜"	"--"	"--"	"奶油色"	"--"	"圆柱形"	"圆滑致密"	"V05K0011"	"广东农科院经作所"	"强"	"Ⅱ5I0076"	"广东南海县"	"--"	"2"	"3-9"	"--"	"平"
