"id"	"抗病性"	"种子千粒重"	"定植期"	"单位编号"	"叶长"	"叶面"	"省"	"备注"	"风味"	"译名"	"繁种单位"	"叶形"	"始收期"	"栽培时期"	"属名"	"主薹高"	"抗虫性"	"熟性"	"分枝性"	"叶面刺毛"	"耐热性"	"主薹粗"	"叶缘"	"末收期"	"纤维含量"	"叶裂片"	"抗逆性"	"品种名称"	"耐涝性"	"株型"	"学名"	"叶色"	"贮藏性"	"播种期"	"耐寒性"	"叶柄宽"	"叶裂刻"	"耐旱性"	"叶柄厚"	"株高"	"单株薹数"	"品种来源"	"叶宽"	"肉质"	"叶柄色"	"种质库编号"	"统一编号"	"单产"	"株幅"	"品质"	"叶柄长"	"科名"	"生长期"
"1"	"--"	"--"	"--"	"C4-030"	"--"	"--"	"四川"	"--"	"--"	"ER ZAO ZI HONG YOU CAI TAI"	"成都市第一农科所"	"椭圆"	"--"	"8中-11上"	"Brassica(芸薹属)"	"--"	"--"	"中"	"--"	"--"	"--"	"--"	"全缘"	"--"	"--"	"--"	"较耐热"	"二早子红油菜苔"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"4"	"四川成都市"	"--"	"脆嫩"	"紫红"	"Ⅱ2D0133"	"V02D0001"	"1500"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"80"
"2"	"--"	"--"	"--"	"C4-007"	"--"	"--"	"四川"	"--"	"甜"	"YIN HUA YOU CAI"	"成都市第一农科所"	"近圆"	"--"	"9上-12中下"	"Brassica(芸薹属)"	"--"	"--"	"晚"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"较耐寒"	"阴花油菜"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"47.0"	"--"	"四川成都市"	"--"	"--"	"紫红"	"Ⅱ2D0135"	"V02D0002"	"2000"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"110"
"3"	"--"	"--"	"--"	"C4-029"	"--"	"--"	"四川"	"--"	"--"	"HONG CAI TAI"	"成都市第一农科所"	"卵圆"	"--"	"8下-12上"	"Brassica(芸薹属)"	"--"	"--"	"中"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"弱"	"红菜苔"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"42.0"	"--"	"四川丰都县"	"--"	"--"	"紫红"	"Ⅱ2D0132"	"V02D0003"	"--"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"--"
"4"	"--"	"--"	"--"	"C4-027"	"--"	"--"	"四川"	"杂"	"--"	"HONG YOU CAI"	"成都市第一农科所"	"近圆"	"--"	"9上-1上"	"Brassica(芸薹属)"	"--"	"--"	"晚"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"红油菜"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"55.0"	"--"	"四川富顺县"	"--"	"--"	"紫红"	"Ⅱ2D0130"	"V02D0004"	"1500"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"--"
"5"	"--"	"--"	"--"	"C4-005"	"--"	"--"	"四川"	"--"	"--"	"HONG YOU CAI"	"成都市第一农科所"	"椭圆"	"--"	"8-12"	"Brassica(芸薹属)"	"--"	"--"	"晚"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"耐寒"	"红油菜"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"红绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"56.0"	"--"	"四川高县"	"--"	"--"	"红"	"Ⅱ2D0116"	"V02D0005"	"1250"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"120"
"6"	"--"	"--"	"--"	"C4-019"	"--"	"--"	"四川"	"--"	"--"	"HONG YOU CAI TAI"	"成都市第一农科所"	"近圆"	"--"	"8下-11下"	"Brassica(芸薹属)"	"--"	"--"	"中"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"弱"	"红油菜苔"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"48.0"	"--"	"四川合江县"	"--"	"--"	"紫红"	"Ⅱ2D0105"	"V02D0006"	"1200"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"--"
"7"	"--"	"--"	"--"	"C4-010"	"--"	"--"	"四川"	"--"	"--"	"ZI CAI TAI"	"成都市第一农科所"	"椭圆"	"--"	"9-12"	"Brassica(芸薹属)"	"--"	"--"	"中"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"紫菜苔"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"50.0"	"--"	"四川华工农区"	"--"	"--"	"浅绿"	"Ⅱ2D0114"	"V02D0007"	"1500"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"100"
"8"	"--"	"--"	"--"	"C4-006"	"--"	"--"	"四川"	"--"	"--"	"HONG YOU CAI"	"成都市第一农科所"	"椭圆"	"--"	"7-11"	"Brassica(芸薹属)"	"--"	"--"	"中"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"红油菜"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"紫红"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"50.0"	"--"	"四川会理县"	"--"	"--"	"紫红"	"Ⅱ2D0134"	"V02D0008"	"1000"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"90"
"9"	"--"	"--"	"--"	"C4-022"	"--"	"--"	"四川"	"--"	"--"	"HONG YOU CAI"	"成都市第一农科所"	"近圆"	"--"	"8下-12下"	"Brassica(芸薹属)"	"--"	"--"	"中"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"红油菜"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"42.0"	"--"	"四川江安县"	"--"	"--"	"紫红"	"Ⅱ2D0110"	"V02D0009"	"1300"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"--"
"10"	"--"	"--"	"--"	"C4-020"	"--"	"--"	"四川"	"--"	"--"	"HONG YOU CAI"	"成都市第一农科所"	"近圆"	"--"	"8上-11上"	"Brassica(芸薹属)"	"--"	"--"	"早"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"红油菜"	"--"	"--"	"Brassica campestris L. ssp. chinensis var. utilis(菜薹)"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"50.0"	"--"	"四川江津县"	"--"	"--"	"紫红"	"Ⅱ2D0106"	"V02D0010"	"1000"	"--"	"--"	"--"	"Cruciferae(十字花科)"	"--"
