"id"	"备注"	"枯萎病抗指"	"老荚日数"	"单荚重"	"品种名称"	"水分"	"株型"	"保存编号"	"译名"	"青荚日数"	"荚形"	"干重蛋白"	"荚壁纤维"	"种子来源"	"炭疽病抗指"	"荚厚"	"翼瓣次色"	"种子形状"	"种子皮色"	"种皮次色"	"株高"	"干重纤维"	"种子大小"	"保存单位"	"亩产"	"翼瓣色"	"种质库编号"	"统一编号"	"栽培季节"	"嫩荚色"	"鲜重蛋白"	"抗逆性"	"荚宽"	"株幅"	"品质"	"嫩荚次色"	"荚长"	"鲜重纤维"
"1"	"0.00"	"-0.2090"	"80"	"4.2"	"法国四季豆"	"85.58"	"矮生"	"P25(81)"	"FA GUO SI JI DOU"	"60"	"棍形"	"21.59"	"少"	"安徽巢县"	"0.2022"	"0.8"	"--"	"肾形"	"黄"	"--"	"40.0"	"10.77"	"中"	"安徽农科院园艺所"	"750"	"紫"	"Ⅱ7A0481"	"V07A0001"	"4上-6中上春夏"	"绿"	"3.11"	"--"	"0.9"	"40.0"	"好"	"--"	"13.5"	"1.55"
"2"	"--"	"0.5245"	"45"	"8.0"	"红花菜豆"	"90.00"	"蔓生"	"Pr6(81)"	"HONG HUA CAI DOU"	"--"	"扁条"	"21.84"	"少"	"安徽合肥市"	"-0.6500"	"1.2"	"--"	"--"	"白"	"--"	"170.0"	"12.40"	"中"	"安徽农科院园艺所"	"875"	"紫"	"Ⅱ7A0482"	"V07A0002"	"4上-7下"	"绿"	"2.18"	"中"	"2.2"	"40.0"	"好"	"--"	"14.0"	"1.24"
"3"	"*"	"-0.2309"	"85"	"7.2"	"黑籽四季豆"	"89.11"	"矮生"	"Pr7(80)"	"HEI ZI SI JI DOU"	"63"	"扁条"	"21.20"	"少"	"安徽合肥市"	"0.5999"	"0.5"	"--"	"肾形"	"黑"	"--"	"30.0"	"12.01"	"中"	"安徽农科院园艺所"	"850"	"浅紫"	"Ⅱ7A1104"	"V07A0003"	"4上-6中春夏"	"绿"	"2.31"	"耐寒"	"1.0"	"28.0"	"好"	"--"	"13.0"	"1.31"
"4"	"*"	"--"	"75"	"8.7"	"花籽五月结"	"--"	"蔓生"	"Pr11(89)"	"HUA ZI WU YUE JIE"	"65"	"细长条"	"--"	"--"	"安徽绩溪县"	"--"	"0.9"	"--"	"肾形"	"紫"	"白"	"170.0"	"--"	"大"	"安徽农科院园艺所"	"1500"	"紫"	"Ⅱ7A2158"	"V07A0004"	"4上-6中春夏"	"绿"	"--"	"耐热"	"1.0"	"40.0"	"好"	"--"	"12.0"	"--"
"5"	"--"	"--"	"55"	"6.0"	"四季梅"	"--"	"蔓生"	"Pv10(88)"	"SI JI MEI"	"--"	"扁条"	"--"	"中"	"安徽嘉山县"	"--"	"1.1"	"--"	"--"	"深褐"	"--"	"180.0"	"--"	"小"	"安徽农科院园艺所"	"1250"	"紫"	"Ⅱ7A2001"	"V07A0005"	"4上-7下"	"绿"	"--"	"强"	"1.7"	"42.0"	"较好"	"--"	"12.0"	"--"
"6"	"--"	"--"	"70"	"7.0"	"红花菜豆"	"--"	"蔓生"	"Pr13(89)"	"HONG HUA CAI DOU"	"50"	"棍形"	"--"	"少"	"安徽铜陵市"	"--"	"0.9"	"--"	"肾形"	"黑"	"--"	"100.0"	"--"	"大"	"安徽农科院园艺所"	"375"	"紫"	"Ⅱ7A2141"	"V07A0006"	"4中-6上"	"绿"	"--"	"强"	"1.0"	"50.0"	"好"	"--"	"15.0"	"--"
"7"	"*"	"-0.4769"	"85"	"7.0"	"黄子四季豆"	"89.49"	"矮生"	"Pr2(81)"	"HUANG ZI SI JI DOU"	"68"	"扁条"	"19.52"	"多"	"安徽芜湖市"	"1.4065"	"0.3"	"--"	"肾形"	"黄"	"--"	"35.0"	"13.08"	"中"	"安徽农科院园艺所"	"600"	"白"	"Ⅱ7A0125"	"V07A0007"	"4上-6中春夏"	"绿"	"2.05"	"抗寒"	"1.0"	"26.0"	"好"	"--"	"12.0"	"1.37"
"8"	"*"	"0.6737"	"--"	"7.0"	"白籽梅豆(白花架豆)"	"90.61"	"蔓生"	"Pr3(81)"	"BAI ZI MEI DOU (BAI HUA JIA DOU )"	"--"	"扁条"	"20.57"	"少"	"安徽芜湖市"	"-0.3400"	"0.9"	"--"	"肾形"	"白"	"--"	"160.0"	"13.11"	"小"	"安徽农科院园艺所"	"1250"	"白"	"Ⅱ7A0127"	"V07A0008"	"--"	"绿"	"1.93"	"较耐热不耐寒"	"1.0"	"34.0"	"好"	"--"	"13.0"	"1.23"
"9"	"*"	"0.2018"	"--"	"--"	"黑子梅豆(紫花菜豆)"	"88.67"	"蔓生"	"Pr3(81)"	"HEI ZI MEI DOU (ZI HUA CAI DOU )"	"60"	"棍形"	"19.53"	"--"	"安徽芜湖市"	"-0.6500"	"--"	"--"	"肾形"	"黑"	"--"	"--"	"15.48"	"--"	"安徽农科院园艺所"	"--"	"紫"	"Ⅱ7A0126"	"V07A0009"	"--"	"绿"	"2.21"	"强"	"--"	"--"	"--"	"--"	"--"	"1.75"
"10"	"--"	"-0.9247"	"45"	"9.0"	"矮生四季豆"	"90.28"	"矮生"	"Pv8(87)"	"AI SHENG SI JI DOU"	"--"	"棍形"	"20.40"	"少"	"安徽枞阳县"	"-0.0872"	"1.3"	"--"	"--"	"浅褐"	"--"	"65.0"	"14.56"	"大"	"安徽农科院园艺所"	"625"	"浅红"	"Ⅱ7A1220"	"V07A0010"	"4上-7中"	"浅绿"	"1.98"	"强"	"2.0"	"30.0"	"好"	"--"	"15.0"	"1.41"
