"id"	"抗病性"	"单位编号"	"叶面刺毛"	"省"	"备注"	"根地上皮色"	"叶型"	"根肉口感"	"风味"	"栽培时期"	"译名"	"繁种单位"	"根地上部长"	"千粒重"	"属名"	"叶形"	"抗虫性"	"肉质根长"	"耐热性"	"根肉主色"	"肉质根粗"	"收获期"	"熟性"	"抗逆性"	"叶片长"	"品种名称"	"耐涝性"	"根形"	"学名"	"叶色"	"贮藏性"	"根肉水分"	"叶簇"	"叶裂刻"	"耐旱性"	"单根重"	"播种期"	"根肉质"	"品种来源"	"小裂片对数"	"耐寒性"	"叶柄色"	"种质库编号"	"统一编号"	"科名"	"用途"	"单产"	"根地下皮色"	"叶片宽"	"根肉次色"	"生长期"
"1"	"抗病毒病弱"	"19"	"--"	"国外"	"易糠心"	"白"	"花叶"	"--"	"甜"	"7中下-9下"	"CHAO XIAN LUO BU"	"吉林省蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"早"	"弱"	"--"	"朝鲜萝卜"	"--"	"圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"中"	"多"	"半直立"	"--"	"--"	"200"	"--"	"松脆"	"吉林延吉引自朝鲜"	"--"	"--"	"--"	"Ⅱ1A0053"	"V01A0450"	"Cruciferae(十字花科)"	"生熟食加工"	"1167"	"白"	"--"	"白"	"70"
"2"	"抗病毒病强"	"18"	"--"	"国外"	"--"	"绿白"	"花叶"	"--"	"稍辣"	"7上中-10上"	"CHANG BAI LUO BU"	"吉林省蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"中"	"强"	"--"	"长白萝卜"	"--"	"圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"差"	"多"	"半直立"	"--"	"--"	"1750"	"--"	"松脆"	"吉林延吉引自日本"	"--"	"--"	"--"	"Ⅱ1A0031"	"V01A0451"	"Cruciferae(十字花科)"	"生熟食加工"	"4167"	"白"	"--"	"白"	"85"
"3"	"--"	"陇引萝卜017"	"多"	"国外"	"--"	"红"	"花叶"	"脆嫩"	"甜"	"--"	"--"	"甘肃农科院蔬菜所"	"8"	"10.0"	"Raphanus(萝卜属)"	"椭圆"	"--"	"13"	"--"	"白"	"4"	"5中"	"中"	"--"	"16"	"Clipo"	"--"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"深绿"	"差"	"多"	"开展"	"深裂"	"--"	"100"	"3中"	"疏松"	"甘肃引自法国"	"3-4"	"--"	"紫红"	"--"	"V01A1302"	"Cruciferae(十字花科)"	"生食"	"--"	"红"	"7"	"--"	"--"
"4"	"--"	"1-A-22-79(2)"	"少"	"国外"	"--"	"白绿"	"板叶"	"--"	"甜"	"--"	"--"	"贵州农科院园艺所"	"6"	"8.0"	"Raphanus(萝卜属)"	"长卵圆"	"--"	"11"	"--"	"白"	"2"	"12上"	"中"	"--"	"16"	"日本马桩萝卜"	"--"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"--"	"多"	"半直立"	"无裂"	"--"	"75"	"8上"	"疏松"	"贵州引自日本"	"--"	"--"	"浅绿"	"--"	"V01A1339"	"Cruciferae(十字花科)"	"生食"	"1000"	"白"	"3"	"--"	"--"
"5"	"抗病毒病中"	"F-7"	"无"	"国外"	"--"	"白"	"板叶"	"脆嫩"	"甜"	"--"	"--"	"中国农科院蔬菜所"	"6"	"13.0"	"Raphanus(萝卜属)"	"长卵圆"	"抗蚜虫强"	"17"	"中"	"白"	"5"	"9下"	"中早"	"--"	"24"	"Wnale Brand"	"中"	"短圆筒"	"Raphanus sativus L.(萝卜)"	"绿"	"中"	"多"	"半直立"	"无裂"	"中"	"210"	"8上"	"致密"	"引自亚蔬中心"	"--"	"强"	"浅紫"	"--"	"V01A1967"	"Cruciferae(十字花科)"	"熟食"	"3020"	"白"	"11"	"--"	"--"
"6"	"抗病毒病中"	"F-8"	"少"	"国外"	"--"	"浅绿"	"花叶"	"脆嫩"	"甜"	"--"	"--"	"中国农科院蔬菜所"	"10"	"12.2"	"Raphanus(萝卜属)"	"长卵圆"	"抗蚜虫中"	"23"	"中"	"白"	"7"	"10上"	"中晚"	"--"	"27"	"Owol No!"	"中"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"绿"	"强"	"中"	"半开展"	"全裂"	"中"	"640"	"8上"	"致密"	"引自朝鲜"	"9-10"	"强"	"浅绿"	"--"	"V01A1969"	"Cruciferae(十字花科)"	"熟食"	"3240"	"白"	"13"	"--"	"--"
"7"	"抗病毒病中"	"F-05"	"中"	"国外"	"--"	"紫红"	"花叶"	"细面"	"辣"	"--"	"--"	"中国农科院蔬菜所"	"--"	"12.7"	"Raphanus(萝卜属)"	"长卵圆"	"抗菜粉蝶中"	"7"	"中"	"白带紫"	"5"	"9上"	"早"	"--"	"17"	"Rellieh"	"中"	"纺锤"	"Raphanus sativus L.(萝卜)"	"绿"	"中"	"中"	"半直立"	"--"	"中"	"93"	"8上"	"致密"	"引自德国"	"3"	"中"	"浅紫"	"--"	"V01A1970"	"Cruciferae(十字花科)"	"熟食"	"2000"	"紫"	"9"	"--"	"--"
"8"	"抗病毒病强"	"F10"	"中"	"国外"	"--"	"紫红"	"花叶"	"脆嫩"	"稍辣"	"--"	"--"	"中国农科院蔬菜所"	"1"	"13.5"	"Raphanus(萝卜属)"	"长卵圆"	"抗蚜虫强"	"5"	"中"	"白"	"7"	"9中"	"早"	"--"	"24"	"勃力多237"	"中"	"扁圆"	"Raphanus sativus L.(萝卜)"	"绿"	"中"	"--"	"半直立"	"全裂"	"中"	"104"	"8中"	"致密"	"引自俄罗斯"	"5"	"强"	"绿"	"--"	"V01A1971"	"Cruciferae(十字花科)"	"熟食"	"1100"	"红"	"9"	"--"	"--"
"9"	"抗病毒病中"	"F13"	"中"	"国外"	"--"	"浅绿"	"花叶"	"艮硬"	"甜"	"--"	"--"	"中国农科院蔬菜所"	"4"	"--"	"Raphanus(萝卜属)"	"长卵圆"	"抗蚜虫中"	"16"	"中"	"浅绿"	"5"	"9下"	"中早"	"--"	"38"	"克瑞科"	"中"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"绿"	"强"	"少"	"半开展"	"全裂"	"中"	"450"	"8中"	"致密"	"引自俄罗斯"	"11"	"强"	"浅紫"	"--"	"V01A1972"	"Cruciferae(十字花科)"	"熟食"	"3600"	"白"	"14"	"--"	"--"
"10"	"抗病毒病强"	"F09"	"无"	"国外"	"--"	"浅绿"	"花叶"	"脆嫩"	"甜"	"--"	"--"	"中国农科院蔬菜所"	"6"	"--"	"Raphanus(萝卜属)"	"长卵圆"	"抗蚜虫强"	"20"	"中"	"白"	"6"	"9下"	"中早"	"--"	"25"	"役者横丁"	"中"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"绿"	"强"	"中"	"直立"	"全裂"	"中"	"370"	"8中"	"致密"	"引自日本"	"9"	"中"	"浅绿"	"--"	"V01A1973"	"Cruciferae(十字花科)"	"生食"	"2960"	"白"	"12"	"--"	"--"
"11"	"抗病毒病中"	"F11"	"中"	"国外"	"--"	"白"	"花叶"	"艮硬"	"甜"	"--"	"--"	"中国农科院蔬菜所"	"7"	"14.0"	"Raphanus(萝卜属)"	"长椭圆"	"抗蚜虫中"	"12"	"中"	"白"	"8"	"9下"	"中早"	"--"	"29"	"奥塞尼尔"	"中"	"短圆筒"	"Raphanus sativus L.(萝卜)"	"深绿"	"强"	"中"	"半直立"	"全裂"	"中"	"380"	"8中"	"致密"	"引自俄罗斯"	"8"	"强"	"浅紫"	"--"	"V01A1974"	"Cruciferae(十字花科)"	"熟食"	"3233"	"白"	"16"	"--"	"--"
"12"	"--"	"ZSF-35"	"--"	"国外"	"春秋两季种"	"白"	"花叶"	"脆嫩"	"--"	"--"	"--"	"中国农科院蔬菜所"	"8"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"35"	"--"	"白"	"8"	"种后60天"	"早"	"--"	"--"	"花叶大白萝卜"	"--"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"--"	"差"	"多"	"直立"	"--"	"--"	"400"	"4中8中"	"致密"	"引自南朝鲜"	"--"	"--"	"--"	"--"	"V01A1975"	"Cruciferae(十字花科)"	"熟食"	"--"	"白"	"--"	"--"	"--"
"13"	"抗病毒病强"	"F12"	"中"	"国外"	"--"	"白"	"花叶"	"艮硬"	"甜"	"--"	"--"	"中国农科院蔬菜所"	"7"	"--"	"Raphanus(萝卜属)"	"长椭圆"	"抗蚜虫强"	"26"	"中"	"白"	"4"	"9下"	"中"	"--"	"30"	"时大根"	"中"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"绿"	"强"	"中"	"半直立"	"--"	"中"	"175"	"8中"	"致密"	"引自日本"	"12"	"中"	"深绿"	"--"	"V01A1977"	"Cruciferae(十字花科)"	"熟食"	"2387"	"白"	"9"	"--"	"--"
"14"	"抗病毒病中"	"F-04"	"中"	"国外"	"--"	"灰黑"	"花叶"	"细面"	"稍辣"	"--"	"--"	"中国农科院蔬菜所"	"--"	"9.8"	"Raphanus(萝卜属)"	"长卵圆"	"抗菜粉蝶强"	"8"	"中"	"白"	"9"	"10上"	"中"	"--"	"26"	"Fekete"	"中"	"扁圆"	"Raphanus sativus L.(萝卜)"	"绿"	"强"	"少"	"半直立"	"--"	"--"	"380"	"8上"	"致密"	"引自匈牙利"	"7"	"中"	"绿"	"--"	"V01A1982"	"Cruciferae(十字花科)"	"--"	"2267"	"灰黑"	"21"	"--"	"--"
