"id"	"内质评价"	"可溶性糖％"	"品种名称"	"果穗重G"	"特异及用途"	"省"	"学名"	"种类"	"果实成熟期"	"成熟期评价"	"风味"	"原产地"	"外观评价"	"汁液"	"果粒重G"	"色泽"	"果粒重评价"	"属名"	"可溶固形物"	"肉质"	"PH值"	"果穗重评价"	"统一编号"	"译名"	"果形"	"科名"	"可滴定酸％"
"1"	"上"	"16.92"	"郑州12-34"	"263.0"	"鲜食"	"河南"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.26"	"中"	"甜"	"河南郑州"	"较好"	"少"	"5.97"	"红"	"较大"	"Vitis(葡萄属)"	"18.30"	"较脆"	"3.70"	"较小"	"PTF0001"	"ZHENG ZHOU 12-34"	"椭圆"	"Vitaceae(葡萄科)"	"0.73"
"2"	"中上"	"16.64"	"夏白"	"265.0"	"鲜食"	"中国"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.23"	"中"	"酸甜"	"中国"	"较差"	"少"	"3.49"	"黄绿"	"中"	"Vitis(葡萄属)"	"17.50"	"软"	"3.00"	"较小"	"PTF0002"	"XIA BAI"	"近圆"	"Vitaceae(葡萄科)"	"0.58"
"3"	"中上"	"16.50"	"京丰"	"476.0"	"鲜食"	"北京"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.06"	"晚"	"酸甜"	"北京"	"好"	"少"	"7.45"	"紫红"	"大"	"Vitis(葡萄属)"	"16.50"	"软"	"3.57"	"较大"	"PTF0003"	"JING FENG"	"近圆"	"Vitaceae(葡萄科)"	"0.69"
"4"	"上"	"17.80"	"京141号"	"280.0"	"鲜食"	"北京"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.06"	"晚"	"甜"	"北京"	"差"	"多"	"4.15"	"绿黄"	"中"	"Vitis(葡萄属)"	"17.80"	"软"	"3.78"	"较小"	"PTF0004"	"JING 141 HAO"	"长圆"	"Vitaceae(葡萄科)"	"0.48"
"5"	"上"	"16.30"	"红马奶"	"637.0"	"鲜食"	"新疆"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.09"	"晚"	"甜"	"新疆"	"好"	"少"	"10.15"	"紫红"	"极大"	"Vitis(葡萄属)"	"16.80"	"脆"	"3.60"	"较大"	"PTF0005"	"HONG MA NAI"	"长圆"	"Vitaceae(葡萄科)"	"0.58"
"6"	"上"	"16.25"	"大粒玫瑰香"	"344.0"	"鲜食"	"山东"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.21"	"中"	"甜"	"山东"	"好"	"少"	"6.50"	"蓝黑"	"较大"	"Vitis(葡萄属)"	"17.50"	"软"	"3.16"	"较小"	"PTF0006"	"DA LI MEI GUI XIANG"	"椭圆"	"Vitaceae(葡萄科)"	"0.98"
"7"	"中上"	"16.60"	"白旦旦"	"450.0"	"鲜食,抗旱"	"中国"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.10"	"晚"	"酸甜"	"中国"	"较好"	"少"	"7.20"	"黄绿"	"大"	"Vitis(葡萄属)"	"17.60"	"软"	"3.40"	"中"	"PTF0007"	"BAI DAN DAN"	"近圆"	"Vitaceae(葡萄科)"	"1.04"
"8"	"下"	"16.30"	"驴奶"	"307.0"	"鲜食"	"中国"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.15"	"晚"	"酸"	"中国"	"中"	"多"	"5.63"	"黄绿"	"较大"	"Vitis(葡萄属)"	"17.40"	"软"	"3.20"	"较小"	"PTF0008"	"LU NAI"	"弯形"	"Vitaceae(葡萄科)"	"1.13"
"9"	"上"	"18.04"	"大泽山一号"	"392.0"	"鲜食"	"山东"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.07"	"晚"	"酸甜"	"山东"	"较好"	"少"	"5.20"	"绿黄"	"较大"	"Vitis(葡萄属)"	"19.20"	"软"	"3.37"	"中"	"PTF0009"	"DA ZE SHAN YI HAO"	"椭圆"	"Vitaceae(葡萄科)"	"0.88"
"10"	"中下"	"14.36"	"白鸡心"	"450.0"	"鲜食"	"中国"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.18"	"晚"	"甜酸"	"中国"	"中"	"多"	"6.50"	"黄绿"	"较大"	"Vitis(葡萄属)"	"15.20"	"软"	"3.08"	"中"	"PTF0010"	"BAI JI XIN"	"倒卵"	"Vitaceae(葡萄科)"	"0.91"
"11"	"上"	"18.94"	"玫宝"	"332.0"	"鲜食,可酿酒,高含糖"	"山西"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.12"	"晚"	"甜"	"山西太谷"	"较好"	"多"	"4.55"	"黄绿"	"中"	"Vitis(葡萄属)"	"20.20"	"软"	"3.40"	"较小"	"PTF0011"	"MEI BAO"	"近圆"	"Vitaceae(葡萄科)"	"0.80"
"12"	"上"	"19.56"	"瑰宝"	"403.0"	"鲜食,品质极上"	"山西"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.15"	"晚"	"极甜"	"山西太谷"	"好"	"少"	"6.00"	"紫红"	"较大"	"Vitis(葡萄属)"	"21.20"	"脆"	"3.60"	"中"	"PTF0012"	"GUI BAO"	"椭圆"	"Vitaceae(葡萄科)"	"0.63"
"13"	"中上"	"16.63"	"71-3-12"	"371.0"	"鲜食"	"山西"	"Vitis labrusca L.(美洲葡萄)"	"欧美种"	"9.17"	"晚"	"甜"	"山西太谷"	"好"	"多"	"13.20"	"红"	"极大"	"Vitis(葡萄属)"	"19.00"	"软"	"3.44"	"中"	"PTF0013"	"71-3-12"	"短椭"	"Vitaceae(葡萄科)"	"0.93"
"14"	"中上"	"16.15"	"5-23"	"197.0"	"鲜食"	"山西"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.12"	"晚"	"酸甜"	"山西太谷"	"较好"	"少"	"4.60"	"紫红"	"中"	"Vitis(葡萄属)"	"19.20"	"软"	"3.70"	"小"	"PTF0014"	"5-23"	"椭圆"	"Vitaceae(葡萄科)"	"0.64"
"15"	"上"	"18.34"	"9-20"	"313.0"	"鲜食"	"山西"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.08"	"晚"	"甜"	"山西太谷"	"较好"	"少"	"5.50"	"紫红"	"较大"	"Vitis(葡萄属)"	"20.60"	"脆"	"3.50"	"较小"	"PTF0015"	"9-20"	"椭圆"	"Vitaceae(葡萄科)"	"0.68"
"16"	"中上"	"16.74"	"11-5"	"421.0"	"鲜食"	"山西"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.29"	"中"	"酸甜"	"山西太谷"	"较好"	"少"	"6.70"	"紫红"	"较大"	"Vitis(葡萄属)"	"18.40"	"软"	"3.45"	"中"	"PTF0016"	"11-5"	"椭圆"	"Vitaceae(葡萄科)"	"0.87"
"17"	"中"	"16.19"	"29-14"	"240.0"	"鲜食"	"山西"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.07"	"晚"	"甜酸"	"山西太谷"	"较好"	"少"	"6.02"	"黑"	"较大"	"Vitis(葡萄属)"	"18.60"	"软"	"3.20"	"小"	"PTF0017"	"29-14"	"扁圆"	"Vitaceae(葡萄科)"	"1.31"
"18"	"上"	"18.57"	"巨峰×巨鲸"	"500.0"	"鲜食"	"国外"	"Vitis labrusca L.(美洲葡萄)"	"欧美种"	"9.17"	"晚"	"甜"	"日本"	"好"	"少"	"11.20"	"紫黑"	"极大"	"Vitis(葡萄属)"	"19.10"	"较脆"	"3.57"	"较大"	"PTF0018"	"JU FENG ×JU JING"	"椭圆"	"Vitaceae(葡萄科)"	"0.64"
"19"	"中上"	"18.41"	"粉红沙斯拉"	"128.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.22"	"晚"	"酸甜"	"埃及"	"中"	"多"	"1.65"	"粉红"	"小"	"Vitis(葡萄属)"	"19.80"	"软"	"3.54"	"小"	"PTF0019"	"FEN HONG SHA SI LA"	"圆"	"Vitaceae(葡萄科)"	"0.86"
