"id"	"成熟期"	"科名"	"保存编号"	"品种名称"	"其他"	"原产地"	"柱头色"	"叶色"	"千粒重"	"类别"	"出苗期"	"样品类型"	"省"	"粒色"	"有效分蘖数"	"保存单位"	"库编号"	"花药色"	"播种期"	"学名"	"统一编号"	"译名"	"属名"	"粒形"	"株高"	"叶鞘色"
"1"	"10.05"	"Gramineae(禾本科)"	"YI19"	"苏16"	"--"	"江苏"	"--"	"绿"	"82.50"	"栽培"	"7.02"	"地方"	"江苏"	"棕黑"	"9.0"	"中国农科院品资所"	"I7C00347"	"黄"	"6.20"	"--"	"ZI000001"	"SU 16"	"Coix(薏苡属)"	"尖卵球"	"71.00"	"绿"
"2"	"10.15"	"Gramineae(禾本科)"	"YI24"	"无锡薏苡"	"--"	"无锡"	"--"	"绿"	"263.50"	"野生"	"7.10"	"野生"	"江苏"	"黄"	"9.0"	"中国农科院品资所"	"I7C00870"	"黄"	"6.20"	"--"	"ZI000002"	"TIAN XI YI YI"	"Coix(薏苡属)"	"扁圆球"	"78.90"	"绿"
"3"	"10.15"	"Gramineae(禾本科)"	"YI25"	"南京薏苡"	"--"	"南京"	"--"	"绿"	"180.00"	"野生"	"7.10"	"野生"	"江苏"	"棕黑"	"12.0"	"中国农科院品资所"	"I7C00911"	"黄"	"6.20"	"--"	"ZI000003"	"NAN JING YI YI"	"Coix(薏苡属)"	"长卵球"	"75.00"	"绿"
"4"	"12.25"	"Gramineae(禾本科)"	"YI20"	"粤1"	"--"	"广东"	"--"	"绿"	"163.30"	"栽培"	"7.03"	"地方"	"广东"	"黄"	"6.0"	"中国农科院品资所"	"I7C00348"	"黄"	"6.20"	"--"	"ZI000004"	"YUE 1"	"Coix(薏苡属)"	"卵球"	"151.60"	"黄绿"
"5"	"12.20"	"Gramineae(禾本科)"	"YI21"	"琼1"	"--"	"海南"	"--"	"绿"	"332.70"	"野生"	"7.11"	"野生"	"海南"	"灰兰"	"12.0"	"中国农科院品资所"	"I7C00912"	"黄"	"6.20"	"--"	"ZI000005"	"QIONG 1"	"Coix(薏苡属)"	"卵球"	"173.00"	"紫绿"
"6"	"12.15"	"Gramineae(禾本科)"	"YI22"	"滇2"	"--"	"云南"	"--"	"绿"	"123.50"	"栽培"	"7.05"	"地方"	"海南"	"棕灰"	"8.0"	"中国农科院品资所"	"I7C00349"	"黄"	"6.20"	"--"	"ZI000006"	"DIAN 2"	"Coix(薏苡属)"	"卵球"	"164.60"	"红绿"
"7"	"10.25"	"Gramineae(禾本科)"	"YI23"	"昌平草珠子"	"--"	"昌平"	"--"	"绿"	"205.00"	"野生"	"7.10"	"野生"	"北京"	"灰黑"	"6.0"	"中国农科院品资所"	"--"	"黄"	"6.20"	"--"	"ZI000007"	"CHANG PING CAO ZHU ZI"	"Coix(薏苡属)"	"卵圆球"	"162.00"	"绿"
"8"	"10.20"	"Gramineae(禾本科)"	"YI26"	"延庆薏米"	"--"	"延庆"	"--"	"绿"	"234.00"	"野生"	"7.10"	"野生"	"北京"	"棕黑"	"7.0"	"中国农科院品资所"	"--"	"黄"	"6.20"	"--"	"ZI000008"	"YAN QING YI MI"	"Coix(薏苡属)"	"卵圆球"	"153.50"	"绿"
"9"	"10.20"	"Gramineae(禾本科)"	"YI28"	"延庆薏苡"	"--"	"延庆"	"--"	"绿"	"210.00"	"野生"	"7.10"	"野生"	"北京"	"棕黑"	"7.0"	"中国农科院品资所"	"--"	"黄"	"6.20"	"--"	"ZI000009"	"YAN QING YI YI"	"Coix(薏苡属)"	"卵圆球"	"150.00"	"绿"
"10"	"11.15"	"Gramineae(禾本科)"	"YI27"	"慈利薏苡"	"--"	"慈利"	"--"	"绿"	"218.20"	"野生"	"7.10"	"野生"	"湖南"	"灰黑"	"13.0"	"中国农科院品资所"	"I7C00871"	"黄"	"6.20"	"--"	"ZI000010"	"CI LI YI YI"	"Coix(薏苡属)"	"卵球"	"120.10"	"红绿"
