"id"	"备注"	"蚜害病评价"	"异亮氨酸"	"酩氨酸"	"样品类型"	"花色"	"单荚粒数"	"全生育日数"	"粒型"	"赤斑病评价"	"支链淀粉"	"赤斑病级"	"丙氨酸"	"锈病指数"	"译名"	"粒色"	"色氨酸"	"有效枝"	"属名"	"粗脂肪"	"省"	"丝氨酸"	"赖氨酸"	"甘氨酸"	"天冬氨酸"	"蚜害病指数"	"亮氨酸"	"熟性"	"褐斑病评价"	"谷氨酸"	"荚宽"	"粗蛋白"	"百粒重"	"粒形"	"成熟期"	"精氨酸"	"直链淀粉"	"库编号"	"品种名称"	"均匀度"	"苏氨酸"	"蛋氨酸"	"保存编号"	"学名"	"褐斑病级"	"播种期"	"种子来源"	"锈病病级"	"原产地"	"抗涝性"	"脯氨酸"	"株高"	"组氨酸"	"单株荚数"	"保存单位"	"芽期耐盐"	"缬氨酸"	"统一编号"	"蚜害病级"	"锈病评价"	"单株产量"	"褐斑病指数"	"苯丙氨酸"	"胱氨酸"	"总淀粉"	"荚长"	"赤斑病指数"	"总和"	"科名"	"苗期耐盐"	"穗形"	"酪氨酸"	"穗柄长"	"蛋白质"	"赖氨占蛋白"	"脂肪"	"锤度"	"分枝数"	"来源地"	"结荚习性"	"分蘖性"	"荚色"	"引入时间"	"生长习性"	"丝黑穗病率"	"灌浆抗寒性"	"高程"	"水份"	"颖壳包皮度"	"幼苗色"	"壳色"	"苗期抗寒性"
"1"	"--"	"--"	"--"	"--"	"地方"	"白"	"2.2"	"113"	"小"	"HS"	"34.52"	"7-9"	"--"	"--"	"DA DOU"	"乳白"	"--"	"1.0"	"Vicia(巢菜属)"	"1.37"	"山西"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"HS"	"--"	"--"	"23.22"	"63.9"	"窄厚"	"7.05"	"--"	"12.28"	"I2M02312"	"大豆"	"--"	"--"	"--"	"163"	"Vicia faba L.(蚕豆)"	"7-9"	"3.14"	"--"	"--"	"大同县"	"--"	"--"	"77.8"	"--"	"7.2"	"山西省农科院"	"--"	"--"	"H0000001"	"--"	"--"	"12.8"	"81.6"	"--"	"--"	"46.80"	"6.0"	"83.0"	"--"	"Leguminosae(豆科)"	"--"																						
"2"	"--"	"--"	"1.25"	"1.15"	"地方"	"白"	"2.1"	"111"	"小"	"S"	"32.73"	"7"	"1.07"	"--"	"CAN DOU"	"乳白"	"0.14"	"1.1"	"Vicia(巢菜属)"	"1.29"	"山西"	"0.96"	"1.50"	"1.00"	"2.92"	"--"	"2.19"	"晚"	"HS"	"5.54"	"--"	"24.68"	"61.7"	"窄厚"	"7.03"	"2.48"	"13.32"	"I2M02313"	"蚕豆"	"--"	"0.82"	"0.88"	"165"	"Vicia faba L.(蚕豆)"	"9"	"3.14"	"--"	"--"	"天镇县"	"--"	"0.93"	"56.8"	"0.64"	"6.6"	"山西省农科院"	"--"	"1.43"	"H0000002"	"--"	"--"	"6.2"	"100.0"	"1.90"	"0.40"	"46.05"	"5.1"	"79.0"	"27.20"	"Leguminosae(豆科)"	"--"																						
"3"	"--"	"--"	"--"	"--"	"地方"	"白"	"2.1"	"109"	"中"	"HS"	"32.82"	"7-9"	"--"	"--"	"CAN DOU"	"乳白"	"--"	"0.9"	"Vicia(巢菜属)"	"1.60"	"山西"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"HS"	"--"	"--"	"23.70"	"73.3"	"中薄"	"7.01"	"--"	"13.20"	"I2M02314"	"蚕豆"	"--"	"--"	"--"	"170"	"Vicia faba L.(蚕豆)"	"7"	"3.14"	"--"	"--"	"应县"	"--"	"--"	"69.9"	"--"	"7.4"	"山西省农科院"	"--"	"--"	"H0000003"	"--"	"--"	"9.7"	"80.7"	"--"	"--"	"46.02"	"5.7"	"82.2"	"--"	"Leguminosae(豆科)"	"--"																						
"4"	"--"	"--"	"--"	"--"	"地方"	"白"	"2.1"	"109"	"小"	"--"	"32.57"	"--"	"--"	"--"	"DA DOU"	"乳白"	"--"	"1.1"	"Vicia(巢菜属)"	"1.32"	"山西"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"--"	"25.32"	"67.4"	"窄厚"	"7.01"	"--"	"12.40"	"I2M02315"	"大豆"	"--"	"--"	"--"	"171"	"Vicia faba L.(蚕豆)"	"--"	"3.14"	"--"	"--"	"山阴县"	"--"	"--"	"64.0"	"--"	"9.4"	"山西省农科院"	"--"	"--"	"H0000004"	"--"	"--"	"9.4"	"--"	"--"	"--"	"44.97"	"5.8"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"5"	"--"	"--"	"--"	"--"	"地方"	"白"	"1.8"	"111"	"小"	"--"	"31.33"	"--"	"--"	"--"	"BEN DI CAN DOU"	"乳白"	"--"	"1.2"	"Vicia(巢菜属)"	"1.11"	"山西"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"--"	"23.82"	"69.8"	"中薄"	"7.03"	"--"	"9.54"	"I2M02316"	"本地蚕豆"	"--"	"--"	"--"	"172"	"Vicia faba L.(蚕豆)"	"--"	"3.14"	"--"	"--"	"左云县"	"--"	"--"	"69.5"	"--"	"7.8"	"山西省农科院"	"--"	"--"	"H0000005"	"--"	"--"	"8.1"	"--"	"--"	"--"	"40.87"	"5.2"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"6"	"--"	"--"	"--"	"--"	"地方"	"白"	"2.0"	"111"	"小"	"--"	"33.19"	"--"	"--"	"--"	"DA MA YA"	"乳白"	"--"	"0.9"	"Vicia(巢菜属)"	"1.29"	"山西"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"--"	"25.81"	"56.5"	"中薄"	"7.03"	"--"	"12.40"	"I2M02317"	"大马牙"	"--"	"--"	"--"	"173"	"Vicia faba L.(蚕豆)"	"--"	"3.14"	"--"	"--"	"左云县"	"--"	"--"	"64.3"	"--"	"6.6"	"山西省农科院"	"--"	"--"	"H0000006"	"--"	"--"	"6.3"	"--"	"--"	"--"	"45.59"	"4.7"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"7"	"--"	"--"	"1.50"	"0.49"	"地方"	"白"	"2.1"	"111"	"小"	"--"	"34.56"	"--"	"1.16"	"--"	"DA DOU"	"乳白"	"0.15"	"1.2"	"Vicia(巢菜属)"	"1.05"	"山西"	"1.26"	"1.68"	"1.17"	"2.99"	"--"	"2.24"	"晚"	"--"	"5.00"	"--"	"24.42"	"65.4"	"中薄"	"7.03"	"2.49"	"11.50"	"I2M02318"	"大豆"	"--"	"0.96"	"0.59"	"174"	"Vicia faba L.(蚕豆)"	"--"	"3.14"	"--"	"--"	"右玉县"	"--"	"1.24"	"60.1"	"0.69"	"8.9"	"山西省农科院"	"--"	"1.45"	"H0000007"	"--"	"--"	"7.6"	"--"	"1.64"	"0.69"	"46.06"	"4.9"	"--"	"27.37"	"Leguminosae(豆科)"	"--"																						
"8"	"--"	"--"	"1.52"	"0.82"	"地方"	"白"	"2.0"	"113"	"小"	"--"	"33.30"	"--"	"1.04"	"--"	"CAN DOU"	"乳白"	"0.15"	"0.6"	"Vicia(巢菜属)"	"1.51"	"山西"	"1.19"	"1.78"	"1.06"	"2.68"	"--"	"2.12"	"晚"	"--"	"4.63"	"--"	"25.07"	"53.3"	"窄厚"	"7.05"	"2.24"	"12.60"	"I2M02319"	"蚕豆"	"--"	"0.88"	"0.56"	"137"	"Vicia faba L.(蚕豆)"	"--"	"3.14"	"--"	"--"	"忻县"	"--"	"0.95"	"60.8"	"0.66"	"8.3"	"山西省农科院"	"--"	"1.40"	"H0000008"	"--"	"--"	"10.0"	"--"	"1.61"	"0.59"	"45.90"	"7.1"	"--"	"25.87"	"Leguminosae(豆科)"	"--"																						
"9"	"--"	"--"	"--"	"--"	"地方"	"白"	"2.4"	"108"	"中"	"--"	"35.39"	"--"	"--"	"--"	"CAN DOU"	"乳白"	"--"	"3.0"	"Vicia(巢菜属)"	"1.46"	"山西"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"--"	"23.47"	"72.9"	"窄厚"	"7.04"	"--"	"12.28"	"I2M02320"	"蚕豆"	"--"	"--"	"--"	"80-1"	"Vicia faba L.(蚕豆)"	"--"	"3.18"	"--"	"--"	"忻县"	"--"	"--"	"58.0"	"--"	"13.2"	"山西省农科院"	"--"	"--"	"H0000009"	"--"	"--"	"16.2"	"--"	"--"	"--"	"47.67"	"7.2"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"10"	"--"	"--"	"1.52"	"0.82"	"地方"	"白"	"2.1"	"108"	"小"	"--"	"34.64"	"--"	"1.05"	"--"	"CAN DOU"	"乳白"	"0.15"	"1.9"	"Vicia(巢菜属)"	"1.44"	"山西"	"1.21"	"1.80"	"1.06"	"2.67"	"--"	"2.22"	"中"	"--"	"4.76"	"--"	"24.03"	"66.7"	"窄厚"	"7.04"	"2.25"	"11.36"	"I2M02321"	"蚕豆"	"--"	"0.90"	"0.52"	"80-2"	"Vicia faba L.(蚕豆)"	"--"	"3.18"	"--"	"--"	"代县"	"--"	"0.86"	"53.7"	"0.64"	"11.2"	"山西省农科院"	"--"	"1.45"	"H0000010"	"--"	"--"	"13.1"	"--"	"1.68"	"0.61"	"46.00"	"6.6"	"--"	"26.18"	"Leguminosae(豆科)"	"--"																						
