"id"	"抗逆性"	"老瓜斑纹"	"品种名称"	"抗病虫性"	"保存编号"	"备注"	"商瓜次色"	"种子来源"	"瓜形"	"瓜棱形状"	"译名"	"商瓜皮色"	"单瓜重"	"叶形"	"生育期"	"老瓜皮色"	"亩产"	"保存单位"	"肉质"	"老瓜次色"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"分枝性"	"瓜面腊粉"	"商瓜斑纹"	"生长习性"	"雌首花节位"	"风味"
"1"	"强"	"--"	"小羊眼"	"抗"	"Cv1(88)"	"--"	"--"	"安徽嘉山县"	"圆形"	"平"	"XIAO YANG YAN"	"绿"	"1.8"	"心形"	"90"	"绿色"	"1500"	"安徽农科院园艺所"	"--"	"--"	"Ⅱ5M0083"	"V05P0001"	"4中-7下"	"中"	"弱"	"--"	"--"	"蔓生"	"10"	"淡而无味"
"2"	"强"	"--"	"二羊眼"	"抗"	"Cv2(88)"	"--"	"--"	"安徽嘉山县"	"圆形"	"平"	"ER YANG YAN"	"绿"	"2.3"	"心形"	"90"	"绿色"	"1500"	"安徽农科院园艺所"	"--"	"--"	"Ⅱ5M0084"	"V05P0002"	"4中-7下"	"中"	"弱"	"--"	"--"	"蔓生"	"12"	"淡而无味"
"3"	"强"	"--"	"核桃皮西瓜"	"抗"	"甘Ⅱ5J008"	"--"	"--"	"甘肃"	"圆形"	"--"	"HE TAO PI XI GUA"	"绿"	"4.5"	"扁圆形"	"110"	"--"	"1250"	"甘肃农科院蔬菜所"	"细粒质密"	"--"	"Ⅱ5M0102"	"V05P0003"	"4上-7下8上"	"晚"	"中"	"--"	"--"	"--"	"12"	"中"
"4"	"强"	"--"	"河西黑皮(红瓤)"	"抗"	"甘Ⅱ5J010-1"	"--"	"--"	"甘肃河西各地"	"圆形"	"--"	"HE XI HEI PI (HONG RANG )"	"黑"	"4.5"	"扁圆形"	"110"	"--"	"1250"	"甘肃农科院蔬菜所"	"细粒质密"	"--"	"Ⅱ5M0103"	"V05P0004"	"4下-5上8中下"	"晚"	"中"	"--"	"--"	"--"	"10"	"中"
"5"	"强"	"--"	"核桃皮籽瓜"	"中"	"甘Ⅱ5J041"	"瓜籽重"	"--"	"甘肃靖远县"	"圆形"	"--"	"HE TAO PI ZI GUA"	"--"	"0.3"	"扁圆形"	"120"	"--"	"55"	"甘肃农科院蔬菜所"	"籽皮薄松"	"--"	"Ⅱ5M0065"	"V05P0005"	"4上-5上-8中下"	"晚"	"--"	"--"	"--"	"--"	"12"	"--"
"6"	"耐贮"	"--"	"兰州黑皮(黄瓤)"	"抗"	"甘Ⅱ5J004-2"	"--"	"--"	"甘肃兰州市"	"圆形"	"--"	"LAN ZHOU HEI PI (HUANG RANG )"	"--"	"0.1"	"扁圆形"	"110"	"--"	"1250"	"甘肃农科院蔬菜所"	"质沙软"	"--"	"Ⅱ5M0066"	"V05P0006"	"4上-7下"	"晚"	"--"	"--"	"--"	"--"	"12"	"中"
"7"	"耐贮"	"--"	"兰州黑皮(红瓤)"	"抗"	"甘Ⅱ5J004-1"	"--"	"--"	"甘肃兰州市"	"圆形"	"--"	"LAN ZHOU HEI PI (HONG RANG )"	"--"	"4.0"	"扁圆形"	"110"	"--"	"1250"	"甘肃农科院蔬菜所"	"细粒质密"	"--"	"Ⅱ5M0068"	"V05P0007"	"4上-7下"	"晚"	"--"	"--"	"--"	"--"	"12"	"--"
"8"	"强"	"--"	"蜜玫西瓜"	"抗"	"甘Ⅱ5J002"	"--"	"--"	"甘肃兰州市"	"圆形"	"--"	"MI MEI XI GUA"	"黑"	"--"	"扁圆形"	"100"	"黑色"	"1250"	"甘肃农科院蔬菜所"	"质脆纤维"	"--"	"Ⅱ5M0096"	"V05P0008"	"4上-7中"	"中"	"中"	"--"	"--"	"蔓生"	"8"	"中"
"9"	"不耐贮"	"--"	"小麦仁籽"	"抗"	"甘Ⅱ5J003"	"--"	"--"	"甘肃兰州市"	"圆形"	"--"	"XIAO MAI REN ZI"	"绿"	"--"	"扁圆形"	"100"	"黑色"	"1250"	"甘肃农科院蔬菜所"	"细粒质密"	"--"	"Ⅱ5M0097"	"V05P0009"	"4上-7中"	"中"	"中"	"--"	"--"	"--"	"7"	"--"
"10"	"耐热贮"	"--"	"友谊瓜"	"抗"	"甘Ⅱ5J011"	"--"	"--"	"甘肃兰州市"	"圆形"	"--"	"YOU YI GUA"	"黄"	"--"	"扁圆形"	"120"	"绿色"	"1500"	"甘肃农科院蔬菜所"	"细嫩"	"--"	"Ⅱ5M0104"	"V05P0010"	"4上-5上,8上中"	"晚"	"中"	"--"	"--"	"--"	"9"	"甜"
"11"	"耐贮"	"--"	"兰州花皮西瓜"	"重感"	"甘Ⅱ5J012"	"--"	"--"	"甘肃兰州市"	"圆形"	"--"	"LAN ZHOU HUA PI XI GUA"	"绿"	"--"	"扁圆形"	"120"	"绿色"	"1500"	"甘肃农科院蔬菜所"	"纤维中细"	"--"	"Ⅱ5M0105"	"V05P0011"	"4上-8上中"	"晚"	"强"	"--"	"--"	"--"	"10"	"中"
"12"	"强"	"--"	"早花"	"抗"	"甘Ⅱ5J001"	"二次结果"	"--"	"甘肃兰州市"	"圆形"	"--"	"ZAO HUA"	"--"	"0.1"	"扁圆形"	"90"	"--"	"2500"	"甘肃农科院蔬菜所"	"细粒质密"	"--"	"Ⅱ5M0061"	"V05P0012"	"3下-5上-7上8上"	"早"	"--"	"--"	"--"	"--"	"8"	"中"
"13"	"中"	"--"	"蛤蟆眼"	"中"	"甘Ⅱ5J009"	"--"	"--"	"甘肃兰州市"	"圆形"	"--"	"GE MA YAN"	"--"	"0.1"	"扁圆形"	"110"	"--"	"--"	"甘肃农科院蔬菜所"	"软"	"--"	"Ⅱ5M0062"	"V05P0013"	"4上-7下"	"晚"	"--"	"--"	"--"	"--"	"9"	"中"
"14"	"强"	"--"	"74-5-1西瓜"	"抗"	"甘Ⅱ5J021"	"--"	"--"	"甘肃兰州市"	"圆形"	"--"	"74-5-1 XI GUA"	"--"	"0.1"	"扁圆形"	"100"	"--"	"1750"	"甘肃农科院蔬菜所"	"细粒质密"	"--"	"Ⅱ5M0063"	"V05P0014"	"4上-7中"	"中"	"--"	"--"	"--"	"--"	"10"	"中"
"15"	"强"	"--"	"118西瓜"	"抗"	"甘Ⅱ5J022"	"--"	"--"	"甘肃兰州市"	"圆形"	"--"	"118 XI GUA"	"--"	"4.2"	"扁圆形"	"120"	"--"	"2000"	"甘肃农科院蔬菜所"	"酥脆较细"	"--"	"Ⅱ5M0064"	"V05P0015"	"4上-8上中"	"晚"	"--"	"--"	"--"	"--"	"14"	"甜"
"16"	"强"	"--"	"陇东黑皮"	"抗"	"甘Ⅱ5J006"	"--"	"--"	"甘肃平凉市"	"圆形"	"--"	"LONG DONG HEI PI"	"黑"	"4.0"	"扁圆形"	"110"	"--"	"1250"	"甘肃农科院蔬菜所"	"中"	"--"	"Ⅱ5M0098"	"V05P0016"	"4上-7下8上"	"晚"	"中"	"--"	"--"	"--"	"12"	"中"
"17"	"耐贮"	"--"	"陇东白皮"	"抗"	"甘Ⅱ5J005"	"--"	"--"	"甘肃天水市"	"圆形"	"--"	"LONG DONG BAI PI"	"绿"	"--"	"扁圆形"	"110"	"绿色"	"1250"	"甘肃农科院蔬菜所"	"纤维粗"	"--"	"Ⅱ5M0099"	"V05P0017"	"4下-7下-8上"	"晚"	"强"	"--"	"--"	"--"	"11"	"中"
"18"	"强"	"--"	"陇东花皮(红瓤黑籽)"	"抗"	"甘Ⅱ5J007-1"	"--"	"--"	"甘肃天水市"	"圆形"	"--"	"LONG DONG HUA PI (HONG RANG HEI ZI)"	"黄"	"4.0"	"扁圆形"	"110"	"--"	"1250"	"甘肃农科院蔬菜所"	"软"	"--"	"Ⅱ5M0100"	"V05P0018"	"4上-7下8上"	"晚"	"中"	"--"	"--"	"--"	"12"	"中"
"19"	"强"	"--"	"陇东花皮(黄瓤红种)"	"抗"	"甘Ⅱ5J007-2"	"--"	"--"	"甘肃天水市"	"圆形"	"--"	"LONG DONG HUA PI (HUANG RANG HONG ZHONG)"	"黄"	"4.0"	"扁圆形"	"110"	"--"	"1250"	"甘肃农科院蔬菜所"	"中"	"--"	"Ⅱ5M0101"	"V05P0019"	"4上-7下8上"	"晚"	"中"	"--"	"--"	"--"	"12"	"中"
"20"	"中"	"--"	"新青西瓜"	"中"	"G38-6"	"--"	"--"	"广东澄海县"	"圆形"	"平"	"XIN QING XI GUA"	"绿"	"4.0"	"掌状"	"70"	"绿色"	"1000"	"广东农科院经作所"	"圆滑致密"	"--"	"Ⅱ5M0043"	"V05P0020"	"3-57-9"	"中"	"中"	"无"	"--"	"葡匐蔓生"	"9"	"甜"
"21"	"中"	"纹"	"瓜子瓜(红仁)"	"中"	"G38-8"	"--"	"--"	"海南省儋县"	"圆形"	"平"	"GUA ZI GUA (HONG REN )"	"绿"	"0.8"	"掌状"	"90"	"绿色"	"--"	"广东农科院经作所"	"软"	"绿色"	"Ⅱ5M0070"	"V05P0022"	"3-6"	"中"	"中"	"无"	"--"	"葡匐蔓生"	"11"	"咸"
