"id"	"抗逆性"	"老瓜斑纹"	"品种名称"	"抗病虫性"	"保存编号"	"备注"	"商瓜次色"	"种子来源"	"瓜形"	"瓜棱形状"	"译名"	"商瓜皮色"	"单瓜重"	"叶形"	"生育期"	"老瓜皮色"	"亩产"	"保存单位"	"肉质"	"老瓜次色"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"分枝性"	"瓜面腊粉"	"省"	"商瓜斑纹"	"生长习性"	"雌首花节位"	"风味"
"1"	"--"	"--"	"花皮西葫芦"	"--"	"CP2(86)"	"--"	"--"	"安徽阜南县"	"圆柱形"	"平"	"HUA PI XI HU LU"	"绿"	"1.5"	"掌状"	"30"	"灰色"	"875"	"安徽农科院园艺所"	"--"	"--"	"Ⅱ5Ba108"	"V05B0001"	"春4上-5上"	"早"	"中"	"--"	"安徽"	"点状"	"葡匐蔓生"	"6"	"--"
"2"	"--"	"--"	"青皮西葫芦"	"抗"	"CP1(80)"	"*60年代引自山东"	"--"	"安徽合肥市"	"圆柱形"	"平"	"QING PI XI HU LU"	"奶油色"	"1.8"	"掌状"	"30"	"绿色"	"1750"	"安徽农科院园艺所"	"--"	"--"	"Ⅱ5Ba006"	"V05B0002"	"4上-5上"	"早"	"强"	"--"	"安徽"	"--"	"半蔓生"	"4"	"--"
"3"	"强"	"--"	"白皮大搅瓜"	"抗"	"Cp3(87)"	"--"	"--"	"安徽涡阳县"	"圆柱形"	"平"	"BAI PI DA JIAO GUA"	"绿"	"1.8"	"扁圆形"	"120"	"奶油色"	"1000"	"安徽农科院园艺所"	"味面甜"	"--"	"Ⅱ5Ba198"	"V05B0003"	"3中-7下"	"中"	"中"	"无"	"安徽"	"--"	"蔓生"	"8"	"甜"
"4"	"强"	"--"	"黄皮小搅瓜"	"抗"	"Cp4(87)"	"--"	"--"	"安徽涡阳县"	"椭圆形"	"平"	"HUANG PI XIAO JIAO GUA"	"绿"	"0.8"	"扁圆形"	"100"	"黄色"	"750"	"安徽农科院园艺所"	"圆滑致密"	"--"	"Ⅱ5Ba199"	"V05B0004"	"3中-7中"	"早"	"强"	"无"	"安徽"	"--"	"蔓生"	"7"	"--"
"5"	"强"	"--"	"老黄皮中型搅瓜"	"抗"	"Cp5(87)"	"--"	"--"	"安徽涡阳县"	"圆柱形"	"平"	"LAO HUANG PI ZHONG XING JIAO GUA"	"奶油色"	"1.0"	"扁圆形"	"120"	"黄色"	"750"	"安徽农科院园艺所"	"圆滑致密"	"--"	"Ⅱ5Ba200"	"V05B0005"	"3-7下"	"中"	"中"	"无"	"安徽"	"--"	"蔓生"	"8"	"甜"
"6"	"强"	"--"	"黄皮大搅瓜"	"抗"	"Cp6(87)"	"--"	"--"	"安徽涡阳县"	"椭圆形"	"平"	"HUANG PI DA JIAO GUA"	"绿"	"1.8"	"扁圆形"	"100"	"黄色"	"1000"	"安徽农科院园艺所"	"微甜"	"--"	"Ⅱ5Ba201"	"V05B0006"	"3中-7中"	"早"	"强"	"无"	"安徽"	"--"	"蔓生"	"7"	"微甜"
"7"	"强"	"--"	"圆形搅瓜"	"抗"	"Cp7(87)"	"--"	"--"	"安徽涡阳县"	"圆形"	"平"	"YUAN XING JIAO GUA"	"黄"	"0.8"	"扁圆形"	"120"	"奶油色"	"750"	"安徽农科院园艺所"	"一般"	"--"	"Ⅱ5Ba202"	"V05B0007"	"3中-7下"	"中"	"中"	"无"	"安徽"	"--"	"蔓生"	"8"	"微甜"
"8"	"强"	"斑"	"花皮搅瓜"	"--"	"Cp8(87)"	"--"	"--"	"安徽涡阳县"	"椭圆形"	"平"	"HUA PI JIAO GUA"	"绿"	"1.3"	"扁圆形"	"130"	"绿色"	"750"	"安徽农科院园艺所"	"圆滑致密"	"--"	"Ⅱ5Ba203"	"V05B0008"	"3中-8上"	"晚"	"弱"	"无"	"安徽"	"--"	"蔓生"	"9"	"微甜"
"9"	"耐热"	"--"	"青皮西葫芦"	"--"	"B172"	"*"	"黄色"	"北京"	"圆柱形"	"棱"	"QING PI XI HU LU"	"绿"	"1.5"	"掌状"	"40"	"--"	"3750"	"北京蔬菜研究中心"	"软"	"--"	"Ⅱ5Ba089"	"V05B0009"	"春"	"晚"	"--"	"--"	"北京"	"斑块状"	"矮生"	"7"	"淡而无味"
"10"	"耐寒不耐热"	"--"	"花叶西葫芦"	"--"	"B173"	"*引自阿尔及利亚"	"--"	"北京"	"圆柱形"	"棱"	"HUA YE XI HU LU"	"绿"	"1.8"	"掌状"	"30"	"--"	"3250"	"北京蔬菜研究中心"	"软"	"--"	"Ⅱ5Ba090"	"V05B0010"	"春"	"早"	"--"	"--"	"北京"	"线条状"	"矮生"	"6"	"淡而无味"
