"id"	"白发病抗性"	"谷锈严重度"	"科名"	"品种名称"	"主茎长度"	"赖氨占蛋白"	"米色"	"蝇被害指数"	"生育期"	"幼苗鞘色"	"VB1"	"单株穗重"	"主穗长度"	"玉米螟抗性"	"脂肪酸182"	"赖氨占样品"	"穗型"	"脂肪酸183"	"VB2"	"分蘖数"	"省"	"玉米螟级别"	"抽穗日数"	"白发病病率"	"东经"	"脂肪酸181"	"属名"	"统一编号"	"学名"	"谷锈反应型"	"谷瘟病级别"	"区"	"脂肪酸180"	"蝇抗性级别"	"原产地"	"抗旱性"	"粗脂肪"	"粗蛋白"	"硒"	"北纬"	"库编号"	"黑穗病率"	"幼苗叶色"	"蝇被害株率"	"单株秆重"	"刺毛长度"	"线虫病指"	"穗松紧"	"谷瘟病抗性"	"样品类型"	"单株粒重"	"主茎节数"	"粒色"	"粳糯性"	"备注"	"白发病病级"	"主茎直径"	"VE"	"千粒重"	"单位编号"	"粟芒蝇评价"	"保存单位"	"高程"	"译名"	"一株茎数"	"脂肪酸200"	"脂肪酸160"	"穗形"	"叶锈反应型"	"直链淀粉"	"生育日数"	"穗柄长"	"耐涝性"	"米香"	"双穗率"	"用途"	"赤霉病病穗"	"白背飞虱"	"支链淀粉"	"锤度"	"条锈反应型"	"籼粳"	"爆裂率"	"来源地"	"秆锈严重度"	"苗瘟"	"芽期抗寒"	"分蘖性"	"芒"	"苗期耐旱"	"蛋氨酸"	"耐瘠性"	"田间抗寒性"	"精米率"	"花生稀酸"	"总淀粉"	"秆锈反应型"	"长宽比"	"丝黑穗病率"	"灌浆抗寒性"	"穗粒数"	"出穗期"	"大斑评价"	"水份"	"壳色"	"颖尖色"	"丙氨酸"	"保存编号"	"沉淀值"	"早中晚"	"田间大斑病"	"颖壳包皮度"	"赤霉病抗性"	"保存单位_2"	"主茎叶片数"	"省编号"	"白粉反应型"	"纹枯病"	"α生育酚"	"幼苗色"	"冬春性"	"颖尖弯直"	"田间小斑病"	"倒伏性"	"赤霉病病指"	"方法及组合"	"熟期抗寒性"	"引入时间"	"育成年限"	"芒长"	"田间黑粉病"	"苗期抗寒性"	"根腐穗病级"	"糙米率"
"1"	"M"	"--"	"Gramineae(禾本科)"	"爱珲当地种"	"110.2"	"2.62"	"淡黄"	"--"	"110"	"绿"	"--"	"7.7"	"15.0"	"--"	"--"	"0.38"	"圆筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"24.7"	"12611"	"--"	"Setaria(狗尾草属)"	"00000001"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"9"	"东北平原"	"--"	"--"	"德都"	"4"	"3.18"	"15.52"	"--"	"4831"	"I1I12493"	"--"	"绿"	"--"	"8.8"	"短"	"--"	"中"	"HS"	"地方"	"6.2"	"--"	"褐"	"粳"	"--"	"5"	"--"	"--"	"2.20"	"1"	"--"	"黑龙江黑河农科所"	"251"	"AI HUI DANG DI ZHONG"	"--"	"--"	"--"																																																																			
"2"	"M"	"--"	"Gramineae(禾本科)"	"粘谷"	"105.2"	"2.34"	"黄"	"--"	"110"	"绿"	"--"	"7.8"	"16.9"	"--"	"--"	"0.34"	"锥纺形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"25.8"	"12727"	"--"	"Setaria(狗尾草属)"	"00000002"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"6"	"东北平原"	"--"	"--"	"爱辉"	"3"	"4.20"	"14.54"	"--"	"5015"	"I1I12494"	"--"	"绿"	"--"	"5.7"	"中长"	"--"	"松"	"S"	"地方"	"4.6"	"--"	"褐黄"	"粳"	"--"	"5"	"--"	"--"	"2.20"	"2"	"--"	"黑龙江黑河农科所"	"--"	"ZHAN GU"	"--"	"--"	"--"																																																																			
"3"	"M"	"--"	"Gramineae(禾本科)"	"老来秕"	"103.2"	"2.36"	"黄"	"--"	"110"	"绿"	"--"	"7.2"	"17.2"	"--"	"--"	"0.34"	"长筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"19.5"	"12720"	"--"	"Setaria(狗尾草属)"	"00000003"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"8"	"东北平原"	"--"	"--"	"孙吴"	"3"	"3.86"	"14.38"	"--"	"4926"	"I1I12495"	"--"	"绿"	"--"	"8.2"	"长"	"--"	"中松"	"HS"	"地方"	"5.2"	"--"	"褐黄"	"粳"	"--"	"5"	"--"	"--"	"2.25"	"3"	"--"	"黑龙江黑河农科所"	"229"	"LAO LAI PI"	"--"	"--"	"--"																																																																			
"4"	"M"	"--"	"Gramineae(禾本科)"	"薄地和二号"	"101.1"	"2.27"	"淡黄"	"--"	"110"	"绿"	"--"	"7.8"	"18.1"	"--"	"--"	"0.34"	"纺锤形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"27.7"	"12633"	"--"	"Setaria(狗尾草属)"	"00000004"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"6"	"东北平原"	"--"	"--"	"黑龙江"	"3"	"3.36"	"15.00"	"--"	"4543"	"I1I12496"	"--"	"绿"	"--"	"6.1"	"中"	"--"	"中"	"S"	"地方"	"6.5"	"--"	"黄"	"粳"	"--"	"5"	"--"	"--"	"2.90"	"4"	"--"	"黑龙江黑河农科所"	"125"	"BAO DI HE ER HAO"	"--"	"--"	"--"																																																																			
"5"	"S"	"--"	"Gramineae(禾本科)"	"当地小穗谷子"	"100.9"	"2.29"	"黄白"	"--"	"110"	"绿"	"--"	"10.8"	"19.0"	"--"	"--"	"0.37"	"细筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"30.1"	"12727"	"--"	"Setaria(狗尾草属)"	"00000005"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"8"	"东北平原"	"--"	"--"	"爱辉"	"3"	"4.14"	"16.13"	"--"	"5015"	"I1I12497"	"--"	"绿"	"--"	"8.8"	"中"	"--"	"松"	"HS"	"地方"	"6.7"	"--"	"白黄"	"粳"	"--"	"7"	"--"	"--"	"2.60"	"5"	"--"	"黑龙江黑河农科所"	"--"	"DANG DI XIAO SUI GU ZI"	"--"	"--"	"--"																																																																			
"6"	"M"	"--"	"Gramineae(禾本科)"	"泡子沿谷子"	"96.3"	"2.36"	"淡黄"	"--"	"108"	"绿"	"--"	"7.5"	"17.0"	"--"	"--"	"0.36"	"锥纺形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"14.7"	"12727"	"--"	"Setaria(狗尾草属)"	"00000006"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"9"	"东北平原"	"--"	"--"	"爱辉"	"2"	"4.90"	"15.22"	"--"	"5015"	"I1I12498"	"--"	"绿"	"--"	"8.0"	"长"	"--"	"松"	"HS"	"地方"	"5.4"	"--"	"黑黄"	"粳"	"--"	"5"	"--"	"--"	"2.20"	"6"	"--"	"黑龙江黑河农科所"	"--"	"PAO ZI YAN GU ZI"	"--"	"--"	"--"																																																																			
"7"	"M"	"--"	"Gramineae(禾本科)"	"黑谷一号"	"123.0"	"2.60"	"淡黄"	"--"	"110"	"绿"	"--"	"--"	"17.0"	"--"	"--"	"0.40"	"圆锥形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"22.2"	"12729"	"--"	"Setaria(狗尾草属)"	"00000007"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"8"	"东北平原"	"--"	"--"	"黑河"	"3"	"3.35"	"15.38"	"--"	"5015"	"I1I01904"	"--"	"绿"	"--"	"--"	"中"	"--"	"紧"	"HS"	"选育"	"10.0"	"--"	"深黄"	"粳"	"--"	"5"	"--"	"--"	"2.30"	"7"	"--"	"黑龙江黑河农科所"	"128"	"HEI GU YI HAO"	"--"	"--"	"--"																																																																			
"8"	"--"	"--"	"Gramineae(禾本科)"	"逊克水里站"	"108.1"	"--"	"淡黄"	"--"	"115"	"绿"	"--"	"13.2"	"17.7"	"--"	"--"	"--"	"长纺形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"--"	"12828"	"--"	"Setaria(狗尾草属)"	"00000008"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"--"	"东北平原"	"--"	"--"	"逊克"	"--"	"--"	"--"	"--"	"4935"	"--"	"--"	"绿"	"--"	"7.8"	"中长"	"--"	"中松"	"--"	"地方"	"10.2"	"--"	"褐"	"粳"	"--"	"--"	"--"	"--"	"2.20"	"8"	"--"	"黑龙江黑河农科所"	"111"	"XUN KE SHUI LI ZHAN"	"--"	"--"	"--"																																																																			
"9"	"M"	"--"	"Gramineae(禾本科)"	"逊克大青苗"	"113.9"	"2.12"	"淡黄"	"--"	"115"	"绿"	"--"	"9.4"	"16.9"	"--"	"--"	"0.26"	"圆筒形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"12.6"	"12513"	"--"	"Setaria(狗尾草属)"	"00000009"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"6"	"东北平原"	"--"	"--"	"嫩江"	"3"	"4.78"	"12.23"	"--"	"4910"	"I1I01905"	"--"	"绿"	"--"	"9.7"	"中"	"--"	"中紧"	"S"	"地方"	"6.7"	"--"	"黄"	"粳"	"--"	"5"	"--"	"--"	"2.45"	"9"	"--"	"黑龙江黑河农科所"	"225"	"XUN KE DA QING MIAO"	"--"	"--"	"--"																																																																			
"10"	"M"	"--"	"Gramineae(禾本科)"	"逊克大粒黄"	"95.1"	"2.54"	"黄"	"--"	"115"	"绿"	"--"	"12.5"	"17.8"	"--"	"--"	"0.36"	"纺锤形"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"15.8"	"12828"	"--"	"Setaria(狗尾草属)"	"00000010"	"Setaria italica (L.) Beauv.(谷子)"	"--"	"6"	"东北平原"	"--"	"--"	"逊克"	"3"	"2.64"	"14.19"	"--"	"4935"	"I1I12499"	"--"	"绿"	"--"	"11.0"	"长"	"--"	"松"	"S"	"地方"	"8.3"	"--"	"黄"	"粳"	"--"	"5"	"--"	"--"	"2.55"	"10"	"--"	"黑龙江黑河农科所"	"111"	"XUN KE DA LI HUANG"	"--"	"--"	"--"																																																																			
