"id"	"蚜害病评价"	"异亮氨酸"	"酩氨酸"	"样品类型"	"花色"	"单荚粒数"	"全生育日数"	"叶斑病级"	"支链淀粉"	"总淀粉"	"丙氨酸"	"锈病指数"	"译名"	"叶斑病指数"	"荚色"	"单株产量"	"粒色"	"色氨酸"	"苏氨酸"	"属名"	"粗脂肪"	"胱氨酸"	"丝氨酸"	"赖氨酸"	"甘氨酸"	"天冬氨酸"	"蛋氨酸"	"谷氨酸"	"分枝数"	"百粒重"	"叶斑病评价"	"熟期抗旱"	"粒形"	"成熟期"	"粗蛋白"	"直链淀粉"	"省"	"组氨酸"	"库编号"	"品种名称"	"锈病严重度"	"脐环色"	"保存编号"	"学名"	"锈病普遍率"	"备注"	"播种期"	"种子来源"	"原产地"	"脯氨酸"	"株高"	"芽期抗旱"	"单株荚数"	"保存单位"	"芽期耐盐"	"缬氨酸"	"统一编号"	"锈病评价"	"蚜害病级"	"苯丙氨酸"	"结荚习性"	"亮氨酸"	"荚长"	"总和"	"生长习性"	"精氨酸"	"科名"	"苗期耐盐"
"1"	"S"	"--"	"--"	"地方"	"紫"	"8.9"	"139"	"7-9"	"38.29"	"50.25"	"--"	"100.0"	"BAI JIANG DOU"	"86.1"	"黄橙"	"34.0"	"白"	"--"	"--"	"Vigna(豇豆属)"	"1.12"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"12.3"	"13.8"	"HS"	"3"	"肾形"	"10.03"	"24.92"	"11.96"	"北京"	"--"	"I2C00637"	"白豇豆"	"100"	"红"	"F0240"	"Vigna unguiculata (L.) Walp.(豇豆)"	"100"	"--"	"5.17"	"--"	"中国农科院作物所"	"--"	"200.0"	"2"	"41.4"	"中国农科院"	"5"	"--"	"I0000001"	"HS"	"7"	"--"	"无限"	"--"	"13.3"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"3"
"2"	"S"	"--"	"--"	"地方"	"紫"	"11.8"	"120"	"7"	"36.90"	"48.54"	"--"	"16.0"	"2 HAO BAI JIANG DOU"	"82.7"	"黄橙"	"53.1"	"白"	"--"	"--"	"Vigna(豇豆属)"	"1.20"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"13.5"	"HS"	"4"	"肾形"	"9.10"	"26.19"	"11.64"	"北京"	"--"	"I2C00638"	"2号白豇豆"	"20"	"红"	"F0402"	"Vigna unguiculata (L.) Walp.(豇豆)"	"80"	"--"	"5.13"	"--"	"北京市昌平县"	"--"	"200.0"	"4"	"53.2"	"中国农科院"	"5"	"--"	"I0000002"	"MS"	"7"	"--"	"无限"	"--"	"14.9"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"4"
"3"	"S"	"--"	"--"	"地方"	"紫"	"11.5"	"120"	"9"	"38.68"	"49.16"	"--"	"30.0"	"BAI HEI YAN"	"92.1"	"黄橙"	"82.7"	"白"	"--"	"--"	"Vigna(豇豆属)"	"1.28"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"14.3"	"HS"	"4"	"肾形"	"9.10"	"26.30"	"10.48"	"北京"	"--"	"I2C00639"	"白黑眼"	"40"	"黑"	"F0403"	"Vigna unguiculata (L.) Walp.(豇豆)"	"75"	"--"	"5.13"	"--"	"北京市昌平县"	"--"	"200.0"	"2"	"65.5"	"中国农科院"	"5"	"--"	"I0000003"	"S"	"7"	"--"	"无限"	"--"	"13.8"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"3"
"4"	"S"	"--"	"--"	"地方"	"紫"	"8.4"	"139"	"7-9"	"38.38"	"49.50"	"--"	"3.8"	"JIANG DOU"	"85.2"	"黄橙"	"37.1"	"白"	"--"	"--"	"Vigna(豇豆属)"	"1.15"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"5.9"	"13.2"	"HS"	"3"	"肾形"	"10.03"	"24.65"	"11.12"	"北京"	"--"	"I2C00640"	"豇豆"	"5"	"--"	"F0217"	"Vigna unguiculata (L.) Walp.(豇豆)"	"75"	"--"	"5.17"	"--"	"中国农科院作物所"	"--"	"200.0"	"5"	"52.4"	"中国农科院"	"4"	"--"	"I0000004"	"R"	"7"	"--"	"无限"	"--"	"12.9"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"3"
"5"	"S"	"--"	"--"	"地方"	"紫"	"9.5"	"139"	"7-9"	"36.83"	"48.79"	"--"	"0.5"	"QIAN HONG JIANG DOU"	"84.5"	"黄橙"	"33.8"	"白"	"--"	"--"	"Vigna(豇豆属)"	"1.14"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"6.4"	"13.3"	"HS"	"3"	"肾形"	"10.03"	"26.11"	"11.96"	"北京"	"--"	"I2C00641"	"浅红豇豆"	"5"	"--"	"F0219"	"Vigna unguiculata (L.) Walp.(豇豆)"	"10"	"--"	"5.17"	"--"	"中国农科院作物所"	"--"	"200.0"	"5"	"39.6"	"中国农科院"	"5"	"--"	"I0000005"	"HR"	"7"	"--"	"无限"	"--"	"14.8"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"4"
"6"	"S"	"--"	"--"	"地方"	"紫"	"14.1"	"139"	"7"	"37.77"	"49.85"	"--"	"6.0"	"QIAN HONG JIANG DOU"	"80.9"	"黄橙"	"22.9"	"白"	"--"	"--"	"Vigna(豇豆属)"	"1.20"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"7.8"	"13.0"	"HS"	"4"	"肾形"	"10.03"	"24.37"	"12.08"	"北京"	"--"	"I2C00642"	"浅红豇豆"	"20"	"--"	"F0228"	"Vigna unguiculata (L.) Walp.(豇豆)"	"30"	"--"	"5.17"	"--"	"中国农科院作物所"	"--"	"200.0"	"5"	"27.9"	"中国农科院"	"5"	"--"	"I0000006"	"MR"	"7"	"--"	"无限"	"--"	"15.8"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"4"
"7"	"S"	"--"	"--"	"地方"	"紫"	"9.9"	"139"	"9"	"36.58"	"48.40"	"--"	"1.0"	"QIAN HONG JIANG DOU"	"91.1"	"黄橙"	"21.1"	"浅红"	"--"	"--"	"Vigna(豇豆属)"	"1.09"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"7.1"	"13.7"	"HS"	"4"	"肾形"	"10.03"	"25.37"	"11.82"	"北京"	"--"	"I2C00643"	"浅红豇豆"	"5"	"--"	"F0231"	"Vigna unguiculata (L.) Walp.(豇豆)"	"20"	"--"	"5.17"	"--"	"中国农科院作物所"	"--"	"200.0"	"5"	"20.7"	"中国农科院"	"5"	"--"	"I0000007"	"R"	"7"	"--"	"无限"	"--"	"14.7"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"3"
"8"	"S"	"--"	"--"	"地方"	"紫"	"10.5"	"139"	"7-9"	"37.66"	"47.94"	"--"	"32.0"	"JIANG DOU"	"86.7"	"黄橙"	"37.4"	"浅红"	"--"	"--"	"Vigna(豇豆属)"	"1.18"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"5.6"	"13.1"	"HS"	"2"	"肾形"	"10.03"	"26.52"	"10.28"	"北京"	"--"	"I2C00644"	"豇豆"	"40"	"--"	"F0232"	"Vigna unguiculata (L.) Walp.(豇豆)"	"80"	"--"	"5.17"	"--"	"中国农科院作物所"	"--"	"200.0"	"4"	"40.8"	"中国农科院"	"4"	"--"	"I0000008"	"S"	"7"	"--"	"无限"	"--"	"14.8"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"4"
"9"	"S"	"--"	"--"	"地方"	"紫"	"8.9"	"139"	"7-9"	"37.57"	"48.37"	"--"	"32.0"	"JIANG DOU"	"92.2"	"黄橙"	"30.2"	"浅红"	"--"	"--"	"Vigna(豇豆属)"	"1.05"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"6.9"	"12.6"	"HS"	"5"	"肾形"	"10.03"	"25.98"	"10.80"	"北京"	"--"	"I2C00645"	"豇豆"	"40"	"--"	"F0234"	"Vigna unguiculata (L.) Walp.(豇豆)"	"80"	"--"	"5.17"	"--"	"中国农科院作物所"	"--"	"200.0"	"5"	"32.9"	"中国农科院"	"4"	"--"	"I0000009"	"S"	"7"	"--"	"无限"	"--"	"14.2"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"3"
"10"	"S"	"--"	"--"	"地方"	"紫"	"8.7"	"139"	"7-9"	"37.04"	"48.10"	"--"	"30.0"	"QIAN HONG JIANG DOU"	"82.2"	"黄橙"	"31.3"	"浅红"	"--"	"--"	"Vigna(豇豆属)"	"1.14"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"7.2"	"13.6"	"HS"	"2"	"肾形"	"10.03"	"26.07"	"11.06"	"北京"	"--"	"I2C00646"	"浅红豇豆"	"40"	"--"	"F0235"	"Vigna unguiculata (L.) Walp.(豇豆)"	"75"	"--"	"5.17"	"--"	"中国农科院作物所"	"--"	"200.0"	"5"	"34.0"	"中国农科院"	"4"	"--"	"I0000010"	"S"	"7"	"--"	"无限"	"--"	"13.9"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"4"
