"id"	"熟性"	"炭疽病指"	"保存编号"	"品种名称"	"着果方向"	"食熟果皮色"	"维生素C"	"CMV病指"	"CMV发病率"	"果肉厚"	"统一编号"	"TMV发病率"	"风味"	"老熟种果色"	"外皮薄厚"	"亩产"	"单果重"	"译名"	"备注"	"省"	"首花节位"	"TMV病指"	"果实水分"	"生育期"	"保存单位"	"果形"	"干物质"	"用途"	"辣椒素"	"种子来源"	"株高"	"抗逆性"	"炭疽发病率"	"种质库编号"	"栽培季节"
"1"	"晚"	"2.5800"	"Cf4(85)"	"安庆迟椒"	"向下"	"绿"	"107.70"	"1.3000"	"96.00"	"0.3"	"V06C0001"	"100.00"	"极辣"	"红"	"厚"	"2000"	"17.0"	"AN QING CHI JIAO"	"--"	"安徽"	"8"	"-0.0500"	"--"	"50"	"安徽农科院园艺所"	"圆锥形"	"12.0169"	"熟食制干"	"0.193"	"安徽安庆市"	"40.0"	"耐湿"	"48.3"	"Ⅱ6C0020"	"4上-7下"
"2"	"晚"	"2.3300"	"G7(81)"	"巴齿椒"	"向下"	"绿"	"96.20"	"1.3000"	"100.00"	"0.3"	"V06C0002"	"100.00"	"极辣"	"红"	"--"	"1250"	"50.0"	"BA CHI JIAO"	"--"	"安徽"	"9"	"0.3400"	"少"	"65"	"安徽农科院园艺所"	"长柱形"	"12.2889"	"熟食"	"0.051"	"安徽安庆市"	"50.0"	"强"	"41.7"	"Ⅱ6C0057"	"4上-6下"
"3"	"中"	"0.4700"	"CF20(87)"	"青皮椒"	"向下"	"绿"	"124.71"	"1.2300"	"100.00"	"0.2"	"V06C0003"	"100.00"	"中辣"	"红"	"厚"	"1200"	"12.0"	"QING PI JIAO"	"*"	"安徽"	"5"	"1.2300"	"--"	"80"	"安徽农科院园艺所"	"其它"	"17.6700"	"生食腌制"	"0.121"	"安徽阜南县"	"60.0"	"弱"	"95.1"	"Ⅱ6C0761"	"4上-7中"
"4"	"晚"	"3.1800"	"Cf2(84)"	"善厚椒"	"向下"	"绿"	"81.40"	"1.3000"	"100.00"	"0.3"	"V06C0004"	"100.00"	"中辣"	"红"	"厚"	"2500"	"33.0"	"SHAN HOU JIAO"	"--"	"安徽"	"14"	"0.9300"	"--"	"50"	"安徽农科院园艺所"	"圆锥形"	"11.2630"	"腌制"	"0.013"	"安徽和县"	"71.5"	"耐湿热"	"16.7"	"Ⅱ6C0018"	"5中下-10中下"
"5"	"早"	"2.2400"	"Cf5(85)"	"凹顶四叶椒"	"向下"	"绿"	"102.50"	"1.4000"	"90.00"	"0.1"	"V06C0005"	"68.00"	"微辣"	"红"	"--"	"625"	"15.0"	"AO DING SI YE JIAO"	"--"	"安徽"	"4"	"0.1900"	"少"	"50"	"安徽农科院园艺所"	"方灯笼形"	"12.5790"	"熟食"	"0.019"	"安徽合肥市"	"35.0"	"弱"	"60.0"	"Ⅱ6C0021"	"4上-5下"
"6"	"早"	"2.3900"	"Cf6(85)"	"凸顶四叶椒"	"向下"	"绿"	"76.00"	"1.3000"	"100.00"	"0.1"	"V06C0006"	"100.00"	"微辣"	"红"	"--"	"625"	"15.0"	"TU DING SI YE JIAO"	"--"	"安徽"	"4"	"0.4500"	"少"	"50"	"安徽农科院园艺所"	"方灯笼形"	"12.8015"	"熟食"	"0.011"	"安徽合肥市"	"35.0"	"弱"	"33.3"	"Ⅱ6C0022"	"4上-5下"
"7"	"早"	"2.2000"	"Cf3(81)"	"合肥四叶椒"	"向下"	"绿"	"103.16"	"1.4000"	"85.00"	"0.1"	"V06C0007"	"41.00"	"微辣"	"红"	"薄"	"750"	"15.0"	"HE FEI SI YE JIAO"	"*"	"安徽"	"5"	"2.1400"	"少"	"38"	"安徽农科院园艺所"	"长柱形"	"16.0457"	"生食"	"0.143"	"安徽合肥市"	"35.0"	"耐寒"	"64.0"	"Ⅱ6C0019"	"4上-5中下"
"8"	"晚"	"0.9200"	"Cf34(88)"	"小青椒"	"向下"	"绿"	"109.12"	"1.3900"	"100.00"	"0.2"	"V06C0008"	"0.00"	"极辣"	"红"	"薄"	"1750"	"5.0"	"XIAO QING JIAO"	"--"	"安徽"	"8"	"--"	"少"	"50"	"安徽农科院园艺所"	"圆锥形"	"18.6900"	"制干"	"0.192"	"安徽怀远县"	"45.0"	"强"	"98.3"	"Ⅱ6C0900"	"4上-11上"
"9"	"晚"	"1.2700"	"Cf11(86)"	"漫水河柿子椒"	"向下"	"绿"	"99.70"	"1.0300"	"100.00"	"0.4"	"V06C0009"	"100.00"	"微辣"	"红"	"厚"	"1625"	"35.0"	"MAN SHUI HE SHI ZI JIAO"	"--"	"安徽"	"8"	"0.6000"	"少"	"70"	"安徽农科院园艺所"	"扁圆形"	"12.4800"	"生食"	"0.017"	"安徽霍山县"	"55.0"	"强"	"95.5"	"Ⅱ6C0466"	"6中-11中"
"10"	"早"	"0.9700"	"Cf14(87)"	"大五子"	"向下"	"绿"	"80.25"	"1.3200"	"100.00"	"0.2"	"V06C0010"	"86.00"	"极辣"	"红"	"厚"	"3000"	"8.5"	"DA WU ZI"	"*"	"安徽"	"7"	"1.1400"	"少"	"50"	"安徽农科院园艺所"	"圆锥形"	"10.5200"	"生食腌制"	"0.073"	"安徽嘉山县"	"40.0"	"耐寒旱"	"100.0"	"Ⅱ6C0524"	"4上-5下"
"11"	"早"	"0.9800"	"Cf15(87)"	"小五子"	"向下"	"绿"	"75.06"	"0.9000"	"100.00"	"0.3"	"V06C0011"	"100.00"	"极辣"	"紫"	"厚"	"2500"	"7.5"	"XIAO WU ZI"	"*"	"安徽"	"5"	"1.0100"	"少"	"50"	"安徽农科院园艺所"	"圆锥形"	"10.5800"	"生食腌制"	"0.088"	"安徽嘉山县"	"35.0"	"耐热寒"	"88.1"	"Ⅱ6C0525"	"4上-5下"
"12"	"晚"	"1.3800"	"Cf33(88)"	"临泉迟大椒"	"向下"	"绿"	"87.95"	"1.3900"	"100.00"	"0.3"	"V06C0012"	"100.00"	"极辣"	"紫"	"厚"	"2250"	"30.0"	"LIN QUAN CHI DA JIAO"	"--"	"安徽"	"10"	"1.6700"	"中"	"70"	"安徽农科院园艺所"	"圆锥形"	"16.1500"	"制干"	"0.116"	"安徽临泉县"	"70.0"	"强"	"78.3"	"Ⅱ6C0869"	"4上-11上"
"13"	"中"	"--"	"Cf24(86)"	"皖选3号辣椒"	"向下"	"绿"	"--"	"--"	"--"	"0.3"	"V06C0013"	"--"	"微辣"	"红"	"厚"	"2500"	"27.0"	"WAN XUAN 3 HAO LA JIAO"	"--"	"安徽"	"7"	"--"	"中"	"55"	"安徽农科院园艺所"	"圆锥形"	"--"	"熟食"	"--"	"安徽农科院园艺所"	"50.0"	"强"	"--"	"Ⅱ6C1045"	"4上-7下"
