"id"	"备注"	"老荚日数"	"单荚重"	"品种名称"	"株型"	"保存编号"	"译名"	"青荚日数"	"荚形"	"荚壁纤维"	"种子来源"	"荚厚"	"翼瓣次色"	"种子形状"	"种子皮色"	"嫩荚色"	"株高"	"种子大小"	"保存单位"	"亩产"	"翼瓣色"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"种皮次色"	"抗逆性"	"抗病虫性"	"荚宽"	"品质"	"嫩荚次色"	"荚长"
"1"	"*"	"80"	"15.0"	"大青条"	"蔓生"	"Vs2(80)"	"DA QING TIAO"	"65"	"细长条"	"较少"	"安徽蚌埠市"	"0.6"	"--"	"肾形"	"深褐"	"绿"	"350.0"	"中"	"安徽农科院园艺所"	"4000"	"浅紫"	"Ⅱ7E0062"	"V07E0001"	"4上-6上中"	"--"	"--"	"耐热旱涝"	"--"	"0.7"	"好"	"--"	"75.0"
"2"	"*"	"55"	"12.0"	"月月豇"	"矮生"	"Vs35(89)"	"YUE YUE JIANG"	"45"	"棍形"	"少"	"安徽蚌埠市"	"0.8"	"--"	"肾形"	"浅褐"	"绿"	"60.0"	"中"	"安徽农科院园艺所"	"3500"	"紫"	"Ⅱ7E1071"	"V07E0002"	"4上-5下"	"--"	"--"	"--"	"--"	"0.9"	"好"	"--"	"30.0"
"3"	"*引自山东青岛"	"80"	"10.0"	"紫尾青"	"蔓生"	"Vs3(80)"	"ZI WEI QING"	"70"	"扁条"	"少"	"安徽合肥市"	"0.7"	"--"	"肾形"	"褐"	"深绿"	"300.0"	"中"	"安徽农科院园艺所"	"3500"	"浅紫"	"Ⅱ7E0063"	"V07E0003"	"4上-6中"	"--"	"--"	"耐热"	"--"	"0.8"	"好"	"--"	"31.0"
"4"	"--"	"90"	"12.0"	"十月寒(花籽)"	"蔓生"	"Vs9(85)"	"SHI YUE HAN (HUA ZI )"	"60"	"剑形"	"多"	"安徽合肥市"	"0.1"	"--"	"--"	"紫"	"紫"	"258.0"	"小"	"安徽农科院园艺所"	"2000"	"紫"	"Ⅱ7E0060"	"V07E0004"	"6中下-10上"	"晚"	"--"	"强"	"强"	"0.6"	"好"	"--"	"40.0"
"5"	"*"	"80"	"7.0"	"十月寒"	"蔓生"	"Vs6(81)"	"SHI YUE HAN"	"70"	"棍形"	"少"	"安徽合肥市"	"0.6"	"--"	"肾形"	"浅褐"	"白"	"330.0"	"中"	"安徽农科院园艺所"	"2000"	"浅紫"	"Ⅱ7E0058"	"V07E0005"	"8上-10中"	"--"	"--"	"耐寒"	"--"	"0.7"	"--"	"--"	"22.0"
"6"	"*引自四川"	"60"	"6.4"	"矮紫尾青"	"半蔓生"	"Vs8(86)"	"AI ZI WEI QING"	"50"	"扁条"	"少"	"安徽合肥市"	"0.7"	"--"	"肾形"	"褐"	"绿"	"100.0"	"中"	"安徽农科院园艺所"	"2000"	"浅紫"	"Ⅱ7E0242"	"V07E0006"	"4上-5下"	"--"	"--"	"耐寒"	"--"	"0.8"	"好"	"--"	"26.0"
"7"	"--"	"--"	"--"	"豆角"	"蔓生"	"7-E-12-3"	"DOU JIAO"	"--"	"棍形"	"--"	"安徽华阴县"	"--"	"--"	"肾形"	"黑"	"浅绿"	"--"	"小"	"中国农科院蔬菜所"	"--"	"浅紫"	"Ⅱ7E1106"	"V07E0007"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"8"	"*"	"70"	"8.3"	"五月鲜"	"矮生"	"Vs1(80)"	"WU YUE XIAN"	"60"	"棍形"	"--"	"安徽淮北市"	"0.7"	"--"	"肾形"	"紫"	"深绿"	"38.0"	"中"	"安徽农科院园艺所"	"3500"	"白"	"Ⅱ7E0061"	"V07E0008"	"4上-6上"	"--"	"--"	"耐热旱"	"--"	"0.8"	"--"	"--"	"28.0"
"9"	"--"	"70"	"10.0"	"淮南秋豇豆"	"蔓生"	"Vs19(87)"	"HUAI NAN QIU JIANG DOU"	"55"	"细长条"	"多"	"安徽淮南市"	"0.2"	"--"	"--"	"浅红"	"白"	"240.0"	"大"	"安徽农科院园艺所"	"4000"	"紫"	"Ⅱ7E0606"	"V07E0009"	"5中-8下"	"早"	"--"	"较强"	"较强"	"0.5"	"好"	"--"	"56.0"
"10"	"*"	"70"	"10.0"	"五月红"	"蔓生"	"Vs13(80)"	"WU YUE HONG"	"60"	"细长条"	"--"	"安徽淮南市"	"0.8"	"--"	"肾形"	"深褐"	"白"	"300.0"	"中"	"安徽农科院园艺所"	"3000"	"浅紫"	"Ⅱ7E0600"	"V07E0010"	"4上-6上"	"--"	"--"	"--"	"--"	"0.8"	"差"	"--"	"45.0"
"11"	"--"	"70"	"9.0"	"玉米豇"	"蔓生"	"Vs16(80)"	"YU MI JIANG"	"50"	"细长条"	"少"	"安徽绩溪县"	"0.3"	"--"	"--"	"浅红"	"深绿"	"230.0"	"小"	"安徽农科院园艺所"	"3500"	"紫"	"Ⅱ7E0603"	"V07E0011"	"5中-8下"	"--"	"--"	"--"	"--"	"0.7"	"好"	"--"	"52.0"
"12"	"--"	"--"	"--"	"五月江豆"	"蔓生"	"7-E-12-2"	"WU YUE JIANG DOU"	"--"	"棍形"	"--"	"安徽嘉山"	"--"	"--"	"肾形"	"紫"	"浅绿"	"--"	"小"	"中国农科院蔬菜所"	"--"	"浅紫"	"Ⅱ7E1107"	"V07E0012"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
