"id"	"叶蜡粉"	"保存编号"	"品种名称"	"生育期"	"叶鞘颜色"	"叶色"	"香气"	"叶态"	"栽培季节"	"叶形"	"亩产"	"译名"	"备注"	"抗病虫性"	"辣味"	"叶宽"	"单株重"	"统一编号"	"保存单位"	"抗逆性"	"用途"	"种质库编号"	"种子来源"	"株高"	"分蘖性"	"花色"
"1"	"--"	"At1(85)"	"窄叶韭"	"210"	"浅绿"	"绿"	"浓"	"--"	"秋8下定植-4-12收"	"窄条"	"3000"	"ZHAI YE JIU"	"*"	"--"	"--"	"--"	"--"	"V08A0001"	"安徽农科院园艺所"	"耐热寒"	"--"	"Ⅱ8A0002"	"安徽和县"	"25.0"	"--"	"--"
"2"	"--"	"At3(87)"	"三汊河韭菜"	"345"	"--"	"深绿"	"浓"	"--"	"4上-次年3下"	"长条"	"1250"	"SAN CHA HE JIU CAI"	"--"	"强"	"--"	"窄"	"--"	"V08A0002"	"安徽农科院园艺所"	"强"	"鲜熟食"	"Ⅱ8A0126"	"安徽庐江县"	"33.0"	"--"	"--"
"3"	"--"	"At2(85)"	"阔叶韭(宽叶韭)"	"210"	"白"	"绿"	"浓"	"中"	"秋8下定植-次年3下始收"	"宽条"	"3000"	"KUO YE JIU (KUAN YE JIU )"	"*"	"--"	"--"	"--"	"--"	"V08A0003"	"安徽农科院园艺所"	"耐热寒"	"腌渍"	"Ⅱ8A0001"	"安徽蒙城县"	"30.0"	"--"	"--"
"4"	"--"	"87-Gv-4"	"福清韭菜"	"180"	"--"	"绿"	"--"	"--"	"3中-10上,5-6"	"宽条"	"1000"	"FU QING JIU CAI"	"--"	"中"	"--"	"--"	"--"	"V08A0004"	"福州市蔬菜科研所"	"中"	"--"	"Ⅱ8A0042"	"福建福清县"	"36.0"	"--"	"--"
"5"	"--"	"89-GU-5-1"	"浦口软叶韭菜"	"295"	"--"	"绿"	"浓"	"平展"	"10上-11中"	"长条"	"900"	"PU KOU RUAN YE JIU CAI"	"--"	"强"	"强"	"--"	"16.0"	"V08A0005"	"福州市蔬菜科研所"	"强"	"鲜熟食"	"Ⅱ8A0155"	"福建厦门市"	"46.0"	"强"	"--"
"6"	"--"	"87-GU-59"	"厦门浦口韭菜(硬叶)"	"290"	"--"	"绿"	"--"	"直立"	"10上-10中"	"长条"	"700"	"XIA MEN PU KOU JIU CAI (YING YE )"	"--"	"强"	"--"	"--"	"15.0"	"V08A0006"	"福州市蔬菜科研所"	"强"	"鲜熟食"	"Ⅱ8A0118"	"福建厦门市"	"45.0"	"强"	"--"
"7"	"--"	"甘Ⅱ8A006"	"白根韭"	"--"	"白"	"绿"	"较浓"	"中"	"5上播次年4始收"	"宽条"	"3500"	"BAI GEN JIU"	"*薹抽生力较弱"	"--"	"--"	"--"	"--"	"V08A0007"	"甘肃农科院蔬菜所"	"耐旱寒"	"腌渍"	"Ⅱ8A0129"	"甘肃兰州市"	"35.0"	"中"	"白色"
"8"	"--"	"甘Ⅱ8A007"	"马蔺韭"	"--"	"白"	"绿"	"中"	"直立"	"4播次年收4-6次青韭及收薹"	"宽条"	"4000"	"MA LIN JIU"	"*"	"--"	"--"	"--"	"--"	"V08A0008"	"甘肃农科院蔬菜所"	"耐旱寒强"	"腌渍"	"Ⅱ8A0084"	"甘肃兰州市"	"40.0"	"较弱"	"白色"
"9"	"--"	"甘Ⅱ8A003"	"二秧子韭"	"--"	"浅红"	"深绿"	"浓"	"中"	"春-秋"	"宽条"	"3000"	"ER YANG ZI JIU"	"*"	"--"	"--"	"--"	"--"	"V08A0009"	"甘肃农科院蔬菜所"	"较强"	"鲜熟食"	"Ⅱ8A0031"	"甘肃兰州市"	"32.0"	"强"	"白色"
"10"	"--"	"甘Ⅱ8A001"	"毛韭菜"	"--"	"浅紫"	"绿"	"浓"	"中"	"4播当年即收小苗次年可收青韭及薹"	"条形"	"2500"	"MAO JIU CAI"	"*"	"抗根"	"--"	"--"	"--"	"V08A0010"	"甘肃农科院蔬菜所"	"耐旱寒"	"腌渍"	"Ⅱ8A0127"	"甘肃临泽县"	"23.0"	"强"	"白色"
"11"	"--"	"甘Ⅱ8A005"	"钩韭"	"--"	"浅红"	"绿"	"中"	"平展"	"春-秋"	"宽条"	"3250"	"GOU JIU"	"*"	"--"	"弱"	"--"	"--"	"V08A0011"	"甘肃农科院蔬菜所"	"耐寒"	"腌渍"	"Ⅱ8A0083"	"甘肃临洮县"	"35.0"	"较弱"	"白色"
"12"	"--"	"甘Ⅱ8A002"	"野韭"	"--"	"紫红"	"深绿"	"浓"	"直立"	"当地8上播次年出苗"	"窄条"	"2000"	"YE JIU"	"*引自甘肃崆峒山野生韭晚抽短细薹"	"强"	"--"	"--"	"--"	"V08A0012"	"甘肃农科院蔬菜所"	"耐寒旱瘠薄"	"腌渍"	"Ⅱ8A0166"	"甘肃平凉市"	"30.0"	"强"	"白色"
"13"	"--"	"甘Ⅱ8A004"	"红根小韭"	"--"	"紫红"	"绿"	"浓"	"中"	"春-秋3播次年3始收青韭"	"窄条"	"3000"	"HONG GEN XIAO JIU"	"*"	"--"	"中"	"--"	"--"	"V08A0013"	"甘肃农科院蔬菜所"	"耐寒旱"	"腌渍"	"Ⅱ8A0128"	"甘肃武都县"	"35.0"	"强"	"白色"
"14"	"--"	"甘Ⅱ8A008"	"武威蒲韭"	"--"	"浅红"	"深绿"	"中"	"直立"	"春-秋"	"条形"	"813"	"WU WEI PU JIU"	"--"	"--"	"--"	"--"	"--"	"V08A0014"	"甘肃农科院蔬菜所"	"较强"	"腌渍"	"Ⅱ8A0100"	"甘肃武威市"	"40.0"	"弱"	"白色"
"15"	"少"	"200050"	"大叶韭菜"	"90"	"--"	"深绿"	"--"	"直立"	"春秋两季"	"宽条"	"2250"	"DA YE JIU CAI"	"--"	"--"	"--"	"--"	"--"	"V08A0015"	"广西农科院园艺所"	"强"	"鲜熟食"	"Ⅱ8A0075"	"广西梧州市"	"47.5"	"中"	"--"
"16"	"少"	"8-A-22-2"	"大叶韭菜"	"100"	"浅绿"	"深绿"	"浓"	"中"	"7栽苗"	"窄条"	"1000"	"DA YE JIU CAI"	"*"	"--"	"强"	"--"	"20.0"	"V08A0016"	"贵州农科院园艺所"	"强"	"鲜熟食"	"Ⅱ8A0071"	"贵州安顺市"	"40.0"	"中"	"--"
"17"	"无"	"韭9号"	"线韭菜"	"--"	"浅绿"	"深绿"	"中"	"中"	"露地栽培"	"宽条"	"1425"	"XIAN JIU CAI"	"--"	"中上"	"中"	"--"	"4.0"	"V08A0017"	"河北农科院蔬菜所"	"中上"	"--"	"Ⅱ8A0171"	"河北柏乡县"	"36.8"	"--"	"--"
"18"	"少"	"韭1号"	"郑庄紫根韭菜"	"--"	"浅绿"	"绿"	"--"	"直立"	"春播"	"窄条"	"4200"	"ZHENG ZHUANG ZI GEN JIU CAI"	"*"	"抗病"	"中"	"--"	"--"	"V08A0018"	"河北农科院蔬菜所"	"耐热旱"	"鲜熟食"	"Ⅱ8A0131"	"河北承德市"	"46.6"	"强"	"白色"
"19"	"无"	"韭21号"	"紫根韭"	"--"	"紫红"	"深绿"	"浓"	"中"	"露地及保护地栽培"	"条形"	"2025"	"ZI GEN JIU"	"--"	"中上"	"强"	"--"	"4.0"	"V08A0019"	"河北农科院蔬菜所"	"中上"	"--"	"Ⅱ8A0176"	"河北东光县"	"39.0"	"--"	"--"
