"id"	"蛋氨酸"	"科名"	"保存编号"	"品种名称"	"谷氨酸"	"播种期"	"天冬氨酸"	"精氨酸"	"丙氨酸"	"单株产量"	"总和"	"酪氨酸"	"异亮氨酸"	"省"	"色氨酸"	"组氨酸"	"分枝数"	"全生育日数"	"样品类型"	"总淀粉"	"百粒重"	"苏氨酸"	"统一编号"	"苯丙氨酸"	"学名"	"粒形"	"胱氨酸"	"支链淀粉"	"花色"	"粗脂肪"	"成熟期"	"粗蛋白"	"结荚习性"	"属名"	"亮氨酸"	"库编号"	"生长习性"	"保存单位"	"原产地"	"甘氨酸"	"单荚粒数"	"缬氨酸"	"直链淀粉"	"单株荚数"	"粒色"	"备注"	"脯氨酸"	"赖氨酸"	"荚长"	"丝氨酸"	"译名"	"荚色"	"种子来源"	"株高"
"1"	"--"	"Leguminosae(豆科)"	"H0232"	"饭豆"	"--"	"6.25"	"--"	"--"	"--"	"25.4"	"--"	"--"	"--"	"江苏"	"--"	"--"	"4.0"	"102"	"地方"	"--"	"5.6"	"--"	"D0000366"	"--"	"Vigna umbellata (Thunb.) Ohwi&Ohashi(饭豆)"	"长圆柱"	"--"	"--"	"黄"	"--"	"10.05"	"--"	"无限"	"Vigna(豇豆属)"	"--"	"--"	"蔓生"	"中国农科院品资所"	"江苏如东县"	"--"	"8.1"	"--"	"--"	"56.0"	"红"	"株高为150以上"	"--"	"--"	"8.3"	"--"	"FAN DOU"	"褐"	"--"	"--"
"2"	"--"	"Leguminosae(豆科)"	"H0104"	"饭豆"	"--"	"6.21"	"--"	"--"	"--"	"23.2"	"--"	"--"	"--"	"海南"	"--"	"--"	"4.0"	"116"	"地方"	"--"	"5.4"	"--"	"D0000367"	"--"	"Vigna umbellata (Thunb.) Ohwi&Ohashi(饭豆)"	"长圆柱"	"--"	"--"	"黄"	"--"	"10.15"	"--"	"无限"	"Vigna(豇豆属)"	"--"	"--"	"蔓生"	"中国农科院品资所"	"海南崖县"	"--"	"8.0"	"--"	"--"	"53.0"	"黄"	"株高为150以上"	"--"	"--"	"8.2"	"--"	"FAN DOU"	"浅褐"	"--"	"--"
"3"	"--"	"Leguminosae(豆科)"	"81-1073"	"红蔓豆"	"--"	"5.14"	"--"	"--"	"--"	"24.2"	"--"	"--"	"--"	"山西"	"--"	"--"	"2.5"	"117"	"地方"	"--"	"6.2"	"--"	"D0000368"	"--"	"Vigna umbellata (Thunb.) Ohwi&Ohashi(饭豆)"	"长圆柱"	"--"	"--"	"黄"	"--"	"9.08"	"--"	"无限"	"Vigna(豇豆属)"	"--"	"I2G00782"	"蔓生"	"山西农科院品资所"	"襄垣县"	"--"	"10.0"	"--"	"--"	"39.0"	"红"	"--"	"--"	"--"	"9.6"	"--"	"HONG MAN DOU"	"黑"	"--"	"260.0"
"4"	"--"	"Leguminosae(豆科)"	"81-1078"	"小药豆(红)"	"--"	"5.14"	"--"	"--"	"--"	"53.9"	"--"	"--"	"--"	"山西"	"--"	"--"	"2.5"	"143"	"地方"	"--"	"6.4"	"--"	"D0000369"	"--"	"Vigna umbellata (Thunb.) Ohwi&Ohashi(饭豆)"	"长圆柱"	"--"	"--"	"黄"	"--"	"10.14"	"--"	"无限"	"Vigna(豇豆属)"	"--"	"I2G00905"	"蔓生"	"山西农科院品资所"	"晋城市"	"--"	"10.2"	"--"	"--"	"82.5"	"红"	"--"	"--"	"--"	"10.9"	"--"	"XIAO YAO DOU (HONG )"	"黑"	"--"	"212.5"
"5"	"--"	"Leguminosae(豆科)"	"81-1058"	"红蔓豆"	"--"	"5.14"	"--"	"--"	"--"	"12.5"	"--"	"--"	"--"	"山西"	"--"	"--"	"1.5"	"131"	"地方"	"--"	"7.6"	"--"	"D0000370"	"--"	"Vigna umbellata (Thunb.) Ohwi&Ohashi(饭豆)"	"长圆柱"	"--"	"--"	"黄"	"--"	"9.22"	"--"	"无限"	"Vigna(豇豆属)"	"--"	"I2G00783"	"蔓生"	"山西农科院品资所"	"陵川县"	"--"	"8.2"	"--"	"--"	"20.0"	"红"	"--"	"--"	"--"	"8.3"	"--"	"HONG MAN DOU"	"黑"	"--"	"156.5"
"6"	"--"	"Leguminosae(豆科)"	"81-1054"	"红南豆"	"--"	"5.14"	"--"	"--"	"--"	"12.7"	"--"	"--"	"--"	"山西"	"--"	"--"	"2.0"	"122"	"地方"	"--"	"5.5"	"--"	"D0000371"	"--"	"Vigna umbellata (Thunb.) Ohwi&Ohashi(饭豆)"	"长圆柱"	"--"	"--"	"黄"	"--"	"9.13"	"--"	"无限"	"Vigna(豇豆属)"	"--"	"I2G00784"	"蔓生"	"山西农科院品资所"	"左权县"	"--"	"7.2"	"--"	"--"	"32.0"	"红"	"--"	"--"	"--"	"8.0"	"--"	"HONG NAN DOU"	"黑"	"--"	"185.0"
"7"	"--"	"Leguminosae(豆科)"	"81-1102"	"红蔓小豆"	"--"	"5.14"	"--"	"--"	"--"	"16.8"	"--"	"--"	"--"	"山西"	"--"	"--"	"3.5"	"151"	"地方"	"--"	"5.7"	"--"	"D0000372"	"--"	"Vigna umbellata (Thunb.) Ohwi&Ohashi(饭豆)"	"长圆柱"	"--"	"--"	"黄"	"--"	"10.12"	"--"	"无限"	"Vigna(豇豆属)"	"--"	"I2G01330"	"蔓生"	"山西农科院品资所"	"翼城县"	"--"	"9.5"	"--"	"--"	"32.0"	"红"	"--"	"--"	"--"	"9.8"	"--"	"HONG MAN XIAO DOU"	"黑"	"--"	"180.0"
"8"	"--"	"Leguminosae(豆科)"	"81-1105"	"红蔓小豆"	"--"	"5.14"	"--"	"--"	"--"	"33.3"	"--"	"--"	"--"	"山西"	"--"	"--"	"2.0"	"151"	"地方"	"--"	"5.9"	"--"	"D0000373"	"--"	"Vigna umbellata (Thunb.) Ohwi&Ohashi(饭豆)"	"长圆柱"	"--"	"--"	"黄"	"--"	"10.12"	"--"	"无限"	"Vigna(豇豆属)"	"--"	"I2G00785"	"蔓生"	"山西农科院品资所"	"翼城县"	"--"	"9.5"	"--"	"--"	"59.5"	"红"	"--"	"--"	"--"	"9.3"	"--"	"HONG MAN XIAO DOU"	"褐"	"--"	"190.0"
"9"	"--"	"Leguminosae(豆科)"	"81-1095"	"红蔓小豆"	"--"	"5.14"	"--"	"--"	"--"	"18.7"	"--"	"--"	"--"	"山西"	"--"	"--"	"2.0"	"151"	"地方"	"--"	"8.3"	"--"	"D0000374"	"--"	"Vigna umbellata (Thunb.) Ohwi&Ohashi(饭豆)"	"长圆柱"	"--"	"--"	"黄"	"--"	"10.12"	"--"	"无限"	"Vigna(豇豆属)"	"--"	"I2G00786"	"蔓生"	"山西农科院品资所"	"浮山县"	"--"	"8.5"	"--"	"--"	"26.5"	"红"	"--"	"--"	"--"	"9.6"	"--"	"HONG MAN XIAO DOU"	"黑"	"--"	"155.0"
"10"	"--"	"Leguminosae(豆科)"	"81-1051"	"红蔓豆"	"--"	"5.14"	"--"	"--"	"--"	"27.5"	"--"	"--"	"--"	"山西"	"--"	"--"	"3.5"	"143"	"地方"	"--"	"6.3"	"--"	"D0000375"	"--"	"Vigna umbellata (Thunb.) Ohwi&Ohashi(饭豆)"	"长圆柱"	"--"	"--"	"黄"	"--"	"10.04"	"--"	"无限"	"Vigna(豇豆属)"	"--"	"I2G00787"	"蔓生"	"山西农科院品资所"	"垣曲县"	"--"	"9.3"	"--"	"--"	"47.0"	"红"	"--"	"--"	"--"	"9.8"	"--"	"HONG MAN DOU"	"黑"	"--"	"240.0"
"11"	"--"	"Leguminosae(豆科)"	"81-1125"	"红蛮豆"	"--"	"5.14"	"--"	"--"	"--"	"23.1"	"--"	"--"	"--"	"山西"	"--"	"--"	"2.0"	"151"	"地方"	"--"	"6.2"	"--"	"D0000376"	"--"	"Vigna umbellata (Thunb.) Ohwi&Ohashi(饭豆)"	"长圆柱"	"--"	"--"	"黄"	"--"	"10.12"	"--"	"无限"	"Vigna(豇豆属)"	"--"	"I2G00788"	"半蔓生"	"山西农科院品资所"	"芮城县"	"--"	"10.8"	"--"	"--"	"34.0"	"红"	"--"	"--"	"--"	"10.8"	"--"	"HONG MAN DOU"	"黑"	"--"	"210.0"
"12"	"--"	"Leguminosae(豆科)"	"81-1127"	"红蛮豆"	"--"	"5.14"	"--"	"--"	"--"	"58.5"	"--"	"--"	"--"	"山西"	"--"	"--"	"4.0"	"143"	"地方"	"--"	"7.0"	"--"	"D0000377"	"--"	"Vigna umbellata (Thunb.) Ohwi&Ohashi(饭豆)"	"长圆柱"	"--"	"--"	"黄"	"--"	"10.04"	"--"	"无限"	"Vigna(豇豆属)"	"--"	"I2G00789"	"半蔓生"	"山西农科院品资所"	"芮城县"	"--"	"8.8"	"--"	"--"	"95.0"	"红"	"--"	"--"	"--"	"9.3"	"--"	"HONG MAN DOU"	"黑"	"--"	"210.0"
