"id"	"内质评价"	"品种名称"	"果梳数"	"特异及用途"	"省"	"学名"	"整齐度"	"果梳数评价"	"生育期天数"	"风味"	"原产地"	"译名"	"外观评价"	"色泽"	"总糖％"	"属名"	"可溶固形物"	"肉质"	"生育期评价"	"统一编号"	"总酸％"	"果指长评价"	"固形物评价"	"果穗长评价"	"果指长CM"	"果穗长CM"	"维生素C"	"科名"	"形状"
"1"	"中"	"高州矮"	"--"	"矮型,抗风"	"广东"	"Musa sapientum L.(香蕉)"	"较整齐"	"--"	"289"	"甜香"	"广东高州"	"GAO ZHOU AI"	"中"	"黄"	"18.43"	"Musa(芭蕉属)"	"21.7"	"松粉"	"短"	"XJO0001"	"0.16"	"--"	"--"	"--"	"--"	"--"	"0.89"	"Musaceae(芭蕉科)"	"微弯"
"2"	"中"	"天宝蕉"	"--"	"矮型"	"福建"	"Musa sapientum L.(香蕉)"	"较整齐"	"--"	"287"	"甜香"	"福建"	"TIAN BAO JIAO"	"中"	"黄"	"16.63"	"Musa(芭蕉属)"	"21.7"	"松滑"	"短"	"XJO0002"	"0.31"	"--"	"--"	"--"	"--"	"--"	"1.47"	"Musaceae(芭蕉科)"	"微弯"
"3"	"中"	"仙人种"	"--"	"中型"	"广东"	"Musa sapientum L.(香蕉)"	"较整齐"	"--"	"279"	"甜香"	"广东东莞"	"XIAN REN ZHONG"	"中"	"黄"	"16.76"	"Musa(芭蕉属)"	"19.2"	"稍实"	"短"	"XJO0003"	"0.37"	"--"	"--"	"--"	"--"	"--"	"0.87"	"Musaceae(芭蕉科)"	"微弯"
"4"	"中上"	"74-1"	"--"	"中矮型,抗风,优质,推广品种"	"广东"	"Musa sapientum L.(香蕉)"	"较整齐"	"--"	"266"	"甜香"	"广东高州"	"74-1"	"中"	"黄"	"17.67"	"Musa(芭蕉属)"	"22.0"	"稍实滑"	"短"	"XJO0004"	"0.25"	"--"	"--"	"--"	"--"	"--"	"1.18"	"Musaceae(芭蕉科)"	"微弯"
"5"	"中"	"大种矮"	"--"	"中型"	"广东"	"Musa sapientum L.(香蕉)"	"较整齐"	"--"	"279"	"甜香"	"广东东莞"	"DA ZHONG AI"	"中"	"黄"	"16.98"	"Musa(芭蕉属)"	"21.5"	"松滑"	"短"	"XJO0005"	"0.36"	"--"	"--"	"--"	"--"	"--"	"1.65"	"Musaceae(芭蕉科)"	"微弯"
"6"	"中"	"罗岗矮"	"--"	"中型"	"广东"	"Musa sapientum L.(香蕉)"	"较整齐"	"--"	"333"	"甜香"	"广东黄埔"	"LUO GANG AI"	"中"	"黄"	"17.06"	"Musa(芭蕉属)"	"22.5"	"稍实粉"	"短"	"XJO0006"	"0.33"	"--"	"--"	"--"	"--"	"--"	"2.18"	"Musaceae(芭蕉科)"	"微弯"
"7"	"中上"	"中山芽蕉"	"--"	"中型稳产"	"广东"	"Musa sapientum L.(香蕉)"	"较整齐"	"--"	"277"	"甜香"	"广东中山"	"ZHONG SHAN YA JIAO"	"中"	"黄"	"16.24"	"Musa(芭蕉属)"	"22.3"	"稍实滑"	"短"	"XJO0007"	"0.29"	"--"	"--"	"--"	"--"	"--"	"2.58"	"Musaceae(芭蕉科)"	"微弯"
"8"	"中上"	"中山芽蕉"	"--"	"中型稳产"	"广东"	"Musa sapientum L.(香蕉)"	"较整齐"	"--"	"277"	"甜香"	"广东中山"	"ZHONG SHAN YA JIAO"	"中"	"黄"	"16.24"	"Musa(芭蕉属)"	"22.3"	"稍实滑"	"短"	"XJO0007"	"0.29"	"--"	"--"	"--"	"--"	"--"	"2.58"	"Musaceae(芭蕉科)"	"微弯"
"9"	"中上"	"顺中把香蕉"	"--"	"中型"	"广东"	"Musa sapientum L.(香蕉)"	"较整齐"	"--"	"273"	"甜香"	"广东顺德"	"SHUN ZHONG BA XIANG JIAO"	"中"	"黄"	"18.79"	"Musa(芭蕉属)"	"23.3"	"松滑"	"短"	"XJO0008"	"0.20"	"--"	"--"	"--"	"--"	"--"	"1.22"	"Musaceae(芭蕉科)"	"微弯"
"10"	"中上"	"顺中把香蕉"	"--"	"中型"	"广东"	"Musa sapientum L.(香蕉)"	"较整齐"	"--"	"273"	"甜香"	"广东顺德"	"SHUN ZHONG BA XIANG JIAO"	"中"	"黄"	"18.79"	"Musa(芭蕉属)"	"23.3"	"松滑"	"短"	"XJO0008"	"0.20"	"--"	"--"	"--"	"--"	"--"	"1.22"	"Musaceae(芭蕉科)"	"微弯"
"11"	"中"	"罗岗大头高"	"--"	"中型"	"广东"	"Musa sapientum L.(香蕉)"	"较整齐"	"--"	"264"	"甜香"	"广东黄埔"	"LUO GANG DA TOU GAO"	"中"	"黄"	"18.45"	"Musa(芭蕉属)"	"22.9"	"松滑"	"短"	"XJO0010"	"0.24"	"--"	"--"	"--"	"--"	"--"	"1.11"	"Musaceae(芭蕉科)"	"微弯"
"12"	"中上"	"大种高把"	"--"	"中高型良种"	"广东"	"Musa sapientum L.(香蕉)"	"较整齐"	"--"	"280"	"甜香"	"广东东莞"	"DA ZHONG GAO BA"	"较好"	"黄"	"19.13"	"Musa(芭蕉属)"	"21.5"	"稍实滑"	"短"	"XJO0011"	"0.36"	"--"	"--"	"--"	"--"	"--"	"1.48"	"Musaceae(芭蕉科)"	"直微弯"
"13"	"中上"	"白油身"	"--"	"中型"	"广东"	"Musa sapientum L.(香蕉)"	"较整齐"	"--"	"269"	"较甜香"	"广东东莞"	"BAI YOU SHEN"	"中"	"黄"	"19.66"	"Musa(芭蕉属)"	"23.3"	"稍实滑"	"短"	"XJO0012"	"0.25"	"--"	"--"	"--"	"--"	"--"	"1.42"	"Musaceae(芭蕉科)"	"微弯"
"14"	"中"	"黄把头"	"--"	"中型"	"广东"	"Musa sapientum L.(香蕉)"	"较整齐"	"--"	"270"	"甜香"	"广东东莞"	"HUANG BA TOU"	"中"	"黄"	"17.50"	"Musa(芭蕉属)"	"21.0"	"实粉"	"短"	"XJO0013"	"0.29"	"--"	"--"	"--"	"--"	"--"	"1.85"	"Musaceae(芭蕉科)"	"微弯"
