"id"	"熟性"	"天然结实"	"科名"	"PVY"	"品种名称"	"丰产性"	"晚疫病抗性"	"大小"	"征集地点"	"淀粉含量"	"病毒抗感性"	"蒸食品质"	"肉色"	"省"	"形状"	"亲本"	"皮色"	"学名"	"统一编号"	"耐储性"	"译名"	"其它"	"属名"	"品种来源"	"PVX"	"皮光滑度"	"芽眼深浅"	"送留单位"	"花色"	"整齐度"
"1"	"中"	"--"	"Solanaceae(茄科)"	"--"	"小叶子"	"中"	"--"	"--"	"四川省农科院作物所"	"13.00"	"感卷叶,抗Y病毒"	"--"	"白"	"国外"	"长卵"	"96-44×528-170"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00001"	"--"	"XIAO YE ZI"	"--"	"Solanum(茄属)"	"前中农所从美引进"	"--"	"--"	"浅"	"克山"	"浅紫蓝"	"中"
"2"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"万农4号"	"中"	"--"	"--"	"四川万县地区所"	"--"	"无皱缩花叶,卷叶"	"--"	"白"	"四川"	"椭圆"	"Pontiac×292-20"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00002"	"--"	"WAN NONG 4 HAO"	"--"	"Solanum(茄属)"	"四川万县地区所"	"--"	"--"	"中"	"克山"	"紫"	"整齐"
"3"	"中"	"--"	"Solanaceae(茄科)"	"--"	"万薯八号"	"中"	"--"	"--"	"四川万县地区所"	"9.0"	"感卷叶,花叶"	"--"	"淡黄"	"四川"	"扁圆"	"66116×292-20"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00003"	"--"	"WAN SHU BA HAO"	"--"	"Solanum(茄属)"	"四川万县地区所"	"--"	"--"	"中"	"克山"	"白"	"整齐"
"4"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"万薯九号"	"中"	"--"	"--"	"四川万县地区所"	"--"	"轻感皱缩花叶"	"--"	"白"	"四川"	"扁椭圆"	"巫峡×292-20"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00004"	"--"	"WAN SHU JIU HAO"	"--"	"Solanum(茄属)"	"四川万县地区所"	"--"	"--"	"浅"	"克山"	"浅紫"	"整齐"
"5"	"中"	"--"	"Solanaceae(茄科)"	"--"	"丰收"	"中"	"--"	"--"	"四川省农科院作物所"	"--"	"感卷叶"	"--"	"白"	"国外"	"长卵"	"火玛×B76-23"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00005"	"--"	"FENG SHOU"	"--"	"Solanum(茄属)"	"前中农所1947年引进"	"--"	"--"	"浅"	"克山"	"白"	"中"
"6"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"双丰"	"高"	"--"	"--"	"上海市农科院园艺所"	"14.8"	"感皱缩花叶,较抗卷叶"	"--"	"淡黄"	"上海"	"椭圆"	"10770×卡它丁"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00006"	"--"	"SHUANG FENG"	"--"	"Solanum(茄属)"	"上海农科院园艺所"	"--"	"--"	"中"	"克山"	"白"	"中"
"7"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"双丰收"	"中"	"--"	"--"	"湖北恩施地区天池山所"	"--"	"感卷叶,花叶"	"--"	"黄"	"湖北"	"扁圆"	"60-2-222×59-5-86"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00007"	"--"	"SHUANG FENG SHOU"	"--"	"Solanum(茄属)"	"湖北恩施地区天池山所"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"8"	"早"	"--"	"Solanaceae(茄科)"	"--"	"辽龄一号"	"高"	"--"	"--"	"辽宁省农科院"	"13-14.5"	"轻感卷叶"	"--"	"白"	"辽宁"	"扁圆"	"5903-2×波兰一号"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00008"	"--"	"LIAO LING YI HAO"	"--"	"Solanum(茄属)"	"辽宁农科院"	"--"	"--"	"浅"	"克山"	"白"	"中"
"9"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"宁薯一号"	"中"	"--"	"--"	"宁夏固原地区所"	"14.4"	"感卷叶"	"--"	"黄"	"宁夏"	"扁圆"	"65-17-1×65-15-17"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00009"	"--"	"NING SHU YI HAO"	"--"	"Solanum(茄属)"	"宁夏固原地区所"	"--"	"--"	"深"	"克山"	"紫红"	"整齐"
"10"	"早"	"--"	"Solanaceae(茄科)"	"--"	"宁薯五号"	"高"	"--"	"--"	"原山西雁北所"	"--"	"中抗皱缩花叶感卷叶"	"--"	"白"	"山西"	"椭圆"	"汾原三号×同薯三号"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00010"	"--"	"NING SHU WU HAO"	"--"	"Solanum(茄属)"	"山西宁武县良种场"	"--"	"--"	"深"	"克山"	"白"	"整齐"
"11"	"中"	"--"	"Solanaceae(茄科)"	"--"	"宁薯二十号"	"高"	"--"	"--"	"原山西雁北所"	"--"	"卷感叶"	"--"	"白"	"山西"	"圆"	"晋薯三号"	"淡紫"	"Solanum tuberosum L.(马铃薯)"	"MSG00011"	"--"	"NING SHU ER SHI HAO"	"--"	"Solanum(茄属)"	"山西宁武县良种场"	"--"	"--"	"中"	"克山"	"白"	"整齐"
"12"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"克新一号"	"高"	"--"	"--"	"黑龙江克山所"	"13.0"	"感束顶,高抗卷叶抗Y病毒"	"--"	"白"	"黑龙"	"椭圆"	"374-128×波兰一号"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00012"	"--"	"KE XIN YI HAO"	"--"	"Solanum(茄属)"	"黑龙江克山马铃薯研究所"	"--"	"--"	"中"	"克山"	"浅紫"	"整齐"
"13"	"中"	"--"	"Solanaceae(茄科)"	"--"	"克新二号"	"高"	"--"	"--"	"黑龙江克山所"	"15.0"	"感皱缩花叶,卷叶及束顶"	"--"	"淡黄"	"黑龙"	"椭圆"	"德友一号×波兰一号"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00013"	"--"	"KE XIN ER HAO"	"--"	"Solanum(茄属)"	"黑龙江克山马铃薯研究所"	"--"	"--"	"深"	"克山"	"浅紫"	"整齐"
