"id"	"蛋氨酸"	"科名"	"保存编号"	"品种名称"	"谷氨酸"	"播种期"	"结荚习性"	"精氨酸"	"丙氨酸"	"单株产量"	"总和"	"酪氨酸"	"天冬氨酸"	"异亮氨酸"	"省"	"色氨酸"	"脂肪"	"组氨酸"	"分枝数"	"全生育日数"	"样品类型"	"总淀粉"	"百粒重"	"苏氨酸"	"统一编号"	"苯丙氨酸"	"学名"	"粒形"	"胱氨酸"	"支链淀粉"	"花色"	"成熟期"	"蛋白质"	"属名"	"亮氨酸"	"库编号"	"生长习性"	"原产地"	"甘氨酸"	"单荚粒数"	"缬氨酸"	"直链淀粉"	"单株荚数"	"粒色"	"备注"	"脯氨酸"	"赖氨酸"	"荚长"	"丝氨酸"	"保存单位"	"荚色"	"译名"	"种子来源"	"株高"	"茎粗大小"	"蚜害病评价"	"荚型"	"株型"	"褐斑病指数"	"苗期耐盐"	"来源"	"锈病评价"	"茎粗"	"褐斑病级"	"锈病病级"	"耐旱性"	"蚜害病指数"	"白粉病评价"	"薯肉色"	"均匀度"	"白粉病级"	"顶叶色"	"赤斑病指数"	"芽期抗旱"	"脉基色"	"蚜害病级"	"最长蔓长"	"抗涝性"	"白粉病指数"	"柄基色"	"赤斑病级"	"耐盐性"	"育成年份"	"叶形"	"粗蛋白"	"蚜害病指"	"薯瘟抗性1"	"有效枝"	"耐贮性"	"熟期抗旱"	"烘干率"	"锈病指数"	"选育单位"	"产量"	"谷氨"	"谷"	"芽期耐盐"	"茎端茸毛"	"粒型"	"粗脂肪"	"叶片宽"	"熟性"	"基部分枝"	"赤斑病评价"	"叶色"	"褐斑病评价"
"1"	"--"	"Leguminosae(豆科)"	"K92"	"鹰嘴豆"	"--"	"3.10"	"无限"	"--"	"--"	"2.8"	"--"	"--"	"--"	"--"	"新疆"	"--"	"--"	"--"	"13.8"	"119"	"地方"	"--"	"8.1"	"--"	"L0000001"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"倒卵"	"--"	"--"	"白"	"7.07"	"--"	"Cicer(鹰嘴豆属)"	"--"	"--"	"丛生"	"新疆区"	"--"	"1.8"	"--"	"--"	"37.6"	"白"	"--"	"--"	"--"	"2.0"	"--"	"中国农科院品资所"	"黄"	"YING ZUI DOU"	"--"	"71.0"																																																				
"2"	"--"	"Leguminosae(豆科)"	"0801"	"桃豆"	"--"	"4.28"	"无限"	"--"	"--"	"16.6"	"--"	"--"	"--"	"--"	"内蒙"	"--"	"--"	"--"	"16.5"	"128"	"地方"	"--"	"13.8"	"--"	"L0000002"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"粉红"	"9.03"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00001"	"直立"	"内蒙农科院"	"--"	"1.0"	"--"	"--"	"120.0"	"黄"	"--"	"--"	"--"	"1.0"	"--"	"内蒙古农科院原子能所"	"黄"	"TAO DOU"	"--"	"42.0"																																																				
"3"	"--"	"Leguminosae(豆科)"	"0802"	"桃豆"	"--"	"4.28"	"无限"	"--"	"--"	"21.6"	"--"	"--"	"--"	"--"	"内蒙"	"--"	"--"	"--"	"16.5"	"128"	"地方"	"--"	"12.9"	"--"	"L0000003"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"粉红"	"9.03"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00002"	"直立"	"内蒙农科院"	"--"	"1.0"	"--"	"--"	"120.0"	"黄"	"--"	"--"	"--"	"1.0"	"--"	"内蒙古农科院原子能所"	"黄"	"TAO DOU"	"--"	"41.0"																																																				
"4"	"--"	"Leguminosae(豆科)"	"GC2"	"鸡头豆"	"--"	"3.14"	"无限"	"--"	"--"	"6.8"	"--"	"--"	"--"	"--"	"甘肃"	"--"	"--"	"--"	"12.4"	"158"	"地方"	"--"	"18.4"	"--"	"L0000004"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"白"	"8.19"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00004"	"丛生"	"民乐县"	"--"	"1.0"	"--"	"--"	"3.1"	"白"	"--"	"--"	"--"	"1.9"	"--"	"甘肃农科院粮作所"	"黄"	"JI TOU DOU"	"--"	"75.0"																																																				
"5"	"--"	"Leguminosae(豆科)"	"GC3"	"脑豆"	"--"	"3.14"	"无限"	"--"	"--"	"4.1"	"--"	"--"	"--"	"--"	"甘肃"	"--"	"--"	"--"	"13.0"	"159"	"地方"	"--"	"13.4"	"--"	"L0000005"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"白"	"8.20"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00003"	"丛生"	"临泽县"	"--"	"1.4"	"--"	"--"	"18.7"	"白"	"--"	"--"	"--"	"1.8"	"--"	"甘肃农科院粮作所"	"黄"	"NAO DOU"	"--"	"83.0"																																																				
"6"	"--"	"Leguminosae(豆科)"	"GC6"	"鹰咀豆"	"--"	"3.14"	"无限"	"--"	"--"	"6.5"	"--"	"--"	"--"	"--"	"甘肃"	"--"	"5.03"	"--"	"12.7"	"154"	"地方"	"46.93"	"14.2"	"--"	"L0000006"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"36.53"	"白"	"8.15"	"23.26"	"Cicer(鹰嘴豆属)"	"--"	"I2N00005"	"丛生"	"酒泉市"	"--"	"1.0"	"--"	"10.40"	"37.4"	"白"	"--"	"--"	"--"	"1.8"	"--"	"甘肃农科院粮作所"	"黄"	"YING JU DOU"	"--"	"80.0"																																																				
"7"	"--"	"Leguminosae(豆科)"	"GC7"	"回回豆"	"--"	"3.14"	"无限"	"--"	"--"	"5.4"	"--"	"--"	"--"	"--"	"甘肃"	"--"	"3.85"	"--"	"12.0"	"153"	"地方"	"38.85"	"12.1"	"--"	"L0000007"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"30.47"	"紫"	"8.14"	"21.80"	"Cicer(鹰嘴豆属)"	"--"	"I2N00006"	"丛生"	"榆中县"	"--"	"1.5"	"--"	"8.38"	"27.0"	"褐"	"--"	"--"	"--"	"1.7"	"--"	"甘肃农科院粮作所"	"黄"	"HUI HUI DOU"	"--"	"75.0"																																																				
"8"	"--"	"Leguminosae(豆科)"	"GC8"	"回回豆"	"--"	"3.14"	"无限"	"--"	"--"	"5.6"	"--"	"--"	"--"	"--"	"山东"	"--"	"4.02"	"--"	"9.0"	"156"	"地方"	"40.82"	"13.8"	"--"	"L0000008"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"31.76"	"紫"	"8.17"	"21.31"	"Cicer(鹰嘴豆属)"	"--"	"I2N00007"	"丛生"	"泰安县"	"--"	"1.5"	"--"	"9.06"	"26.1"	"褐"	"--"	"--"	"--"	"1.8"	"--"	"甘肃农科院粮作所"	"黄"	"HUI HUI DOU"	"--"	"90.0"																																																				
"9"	"--"	"Leguminosae(豆科)"	"GC9"	"鹰咀豆"	"--"	"3.14"	"无限"	"--"	"--"	"6.9"	"--"	"--"	"--"	"--"	"甘肃"	"--"	"--"	"--"	"14.0"	"154"	"地方"	"--"	"14.2"	"--"	"L0000009"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"紫"	"8.15"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00008"	"丛生"	"陇西县"	"--"	"1.5"	"--"	"--"	"21.3"	"褐"	"--"	"--"	"--"	"1.8"	"--"	"甘肃农科院粮作所"	"黄"	"YING JU DOU"	"--"	"82.0"																																																				
"10"	"--"	"Leguminosae(豆科)"	"GC10"	"回回豆"	"--"	"3.14"	"无限"	"--"	"--"	"5.4"	"--"	"--"	"--"	"--"	"甘肃"	"--"	"3.94"	"--"	"11.0"	"155"	"地方"	"39.64"	"16.3"	"--"	"L0000010"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"30.26"	"紫"	"8.16"	"22.35"	"Cicer(鹰嘴豆属)"	"--"	"I2N00009"	"丛生"	"通渭县"	"--"	"1.0"	"--"	"9.38"	"21.5"	"褐"	"--"	"--"	"--"	"1.8"	"--"	"甘肃农科院粮作所"	"黄"	"HUI HUI DOU"	"--"	"83.0"																																																				
