"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"省"	"霜霉发病率"	"瓜面腊粉"	"分枝性"	"商瓜皮色"	"老瓜次色"	"疫病抗指"	"叶形"	"风味"	"老瓜斑纹"	"疫病发病率"	"亩产"	"瓜刺色"	"老瓜皮色"	"备注"	"瓜形"	"瓜刺多少"	"肉质"	"雌首花节位"	"霜霉病抗指"	"枯萎发病率"	"统一编号"	"保存单位"	"白粉发病率"	"枯萎病抗指"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"白粉病抗指"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"1"	"早"	"Cs9(88)"	"黑油皮早黄瓜"	"蔓生"	"HEI YOU PI ZAO HUANG GUA"	"0.3"	"安徽"	"100.0"	"无"	"弱"	"绿"	"--"	"0.460"	"心形"	"--"	"--"	"100.00"	"1375"	"--"	"黄色"	"--"	"圆柱形"	"少"	"圆滑致密"	"5"	"-0.080"	"39.70"	"V05A0001"	"安徽农科院园艺所"	"97.3"	"0.850"	"强"	"Ⅱ5A0854"	"安徽怀远县"	"--"	"-1.350"	"3中-6中"	"--"	"平"
"2"	"早"	"Cs4(86)"	"霍邱躁黄瓜"	"蔓生"	"HUO QIU ZAO HUANG GUA"	"0.9"	"安徽"	"58.6"	"--"	"中"	"绿"	"--"	"2.900"	"掌状"	"--"	"--"	"10.30"	"500"	"--"	"绿色"	"--"	"圆柱形"	"少"	"圆滑致密"	"4"	"1.510"	"39.30"	"V05A0002"	"安徽农科院园艺所"	"100.0"	"2.020"	"强"	"Ⅱ5A0241"	"安徽霍邱县"	"--"	"0.220"	"4上-6下"	"--"	"平"
"3"	"早"	"Cs5(87)"	"霍山早黄瓜"	"蔓生"	"HUO SHAN ZAO HUANG GUA"	"0.2"	"安徽"	"100.0"	"无"	"弱"	"绿"	"--"	"0.320"	"心形"	"甜"	"--"	"90.00"	"1000"	"--"	"黄色"	"--"	"圆柱形"	"少"	"软"	"5"	"-0.740"	"23.30"	"V05A0003"	"安徽农科院园艺所"	"88.2"	"0.420"	"强"	"Ⅱ5A0635"	"安徽霍山县"	"--"	"0.340"	"3中下-6上中"	"--"	"平"
"4"	"早"	"Cs6(87)"	"嘉山青皮黄瓜"	"蔓生"	"JIA SHAN QING PI HUANG GUA"	"0.8"	"安徽"	"71.0"	"无"	"中"	"绿"	"--"	"0.860"	"心形"	"--"	"--"	"89.00"	"1750"	"--"	"绿色"	"--"	"圆柱形"	"少"	"圆滑致密"	"6"	"0.430"	"38.00"	"V05A0004"	"安徽农科院园艺所"	"84.0"	"2.690"	"耐湿"	"Ⅱ5A0759"	"安徽嘉山县"	"--"	"-0.210"	"3下-6中"	"--"	"平"
"5"	"早"	"Cs7(87)"	"嘉山白皮黄瓜"	"蔓生"	"JIA SHAN BAI PI HUANG GUA"	"0.3"	"安徽"	"77.0"	"无"	"弱"	"绿"	"--"	"2.850"	"心形"	"--"	"--"	"77.00"	"750"	"--"	"奶油色"	"--"	"圆柱形"	"少"	"圆滑致密"	"4"	"0.420"	"59.00"	"V05A0005"	"安徽农科院园艺所"	"65.0"	"2.210"	"耐湿"	"Ⅱ5A0760"	"安徽嘉山县"	"--"	"0.640"	"3下-6上"	"--"	"平"
"6"	"早"	"90-160"	"夏秋黄瓜"	"攀援蔓生"	"XIA QIU HUANG GUA"	"0.2"	"安徽"	"--"	"无"	"中"	"绿"	"--"	"--"	"圆形"	"中"	"--"	"--"	"1250"	"白"	"黄色"	"--"	"圆柱形"	"多"	"圆滑致密"	"5"	"--"	"--"	"V05A0006"	"天津市黄瓜所"	"--"	"--"	"中"	"Ⅱ5A1054"	"安徽宁国县"	"--"	"--"	"2上-7下"	"--"	"棱"
"7"	"早"	"Cs3(86)"	"寿县早黄瓜"	"葡匐蔓生"	"SHOU XIAN ZAO HUANG GUA"	"0.2"	"安徽"	"25.9"	"无"	"中"	"绿"	"--"	"-0.120"	"掌状"	"甜"	"--"	"82.80"	"3000"	"白"	"褐色"	"*宜春夏栽培"	"椭圆形"	"中"	"圆滑致密"	"3"	"2.770"	"80.00"	"V05A0007"	"安徽农科院园艺所"	"100.0"	"3.170"	"--"	"Ⅱ5A0038"	"安徽寿县"	"--"	"0.530"	"4上-5中"	"--"	"具瘤"
"8"	"早"	"Cs1(81)"	"油皮黄瓜"	"攀援蔓生"	"YOU PI HUANG GUA"	"0.3"	"安徽"	"78.3"	"少"	"弱"	"绿"	"--"	"--"	"掌状"	"--"	"--"	"43.30"	"1750"	"黑"	"褐色"	"*"	"圆柱形"	"少"	"软"	"4"	"0.200"	"20.00"	"V05A0008"	"安徽农科院园艺所"	"100.0"	"0.890"	"耐寒"	"Ⅱ5A0022"	"安徽芜湖市"	"--"	"0.020"	"4上-5中"	"--"	"具瘤"
"9"	"早"	"Cs8(88)"	"青皮早黄瓜"	"攀援蔓生"	"QING PI ZAO HUANG GUA"	"0.3"	"安徽"	"81.0"	"无"	"强"	"绿"	"--"	"1.800"	"心形"	"香"	"--"	"88.00"	"3750"	"黑"	"褐色"	"*"	"圆柱形"	"中"	"圆滑致密"	"4"	"0.580"	"94.00"	"V05A0009"	"安徽农科院园艺所"	"97.0"	"1.340"	"耐热"	"Ⅱ5A0827"	"安徽歙县"	"--"	"-0.780"	"4上-5中"	"--"	"具瘤"
"10"	"早"	"B146"	"北京小刺"	"攀援蔓生"	"BEI JING XIAO CI"	"0.1"	"北京"	"83.3"	"--"	"弱"	"绿"	"--"	"1.660"	"掌状"	"--"	"--"	"66.70"	"--"	"--"	"--"	"--"	"圆柱形"	"--"	"圆滑致密"	"4"	"0.800"	"80.00"	"V05A0010"	"北京蔬菜研究中心"	"100.0"	"1.180"	"耐寒"	"Ⅱ5A0220"	"北京"	"--"	"-0.060"	"--"	"--"	"具瘤"
