"id"	"穗型"	"库编号"	"品种名称"	"样品类型"	"生育日数"	"保存编号"	"学名"	"出苗期"	"粗脂肪"	"主穗长"	"种子来源"	"落粒性"	"耐盐性"	"抽穗期"	"主茎节数"	"粒色"	"株高"	"千粒重"	"属名"	"保存单位"	"赖氨酸"	"芽期耐盐"	"统一编号"	"译名"	"备注"	"成熟期"	"黑穗病"	"倒伏性"	"省"	"米色"	"单株粒重"	"花序色"	"科名"	"苗期耐盐"	"粗蛋白"
"1"	"侧"	"I1J00001"	"64黍120"	"地方"	"112"	"黑1141"	"Panicum miliaceum L.(黍稷)"	"5.12"	"2.38"	"37.20"	"黑嫩江所"	"中"	"中耐"	"7.29"	"8.40"	"红"	"135"	"5.7"	"Panicum(黍属)"	"黑龙江农科院"	"0.180"	"3"	"00000001"	"64 SHU 120"	"--"	"9.02"	"37.1"	"1"	"黑龙江"	"黄"	"3.40"	"绿"	"Gramineae(禾本科)"	"3"	"14.55"
"2"	"密"	"I1J00002"	"64黍42"	"地方"	"104"	"黑1143"	"Panicum miliaceum L.(黍稷)"	"5.12"	"2.97"	"29.30"	"黑嫩江所"	"中"	"中耐"	"7.26"	"8.40"	"红"	"136"	"6.1"	"Panicum(黍属)"	"黑龙江农科院"	"0.190"	"3"	"00000002"	"64 SHU 42"	"--"	"8.25"	"29.7"	"0"	"黑龙江"	"黄"	"3.70"	"紫"	"Gramineae(禾本科)"	"3"	"15.25"
"3"	"侧"	"I1J00003"	"70黍240"	"地方"	"104"	"黑1168"	"Panicum miliaceum L.(黍稷)"	"5.12"	"2.50"	"53.20"	"黑嫩江所"	"轻"	"中耐"	"7.11"	"7.10"	"黄"	"130"	"7.4"	"Panicum(黍属)"	"黑龙江农科院"	"0.170"	"2"	"00000003"	"70 SHU 240"	"--"	"8.25"	"39.1"	"1"	"黑龙江"	"淡黄"	"4.20"	"紫"	"Gramineae(禾本科)"	"3"	"14.28"
"4"	"密"	"I1J04822"	"黄糜子"	"地方"	"104"	"黑1188"	"Panicum miliaceum L.(黍稷)"	"5.12"	"4.33"	"27.70"	"黑嫩江所"	"轻"	"中敏"	"7.26"	"9.10"	"黄"	"134"	"6.2"	"Panicum(黍属)"	"黑龙江农科院"	"0.190"	"5"	"00000004"	"HUANG MI ZI"	"--"	"8.25"	"12.5"	"0"	"黑龙江"	"淡黄"	"5.60"	"紫"	"Gramineae(禾本科)"	"4"	"12.51"
"5"	"散"	"I1J04823"	"黄糜子"	"地方"	"89"	"黑1211"	"Panicum miliaceum L.(黍稷)"	"5.12"	"4.40"	"26.00"	"黑嫩江所"	"轻"	"中耐"	"7.06"	"5.50"	"黄"	"65"	"5.4"	"Panicum(黍属)"	"黑龙江农科院"	"0.200"	"4"	"00000005"	"HUANG MI ZI"	"--"	"8.10"	"18.5"	"0"	"黑龙江"	"淡黄"	"4.00"	"绿"	"Gramineae(禾本科)"	"3"	"14.06"
"6"	"侧"	"I1J00004"	"大白黍"	"地方"	"114"	"黑1228"	"Panicum miliaceum L.(黍稷)"	"5.12"	"2.91"	"50.60"	"黑嫩江所"	"中"	"中敏"	"7.26"	"8.50"	"白"	"146"	"5.9"	"Panicum(黍属)"	"黑龙江农科院"	"0.180"	"1"	"00000006"	"DA BAI SHU"	"--"	"9.04"	"36.4"	"1"	"黑龙江"	"淡黄"	"5.00"	"绿"	"Gramineae(禾本科)"	"4"	"14.87"
"7"	"侧"	"I1J00005"	"年丰"	"地方"	"115"	"黑1009"	"Panicum miliaceum L.(黍稷)"	"5.12"	"2.81"	"40.70"	"黑嫩江所"	"中"	"中耐"	"7.12"	"8.80"	"褐"	"117"	"5.8"	"Panicum(黍属)"	"黑龙江农科院"	"0.180"	"4"	"00000007"	"NIAN FENG"	"--"	"9.05"	"36.4"	"1"	"黑龙江"	"淡黄"	"4.10"	"绿"	"Gramineae(禾本科)"	"3"	"15.00"
"8"	"侧"	"I1J00006"	"64黍75"	"地方"	"104"	"黑1022"	"Panicum miliaceum L.(黍稷)"	"5.12"	"3.28"	"39.60"	"黑嫩江所"	"中"	"中敏"	"7.16"	"8.60"	"褐"	"105"	"5.3"	"Panicum(黍属)"	"黑龙江农科院"	"0.180"	"4"	"00000008"	"64 SHU 75"	"--"	"8.25"	"45.9"	"1"	"黑龙江"	"黄"	"2.10"	"绿"	"Gramineae(禾本科)"	"4"	"14.70"
"9"	"侧"	"I1J04824"	"糜子"	"地方"	"104"	"黑1035"	"Panicum miliaceum L.(黍稷)"	"5.12"	"2.30"	"42.20"	"黑嫩江所"	"中"	"中耐"	"7.12"	"7.50"	"褐"	"111"	"6.1"	"Panicum(黍属)"	"黑龙江农科院"	"0.200"	"4"	"00000009"	"MI ZI"	"--"	"8.25"	"17.1"	"1"	"黑龙江"	"黄"	"5.00"	"绿"	"Gramineae(禾本科)"	"3"	"13.23"
"10"	"密"	"I1J05493"	"64黍144"	"地方"	"104"	"黑1058"	"Panicum miliaceum L.(黍稷)"	"5.12"	"3.38"	"22.30"	"黑嫩江所"	"轻"	"中耐"	"7.29"	"8.90"	"褐"	"119"	"6.2"	"Panicum(黍属)"	"黑龙江农科院"	"0.180"	"5"	"00000010"	"64 SHU 144"	"--"	"8.25"	"23.7"	"0"	"黑龙江"	"黄"	"4.70"	"紫"	"Gramineae(禾本科)"	"3"	"14.06"
