"id"	"单荚粒数"	"品种名称"	"学名"	"样品类型"	"花色"	"保存编号"	"库编号"	"全生育日数"	"备注"	"播种期"	"原产地"	"译名"	"荚色"	"粒色"	"株高"	"科名"	"单株荚数"	"属名"	"保存单位"	"省"	"百粒重"	"统一编号"	"单株产量"	"分枝数"	"荚长"	"生长习性"	"粒形"	"成熟期"	"结荚习性"
"1"	"4.2"	"猫豆"	"Mucuna pruriens (L.) DC. var. utilis Baker ex Burck(藜豆)"	"地方"	"青白"	"20"	"I2R00030"	"214"	"--"	"3.17"	"来宾县"	"MAO DOU"	"黑"	"灰白"	"150.0"	"Leguminosae(豆科)"	"35.3"	"Mucuna(藜豆属)"	"广西农科院品资所"	"广西"	"122.7"	"P0000021"	"182.2"	"--"	"10.1"	"蔓生"	"近肾"	"10.17"	"无限"
"2"	"2.7"	"猫豆"	"Mucuna pruriens (L.) DC. var. utilis Baker ex Burck(藜豆)"	"地方"	"深紫"	"21"	"I2R00031"	"254"	"--"	"3.17"	"容县"	"MAO DOU"	"黑"	"灰白"	"150.0"	"Leguminosae(豆科)"	"47.4"	"Mucuna(藜豆属)"	"广西农科院品资所"	"广西"	"140.7"	"P0000022"	"193.7"	"--"	"9.5"	"蔓生"	"近肾"	"11.26"	"无限"
"3"	"3.4"	"猫豆"	"Mucuna pruriens (L.) DC. var. utilis Baker ex Burck(藜豆)"	"地方"	"青白"	"22"	"I2R00032"	"254"	"--"	"3.17"	"田阳县"	"MAO DOU"	"黑"	"灰白"	"150.0"	"Leguminosae(豆科)"	"25.8"	"Mucuna(藜豆属)"	"广西农科院品资所"	"广西"	"149.5"	"P0000023"	"131.3"	"--"	"9.4"	"蔓生"	"近肾"	"11.26"	"无限"
"4"	"3.3"	"猫豆"	"Mucuna pruriens (L.) DC. var. utilis Baker ex Burck(藜豆)"	"地方"	"青白"	"23"	"I2R00033"	"254"	"--"	"3.17"	"田阳县"	"MAO DOU"	"黑"	"灰白"	"150.0"	"Leguminosae(豆科)"	"46.3"	"Mucuna(藜豆属)"	"广西农科院品资所"	"广西"	"122.5"	"P0000024"	"193.3"	"--"	"10.1"	"蔓生"	"近肾"	"11.26"	"无限"
"5"	"3.1"	"猫豆"	"Mucuna pruriens (L.) DC. var. utilis Baker ex Burck(藜豆)"	"地方"	"深紫"	"24"	"I2R00034"	"236"	"--"	"3.17"	"柳城县"	"MAO DOU"	"黑"	"花斑"	"150.0"	"Leguminosae(豆科)"	"46.8"	"Mucuna(藜豆属)"	"广西农科院品资所"	"广西"	"116.6"	"P0000025"	"169.3"	"--"	"8.5"	"蔓生"	"近肾"	"11.08"	"无限"
"6"	"2.4"	"猫豆"	"Mucuna pruriens (L.) DC. var. utilis Baker ex Burck(藜豆)"	"地方"	"青白"	"25"	"I2R00035"	"225"	"--"	"3.17"	"柳城县"	"MAO DOU"	"黑"	"花斑"	"150.0"	"Leguminosae(豆科)"	"18.6"	"Mucuna(藜豆属)"	"广西农科院品资所"	"广西"	"116.5"	"P0000026"	"52.1"	"--"	"5.7"	"蔓生"	"肾形"	"10.28"	"无限"
"7"	"2.1"	"猫豆"	"Mucuna pruriens (L.) DC. var. utilis Baker ex Burck(藜豆)"	"地方"	"深紫"	"26"	"I2R00036"	"254"	"--"	"3.17"	"梧州市"	"MAO DOU"	"黑"	"花斑"	"150.0"	"Leguminosae(豆科)"	"37.5"	"Mucuna(藜豆属)"	"广西农科院品资所"	"广西"	"105.6"	"P0000027"	"83.1"	"--"	"8.5"	"蔓生"	"近肾"	"11.26"	"无限"
"8"	"1.9"	"猫豆"	"Mucuna pruriens (L.) DC. var. utilis Baker ex Burck(藜豆)"	"地方"	"深紫"	"27"	"I2R00015"	"278"	"--"	"3.17"	"天等县"	"MAO DOU"	"黑"	"花斑"	"150.0"	"Leguminosae(豆科)"	"10.6"	"Mucuna(藜豆属)"	"广西农科院品资所"	"广西"	"91.4"	"P0000028"	"18.4"	"--"	"4.1"	"蔓生"	"球形"	"12.20"	"无限"
"9"	"3.4"	"花粒猫豆"	"Mucuna pruriens (L.) DC. var. utilis Baker ex Burck(藜豆)"	"地方"	"深紫"	"28"	"I2R00016"	"285"	"--"	"3.17"	"河池市"	"HUA LI MAO DOU"	"黑"	"花斑"	"150.0"	"Leguminosae(豆科)"	"54.1"	"Mucuna(藜豆属)"	"广西农科院品资所"	"广西"	"97.1"	"P0000029"	"178.6"	"--"	"5.7"	"蔓生"	"球形"	"12.27"	"无限"
"10"	"3.3"	"耘性猫豆"	"Mucuna pruriens (L.) DC. var. utilis Baker ex Burck(藜豆)"	"地方"	"深紫"	"29"	"I2R00017"	"285"	"--"	"3.17"	"罗城县"	"YUN XING MAO DOU"	"黑"	"花斑"	"150.0"	"Leguminosae(豆科)"	"64.3"	"Mucuna(藜豆属)"	"广西农科院品资所"	"广西"	"98.5"	"P0000030"	"208.9"	"--"	"9.3"	"蔓生"	"球形"	"12.27"	"无限"
