"id"	"记录号"	"分类"	"标题书名"	"作者"	"信息类型"	"信息来源"	"出版日期"	"出版者"	"出版地"	"载体形态"	"登录号"	"关键词"	"正文文摘"	"附件"
"1"	"GJ00001"	"S-092.49"	"钦定授时通考:七十八卷.卷一"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000390"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000390/"
"2"	"GJ00002"	"S-092.49"	"钦定授时通考:七十八卷.卷五"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000391"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000391/"
"3"	"GJ00003"	"S-092.49"	"钦定授时通考:七十八卷.卷九"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000392"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000392/"
"4"	"GJ00004"	"S-092.49"	"钦定授时通考:七十八卷.卷十二"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000393"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000393/"
"5"	"GJ00005"	"S-092.49"	"钦定授时通考:七十八卷.卷十五"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000394"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000394/"
"6"	"GJ00006"	"S-092.49"	"钦定授时通考:七十八卷.卷十八"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000395"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000395/"
"7"	"GJ00007"	"S-092.49"	"钦定授时通考:七十八卷.卷二十"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000396"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000396/"
"8"	"GJ00008"	"S-092.49"	"钦定授时通考:七十八卷.卷二十四"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000397"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000397/"
"9"	"GJ00009"	"S-092.49"	"钦定授时通考:七十八卷.卷二十八"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000398"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000398/"
"10"	"GJ00010"	"S-092.49"	"钦定授时通考:七十八卷.卷三十二"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000399"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000399/"
"11"	"GJ00011"	"S-092.49"	"钦定授时通考:七十八卷.卷三十五"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000400"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000400/"
"12"	"GJ00012"	"S-092.49"	"钦定授时通考:七十八卷.卷三十八"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000401"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000401/"
"13"	"GJ00013"	"S-092.49"	"钦定授时通考:七十八卷.卷四十"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000402"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000402/"
"14"	"GJ00014"	"S-092.49"	"钦定授时通考:七十八卷.卷四十四"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000403"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000403/"
"15"	"GJ00015"	"S-092.49"	"钦定授时通考:七十八卷.卷四十八"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000404"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000404/"
"16"	"GJ00016"	"S-092.49"	"钦定授时通考:七十八卷.卷五十一"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000405"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000405/"
