"id"	"索引"	"标准编号"	"标准名称"	"发布日期"	"实施日期"	"标准类型"	"发布单位"	"起草单位"	"起草人"	"标准概述（300字以内）"	"全文"
"1"	"000377ba-42ba-43d0-a0d7-4712f35e5e7b"	"GB/T 4456"	"包装用聚乙烯吹塑薄膜"	"2008/12/30"	"2009/9/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"轻工业塑料加工应用研究所、深圳市万达杰塑料制品有限公司、惠州俊豪塑料发展有限公司、浙江华发生态科技有限公司"	"许丽丹、翁云宣、魏文昌、苏俊铭、沈华峰"	"本标准代替GB/T  4456-1996,GB/T  12025-1989"	" "
"2"	"004bb9b2-d8df-49f9-9fd7-65384d662052"	"GB/T 23372-2009"	"食品中无机砷的测定液相色谱电感耦合等离子体质谱法"	"2009/3/16 "	"2009/5/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局中国国家标准化管理委员会"	"国家食品质量安全监督检验中心"	"林立、陈玉红、陈光、杨彦丽、周谙非、王浩、杨红梅"	"本标准规定了液相色谱和电感耦合等离子体质谱测定食品中无机砷[亚砷酸根As(Ⅲ)和砷酸根As(V)]的方法。"	" "
"3"	"00bb5ff4-37ef-4f12-a968-d7b92c255e2e"	"GB/T 22477-2008"	"芝麻粕"	"2008/11/4 "	"2009/1/20 "	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"武汉工业学院"	"陈涛、何东平、杨建斌"	"本标准规定了芝麻粕的术语和定义、质量要求与卫生要求、检验方法和检验规则、标识标签以及包装、储存和运输的要求。"	" "
"4"	"00ceda2c-f062-4a5c-b391-decf4a4ba8d0"	"GB 15193.15-2015"	"食品安全国家标准 生殖毒性试验"	"2015/8/7 0"	"2015/10/7 "	"国家标准"	"中华人民共和国国家卫生和计划生育委员会"	"未公开"	"未公开"	"本标准代替GB  15193.15-2003  繁殖试验"	" "
"5"	"00ef4086-ac8d-4297-bc11-1b04ea6c356f"	"GB 29206-2012"	"食品安全国家标准 食品添加剂 硫酸铵"	"2012/12/25"	"2013/1/25 "	"国家标准"	"中华人民共和国卫生部"	"未公开"	"未公开"	"本标准适用于以硫酸和碳氢铵或氨水为原料经中和反应制得的食品添加剂硫酸铵  。"	" "
"6"	"0130de53-fb71-4689-91bd-ecf83a723e14"	"GB 19644-2010"	"食品安全国家标准 乳粉"	"2010/3/26 "	"2010/12/1 "	"国家标准"	"中华人民共和国卫生部"	"未公开"	"未公开"	"本标准适用于全脂、脱脂、部分脱脂乳粉和调制乳粉。"	" "
"7"	"0230ca1f-f268-40d0-a531-d9eaa7b4341e"	"GB/T 15666"	"豆类试验方法"	"1995/8/18 "	"1996/6/1 0"	"国家标准"	"国家技术监督局"	"中国农科院分析测试中心"	"刘素云、崔淑文、李玉芳。"	"本标准规定了豆类籽粒质量的测定方法。本标准适用于收获后脱壳未经加工而准备作为人类食用或动物饲料的豆类籽粒的试验方法。"	" "
"8"	"024e0538-a3a6-4afb-9703-46a43e7e49d8"	"GB/T 25865-2010"	"饲料添加剂硫酸锌"	"2011/1/10 "	"2011/6/1 0"	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"中国饲料工业协会、浙江省饲料监察所、杭州富阳新兴饲料有限公司"	"朱聪英、胡广东、张志健、田莉、任玉琴、金海丽、吴望君、吕伟军、冯杰、刘士杰、
何建兴"	"本标准规定了饲料添加剂硫酸锌的产品分类、技术要求、试验方法、检验规则以及标签、包装、运输和贮存"	" "
"9"	"025b8d7d-8fe4-4c86-9b94-2f54a158bd06"	"GB/T 3543.3-1995"	"农作物种子检验规程净度分析"	"1995/8/18 "	"1996/6/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局中国国家标准化管理委员会"	"全国种子总站、浙江农业大学、四川省、黑龙江省、天津市种子公司(站)、南京农业大学、北京市、湖南省种子公司"	"支巨振、毕辛华、杜克敏、常秀兰、杨淑惠、任淑萍、吴志行、李仁凤、赵菊英"	"本标准规定了种子净度分析(包括其他植物种子数目的测定)的测定方法。"	" "
"10"	"026b5d3d-42df-4349-9913-991464f4abc1"	"GB/T 23217-2008"	"水产品中河豚毒素的测定液相色谱-荧光检测法"	"2008/12/31"	"2009/5/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局中国国家标准化管理委员会"	"中华人民共和国秦皇岛出人境检验检疫局、中华人民共和国福建出人境检验检疫局"	"杨方、钱疆、刘正才、林中、张云、林永辉、陈健、庞国芳"	"本标准规定了水产品中河豚毒素测定的液相色谱测定方法与液相色谱-串联质谱确证方法。"	" "
