"查询号码"	"元数据标识符"	"数据集名称"	"数据集英文名称"	"数据集语种"	"数据集完成日期"	"数据集分类"	"关键词"	"数据集摘要"	"数据来源"	"在线链接地址"	"维护和更新频率"	"数据集使用局限性"	"数据集安全限制分级"	"数据集使用限制"	"数据集访问限制"	"负责单位"	"负责人"	"职责"	"国家"	"城市"	"地址"	"邮政编码"	"电子邮件地址"	"电话"	"传真"	"显示顺序"	"点击数"	"收藏数"
"fbe0b5b0-b4c7-4a7d-8556-b31f1aa000ee"	"A030201"	"中文农业科技文摘数据库"	"Agricultural  Scitech  Journals  searching  Database"	"[zh-CHS]  中文（简体）"	"20160701"	"农业科技资源数据"	"农业  科技  期刊"	"该库重点遴选收录1973年以来的240余种农业中文核心期刊，覆盖农学、园艺、植物保护、环境保护、土壤肥料、畜牧、兽医、农业工程、农产品加工等领域。"	"全国正式出版的农业科技期刊"	"http://stb.agridata.cn/Site/DataTable/List.aspx?DataCategoryGId=FBE0B5B0-B4C7-4A7D-8556-B31F1AA000EE"	"[不固定]  数据不定期更新"		"[未分级]  可以普遍公开"	"[受限制]  控制一般的流通或公开"	"[受限制]  控制一般的流通或公开"	"中国农业科学院农业信息研究所"	"朱亮"	"[数据资源提供者]  提供该数据集的单位或个人"	"中国"	"北京"	"海淀区中关村南大街12号"	"100081"	"zhuliang@caas.cn"	"010-82109652"		"8"	"0"	"0"
"c8b33d01-9fc8-4b0c-b036-ee4e8ee1eb5e"	"A030205"	"农业古籍数据库"	"Agricultural  Acient  Books  Database"	"[zh-CHS]  中文（简体）"	"20160701"	"农业科技资源数据"	"农业  古籍    古农书    农业科技"	"该数据库提供了“国家农业图书馆”馆藏重要农业古籍著作的书名、作者、中图分类、出版者、出版地、出版日期、载体形态、登录号、关键词、文摘、图像名称等主要信息。"	"中国农业科学院图书馆古籍馆藏"	"http://stb.agridata.cn/Site/DataTable/List.aspx?DataCategoryGId=C8B33D01-9FC8-4B0C-B036-EE4E8EE1EB5E"	"[不固定]  数据不定期更新"		"[未分级]  可以普遍公开"	"[受限制]  控制一般的流通或公开"	"[受限制]  控制一般的流通或公开"	"中国农业科学院农业信息研究所"	"潘淑春"	"[管理者]  承担数据管理和维护的单位或个人"	"中国"	"北京"	"海淀区中关村南大街12号"	"100081"	"Pans@mail.caas.net.cn"	"010-68976078"		"2"	"0"	"0"
"3ba796b1-a338-45c8-bd6e-7534a2942765"	"A030301"	"农业标准和操作规范数据库"	"the  database  on  agricultural  standards  and  practices"	"[zh-CHS]  中文（简体）"	"20160701"	"农业科技资源数据"	"农业  标准  操作规范"	"该库收集整理我国颁布的食品安全相关农业标准和有关操作规范，包括标准规范名称、编号、类型、概述和全文等。"	"相关政府部门网站、出版物"	"http://stb.agridata.cn/Site/DataTable/List.aspx?DataCategoryGId=3BA796B1-A338-45C8-BD6E-7534A2942765"	"[按需要]  数据需要更新"		"[未分级]  可以普遍公开"	"[受限制]  控制一般的流通或公开"	"[受限制]  控制一般的流通或公开"	"中国农业科学院农业信息研究所"	"朱亮"	"[数据资源提供者]  提供该数据集的单位或个人"	"中国"	"北京"	"海淀区中关村南大街12号"	"100081"	"zhuliang@caas.cn"	"010-82109652"		"12"	"0"	"0"
"e9bbd9ac-4ade-49d3-99bf-d4acd6566045"	"A030104"	"农业科技人才数据库"	"The  Database  of  agricultural  scitech  talent  personnel"	"[zh-CHS]  中文（简体）"	"20160701"	"农业科技资源数据"	"农业科技  人才"	"该库收录了中国工程院农业学部院士以及农业领域具有较高学术影响力的专家信息，包括姓名、单位、职称、学历、所学专业、研究领域等。"	"各级各类农业科研机构"	"http://stb.agridata.cn/Site/DataTable/List.aspx?DataCategoryGId=E9BBD9AC-4ADE-49D3-99BF-D4ACD6566045"	"[不固定]  数据不定期更新"		"[未分级]  可以普遍公开"	"[受限制]  控制一般的流通或公开"	"[受限制]  控制一般的流通或公开"	"中国农业科学院农业信息研究所"	"朱亮"	"[数据资源提供者]  提供该数据集的单位或个人"	"中国"	"北京"	"海淀区中关村南大街12号"	"100081"	"zhuliang@caas.cn"	"010-82109652"		"3"	"0"	"0"
"1d7b4ca0-3d05-4cc0-a1c8-54cba03fb6e1"	"A030302"	"农业科技政策法规数据库"	"The  database  of  agricultural  scientific  policy  and  regulation"	"[zh-CHS]  中文（简体）"	"20160701"	"农业科技资源数据"	"农业科技  政策  法规"	"该库收集整理了历年中央一号文件、发展规划、纲要、规章制度、强农惠农政策等农业相关政策法规数据。"	"国家各级政府部门网站"	"http://stb.agridata.cn/Site/DataTable/List.aspx?DataCategoryGId=1D7B4CA0-3D05-4CC0-A1C8-54CBA03FB6E1"	"[按需要]  数据需要更新"		"[未分级]  可以普遍公开"	"[受限制]  控制一般的流通或公开"	"[受限制]  控制一般的流通或公开"	"中国农业科学院农业信息研究所"	"朱亮"	"[数据资源提供者]  提供该数据集的单位或个人"	"中国"	"北京"	"海淀区中关村南大街12号"	"100081"	"zhuliang@caas.cn"	"010-82109652"		"10"	"0"	"0"
"3d8af79e-d8ab-40ff-8f55-a1f11afad890"	"A030105"	"农业科技机构数据库"	"The  Database  of  agricultural  scitech  institutions"	"[zh-CHS]  中文（简体）"	"20160701"	"农业科技资源数据"	"农业  科技  机构"	"该库收录了国内农业科研机构、高等院校和涉农学/协会等组织机构基本情况信息，包括机构名称、概况、研究方向、研究领域、通讯和网址等内容。"	"各级各类农业科研机构"	"http://stb.agridata.cn/Site/DataTable/List.aspx?DataCategoryGId=3D8AF79E-D8AB-40FF-8F55-A1F11AFAD890"	"[不固定]  数据不定期更新"		"[未分级]  可以普遍公开"	"[受限制]  控制一般的流通或公开"	"[受限制]  控制一般的流通或公开"	"中国农业科学院农业信息研究所"	"朱亮"	"[数据资源提供者]  提供该数据集的单位或个人"	"中国"	"北京"	"海淀区中关村南大街12号"	"100081"	"zhuliang@caas.cn"	"010-82109652"		"4"	"0"	"0"
"c687c428-227e-48e4-9912-10962665c6b9"	"A030103"	"农业获奖科技成果数据库"	"The  database  of  the  agricultural  science  and  technology  achievements  in  award"	"[zh-CHS]  中文（简体）"	"20160701"	"农业科技资源数据"	"农业  获奖  科技成果"	"该库筛选、收录了自1991年以来农业领域获省部级以上科技奖励的科技成果信息，包括成果名称、完成单位、完成人、成果编号、开始时间、结束时间、授奖日期、授奖部门、授奖级别、授奖类别、授奖等别、内容摘要情况。"	"相关管理部门提供的获奖成果档案材料"	"http://stb.agridata.cn/Site/DataTable/List.aspx?DataCategoryGId=C687C428-227E-48E4-9912-10962665C6B9"	"[按年]  数据每年更新一次"	"不适于境外使用。"	"[未分级]  可以普遍公开"	"[受限制]  控制一般的流通或公开"	"[受限制]  控制一般的流通或公开"	"中国农业科学院农业信息研究所"	"朱亮"	"[数据资源提供者]  提供该数据集的单位或个人"	"中国"	"北京"	"海淀区中关村南大街12号"	"100081"	"zhuliang@caas.cn"	"010-82109652"		"5"	"0"	"0"
"0180539b-98ab-43af-a76c-83362df4c25d"	"A030420"	"农作物名优特新品种数据库"	"The Database of famous, excellent, especially the new crop varieties"	"[zh-CHS]  中文（简体）"	"20130930"	"农业科技资源数据"	"粮食作物 蔬菜 经济作物 牧草绿肥 水稻 桑蚕 玉米 茶叶 桑树 棉花 大豆 烟草 甜菜 番茄 西瓜 小麦 油菜 马铃薯 杨桃 丝瓜"	"农作物名、优、特新品种的培育者，地区和审定情况"	"中国农业科学院农业信息研究所"	"http://stb.agridata.cn/Site/DataTable/List.aspx?DataCategoryGId=0180539B-98AB-43AF-A76C-83362DF4C25D"	"[不固定]  数据不定期更新"		"[未分级]  可以普遍公开"	"[受限制]  控制一般的流通或公开"	"[受限制]  控制一般的流通或公开"	"中国农业科学院农业信息研究所"	"朱亮"	"[数据资源提供者]  提供该数据集的单位或个人"	"中国"	"北京"	"北京中关村南大街12号"	"100081"	"zhuliang@caas.cn"	"010-82109652-802"		"11"	"0"	"0"
"923053d9-1381-4c63-ae27-dd7b6c9e3181"	"A030102"	"国内农业科研项目数据库"	"The  Database  of  agricultural  research  projects"	"[zh-CHS]  中文（简体）"	"20160701"	"农业科技资源数据"	"农业  科研项目  中国"	"重点收录国家级和省级农业科研机构、重点实验室和主要大学承担的农业科研项目的信息，包括项目名称、项目简介、项目来源、项目类型、承担单位、研究人员、项目经费等内容。"	"国家级、省部级、自然基金等农业科研项目"	"http://stb.agridata.cn/Site/DataTable/List.aspx?DataCategoryGId=923053D9-1381-4C63-AE27-DD7B6C9E3181"	"[不固定]  数据不定期更新"		"[未分级]  可以普遍公开"	"[受限制]  控制一般的流通或公开"	"[受限制]  控制一般的流通或公开"	"中国农业科学院农业信息研究所"	"朱亮"	"[数据资源提供者]  提供该数据集的单位或个人"	"中国"	"北京"	"海淀区中关村南大街12号"	"100081"	"zhuliang@caas.cn"	"010-82109652"		"6"	"0"	"0"
"0f00d72a-74f8-49f5-8e74-5ef43fc20724"	"A030101"	"国际农业科研项目数据库"	"The  Database  of  international  agricultural  research  projects"	"[zh-CHS]  中文（简体）"	"20160701"	"农业科技资源数据"	"农业  在研项目  国际"	"重点收录主要发达国家、地区农业科研项目信息，包括项目名称、概要、来源等。"	"USDA    ARS（美国农业部农业科学研究院）项目、欧盟（含框架计划）农业类项目等"	"http://stb.agridata.cn/Site/DataTable/List.aspx?DataCategoryGId=0F00D72A-74F8-49F5-8E74-5EF43FC20724"	"[不固定]  数据不定期更新"		"[未分级]  可以普遍公开"	"[受限制]  控制一般的流通或公开"	"[受限制]  控制一般的流通或公开"	"中国农业科学院农业信息研究所"	"朱亮"	"[数据资源提供者]  提供该数据集的单位或个人"	"中国"	"北京"	"海淀区中关村南大街12号"	"100081"	"zhuliang@caas.cn"	"010-82109652"		"7"	"0"	"0"
