"id"	"顺序"	"目录"	"字段类型"	"字段长度"	"数据集名称"	"是否显示"	"字段"
"835"	"1"	"项目名称"	"字符类型"	"256"	"国际农业科研项目数据库"	"1"	"title"
"836"	"2"	"项目简介"	"备注类型"	"4"	"国际农业科研项目数据库"	"0"	"desc"
"837"	"3"	"承担机构"	"字符类型"	"256"	"国际农业科研项目数据库"	"1"	"unit"
"838"	"4"	"关键词"	"字符类型"	"128"	"国际农业科研项目数据库"	"0"	"keywords"
"839"	"5"	"研究进展"	"备注类型"	"4"	"国际农业科研项目数据库"	"0"	"advance"
"840"	"6"	"项目来源"	"字符类型"	"64"	"国际农业科研项目数据库"	"1"	"resource"
"841"	"7"	"资助机构"	"字符类型"	"128"	"国际农业科研项目数据库"	"1"	"organization"
"842"	"8"	"项目成员"	"备注类型"	"4"	"国际农业科研项目数据库"	"0"	"member"
"843"	"9"	"起止时间"	"字符类型"	"32"	"国际农业科研项目数据库"	"0"	"period"
"844"	"10"	"专业分类"	"字符类型"	"256"	"国际农业科研项目数据库"	"0"	"category"
"845"	"1"	"成果名称"	"字符类型"	"256"	"农业获奖科技成果数据库"	"1"	"title"
"846"	"2"	"完成人"	"字符类型"	"512"	"农业获奖科技成果数据库"	"1"	"realizer"
"847"	"3"	"完成单位"	"字符类型"	"512"	"农业获奖科技成果数据库"	"1"	"unit"
"848"	"4"	"关键词"	"字符类型"	"128"	"农业获奖科技成果数据库"	"0"	"keywords"
"849"	"5"	"简要技术说明"	"备注类型"	"4"	"农业获奖科技成果数据库"	"0"	"desc"
"850"	"6"	"成果类别"	"字符类型"	"32"	"农业获奖科技成果数据库"	"0"	"category"
"851"	"7"	"推荐单位"	"字符类型"	"512"	"农业获奖科技成果数据库"	"0"	"reference"
"852"	"8"	"奖励地区"	"字符类型"	"32"	"农业获奖科技成果数据库"	"0"	"location"
"853"	"9"	"奖励年度"	"字符类型"	"16"	"农业获奖科技成果数据库"	"0"	"year"
"854"	"10"	"奖励名称"	"字符类型"	"32"	"农业获奖科技成果数据库"	"0"	"name"
"855"	"11"	"奖励等级"	"字符类型"	"32"	"农业获奖科技成果数据库"	"0"	"grade"
"856"	"12"	"成果登记时间"	"字符类型"	"32"	"农业获奖科技成果数据库"	"0"	"register"
"857"	"13"	"研究起止时间"	"字符类型"	"32"	"农业获奖科技成果数据库"	"0"	"setime"
"858"	"14"	"成果体现形式"	"字符类型"	"16"	"农业获奖科技成果数据库"	"0"	"cgtxxs"
"859"	"15"	"成果所处阶段"	"字符类型"	"16"	"农业获奖科技成果数据库"	"0"	"cgscjd"
"860"	"16"	"成果属性"	"字符类型"	"16"	"农业获奖科技成果数据库"	"0"	"cgsx"
"861"	"17"	"成果水平"	"字符类型"	"16"	"农业获奖科技成果数据库"	"0"	"cgsp"
"862"	"18"	"研究形式"	"字符类型"	"16"	"农业获奖科技成果数据库"	"0"	"yjxs"
"863"	"19"	"中图分类"	"字符类型"	"32"	"农业获奖科技成果数据库"	"0"	"ztfl"
"864"	"20"	"课题来源"	"字符类型"	"16"	"农业获奖科技成果数据库"	"0"	"ktly"
"865"	"21"	"课题立项名称"	"字符类型"	"128"	"农业获奖科技成果数据库"	"0"	"ktlxmc"
"866"	"22"	"课题立项编号"	"字符类型"	"32"	"农业获奖科技成果数据库"	"0"	"ktlxbh"
"867"	"23"	"经费实际投入额（万元）"	"字符类型"	"16"	"农业获奖科技成果数据库"	"0"	"jftr"
"868"	"24"	"评价方式"	"字符类型"	"16"	"农业获奖科技成果数据库"	"0"	"pjfs"
"869"	"25"	"评价单位"	"字符类型"	"64"	"农业获奖科技成果数据库"	"0"	"pjdw"
"870"	"26"	"评价日期"	"字符类型"	"32"	"农业获奖科技成果数据库"	"0"	"pjrq"
"871"	"27"	"知识产权形式"	"字符类型"	"16"	"农业获奖科技成果数据库"	"0"	"zscqxs"
"872"	"28"	"应用状态"	"字符类型"	"16"	"农业获奖科技成果数据库"	"0"	"yyzt"
"873"	"29"	"转让范围"	"字符类型"	"16"	"农业获奖科技成果数据库"	"0"	"zrfw"
"874"	"30"	"推广形式"	"字符类型"	"16"	"农业获奖科技成果数据库"	"0"	"tgyys"
"875"	"31"	"联系人"	"字符类型"	"32"	"农业获奖科技成果数据库"	"0"	"lxr"
"876"	"32"	"联系人电话"	"字符类型"	"64"	"农业获奖科技成果数据库"	"0"	"phone"
"877"	"33"	"联系人email"	"字符类型"	"256"	"农业获奖科技成果数据库"	"0"	"email"
"878"	"34"	"单位通讯地址"	"字符类型"	"512"	"农业获奖科技成果数据库"	"0"	"address"
"879"	"35"	"邮政编码"	"字符类型"	"6"	"农业获奖科技成果数据库"	"0"	"post"
"880"	"36"	"单位电话"	"字符类型"	"64"	"农业获奖科技成果数据库"	"0"	"unitphone"
"881"	"37"	"单位传真"	"字符类型"	"64"	"农业获奖科技成果数据库"	"0"	"unitfax"
"882"	"38"	"单位网址"	"链接类型"	"128"	"农业获奖科技成果数据库"	"0"	"unitnet"
"883"	"39"	"合作完成单位"	"字符类型"	"512"	"农业获奖科技成果数据库"	"0"	"cooperator"
"884"	"1"	"姓名"	"字符类型"	"32"	"农业科技人才数据库"	"1"	"name"
"885"	"2"	"性别"	"字符类型"	"2"	"农业科技人才数据库"	"0"	"gender"
"886"	"3"	"出生日期"	"字符类型"	"32"	"农业科技人才数据库"	"0"	"birthday"
"887"	"4"	"学历"	"字符类型"	"32"	"农业科技人才数据库"	"0"	"education"
"888"	"5"	"职称"	"字符类型"	"32"	"农业科技人才数据库"	"1"	"jobtitle"
"889"	"6"	"职务"	"字符类型"	"256"	"农业科技人才数据库"	"0"	"duty"
"890"	"7"	"教育背景"	"备注类型"	"4"	"农业科技人才数据库"	"0"	"eduback"
"891"	"8"	"研究方向"	"字符类型"	"256"	"农业科技人才数据库"	"1"	"direction"
"892"	"9"	"专业领域"	"字符类型"	"256"	"农业科技人才数据库"	"1"	"field"
"893"	"10"	"学科分类"	"字符类型"	"64"	"农业科技人才数据库"	"0"	"xkfl"
"894"	"11"	"工作单位"	"字符类型"	"256"	"农业科技人才数据库"	"0"	"unit"
"895"	"12"	"本人简介"	"备注类型"	"4"	"农业科技人才数据库"	"0"	"desc"
"896"	"13"	"主要成就"	"备注类型"	"4"	"农业科技人才数据库"	"0"	"contri"
"897"	"14"	"所在地区"	"字符类型"	"32"	"农业科技人才数据库"	"0"	"szdq"
"898"	"15"	"单位属性"	"字符类型"	"32"	"农业科技人才数据库"	"0"	"unit_type"
"899"	"16"	"单位地址"	"字符类型"	"256"	"农业科技人才数据库"	"0"	"unitaddress"
"900"	"17"	"单位邮编"	"字符类型"	"6"	"农业科技人才数据库"	"0"	"postcode"
"901"	"1"	"机构编号"	"字符类型"	"64"	"农业科技机构数据库"	"0"	"unitid"
"902"	"2"	"规范名称"	"字符类型"	"256"	"农业科技机构数据库"	"1"	"gfmc"
"903"	"3"	"英文名称"	"字符类型"	"256"	"农业科技机构数据库"	"0"	"ywmc"
"904"	"4"	"其他名称"	"字符类型"	"512"	"农业科技机构数据库"	"0"	"qtmc"
"905"	"5"	"成立年份"	"字符类型"	"32"	"农业科技机构数据库"	"0"	"clnf"
"906"	"6"	"机构类型"	"字符类型"	"32"	"农业科技机构数据库"	"0"	"jglx"
"907"	"7"	"所在地区"	"字符类型"	"256"	"农业科技机构数据库"	"1"	"szdq"
