"id"	"机构编号"	"规范名称"	"英文名称"	"其他名称"	"成立年份"	"机构类型"	"所在地区"	"上级单位"	"机构简介"	"英文简介"	"研究领域"	"学科分类"	"人才队伍"	"机构设置"	"科技平台"	"主要成果"	"主办期刊"	"通讯地址"	"邮政编码"	"联系电话"	"电子邮箱"	"传真"	"网址"
"1"	"8"	"北京市农林科学院农业科技信息研究所"	" "	" "	"1958年"	"科研机构"	"北京市海淀区"	"北京市农林科学院"	"北京市农"	" "	"农业科技情报服务;;农业信息技术产品研发应用;;农村数字信息资源建设;;农民现代远程教育;;农业政策研究;;农村数字化科普产品开发;;蜂授粉技术研究"	"G2;;G72;;F3;;S89"	"现在全所"	"信息所下"	"信息所依"	"
信息所"	"主办期刊"	"北京市海淀区曙光花园中路9号"	"100097"	"010-51503304"	"nkyxxs@agri.ac.cn"	"010-51503304"	" "
"2"	"15"	"北京农学院食品科学与工程学院"	"Food Science and Engineering College"	" "	"1985年"	"高等院校"	"北京市昌平区"	"北京农学院"	"食品科学"	" "	"食品科学"	"TS2"	"学院现有"	"学院下属"	"学院拥有"	"近年来，"	" "	"北京市昌平区回龙观镇北农路7号"	"102206"	"010-80799170"	" "	" "	" "
"3"	"29"	"河南省水产科学研究院"	"Henan Academy of Fishery Science"	" "	"1975"	"科研机构"	"河南省郑州市"	"河南省农业厅"	"河南省水"	" "	"水产、淡水鱼、水产动物营养与饲料、水产养殖、水产遗传育种、渔业资源环境、水产保护、农产品质量安全、渔业工程。"	"S9"	"现有在编"	"设有5个"	"研究院有"	"建院30"	"《河南水"	"河南省郑州市南阳路170号付11号"	"450044"	"0371-63981469"	" hnfsa@hnfsa.com "	" 0371-63981469 "	" "
"4"	"38"	"房山区经管站"	" "	" "	" "	"其他"	"北京市房山区"	"北京市房山区人民政府"	"房山区经"	" "	"农村经济;;经济管理"	"F32"	" "	"内设财务"	" "	" "	" "	"北京市房山区良乡西路7号"	"102488"	" "	" "	" "	" "
"5"	"106"	"农业部饲料工业中心"	"Ministry of Agriculture Feed Industry Center"	"缩写MAFIC"	"1996年"	"科研机构"	"北京市海淀区"	"农业部"	"农业部饲"	" "	"饲料"	"S816"	"目前中心"	"　　下设"	"实验设施"	"中心自成"	" "	"北京海淀区圆明园西路2号"	"100193"	"010-62733691"	"mafic@mafic.ac.cn"	"010-62733688"	" "
"6"	"28"	"河北省水产研究所"	"Fisheries Research Institute of Hebei Province"	" "	"1953"	"科研机构"	"河北省秦皇岛市"	"河北省畜牧水产局"	"河北省水"	" "	"水产、水生生物学、渔业资源环境、水产养殖、水产保护、动物疫病防控。"	"S9"	"现有职工"	"设有5个"	"河北省海"	"1981"	" "	"河北省秦皇岛市民族路182 号"	"066000"	"0335-5917040"	" "	" "	" "
"7"	"178"	"中国畜牧业协会"	"China Animal Agriculture Association"	"英文缩写CAAA"	"2001年"	"学协会组织"	"北京市朝阳区"	"农业部"	"中国畜牧"	"Chin"	"畜牧学"	"S8"	" "	"协会秘书"	" "	"中国畜牧"	" "	"北京市朝阳区曙光西里甲6号时间国际大厦A座9层"	"100028"	"010-58677700"	"caaa@caaa.cn"	"010-58677700"	" "
"8"	"11"	"四川农业大学动物遗传育种研究所"	"Animal genetic and Breeding Research?Institute of Sichuan Agricultural Uniersity"	"动物遗传育种与繁殖学科"	"2009"	"教学科研机构"	"成都市温江区"	"四川农业大学"	"四川农业"	"Anim"	"研究所承担了动物科学专业、动物遗传育种与繁殖专业的本科、硕士、博士各层次的人才培养任务。"	"Q953 动物遗传学"	"研究所现"	"研究所目"	"研究所拥"	"经过长期"	"无"	":成都市温江区惠民路211号"	"611130"	"028-86290987"	"无"	"028-86290987"	" "
"9"	"95"	"农业部规划设计研究院农业资源监测站"	" "	"农业部农业资源监测总站，农业部遥感应用中心应用部"	" "	"科研机构"	"北京市朝阳区"	"农业部规划设计研究院"	"农业部规"	" "	"开展遥感、地理信息系统、全球定位系统等现代高新技术的农业应用与研究"	"S12"	" "	" "	" "	"农业遥感"	" "	"北京市朝阳区麦子店街41号"	"100125"	"010-65910066"	" "	"010-65005388"	" "
"10"	"172"	"中国蔬菜协会"	"China Vegetable Association"	" "	"2012年"	"学协会组织"	"北京市海淀区"	"农业部"	"中国蔬菜"	" "	"蔬菜园艺"	"S63"	" "	" "	" "	" "	" "	"北京市海淀区中关村南大街12号中国农业科学院院内"	"100081"	"010-82105018"	"cva_bj@sina.com"	"010-82105017"	" "
