"编号"	"年鉴中文名"	"年鉴英文名"	"年鉴年份"	"责任说明"	"主编单位"	"出版日期"	"页数"	"人民币定价"	"内容简介"	"封面"
"N2005121002"	"中国农村统计年鉴"	"CHINA RURAL STATISTICAL YEARBOOK"	"1985"		"国家统计局农业统计司"	"1986.02"	"307"	"3.20"	"记载了中国农村基本情况、农村建设与发展、农业生产、农村市场、农产品、农林牧渔业的发展等。"	"yearbooks/images/1985.jpg"
"N2005121003"	"中国农村统计年鉴"	"CHINA RURAL STATISTICAL YEARBOOK"	"1986"		"国家统计局农村社会经济统计司"	"1987.02"	"321"	"3.20"	"收录了每年农村社会经济统计资料及建国以后各关键历史年份全国主要统计数据。记载了发展综述、综合与概要、农村基本情况与农业生产条件、农业生态与环境、农业投资、农林牧渔业产值、中间消耗及增加值、主要农产品种植面积与产量、农村市场与价格、农产品进出口、农产品成本与效益。"	"yearbooks/images/1986.jpg"
"N2005120871"	"中国农村统计年鉴"	"CHINA RURAL STATISTICAL YEARBOOK"	"1987"		"国家统计局农村社会经济统计司"	"1987.12"	"359"	"3.70"	"收录了每年农村社会经济统计资料及建国以后各关键历史年份全国主要统计数据。全书内容共有：发展综述；综合与概要；农村基本情况与农业生产条件；农业生态与环境；农业投资；农林牧渔业产值、中间消耗及增加值；主要农产品种植面积与产量；农村市场与价格；农产品进出口；农产品成本与效益等17个部分。"	"yearbooks/images/1987.jpg"
"N2005120872"	"中国农村统计年鉴"	"CHINA RURAL STATISTICAL YEARBOOK"	"1988"	"何焕炎 主编"	"国家统计局农村社会经济统计司"	"1988.09"	"383"	"4.50"	"记载了中国农村基本情况、农村建设与发展、农业生产、农村市场、农产品、农林牧渔业的发展等。"	"yearbooks/images/1988.jpg"
"N2005121004"	"中国农村统计年鉴"	"CHINA RURAL STATISTICAL YEARBOOK"	"1989"	"何焕炎 主编"	"国家统计局农村社会经济统计司"	"1989.11"	"442"	"8.30"	"记载了中国农村基本情况、农村建设与发展、农业生产、农村市场、农产品、农林牧渔业的发展等。"	"yearbooks/images/1989.jpg"
"N2006010260"	"中国农村统计年鉴"	"CHINA RURAL STATISTICAL YEARBOOK"	"1990"	"何焕炎 主编"	"国家统计局农村社会经济统计司"	"1990.10"	"393"	"8.50"	"记载了中国农村基本情况、农村建设与发展、农业生产、农村市场、农产品、农林牧渔业的发展等。"	"yearbooks/images/1990.jpg"
"N2006010211"	"中国农村统计年鉴"	"CHINA RURAL STATISTICAL YEARBOOK"	"1991"	"何焕炎 主编"	"国家统计局农村社会经济统计司"	"1991.09"	"408"	"13.40"	"记载了中国农村基本情况、农村建设与发展、农业生产、农村市场、农产品、农林牧渔业的发展等。"	"yearbooks/images/1991.jpg"
"N2006010259"	"中国农村统计年鉴"	"CHINA RURAL STATISTICAL YEARBOOK"	"1992"	"何焕炎 主编"	"国家统计局农村社会经济统计司"	"1992.11"	"409"	"18.00"	"记载了中国农村基本情况、农村建设与发展、农业生产、农村市场、农产品、农林牧渔业的发展等。"	"yearbooks/images/1992.jpg"
"N2005120998"	"中国农村统计年鉴"	"CHINA RURAL STATISTICAL YEARBOOK"	"1993"		"国家统计局农村社会经济统计司"	"1993.11"	"410"	"39.00"	"收录了每年农村社会经济统计资料及建国以后各关键历史年份全国主要统计数据。记载了发展综述、综合与概要、农村基本情况与农业生产条件、农业生态与环境、农业投资、农林牧渔业产值、中间消耗及增加值、主要农产品种植面积与产量、农村市场与价格、农产品进出口、农产品成本与效益。"	"yearbooks/images/1993.jpg"
"N2006010438"	"中国农村统计年鉴"	"CHINA RURAL STATISTICAL YEARBOOK"	"1994"	"张新民 主编"	"国家统计局农村社会经济调查总队"	"1994.11"	"562"	"42.00"	"收录了每年农村社会经济统计资料及建国以后各关键历史年份全国主要统计数据。记载了发展综述、综合与概要、农村基本情况与农业生产条件、农业生态与环境、农业投资、农林牧渔业产值、中间消耗及增加值、主要农产品种植面积与产量、农村市场与价格、农产品进出口、农产品成本与效益。"	"yearbooks/images/1994.jpg"
