"id"	"顺序"	"目录"	"年鉴年份"
"1"	"1"	"《中国农村统计年鉴—2017》编辑委员会"	"2017"
"2"	"2"	"编者说明"	"2017"
"3"	"3"	"1 发展综述"	"2017"
"4"	"4"	"2 综合与概要"	"2017"
"5"	"5"	"3 农村基本情况与农业生产条件"	"2017"
"6"	"6"	"4 农业生态与环境"	"2017"
"7"	"7"	"5 农村投资"	"2017"
"8"	"8"	"6 农林牧渔业总产值、中间消耗及增加值"	"2017"
"9"	"9"	"7 主要农产品种植(养殖)面积与产量"	"2017"
"10"	"10"	"8 农村市场与物价"	"2017"
"11"	"11"	"9 农产品进出口"	"2017"
"12"	"12"	"10 农产品成本与收益"	"2017"
"13"	"13"	"11 收入与消费"	"2017"
"14"	"14"	"12 农村文化、教育、卫生及社会服务"	"2017"
"15"	"15"	"13 国有农场"	"2017"
"16"	"16"	"14 西部大开发12省(区、市)农村经济情况"	"2017"
"17"	"17"	"15 各地区主要农村经济指标排序"	"2017"
"18"	"18"	"16 境外主要农业指标"	"2017"
"19"	"19"	"17 如何使用《中国农村统计年鉴》"	"2017"
"20"	"1"	"《中国农村统计年鉴—2016》编辑委员会"	"2016"
"21"	"2"	"编者说明"	"2016"
"22"	"3"	"1 发展综述"	"2016"
"23"	"4"	"2 综合与概要"	"2016"
"24"	"5"	"3 农村基本情况与农业生产条件"	"2016"
"25"	"6"	"4 农业生态与环境"	"2016"
"26"	"7"	"5 农村投资"	"2016"
"27"	"8"	"6 农林牧渔业总产值、中间消耗及增加值"	"2016"
"28"	"9"	"7 主要农产品种植(养殖)面积与产量"	"2016"
"29"	"10"	"8 农村市场与物价"	"2016"
"30"	"11"	"9 农产品进出口"	"2016"
"31"	"12"	"10 农产品成本与收益"	"2016"
"32"	"13"	"11 收入与消费"	"2016"
"33"	"14"	"12 农村文化、教育、卫生及社会服务"	"2016"
"34"	"15"	"13 国有农场"	"2016"
"35"	"16"	"14 西部大开发12省(区、市)农村经济情况"	"2016"
"36"	"17"	"15 各地区主要农村经济指标排序"	"2016"
"37"	"18"	"16 国外主要农业指标"	"2016"
"38"	"19"	"17 如何使用《中国农村统计年鉴》"	"2016"
"39"	"1"	"《中国农村统计年鉴-2015》编辑委员会"	"2015"
"40"	"2"	"编者说明"	"2015"
"41"	"3"	"1 发展综述"	"2015"
"42"	"4"	"2 综合与概要"	"2015"
"43"	"5"	"3 农村基本情况与农业生产条件"	"2015"
"44"	"6"	"4 农业生态与环境"	"2015"
"45"	"7"	"5 农村投资"	"2015"
"46"	"8"	"6 农林牧渔业总产值、中间消耗及增加值"	"2015"
"47"	"9"	"7 主要农产品种植(养殖)面积与产量"	"2015"
"48"	"10"	"8 农村市场与物价"	"2015"
"49"	"11"	"9 农产品进出口"	"2015"
"50"	"12"	"10 农产品成本与收益"	"2015"
"51"	"13"	"11 收入与消费"	"2015"
"52"	"14"	"12 农村文化、教育、卫生及社会服务"	"2015"
"53"	"15"	"13 国有农场"	"2015"
"54"	"16"	"14 区域农村经济"	"2015"
"55"	"17"	"15 各地区主要农村经济指标排序"	"2015"
"56"	"18"	"16 国外主要农业指标"	"2015"
"57"	"19"	"17 如何使用《中国农村统计年鉴》"	"2015"
"58"	"1"	"《中国农村统计年鉴—2014》编辑委员会"	"2014"
"59"	"2"	"编者说明"	"2014"
"60"	"3"	"1 发展综述"	"2014"
"61"	"4"	"2 综合与概要"	"2014"
"62"	"5"	"3 农村基本情况与农业生产条件"	"2014"
"63"	"6"	"4 农业生态与环境"	"2014"
"64"	"7"	"5 农村住户投资"	"2014"
"65"	"8"	"6 农林牧渔业总产值、中间消耗及增加值"	"2014"
"66"	"9"	"7 主要农产品种植(养殖)面积与产量"	"2014"
"67"	"10"	"8 农村市场与物价"	"2014"
"68"	"11"	"9 农产品进出口"	"2014"
