"编码"	"名称"	"父级"	"面源坐标"	"城市"	"区县"	"绝对地址"	"位置"	"省份"
"11"	"北京市"		"39.445587,115.430282;41.067187,117.513171"	"北京市"	"西城区"	"北京市西城区"	"116.39564503787867,39.92998577808024"	"北京市"
"12"	"天津市"		"38.561387,116.714568;40.259142,118.075807"	"天津市"	"河北区"	"天津市河北区"	"117.21081309155257,39.143929903310074"	"天津市"
"13"	"河北省"		"36.054810,113.468876;42.623953,119.869576"	"保定市"	"蠡县"	"河北省保定市蠡县"	"115.66143362422224,38.61383974925108"	"河北省"
"14"	"山西省"		"34.590564,110.226478;40.749674,114.569058"	"太原市"	"万柏林区"	"山西省太原市万柏林区"	"112.51549586383865,37.86656599050925"	"山西省"
"15"	"内蒙古自治区"		"37.411703,97.179368;53.341301,126.082664"	"锡林郭勒盟"	"苏尼特左旗"	"内蒙古自治区锡林郭勒盟苏尼特左旗"	"114.41586754816612,43.46823822194904"	"内蒙古自治区"
"21"	"辽宁省"		"38.684456,118.852571;43.498162,125.797781"	"沈阳市"	"辽中县"	"辽宁省沈阳市辽中县"	"122.75359155771858,41.62160010595761"	"辽宁省"
"22"	"吉林省"		"40.867574,121.648357;46.311072,131.325662"	"吉林市"	"永吉县"	"吉林省吉林市永吉县"	"126.26287593077805,43.67884618524125"	"吉林省"
"23"	"黑龙江省"		"43.432678,121.189083;53.569277,135.103684"	"绥化市"	"庆安县"	"黑龙江省绥化市庆安县"	"128.0474137149926,47.35659164311141"	"黑龙江省"
"31"	"上海市"		"30.676443,120.862372;31.873569,122.006022"	"上海市"	"闸北区"	"上海市闸北区"	"121.48789948569473,31.24916171001514"	"上海市"
"32"	"江苏省"		"30.764191,116.368368;35.128771,122.005714"	"扬州市"	"高邮市"	"江苏省扬州市高邮市"	"119.36848893835847,33.01379716995394"	"江苏省"
"33"	"浙江省"		"27.019485,118.034869;31.184973,122.998696"	"金华市"	"义乌市"	"浙江省金华市义乌市"	"119.95720242066378,29.159494120760925"	"浙江省"
"34"	"安徽省"		"29.399350,114.889045;34.656810,119.655935"	"合肥市"	"蜀山区"	"安徽省合肥市蜀山区"	"117.2160052075697,31.85925241707919"	"安徽省"
"35"	"福建省"		"23.554901,115.859989;28.318842,120.756247"	"三明市"	"尤溪县"	"福建省三明市尤溪县"	"117.98494311990738,26.050118295660656"	"福建省"
"36"	"江西省"		"24.491938,113.582730;30.080927,118.494266"	"吉安市"	"新干县"	"江西省吉安市新干县"	"115.67608236670434,27.757258443440836"	"江西省"
"37"	"山东省"		"34.383693,114.829793;38.467154,122.732668"	"潍坊市"	"临朐县"	"山东省潍坊市临朐县"	"118.52766339287801,36.09928992972826"	"山东省"
"41"	"河南省"		"31.388635,110.366453;36.372785,116.656779"	"许昌市"	"禹州市"	"河南省许昌市禹州市"	"113.48680405752653,34.157183767956035"	"河南省"
"42"	"湖北省"		"29.035728,108.374182;33.277134,116.143307"	"荆门市"	"钟祥市"	"湖北省荆门市钟祥市"	"112.41056219213213,31.209316250139747"	"湖北省"
"43"	"湖南省"		"24.642048,108.797402;30.132388,114.267743"	"娄底市"	"涟源市"	"湖南省娄底市涟源市"	"111.720663546476,27.695864052356377"	"湖南省"
"44"	"广东省"		"20.065795,109.635354;25.523013,117.365721"	"广州市"	"白云区"	"广东省广州市白云区"	"113.3948175587587,23.40800372902474"	"广东省"
"45"	"广西壮族自治区"		"20.874472,104.456761;26.391498,112.068332"	"来宾市"	"兴宾区"	"广西壮族自治区来宾市兴宾区"	"108.92427442705878,23.552254688119405"	"广西壮族自治区"
"46"	"海南省"		"3.593695,108.578953;20.254476,118.071525"	"海南省直辖县级行政单位"	"琼中黎族苗族自治县"	"海南省海南省直辖县级行政单位琼中黎族苗族自治县"	"109.73375548794272,19.18050080126052"	"海南省"
"50"	"重庆市"		"28.166273,105.296386;32.207209,110.206934"	"重庆市"	"渝中区"	"重庆市渝中区"	"106.53063501341296,29.54460610888615"	"重庆市"
"51"	"四川省"		"26.051572,97.359373;34.318719,108.553306"	"雅安市"	"宝兴县"	"四川省雅安市宝兴县"	"102.89915972360397,30.36748093795755"	"四川省"
"52"	"贵州省"		"24.624377,103.608621;29.227106,109.601885"	"贵阳市"	"修文县"	"贵州省贵阳市修文县"	"106.7349961033045,26.902825927796762"	"贵州省"
"53"	"云南省"		"21.146259,97.535356;29.254745,106.206494"	"楚雄彝族自治州"	"楚雄市"	"云南省楚雄彝族自治州楚雄市"	"101.59295163700766,24.86421279548333"	"云南省"
"54"	"西藏自治区"		"26.855275,78.402394;36.490951,99.117224"	"那曲地区"	"申扎县"	"西藏自治区那曲地区申扎县"	"89.1379816840313,31.36731540271471"	"西藏自治区"
"61"	"陕西省"		"31.710750,105.498003;39.593198,111.252539"	"延安市"	"洛川县"	"陕西省延安市洛川县"	"109.50378929072508,35.860026261322766"	"陕西省"
"62"	"甘肃省"		"32.600385,92.328860;42.801545,108.721928"	"武威市"	"凉州区"	"甘肃省武威市凉州区"	"102.45762459933961,38.10326734375233"	"甘肃省"
"63"	"青海省"		"31.605970,89.415511;39.227570,103.079074"	"玉树藏族自治州"	"曲麻莱县"	"青海省玉树藏族自治州曲麻莱县"	"96.20254367226111,35.499761004274674"	"青海省"
"64"	"宁夏回族自治区"		"35.244077,104.300036;39.397464,107.663522"	"吴忠市"	"红寺堡区"	"宁夏回族自治区吴忠市红寺堡区"	"106.15548126505365,37.32132311229541"	"宁夏回族自治区"
"65"	"新疆维吾尔自治区"		"34.338377,73.497551;49.185392,96.395606"	"巴音郭楞蒙古自治州"	"库尔勒市"	"新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市"	"85.61489933833856,42.127000957642366"	"新疆维吾尔自治区"
"99"	"新疆建设兵团"		"34.338377,73.497551;49.185392,96.395606"	"巴音郭楞蒙古自治州"	"库尔勒市"	"新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市"	"85.61489933833856,42.127000957642366"	"新疆维吾尔自治区"
"13073"	"粮油"		"30.708877,104.074188;30.709854,104.077870"	"成都市"	"金牛区"	"四川省成都市金牛区"	"104.07785315275025,30.709686365958138"	"四川省"
"13075"	"蔬菜"		"37.527222,111.167266;37.527938,111.168164"	"吕梁市"	"离石区"	"山西省吕梁市离石区"	"111.16771492753254,37.52758007046668"	"山西省"
"13076"	"果品"							
"13079"	"畜产品"							
"13080"	"水产品"							
"13083"	"籼米"	"粮油"						
"13084"	"大米"	"粮油"						
"13085"	"粳米"	"粮油"						
"13086"	"玉米"	"粮油"						
"13087"	"大豆"	"粮油"						
"13088"	"菜油"	"粮油"						
"13089"	"鲢鱼"	"水产品"						
"13090"	"豆油"	"粮油"						
"13091"	"鲤鱼"	"水产品"						
"13092"	"国光苹果"	"果品"						
"13093"	"草鱼"	"水产品"						
"13094"	"花生油"	"粮油"						
"13095"	"面粉"	"粮油"						
"13096"	"绿豆"	"粮油"						
"13097"	"富士苹果"	"果品"						
"13098"	"蜜桔"	"果品"						
"13099"	"红小豆"	"粮油"						
"13100"	"甜橙"	"果品"						
"13102"	"鸭梨"	"果品"						
"13103"	"香蕉"	"果品"						
"13104"	"标准粉"	"粮油"						
"13105"	"菠萝"	"果品"						
"13106"	"西瓜"	"果品"						
"13107"	"哈密瓜"	"果品"						
"13108"	"特一粉"	"粮油"						
"13109"	"红星苹果"	"果品"						
"13110"	"秦冠苹果"	"果品"						
"13111"	"特二粉"	"粮油"						
"13112"	"黄香蕉苹果"	"果品"						
"13113"	"香油"	"粮油"						
"13114"	"黄元帅苹果"	"果品"						
"13115"	"棕榈油"	"粮油"						
"13116"	"常山胡柚"	"果品"						
"13117"	"鲫鱼"	"水产品"						
"13118"	"带鱼"	"水产品"						
"13119"	"色拉油"	"粮油"						
"13120"	"苹果梨"	"果品"						
"13121"	"对虾"	"水产品"						
"13122"	"花生"	"粮油"						
"13123"	"雪梨"	"果品"						
"13124"	"大带鱼"	"水产品"						
"13125"	"花生仁"	"粮油"						
"13126"	"红肖梨"	"果品"						
"13127"	"小带鱼"	"水产品"						
"13128"	"白梨"	"果品"						
"13129"	"大黄鱼"	"水产品"						
"13130"	"酥梨"	"果品"						
"13131"	"大平鱼"	"水产品"						
"13132"	"小平鱼"	"水产品"						
"13133"	"香梨"	"果品"						
"13134"	"黑鱼"	"水产品"						
"13135"	"泥鳅"	"水产品"						
"13136"	"杨梅"	"果品"						
"13137"	"黄鳝"	"水产品"						
"13138"	"丰水梨"	"果品"						
"13139"	"巨峰葡萄"	"果品"						
"13140"	"养殖鲶鱼"	"水产品"						
"13141"	"野生鲶鱼"	"水产品"						
"13142"	"龙眼葡萄"	"果品"						
"13143"	"玫瑰香葡萄"	"果品"						
"13144"	"武昌鱼"	"水产品"						
"13145"	"马奶葡萄"	"果品"						
"13146"	"罗非鱼"	"水产品"						
"13147"	"活鳜鱼"	"水产品"						
"13148"	"象牙芒"	"果品"						
"13149"	"虹鳟鱼"	"水产品"						
"13150"	"脐橙"	"果品"						
"13151"	"鲈鱼"	"水产品"						
"13152"	"石斑鱼"	"水产品"						
"13153"	"芦柑"	"果品"						
"13154"	"加吉鱼"	"水产品"						
"13155"	"椪柑"	"果品"						
"13156"	"白鳝鱼"	"水产品"						
"13157"	"鮸鱼"	"水产品"						
"13158"	"伊丽沙白瓜"	"果品"						
"13159"	"海参"	"水产品"						
"13160"	"海鳗"	"水产品"						
"13161"	"华兰氏瓜"	"果品"						
"13162"	"银耳"	"蔬菜"						
