"id"	"数据集名称"	"显示顺序"	"点击数"	"收藏数"	"来源"	"下载次数"	"发布时间"	"简介"	"类别"	"记录数"
"1"	"中国农业天敌昆虫数据库"	"10"			"无"	"84"	"2014年6月27日"	"针对我国主要作物的主要害虫，搜集其天敌昆虫基础数据信息，进行数据信息的规范化整理，建立天敌昆虫数据库元数据，建立具有浏览和多种查询检索功能的数据库。数据库内容包括天敌昆虫的名称、分类地位、形态特征、生······"	"农业有害生物数据"	"779"
"2"	"中国农业天敌蜘蛛数据库"	"11"			"无"	"37"	"2014年6月27日"	"针对我国主要作物的主要害虫，搜集其天敌蜘蛛基础数据信息，进行数据信息的规范化整理，建立天敌蜘蛛数据库元数据，建立具有浏览和多种查询检索功能的数据库。数据库内容包括天敌蜘蛛的名称、分类地位、形态特征、生······"	"农业有害生物数据"	"336"
"3"	"中国农业害鼠数据库"	"1"			"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩"	"16"	"2014年6月27日"	"搜集农田害鼠的基础数据信息，进行数据信息的规范化整理，建立具有浏览和多种查询检索功能的数据库。数据库内容包括害鼠中文名、拉丁学名、分类地位、形态特征、图片、地理分布、生物学特性、发生为害规律、综合治理······"	"农业有害生物数据"	"35"
"4"	"中国叶菜类蔬菜害虫数据库"	"14"			"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩"	"142"	"2014年6月27日"	"叶菜类蔬菜是主要以鲜嫩的叶片、叶柄或嫩茎为产品的速生性蔬菜。本数据库搜集近年来我国叶菜类蔬菜害虫研究积累的基础数据信息，进行数据信息的规范化整理，建立具有浏览和多种查询检索功能的数据库。数据库内容包括······"	"农业有害生物数据"	"50"
"5"	"中国旱地杂草数据库"	"2"							"农业有害生物数据"	"138"
"6"	"中国旱粮作物害虫数据库"	"12"			"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩"	"20"	"2014年6月27日"	"我国旱粮作物主要包括小麦、玉米、高粱、大豆、谷子、甘薯等。本数据针对这些作物的主要害虫，搜集其基础数据信息，进行数据信息的规范化整理，建立具有浏览和多种查询检索功能的数据库。数据库内容包括害虫中文名、······"	"农业有害生物数据"	"178"
"7"	"中国果菜类蔬菜害虫数据库"	"15"			"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩"	"43"	"2014年6月27日"	"果菜类蔬菜包括茄果类、瓜类和豆类蔬菜，近年来栽培方式已由露地春夏茬栽培发展到秋延迟、越冬茬和早春保护地栽培，实现了周年生产。栽培方式的多样化为害虫发育、繁殖和种群增长提供了有利条件，害虫发生为害显著加······"	"农业有害生物数据"	"66"
"8"	"中国柑桔害虫数据库"	"3"			"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩"	"15"	"2014年6月27日"	"柑桔种植面积占全国水果总面积的15%；害虫种类达865种之多，包括同翅目、鳞翅目、鞘翅目、双翅目等，为害严重，是制约我国柑桔产量和品质的首要因素。本数据库搜集柑桔害虫基础数据信息，进行数据信息的规范化······"	"农业有害生物数据"	"103"
"9"	"中国棉花害虫数据库"	"4"			"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩"	"8"	"2014年6月27日"	"棉花是我国第四大农作物，也是旱地作物中害虫发生为害最为严重的农作物之一。本数据库搜集棉花害虫基础数据信息，进行数据信息的规范化整理，建立具有浏览和多种查询检索功能的数据库。数据库内容包括害虫中文名、拉······"	"农业有害生物数据"	"50"
"10"	"中国水田杂草数据库"	"5"							"农业有害生物数据"	"68"
