"id"	"防治方法"	"危害特点"	"生物学特征及发生消长规律"	"传播途径"	"门"	"亚门"	"纲"	"目"	"科"	"属"	"入侵地"	"寄主"	"拉丁学名"	"记录号"	"入侵时间及地点"	"别名"	"中文名"	"英文名"	"原产地"	"形态特征"	"相关文献"
"1"	"1.种植抗病品种。 2.介体防治 防治蓟马。防治措施为：①消灭越冬虫源。②减少春季虫源。③药剂防治。凡是杀灭蚜虫的农药对蓟马均有效。在烟草苗床期和移栽后1个月内，每隔7～10d喷药防治一次。④银灰色薄膜驱避。 3.培育无病壮苗、及时拔除病株、烟田远离蔬菜地等都是重要的防病措施。"	"在幼嫩叶片上，引起同心轮纹和带状坏死斑点和斑纹。叶片密布小的坏死环，常常合并为大斑，形成不规则坏死区。坏死区初为淡黄色，后变为红褐色。感染后期在中部叶片沿主脉形成闪电状黄斑或坏死轮纹。有时叶脉也出现坏死。坏死条纹也可沿茎秆发展，并在导管和髓部出现黑色坏死和空洞，植株矮化，顶芽萎垂或下弯，或叶片扭曲，形成不对称生长。"	"①毒源植物的数量及距离。 ②传毒介体蓟马在烟草上为害的种群数量。 ③气候条件。若冬春季节雨水多、气温低，病害就相应减轻。若烟草生长初期气温高、干旱，病害就严重。烟草苗期发病重，成株期抗性较强。田间发病最适温度为25℃，超过35℃或低于12℃时均不表现症状。"	"许多花卉及庭院植物和多年生杂草都可作为病毒的越冬场所。由蓟马传播病毒。番茄斑萎病毒是惟一由蓟马传播的植物病毒。各种蓟马均可传播番茄斑萎病毒的各种株系。只有蓟马若虫才能获毒。"					"布尼安病毒科"	"番茄斑萎病毒属"	"全国范围"	"本病毒可侵染茄科、豆科、菊科、苋科等多科植物。"	"Tospovirus TSWV"	"IO00001"			"番茄斑点萎凋病"	"Tomato spotted wilt virus (TSWV)"	"澳大利亚"	"病毒粒体为等轴对称球状，外面有明显的包膜。"	
"2"	"番茄溃疡病于1995年列入修订的“全国农业植物检疫对象名单”中。1997年被列入 “中华人民共和国进境植物检疫潜在危险性病、虫、杂草名录”中。还被欧洲植物保护组织(EPPO)列入A2类检疫性有害生物名单中,是中国-蒙古植物检疫协定中规定的危险性病害。 加强检疫: 严禁从病区调运种子，建立无病留种田。在番茄座果期进行田间检查, 发现病情及时处理。 药剂保护: 田间发现病株及时拔除，并用铜制剂如氧代铜、77%可杀得可湿性粉剂、50%二元酸铜可湿性粉剂500倍液或1:1:200波尔多液喷雾;亦可用农用链霉素或氯霉素200ppm喷雾或灌根, 每次间隔5-7天, 连续施用4-5次。 种子处理: 取出番茄果实中的种子, 直接在20℃下用传统方法发酵96小时, 然后用0.6 M HCl 处理1小时或52℃温水25分钟。 建立无病苗床, 保证床土不被病残体污染。如发现病苗, 应及时进行土壤处理或更换成无病土。对发病田块实行3年以上的非茄科作物轮作并深耕以加速病残体的腐烂, 清除田间茄科杂草。"		"病菌在种子和病残体上越冬, 成为下茬或翌年病害的主要初侵染源。种子上病菌一般可存活到翌年的生长季节; 在土壤和田间病残体中的病菌可存活2-3年; 在其它废弃物中能存活10个月左右,也可随多年生茄科杂草寄主存活。"							"线虫传多面体病毒"	"中国台湾"	"寄主范围广，可侵染35科105属157种以上单子叶和双子叶植物。自然界多发生在观赏、木本和半草本植物。常见的自然寄主有葡萄、桃、李、樱桃、苹果、榆树等及果园杂草。"	"Tomato ringspot Nepovirus (TomRSV)"	"IO00002"			"番茄环斑病毒"	"Tomato ringspot Nepovirus (TomRSV)"	"美国东部新泽西"		"中华人民共和国动植物检疫局和农业部植物检疫实验所，1997. 中国进境植物检疫有害生物选编. Pp.141-144"
"3"									"双RNA病毒科"	"水生双RNA病毒属"	"中国台湾"		"Infectious Pancreatic Necrosis Virus in trout (IPN)"	"IO00003"			"鲑鱼传染性胰脏坏死病"	"Infectious Pancreatic Necrosis Virus in trout (IPN)"	"加拿大"		
"4"	"A.强植物检疫，防止病虫的引入和扩散。 B.培育无毒苗木，选用无毒接穗。 C.淘汰病株，感病幼树及低效结果树应及时刨除。 D.对植株、空气、幼苗进行热处理获温汤浸渍，杀死病毒。 E.化学防治，即将药品直接加入无菌培养基中，与试管苗共培养或喷施于果树的幼嫩部位上，连续施用几次。 F.应用抗病毒转基因技术。"	"造成果树的严重减产，品质降低。桃树有些在春季幼叶表现出褪绿环斑、坏死斑，但在夏季症状不易识别;有些在春季并无明显症状;有些症状表现为果实缝合线处有小裂口。引起的病害为桃坏死环斑病。甜樱桃有些在春季幼叶表现出褪绿斑、坏死斑或穿孔，有的树体衰弱伴有主干或枝条流胶，有的植株在春季并没有发现明显的症状。苹果主要表现在叶片上，叶片上形成斑驳型、花叶型、条斑型、环斑型和镶边型等不同染病症状。感病树体生长缓慢，病树提早落叶，果实味淡，不耐贮藏。"		"汁液接种易传，介体不清，曾有报道螨和线虫传病。种传、花粉传。"					"雀麦花叶病毒科(球状)"	"等轴不稳环斑病毒属"	"陕西等地个别发生"	"寄主范围广，自然和人工侵染的寄主主要有苹果、桃、杏、樱桃、啤酒花、烟、西瓜、甜瓜、南瓜、西葫芦、菜豆、豌豆、向日葵等。"	"Prunus necrotic ringspot virus (PNRSV)"	"IO00004"	"1999年，陕西发现李属坏死环斑病毒"	"桃环斑病毒，酸樱桃坏死环斑病毒，李环斑病毒，坏死环斑病毒"	"李属坏死环斑病毒"	"Prunus necrotic ringspot virus"	"不详"	"粒体等轴球状，直径22-33mm,有2种大小的粒体，其沉降系数为79-97s和107-119s,两者均有侵染力，粒体分子量为5.2-7.6×10 6 ,蛋白质外壳含1种亚基，分子量为2.5×10 4 。在病汁液中，病毒致死温度为55-62度，未稀释病汁液中病毒的体外存活期仅为数分钟，而稀释后最长达9-18小时。病毒有许多毒株，它们仅表现为寄主或症状上有差异，病毒举重等免疫性。"	"彭向永和马锋旺等，2003. 果树无病毒研究进展, 西北农林科技大学学报(自然科学版). 2003年12月第31卷第6期. 吴朋,王继伟,1997. 植物病毒的新分类与命名. 　植物检疫.1997年第3期p179-182. 李东鸿和赵惠燕等，2002. 苹果花叶病的危害、产量损失与防治研究, 西北农林科技大学学报(自然科学版). 2002年10月第30卷第5期 阮小凤和周缓月等，1998. 桃病毒病调查与检测研究，西北农业学报. 1998, 7(3): 59- 62"
"5"									"虹彩病毒科"	"淋巴囊肿病毒属"	"沿海地区有报道"		"Lymphocystis disease virus,LCDV"	"IO00005"	"1995年首次在威海地区报道"		"淋巴囊肿病毒"	"Lymphocystis disease virus,LCDV"	"韩国"		
"6"											"台湾"		"Papaya ring spot virus"	"IO00006"			"木瓜轮点病病毒"	"Papaya ring spot virus"	"不详"		
"7"											"山东、河南、河北、陕西、安徽、江苏、北京、天津等"		"Mycoplsma-like organism"	"IO00007"			"泡桐丛枝病"	"Mycoplsma-like organism"	"日本"		
"8"		"部分坏死细根的不正常增生形成丛根，丛根病的发生可以造成严重危害，使甜菜根的重量可以减轻50％～70％，含糖量减少2％～4％"								"甜菜坏死黄脉病毒属"	"新疆，宁夏，甘肃，黑龙江，吉林，辽宁"		"Beet necrotic yelloww vein virus"	"IO00008"			"甜菜坏死黄脉病毒"	"Beet necrotic yellow vein virus"	"意大利"		"CABI & EPPO，1997. 欧洲检疫性有害生物. pp. 656-660； 李大伟等，1999.生物工程学报，15(4): 461-465."
"9"	"对于种子、无性繁殖材料及植株应进行病毒检测，以检查是否带毒，植株材料的土样及根应进行线虫分离及鉴定，以检查是否带有传毒线虫介体。种子及无性繁殖材料如发现病毒应进行退货，植株发现病毒和传毒介体线虫应立即消毁。如没有检测病毒，种子或无性繁殖材料应隔离种植，并在整个生长期内对植株进行观察及病毒检测，确保无病毒后方可推广种植。 针对病毒发生因子,主要防治方法包括去除病毒源、阻止病毒传播和培育抗病新品种等。(1) 检测措施及无病毒种苗使用。加强对病毒的检疫,可以保证无病毒材料在无病地区种植。应加强对种苗的检测,发现病毒时应及时消毁种苗材料,除检测病毒外,植物材料还可检测是否带传毒线虫介体。对于暂时无法检测的材料应隔离种植,观察是否带TRSV,在确认不带毒后方可种植。(2) 农业措施。用作可控制传毒线虫介体。(3) 筛选和培育利用抗TRSV的植物种质资源。从长远观点看,利用抗病或耐病品种来防治病毒是最根本的措施。除常规育种方法外,利用基因工程办法,可有效筛选抗病毒品种,如Gerlach等将卫星RNA转化植物,获得了转化卫星RNA的转基因植物,并证明转基因植物可抗TRSV侵染。"			"TRSV可通过汁液摩擦接种传毒，也可通过线虫及种子传毒。TRSV传毒介体主要是美洲剑线虫及相关的种。美洲剑线虫获毒时间在24小时内，带毒线虫在10℃下可保持传毒时间多达49周。一般成虫及幼虫均可传毒。有时单一线虫接种即可引起植株发病，但接种线虫虫体多时，发病率高。TRSV发生与线虫种群分布有关，而土壤种类及寄主植物可以影响线虫种群。田间作物上TRSV常随介体分布而成块发生，并侵染随后的作物，病毒在田间扩展速度较慢(30cm/年)。除线虫外，曾报道TRSV可由蓟马和螨进行传播。 至少已报道有12种作物和杂草寄主可由种子传播TRSV，种子带毒率从3％（香瓜）至100％（大豆）不等。病毒存在于种胚组织中，而种皮内并不带毒。植物受侵染时所处的生长期影响着种传带毒率。TRSV可用带毒种子进行远距离传播。许多杂草是线虫和TRSV的寄主，并且种子有时可带毒。"					"豇豆花叶病毒科"	"线虫传多面体病毒属"	"福建，湖南，湖北，云南，贵州，四川，安徽，河南，陕西，辽宁，黑龙江，河北，山东"	"TRSV自然寄主包括一年生和多年生的木本和草本植物。它的实验寄主范围很广，可侵染分属于双子叶和单子叶的17科植物。 鉴别寄主 TRSV的诊断寄主有苋色藜、昆诺藜、黄瓜、烟草、菜豆、豇豆等。"	"Tobacco ringspot virus"	"IO00009"			"烟草环斑病毒"	"Tobacco ringspot virus，简称TRSV"	"1927年首次报道发生在美国弗吉尼亚的烟草上"	"病毒粒子特性　 TRSV病毒粒子为球形,直径为25-29nm。在蔗糖密度梯度中,病毒粒体可分为3个组份：T、M和B组份,其沉降系数为53（T）、91（M）和126（B）。T 组份由空壳蛋白组成，M组份和B组份为核蛋白，并包裹着不同数量的RNA。各组份的紫外吸光值A260/A280为0.72（T）、1.38（M）和1.57（B）。 病毒粒子组成 　TRSV衣壳蛋白亚基分子量为57KD，病毒基因组为单链RNA分子，由两个分子组成，分子量为2.73×106(RNA1)和1.34×106(RNA2)。RNA的碱基组成比为G:A:C:U=24.7:23.1:22.4:29.8。RNA5'端共价结合有Vpg蛋白，分子量为4000D，当用蛋白酶消化该蛋白后,RNA丧失侵染性。RNA 3'端为Poly（A）结构。卫星RNA 　TRSV有些病毒分离物的病毒粒子中还包裹有卫星RNA，卫星RNA依赖于TRSV（称辅助病毒）的基因组RNA进行复制，并干扰辅助病毒基因组RNA复制。卫星RNA 与基因组RNA结构不同,没有Vpg和ploy（A）结构,不能作为mRNA。在受侵染的植物组织中，除发现有环状卫星RNA外,还发现有双链型卫星RNA的多聚体。多聚体卫星RNA可以自我切割产生单体卫星RNA。卫星RNA的转基因植株可以抗TRSV侵染。"	"中华人民共和国动植物检疫局和农业部植物检疫实验所，1997. 中国进境植物检疫有害生物选编. Pp.351-353；王劲波等，1999. 中国烟草科学, (1): 34-35； 1. Ainsworth & Ogilvie, Ann. Appl. Biol. 26: 279, 1939. 2. Brandes & Bercks, Adv. Virus Res. 11: 1, 1965. 3. Broadbent, Tinsley, Buddin & Roberts, Ann. Appl. Biol. 38: 689, 1951. 4. Costa & Duffus, Pl. Dis. Reptr 42: 583, 1958. 5. Couch, Phytopathology 45: 63, 1955. 6. Dickson & Laird, J. econ. Ent. 52: 440, 1959. 7. Fry, N.Z. Jl Sci. Technol. Sect. A 33: 52, 1952. 8. Grogan, Welch & Bardin Phytopathology 42: 573, 1952. 9. Jagger, J. agric. Res. 20: 739, 1921. 10. Kassanis, Ann. Appl. Biol. 34: 412, 1947. 11. Kemper, Z. PflKrankh. PflPath. PflSchutz 69: 653, 1962. 12. Kennedy, Day & Eastop, A conspectus of aphids as vectors of plant viruses, London, Commonwealth Institute of Entomology, 1962. 13. Klisiewicz, Pl. Dis. Reptr 49: 541, 1965. 14. McLean & Kinsey, Phytopathology 52: 403, 1962. 15. McLean & Kinsey, Pl. Dis. Reptr 47: 474, 1963. 16. Newhall, Phytopathology 13: 104, 1923 17. Ryder, Pl. Dis. Reptr 48: 522, 1964. 18. Sylvester, Phytopathology 45: 357, 1955. 19. Tomlinson, Pl. Path. 11: 61, 1962. 20. Tomlinson, Ann. Appl. Biol. 53: 95, 1964. 21. Van Hoof, Tijdschr. PlZiekt. 65: 44, 1959. 22. Zink, Grogan & Welch, Phytopathology 46: 662, 1956. 23. 《植物病毒名称及其归属》 谢联辉等 中国农业出版社 24. 《植物病毒志》 第二集 上海科学出版社 25. 《拉汉英种子植物名称》 科学出版社"
"10"		"杨树花叶病毒病是一种世界性病害，发病后很难防治。病叶较正常叶短1/2，且氮、磷、钾含量明显降低。幼苗高、粗生长受阻，幼树生长量至少降低30％。严重发病的植株木材比重和强度降低，木材结构也发生异常"	"该病毒有耐高温的特性，致死温度在75-80℃稀释终点10 -4 ，体外存活时间不超过7天（以病毒粗提液在室温下保存）。在杨树体内为系统感染，杨树的所有组织如形成层、韧皮部和木质部等均受侵染，发病后难以防治。"	"该病在自然界可通过种条和根部自然接触传播。在没有有效检疫手段的条件下，人为调运种条是最主要的传播方式。病树与健树的根部接触传病虽然已被实验所证实，但这种方式在病害流行中的作用尚缺乏深入了解。"						"香石竹潜隐病毒属"	"北京，天津，河北，江苏，山东，河南，湖北，湖南，四川，陕西，甘肃，青海"		"Poplar mosaic virus (PMV)"	"IO00010"			"杨树花叶病毒"	"Canadian Poplar Mosaic Virus"	"加拿大"		"中华人民共和国动植物检疫局和农业部植物检疫实验所，1997. 中国进境植物检疫有害生物选编. pp.544-546； 李东军等，1997. 山东林业科技, (1): 10-13； 周茂建，2004. 植物检疫, 18(3): 164-168"
