"id"	"入侵时间及地点"	"防治方法"	"别名"	"危害特点"	"中文名"	"生物学特征及发生消长规律"	"纲"	"目"	"科"	"属"	"英文名"	"传播途径"	"入侵地"	"门"	"原产地"	"寄主"	"形态特征"	"相关文献"	"拉丁学名"	"记录号"	"图片"
"1"	"1908年台湾"	"1、加强植物检疫工作。严禁交换有虫害的苗木，发现有虫害的苗圃要作好防治工作，避免虫害进一步扩散蔓延。 2、保护和利用天敌。澳洲瓢虫是埃及吹绵蚊的主要天敌，合理使用化学农药，保护和利用好天敌，维持生态平衡，是防治埃及吹绵蛤虫的一项重要措施。 3、冬季清园。发生虫害严重的地方，冬季要清洁园地，剪去带虫害的枝条，并将枯枝落叶清除，一并烧毁。 4、培育抗虫品种。在调查中发现乐昌含笑(M. chaoensis )、乐东拟单性木兰(Pambnerda lotu ngensi.s )和多花含笑、金叶含笑种植在一起，在乐昌含笑、乐东拟单性木兰上埃及吹绵蚁数量很少，危害极轻，可能与其自身抗虫有关。 5、化学防治。在4月上中旬第一代若虫发生盛期，可用40%速扑杀(methidathion,瑞十诺华公司)乳油1 000倍液，25%优乐得(buprofezin日本农药株式会社)可湿性粉剂1 000倍液，松脂合剂8一巧倍液等农药喷洒防治。"		"1908年台湾,来自印度或东南亚引进变叶树苗传入。该虫以雌成虫和若虫危害植物叶片及枝条,成群聚集在叶背面或嫩枝上吸取植物汁液,少则数头,多则近百头。树木受害后造成枝枯叶落,树势衰弱,甚至全株枯死,并排泄蜜露,诱致煤污病。成虫和若虫可在树枝上爬行。该虫危害已成为本园木兰科植物种质资源保存的严重问题。"	"埃及吹绵蚧"	"埃及吹绵蚊在广州1年发生3-4代，以各种虫态越冬，4月下旬至11月中旬发生数量最多。初孵若虫即能爬行，1龄若虫聚集在一起危害，2龄开始迁移到其他叶片危害，2龄后虫体四周开始有10对触须状蜡质分泌物，并可在大枝及主干上自由爬行。若虫聚集在新梢及叶背的叶脉两旁吸取汁液。成虫也喜聚集在叶背主脉两侧，吸取树液并营囊产卵，一般不移动。若虫和成虫均分泌蜜露，被害树木常导致煤污病发生。埃及吹绵阶可雌雄异体受精，又可孤雌生殖。在林间很难发现雄成虫。雌成虫为雌雄同体，每雌卵囊内有卵200粒以上，最多达400粒，雌虫产卵期长，其寿命约60 天温暖湿润气候有利其发生，在广州其他地方发生也普遍，全年可见危害，在温暖的冬天越冬不明显。调查发现，主要天敌有澳洲瓢虫(Rodolia cardinalis Mulsant)，但数量少。"	"昆虫纲"	"同翅目"	"硕蚧科"	"吹绵蚧属"	"egyptian fluted scale;mealybug, egyptian"	"主要随苗木调运传播。"	"广东、浙江、台湾"	"节肢动物门"	"可能是埃及"	"木兰科植物"	"1、成虫 雌成虫体长约6 mm,宽约4 mm,橙黄色,椭圆形,上下扁平,体背有白色蜡质分泌物覆盖,体四周有10对触须状蜡质分泌物。 2、卵 长0.76-0.83 mm,淡黄色,椭圆形。 3、初孵若虫 淡黄色,足褐色。"	"赵国珊,周卫川,吴宇芬.(1994).台湾植物的外来病虫害.台湾农业情况,(2),25-27. 章士美,赵泳祥.(1996).中国农业昆虫地理分布.中国农业出版社."	"Icerya aegyptiaca"	"AN00001"	"agridata/images/中国农业有害生物数据库/中国外来入侵昆虫数据库/埃及吹绵蚧.jpg"
"2"		"切断人为携带传播的途径。保持室内清洁卫生，妥善保藏食品，及时清除垃圾是防制蜚蠊的根本措施。同时根据其季节活动规律，集中力量，反复突击。具体办法有人工捕杀、诱杀、烫杀、堵塞缝隙等。现在化学试剂品种较多，许多杀虫剂均可有效杀灭蟑螂。目前，也有利用蟑螂信息素、病毒进行生物防治的办法。"		"繁殖力强、适应性强，食性复杂，难以根除。它们污染食物，传播病菌和寄生虫，对人类环境和健康造成严重影响，是重要的世界性卫生害虫。"	"澳洲大蠊"		"昆虫纲"	"蜚蠊目"	"蜚蠊科"	"大蠊属"		"随物品的携带、运输而广为扩散。"	"福建、广东、广西、海南、辽宁、台湾、云南"	"节肢动物门"	"澳大利亚"				"Periplaneta australasiae"	"AN00002"	"agridata/images/中国农业有害生物数据库/中国外来入侵昆虫数据库/澳洲大蠊.jpg"
"3"		"严格从疫区进口豆类，需要进口时必须严格检疫，杜绝其侵入新的区域。发现虫害要及时彻底清除，可采取溴甲烷熏蒸，用辛硫酸、虫螨磷拌种以及高温处理等措施加以控制。"	"墨西哥豆象"	"以幼虫蛀食豆类种子，对储藏的菜豆和豇豆危害尤其严重。主要危害菜豆、豇豆、红豆、豌豆、扁豆及某些野生豆科植物。"	"巴西豆象"	"成虫羽化后即达性成熟，但多在豆粒内停留2~3天才顶开羽化盖爬出活动。雌虫直接将卵产于豆粒表面，卵牢固地粘在种皮上。产卵量一般为20~50粒，产卵的最适温度为25℃~30℃。幼虫发育最快的温度是32.5℃，发育的最低温度在20℃左右。限制其繁殖和越冬的主要因子是低温和低湿度。"	"昆虫纲"	"鞘翅目"	"豆象科"	"宽颈豆象属"	"Mexican bean weevil"	"随寄主传播蔓延，成虫产的卵牢固地附在豆粒表面，幼虫期和蛹期全部在被害豆粒内生活，这种习性使该虫很容易随寄主而传播蔓延。卵、幼虫、蛹和成虫均可传播。"	"在我国主要见于云南南部，尤其是中缅边境地区。"	"节肢动物门"	"巴西"	"主要危害菜豆、豇豆、红豆、豌豆、扁豆及某些野生豆科植物。"	"成虫体长2.0~3.6mm，体呈宽卵圆形。表皮黑色，有光泽，仅触角基部2节、口器、前足、中足胫节端距及后足胫节端距为红褐色。触角节细长。前胸背板宽约为长的1.5倍。小盾片三角形。鞘翅稍成方行，翅的端部圆。卵扁平，长约0.5mm。老熟幼虫呈菜豆形，乳白色。"	"李振宇, 谢焱. 中国外来入侵种. 中国林业出版社, 2002."	"Zabrotes subfasciatus (Boheman)"	"AN00003"	"agridata/images/中国农业有害生物数据库/中国外来入侵昆虫数据库/巴西豆象.jpg"
"4"		"⑴清洁田园。收获后及时清除田间残株败叶，集中烧毁，以减少虫口密度。 ⑵人工捕捉。捕捉幼虫和蛹及成虫是很容易做到的，成虫可用网捕效果好。 ⑶保护和利用天敌昆虫。此法既可防虫又保护环境，减少农药的污染。 ⑷生物农药防治。用100亿活芽孢/克苏云金杆菌可湿性剂，每亩用100-300克对水50-60千克喷雾；或用100亿活芽孢/克青虫菌粉剂1000倍液喷雾；或用100亿活芽孢/克杀螟杆菌可湿性粉剂加水稀释成1000-1500倍液喷雾。以上药剂任用一种，于害虫初现期开始喷雾，7-10天喷1次，可连续喷2-3次。以上生物农药可兼杀蔬菜上其他蝶蛾类害虫。但须注意的是，离桑园较近的蔬菜地不能使用以上生物农药，也不能与化学菌剂混用。 菜青虫的天敌很多，寄生在蛹上的有金小蜂、广大腿蜂；寄生在幼虫上的有黄绒茧蜂；寄生在卵上的有广赤眼蜂；还有捕食性的猎蜷、胡蜂及寄生性的细菌、真菌、病毒。以上天敌在抑制虫口上，起到很大作用。"	"纹白蝶"	"初龄期在叶背啃食叶肉，残留表皮，呈小形凹斑，3龄以后吃叶成孔洞或缺刻。严重时，只残留叶脉和叶柄。同时排出大量粪便，污染菜叶和菜心，使蔬菜品质变劣，且虫伤又为软腐病菌提供了入侵途径，导致菜株发生软腐病，加速全株死亡。"	"白粉蝶"		"昆虫纲"	"鳞翅目"	"粉蝶科"	"粉蝶属"	"Cabbage butterfly"		"台湾"	"节肢动物门"	"日本"	"已知寄主植物有35种，但主要为害十字花科蔬菜。如白菜、花椰菜、油菜等。"			"Pieris rapae crucivora"	"AN00004"	"agridata/images/中国农业有害生物数据库/中国外来入侵昆虫数据库/白粉蝶.jpg"
"5"			"亚洲虎蚊、丛林日间蚊、麻蚊、花蚊、阴蚊"	"主要分布于森林和城镇。从植物花蜜中获取能量，但雌性须吸食血液以获得产卵的营养。主要取食哺乳动物，范围广，传播登革热、脑炎、犬恶丝虫等疾病。"	"白纹伊蚊"	"卵的抗旱力很强，孑孓在所有类形的细小积水处（树洞、竹筒、空罐、轮胎、水洼等)孳生，成蚊在胸背和脚都有白色间条成蚊栖息在树丛，蚊虽喜在室外活动，但亦会飞进室内，雌蚊在日间吸食血（高峰期出现于日出后两小时内及日落前两小时内），飞行能力不强（约100米），传播登革热、乙型脑炎等。"	"昆虫纲"	"双翅目"	"蚊科"	"伊蚊属"		"该生物依靠人类交通工具进行传播。"		"节肢动物门"			"白纹伊蚊是一类个体相对较小的蚊子，腹部和腿上呈条带状覆盖有白色鳞片，胸部背板覆盖白色鳞片。"		"Aedes albopictus"	"AN00005"	"agridata/images/中国农业有害生物数据库/中国外来入侵昆虫数据库/白纹伊蚊.jpg"
"6"		"①农业防治。避免选用有虫种苗。种植前可用50％乐果乳剂500～800倍液，或用8倍左右的松脂合剂稀释浸苗5～10min，可消灭大部分附着的粉蚧。②化学防治。在粉蚧大发生时，喷射松脂合剂。"	"菠萝洁粉蚧"	"若虫和雌成虫都能吸取菠萝的叶、茎、果实及根的液汁。被害叶片褪色变黄，乃至紫红色，严重时，叶片全部变色，软化，后至凋萎。被害根变黑褐色，组织腐烂，致使植株生势衰弱，甚至全株枯萎。被害的果实，轻者果皮失去光泽，品质变劣；重者果实萎缩，不能生长。此虫分泌的蜜汁，能诱发煤烟病，尚能传播菠萝凋萎病。"	"菠萝粉蚧"	"该虫有群集的特性,主要在植株的根及地下茎部位群集。根部多集中在距头茎5～15cm的根段;地下茎及中老叶腋内中成蚧较多;地上叶腋内以幼蚧为主。低温胁迫会导致菠萝粉蚧从植株向四周转移。蚂蚁是田间菠萝粉蚧的指示昆虫。田间该粉蚧年发生2次高峰:3月下旬～5月出现小高峰,9～11月呈持续高峰。除不利天气影响外,大部分时间低龄蚧均占60%～85%,说明其世代重叠严重。夏秋季抽查有粉蚧危害的田块,菠萝果实带虫率34%～68%,果顶部的冠芽带虫率25%以上。"	"昆虫纲"	"同翅目"	"粉蚧科"	"灰粉蚧属"	"Pineapple mealybug"		"福建"	"节肢动物门"	"热带美洲"	"菠萝、可可、油棕、香蕉、花生、芒果、甘蔗。"			"Dysmicoccus brevipes"	"AN00006"	"agridata/images/中国农业有害生物数据库/中国外来入侵昆虫数据库/菠萝粉蚧.jpg"
"7"	"1991年在吉林省图门地区发现此虫"	"加强菜豆象的检疫和监测，不仅要切实加强边境口岸的检疫和处理，还应加强中缅边境区域内的虫情监测，一旦发现就彻底扑灭，防患于未然。(1)大批量的豆类带有菜豆象。可采用磷化氢熏蒸防除。当气温在15℃以上时，保持熏蒸场所内磷化氢的平均浓度不低于1ml/L，处理72小时能100％杀死各虫态。(2)旅检和邮检中发现少量豆种带虫时可采用高温60℃处理20分钟、55℃处理60分钟、低温一15℃处理180分钟能100％杀死各虫态。(3)少量豆种的贮藏可采用干河沙和草木灰压盖、草本灰拌种、植物油拌种等方法进行防虫。"	"大豆象"	"菜豆象是多种菜豆和其他豆类的重要害虫，幼虫在豆粒内蛀食，对储藏的食用豆类造成严重危害。一旦传入，将对我国豆类生产带来重大损失，也给我国豆类出口产生严重影响。为此，我国将其列为对外检疫一类危害性害虫，严防该虫传入我国。"	"菜豆象"	"延边地区田间生态条件完全适合菜豆象生长发育，特别是沿江一带具有更适合的温、湿度条件。 根据试验观察结果，在罩笼田间菜豆象大部分可从产卵发育到老熟幼虫或蛹，少部分可以羽化出成虫，然后随豆粒收获进入室内仓贮进行繁殖。它以老熟幼虫或蛹在仓内越冬，但不能在田间越冬。因菜豆象卵无粘性，很少把卵产于开裂豆荚内或外部皱褶处。主要是成虫用口器在成熟或近成熟的豆荚内腹线上咬一狭缝或小孔，然后将产卵器伸入缝内产卵，这样可以减少卵的损失率。这就是在调查中常发现成虫停留在豆荚内腹线处不动的原因。也有在外腹线上咬孔的，但无咬透的。豆荚内的卵经过 15－20天后开始孵化，刚孵刊的幼虫胸足发达，四处爬行以寻找蛀入处。"	"昆虫纲"	"鞘翅目"	"豆象科"	"三齿豆象属"	"Bean weevil"	"菜豆象主要借助被侵染的豆类种于通过贸易、引种和运输工具等迸行传播。卵、幼虫、蛹和成虫均可被携带。"	"吉林"	"节肢动物门"	"中美和南美"	"大莱豆 Phaseolus gandis Dalz.；白皮菜豆入 P.vulgaris Linn；紫皮菜豆P.vulgaris Linn；小白芸豆 P.sp；中白芸豆P.sp.；大白芸豆P.sp.；大理花芸豆P.cocineus Lam；深红芸豆P.sp.；淡红芸豆P.sp.；黑花豇豆Vigna sp.；小黑花豇豆Vigna sp.；黄花豇豆V.sp.；眉豆Vigna catiang Typica；金甲豆Phaseolus lunatus L.；雪白扁豆Dolichos sp.；红扁豆D.sp.；绿豆P"	"菜豆象老熟幼虫的形态特征：幼虫体长2.1～3.5mm，体宽1.3～2.5mm。身体肥胖粗壮，背方强烈隆起，向腹方呈“C”形弯曲，胸足退化。新鲜的虫体呈乳白色，除头部外体壁极少骨化。头深深缩入前胸、呈长卵圆形，光滑少毛。每侧具单眼1枚，着生于近上颚及额缝交接处。触角由1节组成，端部有圆锥形的感觉器和刚毛。上唇半圆形，密布小刺毛；前半部膜质，在膜质区有8根粗而尖的刚毛，其中6根靠近前缘排成弧形，2根位于中央稍后；后半部骨化，呈横椭圆形，每侧有1根粗而尖的刚毛，每根刚毛的内侧稍后各有1个感觉器。上内唇膜质，中央有2对粗短内弯的刚毛，刚毛两侧各有一群较短的侧刚毛。唇基宽于上唇，呈弓曲的横带状，前缘前凹而后缘后凸，近后缘有一条横形狭长的骨化板，骨化板的两端显著膨大，每侧有1根刚毛，刚毛内侧各有1个感觉器。上颚骨化强，形短而厚，端缘圆，切缘呈凿状，缺颚臼。下颚轴节小而简单，略呈半圆形，上面不着生刚毛；茎节发达，其端部的膜质区着生5～6根长刚毛，基部的骨化区看生2根长刚毛；负颚须节发达，上面多有10余根刚毛；内颚叶终止于5根截形的叶状刚毛沿端缘排列成梳齿状；下颚须1节，顶端有多数毛状感觉器。下唇略呈三角形，两侧凹人．后缘后凸，由－（或称前－）和亚－（或称后－）组成。下唇须缺如。具有一盾形的骨板，或称下唇板。下唇板的前方二分裂，前伸的两侧臂在末端相遇，包围在两侧臂之间的为一水滴状的膜质区。两侧臀的基部和端部各有刚毛1根，在下唇板后半部两侧的膜质区，每侧还有长刚毛1对。亚－横长，亚－骨片完整，呈狭长弓曲的带状，在亚－骨片近端缘有1对短的中侧刚毛。足退化，分节不明显，由4节组成，极少骨化，末节呈乳头仇腹部膜质。气门环形，位于第1～8腹节的上侧片上。第1～8腹节各有2条褶。第9节小。第10节微小，呈乳头状。菜豆象成虫体长2—4mm。头、前胸及鞘翅黑色，密披黄色毛，背面暗灰色，与常见的几种豆象有明显区别。腹部及臀板为桔红色，密披白色毛，杂以黄色毛。头部长而宽，密布刻点，额中线光滑无刻点。触角11节，基部4节及第11节为桔红色，其余为黑色，基部4节为丝状，第5—10节为锯齿状，末节呈桃形，端部尖细。前胸背板圆锥形。后足腿节腹面近端有3个齿，1个为长而尖的大齿，其后为2个小齿，大齿长度约为2个小齿的两倍。经解剖，雄性外生殖器阳茎较长，外阳茎瓣端部钝尖，两侧凹入，两侧叶顶端膨大，内阳茎前端有两纵向微刺区，囊区色深。"	"番启山，焦晓品等，菜豆象的生物学及防治初步研究，植物检疫，1994年第3期，8（3）：135～142. 李南植，宋保深等，环境温湿度对菜豆象成虫寿命及产卵影响的研究，植物检疫，1995年第4期，9（4）：193～198. 张生芳，刘永平，菜豆象幼虫的形态结构及11种豆象幼虫检索表，植物检疫，1995年第2期，10（2）：92～96. 吕杰，娄巍，钴60－γ射线辐照菜豆象试验初报，植物检疫，1996年第6期，10（6）：349～350. 全尚雄，吕杰，菜豆象检验鉴定及处理研究，中国进出境动"	"Acanthoscelides obtectus(Say)"	"AN00007"	"agridata/images/中国农业有害生物数据库/中国外来入侵昆虫数据库/菜豆象.jpg"
"8"	"抗日战争期间（30年代）从日本军马饲料中大量带入。"	"除了严格检疫外，可注意在蚕豆开花之时，每隔7~10天施药一次。当蚕豆收获时，豆内幼虫尚小，应掌握时机，在一个半月内及时将豆粒进行沸水烫浸30秒钟或熏蒸处理。收获以后，半月内用塑料薄膜密封气控保管或熏蒸处理。停止种植蚕豆3年，彻底消灭蚕豆象。"	"豆牛，豆乌龟，蚕豆红脚象"	"成虫略食豆叶、豆荚、花瓣及花粉，幼虫专害新鲜蚕豆豆粒。被害豆粒内部蛀成空洞，并引起霉菌侵入，使豆粒发黑而有苦味，不能食用；如伤及胚部，则影响发芽率，质量大大降低。幼虫随豆粒收获如仓，继续在豆粒内取食为害，造成严重损失。在许多国家和地区，对蚕豆造成的重量损失达20%~30%。"	"蚕豆象"	"1年发生1代，以成虫在豆粒内、仓库内角落、包装物缝隙以及在田间、晒场、作物遗株内、杂草或砖石下越冬。越冬成虫于翌年3月下旬开始活动，飞到田间取食豆叶、花瓣、花粉，随后交配产卵。卵散产于蚕豆幼荚上，每雌虫一生产卵35~40粒，最多达96粒。4月中旬起孵化后即侵入豆荚蛀入豆粒中，被贮豆粒表面留有1个小黑点。每豆一般有虫1~6个。蚕豆收获后，幼虫在粒内被带到仓内继续为害。成长幼虫约于7月上旬在豆粒内化蛹，7月中旬羽化为成虫，即进入越夏、越冬阶段。成虫飞翔能力强，有假死习性。"	"昆虫纲"	"鞘翅目"	"豆象科"	"豆象属"	"Broad bean weevil"	"随被害豆类的调运而传播。"	"现已广泛分布于我国西北、华北，华中、华南、中南、华东、西南等地区的许多省份，是国内植物检疫对象之一。"	"节肢动物门"	"欧洲"	"主要危害蚕豆，还危害野豌豆、山黧豆、兵豆、鹰嘴豆、羽扇豆等。"	"成虫体长4~5mm，宽2.6~2.8mm，椭圆形，体黑色，体被黄褐色与灰白色毛。触角基部1~4节或1~5节、上唇、前足浅褐色。头顶狭而隆起，头密布小刻点。唇基被黄褐色毛，额以上被淡黄色毛，触角锯齿状，向后伸达前胸背板后缘。复眼黑色，呈“U”包围触角基部。颊间着生灰白色毛。前胸背板显著横宽，侧齿位于侧缘中央，短而钝，水平外指向；侧缘在齿后的部分稍凹。侧齿上布小刻点，被褐色与灰白色毛，形成明显小毛斑，近翅缝向外缘有灰白色毛点形成弧形的横带。后足腿节腹面的端前齿钝。腹部每节两侧各有1个灰白色毛斑。臀板不横宽，端部无黑斑或黑斑不明显。腹部末节背面露出在鞘翅外面，密生灰白色细毛。卵长约0.4~0.6mm，椭圆形，一端稍尖，半透明，淡橙黄色，表面光滑。幼虫体长约5.5~6mm，乳白色，肥胖，弯曲，胸足退化呈肉突状。头部很小，死后大部缩入前胸，淡黄白色。胸腹节上通常通常具明显的红褐色背线。蛹长约5~6mm，椭圆形，乳白色至淡黄色，腹部较肥大。前胸背板及其鞘翅密布皱纹。前胸两侧各具1不明显的齿状突起，中胸背面后缘向后突出，后胸中央有沟。腹节中央及两侧均有隆起线。"	"葛钟麟.(1952).蚕豆象的初步研究.昆虫学报,2(1)."	"Bruchus rufimanus Boheman"	"AN00008"	"agridata/images/中国农业有害生物数据库/中国外来入侵昆虫数据库/蚕豆象.jpg"
"9"		"可以使用有毒引诱物加以控制，但最好使用糖水诱杀。还可使用氯甲桥萘作为杀虫剂，但效果不一定很好。在自然条件下，最有效的控制方法是保护完整的有多种微生物和健全的无脊椎动物群体的自然栖息地。而在楼房和船只等人类环境中目前也只能用杀虫剂控制。在我国，还需对其进一步研究。"	"长足捷蚁"	"在国外，由于长角捷蚁的入侵，已对当地物种，如蚂蚁和特有植物构成威胁，极大影响了被入侵地的生物多样性。在塞舌尔，已使一种特有的石龙子--塞舌尔南蜥（Mabuya sechellensis）的数量大为下降。在夏威夷，它们则使当地特有的蜘蛛数量减少。长角捷蚁以介壳虫制造的蜜露为食，间接保护了大量害虫。它们对人类居所亦有影响，特别是食物。长角捷蚁甚至可以直接捕食出生不久的家禽、家畜。"	"长角捷蚁"	"喜欢生活于已开垦的田野、果园、人类住所，还可在岩石和瓦砾堆下找到它们。在地面、灌木、树木中搜寻腐烂的尸体或活体的汁液为食，食物范围极为广泛。"	"昆虫纲"	"膜翅目"	"蚁科"	"捷蚁属"		"随货物、包装和填充物、交通运输工具等远距离传播。"	"广东，广西，香港，云南，福建，台湾，海南和澳门等地"	"节肢动物门"	"可能是热带非洲或亚洲热带地区"	"威胁入侵地物种，如蚂蚁、蜘蛛和特有植物；取食介壳虫分泌的蜜露，间接保护害虫；对人类居所有影响，特别是食物；可捕食出生不久的家畜、家禽。"	"工蚁长3.0~4.0mm，黄棕色，皮肤光滑。腹部1柄节，无螫刺；柄后腹有一个半圆至环形的泌酸孔（acidopore）。下颚的触须清晰可见。并胸腹节无刺。触角11节。工蚁触角柄节较长，可延伸至头顶后部1mm。腿亦长。"	"李振宇和解焱, 2002. 中国外来入侵种. p.82； Haines I H, Haines J B, 1978. Bulletin of Entomological Research, 68: 627-638."	"Anoplolepis gracilipes (Smith)"	"AN00009"	"agridata/images/中国农业有害生物数据库/中国外来入侵昆虫数据库/长角捷蚁.jpg"
"10"		"检疫措施：在进口木材的树皮下抽样检查虫口密度，再根据虫口密度制定相应的处理措施，可考虑剥皮除虫、水浸木材、熏蒸杀虫或其他药剂处理等方法。"		"长林小蠹通常侵染新伐木及衰弱木，受伤的健康树也常遭到危害。在智利，发现长林小蠹也危害旱季的健康树株，偶尔也能杀死辐射松树苗。该虫还是松树黑根病菌和蓝变真菌的传播媒介，不仅易导致树木的死亡，而且还严重影响成品木材的品质。该虫具有很强的自然传播能力，成虫飞行距离可达几公里。我国地域幅员辽阔，松属资源丰富，且引种了大量的国外松以人工纯林形式广泛分布，又由干我国地理位置及气候条件与该虫的分布相似，而且长林小蠹的适应环境极强，其成虫、幼虫和卵均可随寄主材料(原木、木质包装)远距离传播。"	"长林小蠹"	"每头雌虫最多产卵500粒，以幼虫越冬。幼虫在树皮下取食，老熟后化蛹，春季羽化飞出。成虫危害时，常在洞口排出粉红色的粉末。该虫一般为1年3代，成虫大部分是在凉爽高湿时期活动，世代重叠使其在1年内多数时间都能够停染传播。"	"昆虫纲"	"鞘翅目"	"小蠹科"		"Red-haired bark beetle;Pine root scolytid"	"远距离传播借助于木材运输，近距离传播靠成虫爬行或飞翔。"	"我国尚无长林小蠹报道。"	"节肢动物门"	"欧洲地中海沿岸和大西洋中某些岛屿。"	"松树中多种树种。其中辐射松、湿地松等国外松是长林小蠹的重要寄主。"	"成虫：体卵圆形，长9－15mm，宽4－7mm；带强金属光泽；前胸、头、足、小盾片墨绿色；鞘翅黄褐色至赤褐色，鞘翅外、内端缘暗绿色；臀板基部有2个白色毛斑；腹部1—5节腹板中央两侧中部各着生1列白色刚毛，刚毛列在腹侧分别聚成1毛斑，6对毛斑不被鞘翅覆盖。唇基倒簸箕形，强卷；前缘加厚并上翘，厚度为其宽度的1／4—3／8，前角近100°水平夹角；顶观，头顶前至唇基前缘部呈平坦的斜截面；额唇基沟中断或消失；唇基除基中部外刻点粗密交合成皱刻状；额和唇基中部刻点连续，适中粗密，排列均匀，点径与点间近等；头顶常具哑铃形无刻点区；触角9节，鞭部5节；额中部纵凹。前胸背板宽胜于长，强隆弓，侧缘前段向前弧弯收拢；前角锐，后角钝角形，基缘向后方突出，并在小盾片前凹入，后缘边框近完整；侧区小凹陷1对；盘区刻点与额部刻点近等，较疏，两侧刻点渐粗密，在前侧区及小凹陷周围刻点多交合或至少点径大于点间。小盾片圆三角形，常具不规则刻点。鞘翅扁平，短，向后收狭，露现部分前臀板；肩疣，端疣发达；具缘膜；鞘翅缝角间具有1对小齿；鞘翅背面6条点行，行2散乱并在近端部4／5处消失；行间平坦；点行刻点粗密深凹，点径一般大于点间。臀板强隆，具鳞状横刻纹；前臀板具有白色刚毛。中胸腹突前伸较明显；胸腹部布满白毛。足粗壮；前足胫端部外侧具2个相连大齿，内侧中端具1距。后足胫节内侧无刺列，但有一个长毛刺。雄性外生殖器的阳基侧突向端尖细，端部下弯强，背面马鞍状，前侧缘凹弯强，前侧缘与后侧缘成圆弧弯折，端尖腹面小纵脊与阳基侧突腹片极接近；阳茎基片端缘弧凹深；阳茎内骨阔大；内阳茎囊长形，中部一侧有一长条形毛区，毛区后具一粗壮骨片，骨片端半部具3—6个大尖齿，侧面现成整齐的齿轮状。雌性生殖器的卵巢与输卵管总长2倍于交配囊，交配囊端部不膨大；受精囊肾形；附腺圆形。卵：刚产的卵乳白色，呈圆形，直径1mm，之后变成长卵形，长1.5mm，宽1mm，色也渐加深。幼虫：体白色，呈“C”型弯曲，体长18—25mm，上颚极发达，黑褐色，尾节极膨大，蓝色或黑色；腹毛区具一横弧状肛裂，且具2列相向短刚毛，每列6根。幼虫3个龄期，头壳宽度分别为 1.2mm、1.9mm、3.1mm。蛹:阔纺锤形，长14mm，宽7mm，灰白色至黄褐色，附肢活动自如，离蛹。"	"中国植物保护学会植物检疫学分会主编，植物检疫害虫彩色图谱，P76."	"Hylurgus ligniperda Fabricius"	"AN00010"	"agridata/images/中国农业有害生物数据库/中国外来入侵昆虫数据库/长林小蠹.jpg"
