"id"	"入侵时间及地点"	"防治方法"	"别名"	"危害特点"	"中文名"	"生物学特征及发生消长规律"	"纲"	"目"	"科"	"属"	"英文名"	"传播途径"	"入侵地"	"门"	"原产地"	"形态特征"	"相关文献"	"拉丁学名"	"记录号"	"图片"
"1"			"桉树"		"桉"	"桉树喜光，一般枝叶稀疏。大多数要求年平均温度15℃以上，最冷月不低于7～8℃。一般能生长在年降水量500毫米的地区，年降水量超过1000毫米生长较好。适生于酸性的红壤、黄壤和土层深厚的冲积土，但在土层深厚、疏松、排水好的地方生长良好。主根深，抗风力强。多数根颈有木瘤，有贮藏养分和萌芽更新的作用。一般造林后3～4年即可开花结实。桉树育苗分裸根苗和容器苗两种。一般四旁绿化采用播种后经过分床的一年生裸根苗；大面积造林则多采用容器苗。栽植季节一般在春末夏初或雨季开始后进行。按照经营目的、树种生长特性和数量成熟期，确定采伐的年龄和径级。采伐方式一般是块状皆伐。萌芽更新是桉树经营的特点，具有初期生长迅速、干形通直、中间收益快等优点。"	"双子叶植物纲"	"桃金娘目"	"桃金娘科"	"桉属"	"Eucalyptus"		"我国17个省（区）市均有栽培"	"被子植物门"	"澳大利亚"	"常绿乔木，树皮粗厚而宿存，或平滑而年年脱落。叶两型，幼态叶无柄而对生，成熟叶镰形或长圆形。有挥发性芳香油。花两性，萼管钟形与子房合生；花瓣与萼片连成帽状体；雄蕊多数，花药心形或肾形、直裂或孔开；花盘存在；子房下位，2～7室，胚珠多数。蒴果藏在壶形萼管内或突出萼管外；花盘在结实时形成果缘。种子多数，只有少数几个能育。"		"Eucalyptus robusta Smith"	"PL00001"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/桉.jpg"
"2"	"1964年引入中国海南省试种。"		"钝叶臂形草"		"巴拉草"	"多年生牧草。结实率低，每公顶产种子13-25kg。喜热带潮湿气候和季风气候。适于年平均温度19-24℃，最低月平均温度7-17℃的地区栽培。耐水渍，不耐寒，受冻茎叶枯萎，但来春返青快。再生力强，耐践踏。一般用匍匐茎繁殖。插条带2-3节，长约30cm，株行距1×1m，每穴斜插2条，雨季种植。宜与蝴蝶豆或爪哇葛藤混种。植株覆盖地面，高达1m即可刈割。在生长季节，每隔30-45天割1次，每年割4-5次。割后及时追施氮肥。通常每公顷年产干物质5-12t，最高可达39t。干物质含粗蛋白质2.8-16.1%，粗纤维28-34%，无氮浸出物41-57%，粗脂肪0.9-3.9%。适于作青饲料，晒制干草或放牧。"	"单子叶植物纲"	"禾本目"	"禾本科"	"臂形草属"	"Para grass"		"福建、台湾、香港"	"被子植物门"	"西非"	"匍匐茎粗0.4-1cm，长2-3m，茎节着地生根，多分枝，节上密被茸毛。叶长10-30cm，宽1.6-2.4cm。圆锥花序顶生。"		"Brachiaria mutica (Forsk) Stapf."	"PL00002"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/巴拉草.jpg"
"3"			"白三叶，白花苜蓿，三消草"	"一般性杂草。"	"白车轴草"	"多年生草本。适应性广，抗热抗寒性强，可在酸性土壤中旺盛生长，也可在砂质土中生长，喜阳耐阴，为栽培植物，有时逸生为杂草，侵入旱作物田，危害不重，对局部地区的蔬菜、幼林有危害。 花期5月。"	"双子叶植物纲"	"蔷薇目"	"豆科"	"车轴草属"	"White Clover,White Trefoil"		"黑龙江，吉林，辽宁，河南，江苏，江西，贵州，云南。在我国东北、华北、华东及西南都有引种栽培"	"被子植物门"	"欧洲"	"茎匍匐，无毛。复叶有3小叶，小叶倒卵形或倒心形，长1．2—2．5厘米，宽1—2厘米，栽培的叶长可达5厘米，宽达3．8厘米，顶端圆或微凹，基部宽楔形，边缘有细齿，表面无毛，背面微有毛；托叶椭圆形，顶端尖，抱茎。花序头状，有长总花梗，高出于叶；萼筒状，萼齿三角形，较萼筒短；花冠白色或淡红色。荚果倒卵状椭圆形，有3—4种子；种子细小，近圆形，黄褐色。"	"李扬汉，1998. 中国杂草志. p.658"	"Trifolium repens Linn."	"PL00003"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/白车轴草.jpg"
"4"			"白香草木樨、白甜车轴草"		"白花草木樨"	"白花草木樨抗旱耐寒耐盐碱耐瘠薄，对环境的适应能力极强，在苜宿难以生存的地方，仍能良好生长。最适宜温润气候，在年降水量400～500毫米、年平均气温6～8℃的地区生长最好。对土壤要求不严，从重粘土到瘠薄土及砂砾土都能适应，而以富含钙质的土壤最为适应，但不能适应酸性土壤。在排水不良时，比苜宿和红三叶生长良好，但在长期积水的地方易于死亡；土壤含盐量0.2～0.3%，甚至0.59%时都能生长，因此，草木樨能改良盐碱地，适应土壤pH值为7.0～9.0。草木樨繁殖能力很强，种子发芽最低温度3～6℃，最适温度15～20℃，从出苗到成熟，生育期共需10～15个月，第一年株高50～100厘米，白花草木樨的生育期比黄花草木樨约迟2周开花。在海拔2600米的肃南皇城滩第一年生长良好，但不能越冬，在海拔2640米的天祝打柴沟地区，越冬率30～50％。第二年株高170～260厘米，亩产种子20～60千克。成熟的荚果容易脱落，有自落自生的习性；硬实率一般占30～60％；种子在干土中保存2～3个月后，遇适宜条件仍能发芽出苗，经过反复4次浸泡晾干的种子，发芽率在70％以上，硬籽在土壤中保存3～5年还有发芽能力，种子在室温中保存20年，发芽率从95％降低到50％。种子产量每亩20～200千克，一般40～60千克。草木樨固氮肥田效果显著，但固氮不均衡，经省农科院土肥所定点观测分析，第一年亩固氮量7～8.5千克，第二年10～15.5千克，固氮高峰期出现在开花期，且有两次固氮高峰期。"	"双子叶植物纲"	"蔷薇目"	"豆科"	"草木樨属"	"White Sweetclover"		"福建、甘肃、河北、江苏、山西、陕西、四川、云南、吉林、辽宁、黑龙江"	"被子植物门"	"欧洲、西亚"	"一、二年生草本，高70-200cm。茎直立，圆柱形，中空，多分枝，几无毛。羽状三出复叶；托叶尖刺状锥形，长6-10mm，全缘；叶柄比小叶短，纤细；小叶长圆形或倒披针状长圆形，长15-30cm，先端钝圆，基部楔形，边缘疏生浅锯齿，上面无毛，下面被细柔毛，侧脉12-15对，平行直达叶缘齿尖，两面均不隆起，顶生小叶稍大，具较长小叶柄，侧小叶小叶柄短。总状花序长8-20cm，腋生，具花40-100朵，排列疏松；苞片线形；花梗短，萼钟形，微被柔毛，萼齿三角状披针形，短于萼筒；花冠白色，旗瓣椭圆形，稍长于翼瓣，龙骨瓣与翼瓣等长或稍短；子房卵状披针形，上部渐窄至花柱，无毛，胚珠3-4粒。荚果椭圆形至长圆形，先端锐尖，具尖喙，表面脉纹细，网状，棕褐色，老熟后变黑褐色；有种子1-2粒。种子卵形，棕色，表面具细瘤点。花期5-7月，果期7-9月。"		"Melilotus albus Medic. ex Desr"	"PL00004"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/白花草木樨.jpg"
"5"		"采用草甘膦、茅草枯等除草剂，在枝节抽穗期进行叶面喷雾效果较好，也可结合种植绿肥覆盖地表，进行综合治理。"	"茅"	"为害茶园、桑园、果园、橡胶园和苗圃等的旱地恶性杂草。"	"白茅"	"适应性强，耐荫、耐瘠薄和干旱，喜湿润疏松土壤，在适宜的条件下，根状茎可长达2～3米以上，能穿透树根，断节再生能力强。"	"单子叶植物纲"	"禾本目"	"禾本科"	"白茅属"	"Pantropical weeds"		"遍及全国包括台湾"	"被子植物门"	"东南亚（不知道是否包括中国）"	"株高25～80厘米；须根；茎节上有长柔毛；根状茎长，叶片主脉明显，叶鞘边缘与鞘口有纤毛；圆锥花序分枝紧密；小穗基部密生银丝状长柔毛，颖果成熟后，自柄上脱落。"		"Imperata cylindrica (Linn.) Beauv."	"PL00005"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/白茅.jpg"
"6"				"一般性杂草。危害中耕作物及牧草。"	"白苋"	"一年生草本植物。常于瘠薄干旱的沙质土壤上生长，于旱田、休闲地、路边及荒地常见。 苋菜喜温暖，较耐热，生长适温23~27℃，20℃以下生长缓慢，要求土壤湿润，不耐涝。在无霜期内可分批播种，陆续采收。"	"双子叶植物纲"	"石竹目"	"苋科"	"苋属"	"Tumble　weed"		"黑龙江，河北，新疆"	"被子植物门"	"北美"	"苋菜有红有绿，颜色美丽，茎细长，叶互生，全缘，卵状椭圆形至披针形，平滑或皱缩。"	"李扬汉，1998. 中国杂草志. p.83"	"Amaranthus albus L."	"PL00006"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/白苋.jpg"
"7"			"牛角花，五叶草，地羊鹊，金花菜，黄花菜"	"一般性杂草。"	"百脉根"	"多年生草本植物。 适生于山坡草地，田间湿润处，为果园、苗圃及农田杂草，但危害不大。"	"双子叶植物纲"	"蔷薇目"	"豆科"	"百脉根属"	"Birdsfoot Deervetch"		"湖北，湖南，四川，云南，贵州，甘肃，陕西，广西"	"被子植物门"	"欧洲、中亚及北非"	"主根入土深，侧根多且发达，根能生出新枝，直立或半直立，从根颈生出，很多分枝。茎高50~60cm，株表面光滑无毛。复叶，三小叶着生于叶柄顶端。托叶大，形状与叶相似，故又称五叶草。小叶卵形或倒卵形。叶全缘无毛。叶柄长，小叶几乎无柄。4~6朵小花排列成伞状花序，花冠浅黄或深黄色。每个花梗上有3~5个荚果，呈长圆柱形，每荚有种子10粒左右。"	"李扬汉，1998. 中国杂草志. p.631"	"Lotus corniculatus L."	"PL00007"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/百脉根.jpg"
"8"		"化学防除效果较好，在种子萌发前可用除草醚、杀草丹、丁草胺施于表土，种子萌发后可用禾大壮，稗苗二叶期可用敌稗喷雾。"	"稗草、稗子"	"由于根系庞大 ， 吸收肥水能力强，植株高于水稻而使水稻减产。"	"稗"	"晚春型杂草，适应性强。喜温暖湿润环境，既能生长在浅水中而又较耐旱，并耐酸碱。繁殖力强，一株结子可达1万粒左右。"	"单子叶植物纲"	"禾本目"	"禾本科"	"稗属"	"Barnyard Grass"		"全国水稻种植均有分布"	"被子植物门"	"欧洲和印度"	"株高50～130厘米。须根庞大；茎丛生，光滑无毛。叶片主脉明显，叶鞘光滑柔软，无叶舌及叶耳，是与水稻的主要区别。圆锥花序；小穗密集于穗轴一侧；颖果椭圆形、骨质、有光泽。"		"Echinochloa crusgalli"	"PL00008"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/稗.jpg"
"9"	"20世纪40年代出现在上海、江苏一带"			"20世纪40年代出现在上海、江苏一带，1963年在武汉采到标本。在北美大陆被列为农田中最常见和最不易刈除的杂草之一。在我国为花生等旱作物田间杂草，还常见于苗圃和草坪中，若不及时拔除，容易蔓延。全株有毒。"	"斑地锦"	"一年生草本，通常生长在平原或低山地的路旁湿地，它通常会侵入遭受破坏的土壤干燥结实的草地和农田中。花期3~5月，果期6~9月。"	"双子叶植物纲"	"大戟目"	"大戟科"	"大戟属"	"Spotted Spurge"		"北京、福建、河北、河南、湖北、江苏、江西、上海、台湾、天津、浙江"	"被子植物门"	"北美洲"	"茎柔细，长10~17cm，多分枝，匍匐，被白色疏柔毛。叶对生，椭圆形或到卵状椭圆形，长6~12mm，宽2~4mm，先端钝，基部偏斜，近圆形，边缘上部常有细小锯齿，下部全缘，两面无毛，上面绿色，中央有紫斑，下面淡绿色；叶柄短；托叶钻状，边缘有缘毛。花序腋生，具短柄；总苞狭杯状，高0.7~1.0mm，外部被疏柔毛，边缘5裂；腺体4，黄绿色，椭圆形。雄花4~5；雌花1，子房柄伸出总苞外，被柔毛；花柱短，柱头2裂。蒴果三角状球形，直径2mm，被白色柔毛；种子卵状有棱，长约0.6~1mm。"		"Euphorbia maculata"	"PL00009"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/斑地锦.jpg"
"10"			"棒叶落地生根"		"棒叶景天"	"为多年生肉质草本植物。生性强健，耐干旱，喜阳光，但也耐半阴。喜温暖，越冬温度10℃左右。要求排水良好的砂壤土。"	"双子叶植物纲"	"蔷薇目"	"景天科"	"伽蓝菜属"	"Tubeleaf Kalanchce"		"我国各地都有栽培，部分地区已经出现归化和扩散"	"被子植物门"	"非洲南部"	"茎有绿褐色的班点，叶3叶轮生，圆柱状棒形，淡绿色而有褐色班，顶端有小齿尖，在其间可长出小植株，顶生聚伞圆锥花序，下垂，橙红色至深红色。"		"Kalanchoe tubiflora"	"PL00010"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/棒叶景天.jpg"
