"id"	"统一编号"	"保存单位"	"品种名称"	"系谱"	"来源"	"芒"	"壳色"	"粒色"	"冬春性"	"成熟期"	"穗粒数"	"穗长"	"株高"	"千粒重"	"粗蛋白"	"省份"
"1"	"ZM013629"	"京3992"	"中安78125-7-1-4-3"	"徐73154/徐7964"	"中国农科院作物所"	"长"	"白"	"白"	"春"	"极晚"	"41"	"8"	"80"	"53.7"	"15.31"	"北京
"
"2"	"ZM013630"	"京3993"	"中作CA7992"	"蚰包/抗引655"	"中国农科院作物所"	"无"	"白"	"红"	"冬"	"晚"	"40"	"7"	"75"	"34.3"	"13.48"	"北京
"
"3"	"ZM013631"	"京3994"	"中作CA8129"	"京双2号/洛夫林13//京双3号"	"中国农科院作物所"	"长"	"白"	"白"	"冬"	"中"	"46"	"8"	"85"	"35.4"		"北京
"
"4"	"ZM013632"	"京3995"	"中作79-2060"	"达西亚/新冬矮1号"	"中国农科院作物所"	"长"	"白"	"红"	"冬"	"晚"	"37"	"7"	"80"	"37.9"	"15.26"	"北京
"
"5"	"ZM013633"	"京3996"	"中作4240-1"	"北京15/洛夫林10号"	"中国农科院作物所"	"顶"	"白"	"红"	"冬"	"中"	"55"	"10"	"100"	"37.6"	"15.24"	"北京
"
"6"	"ZM013634"	"京3997"	"中作4564A-1"	"洛夫林13/有芒白2号"	"中国农科院作物所"	"长"	"白"	"红"	"冬"	"早"	"34"	"8"	"72"	"35.2"		"北京
"
"7"	"ZM013635"	"京3998"	"中作45021-2"	"有芒白7号/洛夫林10号//百红/有芒白4号"	"中国农科院作物所"	"长"	"白"	"红"	"冬"	"中"	"55"	"11"	"92"	"38"	"13.21"	"北京
"
"8"	"ZM013636"	"京3999"	"中作45039-7"	"有芒白7号/洛夫林10号//百红/有芒白4号"	"中国农科院作物所"	"长"	"白"	"红"	"冬"	"中"	"53"	"10"	"100"	"40.6"		"北京
"
"9"	"ZM013637"	"京4000"	"中植2-8"	"加瑞/比塞卡"	"中国农科院植保所"	"无"	"白"	"红"	"冬"	"晚"	"40"	"11"	"110"	"29"		"北京
"
"10"	"ZM013638"	"京4001"	"中植4-2"	"有芒白7号/抗引655"	"中国农科院植保所"	"长"	"白"	"红"	"冬"	"晚"	"43"	"11"	"105"	"30.2"	"14.27"	"北京
"
"11"	"ZM013639"	"京4002"	"中植81-5020"	"郑6矮/洛夫林10号//75-78"	"中国农科院植保所"	"无"	"白"	"白"	"冬"	"中"	"38"	"8"	"75"	"33.2"		"北京
"
"12"	"ZM013640"	"京4003"	"中植823-8995"	"高加索/JRV68-77//TT111"	"中国农科院植保所"	"长"	"白"	"红"	"春"	"晚"	"55"	"10"	"80"	"30.7"		"北京
"
"13"	"ZM013641"	"京4004"	"中植5189"	"重135/抗引655"	"中国农科院植保所"	"长"	"白"	"红"	"冬"	"中"	"38"	"8"	"85"	"36.9"	"15.59"	"北京
"
"14"	"ZM013642"	"京4005"	"中植5192"	"重135/抗引655"	"中国农科院植保所"	"长"	"白"	"红"	"冬"	"中"	"33"	"9"	"90"	"35.5"	"14.94"	"北京
"
"15"	"ZM013643"	"京4006"	"东大1号"	"P262/洛夫林10号//有芒白2号"	"北京东北旺农场"	"长"	"白"	"红"	"冬"	"中"	"33"	"10"	"95"	"60.2"		"北京
"
"16"	"ZM013644"	"京4007"	"东大2号"	"200-13-113/农大139"	"北京东北旺农场"	"长"	"白"	"红"	"冬"	"中"	"29"	"11"	"110"	"52.7"		"北京
"
"17"	"ZM013645"	"京4008"	"东大3号"	"中高秆36/弗罗瑞斯"	"北京东北旺农场"	"无"	"白"	"白"	"冬"	"中"	"41"	"9"	"80"	"45.6"		"北京
"
"18"	"ZM013646"	"京4009"	"叶79-1"	"Null"	"中国农科院植保所"	"长"	"白"	"红"	"冬"	"中"	"41"	"8"	"85"	"40.9"	"15.28"	"北京
"
"19"	"ZM013647"	"京4010"	"多抗821"	"烟台685-53/洛夫林13"	"中国农科院植保所"	"长"	"白"	"白"	"冬"	"晚"	"32"	"10"	"110"	"61.4"	"15.08"	"北京
"
"20"	"ZM013651"	"京4014"	"农大6086"	"农大45/北京8号"	"北京农业大学"	"长"	"白"	"白"	"冬"	"中"	"46"	"10"	"100"	"40"	"14.84"	"北京
"
"21"	"ZM013652"	"京4015"	"农大20031"	"有芒白7号/4026"	"北京农业大学"	"长"	"白"	"红"	"冬"	"中"	"39"	"10"	"90"	"41"	"14.05"	"北京
"
"22"	"ZM013653"	"京4016"	"农大40946"	"5239/70-8//山前麦/3/洛夫林13/有芒白2号"	"北京农业大学"	"长"	"白"	"白"	"冬"	"中"	"40"	"10"	"80"	"46"	"14.16"	"北京
"
"23"	"ZM013654"	"京4017"	"农大81125"	"钱保德/农大139"	"北京农业大学"	"长"	"白"	"红"	"冬"	"中"	"38"	"10"	"95"	"33"	"16.44"	"北京
"
"24"	"ZM013655"	"京4018"	"农大81142"	"5021/女水妖//7021/洛夫林10号"	"北京农业大学"	"长"	"白"	"红"	"冬"	"中"	"35"	"9"	"92"	"42"	"15.79"	"北京
"
"25"	"ZM013656"	"京4019"	"京东79-东62"	"蚰包/有芒白2号//山前麦"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"晚"	"44"	"8"	"60"	"32"	"16.17"	"北京
"
"26"	"ZM013657"	"京4020"	"京东79-东75-34"	"京双6号/山前麦//京双3号"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"中"	"38"	"10"	"90"	"50.5"	"17.43"	"北京
"
