"id"	"品资所编号"	"品种名称"	"系谱"	"原名"	"来源"	"原产地"	"选育单位"	"株高"	"千粒重"	"选育年限"	"备注"
"1"	"3"	"华农1号"	"京郊农家种系选"				"前华北农试场"			"1949"	
"2"	"3"	"华农5号"	"石家庄农家种系选"				"前华北农试场"	"105"	"27.0"	"1949"	
"3"	"3"	"北系4号"	"燕大1290/燕大B1033"				"前燕京大学农场"	"120"	"27.0"	"195"	
"4"	"3"	"北系11"	"燕大1794/1817"				"前燕京大学农场"	"120"	"27.0"	"195"	
"5"	"3"	"1885.0"	"河北饶阳大红袍系选"				"前燕京大学农场"	"120"	"39.0"	"195"	
"6"	"3"	"华北187"	"胜利麦/1817"				"原华北农科所"	"120"	"40.0"	"1954"	
"7"	"3"	"华北497"	"胜利麦/1817"				"原华北农科所"	"115"	"36.0"	"1954"	
"8"	"3"	"华北672"	"胜利麦/1817"				"原华北农科所"	"90"	"28.0"	"1954"	
"9"	"3"	"北京5号"	"华北187系选"				"中国农科院作物所"	"124"	"38.0"	"1956"	
"10"	"3"	"北京6号"	"华北187系选"				"中国农科院作物所"	"124"	"39.0"	"1956"	
"11"	"3"	"北京7号"	"华北187系选"				"中国农科院作物所"	"110"	"41.0"	"1956"	
"12"	"3"	"北京8号"	"碧蚂4号/早洋麦"				"中国农科院作物所"	"110"	"37.0"	"1956"	
"13"	"3"	"北京9号"	"石特14/苏联早熟1号//陕西54/早洋麦/3/农大183"				"中国农科院作物所"	"107"	"39.0"	"1956"	
"14"	"3"	"北京10号(5819)"	"华北672/辛石小麦//苏联早熟1号/华北672"				"中国农科院作物所"	"100"	"35.0"		
"15"	"3"	"北京11(3653)"	"5711-46/北京8号"				"中国农科院作物所"	"90"	"34.0"		
"16"	"3"	"北京12"	"农大183/北京8号"				"中国农科院作物所"	"115"	"34.0"		
"17"	"3"	"北京13"	"北京8号//农大183/伊卡124-D"				"中国农科院作物所"	"115"	"36.0"		
"18"	"3"	"北京14"	"北京8号//亥恩亥德/欧柔"				"中国农科院作物所"	"97"	"38.0"		
"19"	"3"	"北京15"	"5707/5709"				"中国农科院作物所"	"85"	"41.0"		
"20"	"3"	"北京16"	"北京8号/舒瓦齐星"				"中国农科院作物所"	"102"	"38.0"		
"21"	"3"	"北京17"	"北京8号/代45//洋东麦/欧柔"				"中国农科院作物所"	"100"	"38.0"	"1972"	
