"id"	"统一编号"	"品种名称"	"高程"	"东经"	"北纬"	"原产地"	"保存单位"	"单位编号"	"籼粳"	"早中晚"	"水陆"	"粘糯"	"米色"	"米香"	"芒长"	"粒形状"	"粒长度"	"长宽比"	"颖尖色"	"颖壳色"	"颖毛有无"	"护颖长短"	"颖尖弯直"	"株高"	"出穗期"	"糙米率"	"精米率"	"垩白率"	"蛋白质"	"赖氨酸"	"总淀粉"	"直链淀粉"	"支链淀粉"	"糊化温度"	"胶稠度"	"苗瘟"	"白叶枯"	"纹枯病"	"褐稻虱"	"白背飞虱"	"芽期耐寒"	"苗期耐旱"	"耐盐"	"路径"	"稻区"
"1"	"01-00003"	"宽叶二谷粱"	"54"	"11600"	"3942"	"房山县"	"北京农科院"	"京3"	"粳"	"中"	"水"	"粘"	"白"	"Null"	"无"	"阔卵"	"短"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"	"105"	"8.28"	"79.5"	"71.9"		"10.6"	"0.367"	"75.91"	"26.4"	"57.9"	"6"	"85"	"7"	"1"		"9"					"北京"	"4-1"
"2"	"01-00006"	"大白芒"	"65"	"11613"	"4013"	"北京"	"北京农科院"	"京6"	"粳"	"中"	"水"	"粘"	"白"	"Null"	"长"	"椭圆"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"	"115"	"8.19"	"75.2"	"67.3"		"15.38"	"0.557"	"70.18"	"20.4"	"57.6"	"6"	"39"	"9"	"7"		"9"					"北京"	"4-1"
"3"	"01-00007"	"大粒紫金箍"	"65"	"11613"	"4013"	"北京"	"北京农科院"	"京7"	"粳"	"中"	"水"	"粘"	"白"	"Null"	"短"	"椭圆"	"中"	"Null"	"红褐"	"秆黄"	"Null"	"Null"	"Null"	"111"	"8.15"	"77.4"	"69.3"		"11.87"	"0.43"	"74.54"	"23.6"	"59.2"	"5.8"	"51"	"7"	"9"		"7"					"北京"	"4-1"
"4"	"02-00002"	"三河大白芒"	"22"	"11704"	"3959"	"三河县"	"河北廊坊地区所"	"9"	"粳"	"早"	"水"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"宽"	"无"	"秆黄"	"有"	"短"	"直"	"138"	"8.6"	"83.4"	"75.1"		"6.88"	"0.265"	"79.76"	"18.8"	"69.8"	"6.8"	"89"								"9"	"河北"	"4-1"
"5"	"02-00004"	"三河羊毛旱稻"	"22"	"11704"	"3959"	"三河县"	"河北廊坊地区所"	"11"	"粳"	"中"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"128"	"8.12"	"81"	"73.1"		"9.01"	"0.351"	"77.74"	"25.4"	"61"	"5"	"92"	"4"	"5"		"7"	"9"	"3"	"5"	"5"	"河北"	"4-1"
"6"	"02-00008"	"安次小红芒"		"11642"	"3930"	"安次县"	"河北廊坊地区所"	"20"	"粳"	"中晚"	"水"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"176"	"8.23"	"78.1"	"70.4"		"11.2"	"0.383"	"75.29"	"21.3"	"62.4"	"6"	"53"	"6"	"5"		"9"	"9"	"3"		"9"	"河北"	"4-1"
"7"	"02-00011"	"霸县葡萄红"	"7"	"11623"	"3907"	"霸县"	"河北廊坊地区所"	"25"	"粳"	"中晚"	"水"	"粘"	"白"	"无"	"长"	"阔卵"	"中"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"158"	"8.25"	"79.1"	"71.6"		"10.92"	"0.374"	"75.54"	"19.7"	"64.2"	"6"	"56"	"5"	"5"		"9"	"9"	"1"	"5"	"9"	"河北"	"4-1"
"8"	"02-00014"	"霸县大白芒"	"7"	"11623"	"3907"	"霸县"	"河北廊坊地区所"	"338"	"粳"	"晚"	"水"	"粘"	"白"	"无"	"长"	"椭圆"	"中"	"中"	"无"	"秆黄"	"有"	"短"	"直"		"8.24"	"79.9"	"71.8"		"10.11"	"0.387"	"75.65"	"21.6"	"62.5"	"5.8"	"70"	"2"	"5"		"9"	"9"	"1"	"9"	"9"	"河北"	"4-1"
"9"	"02-00017"	"文安小红芒 I"	"7"	"11628"	"3852"	"文安县"	"河北廊坊地区所"	"27"	"粳"	"早"	"水"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"120"	"8.1"	"79.2"	"70.9"		"10.67"	"0.409"	"74.78"	"22.8"	"60.3"	"5.7"	"54"	"4"	"7"		"9"	"9"	"1"	"9"	"9"	"河北"	"4-1"
"10"	"02-00021"	"文安旱稻种"	"7"	"11628"	"3852"	"文安县"	"河北廊坊地区所"	"31"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"宽"	"无"	"秆黄"	"有"	"短"	"直"	"122"	"8.1"	"80.8"	"73.1"		"8.46"	"0.33"	"78.42"	"23.4"	"63.7"	"5"	"86"	"4"	"7"		"3"	"7"	"3"	"5"	"9"	"河北"	"4-1"
