"库编号"	"统一编号"	"品种名称"	"译名"	"科"	"属"	"拉丁学名"	"选育单位"	"方法及组合"	"单位编号"	"籼粳"	"早中晚"	"水陆"	"粘糯"	"米色"	"芒长"	"粒形状"	"粒长度"	"颖尖色"	"颖壳色"	"株高"	"出穗期"	"糙米率"	"精米率"	"垩白率"	"蛋白质"	"赖氨酸"	"总淀粉"	"直链淀粉"	"支链淀粉"	"糊化温度"	"胶稠度"	"苗瘟"	"白叶枯"	"纹枯病"	"褐稻虱"	"白背飞虱"	"芽期耐寒"	"苗期耐旱"	"耐盐"	"备注"	"省份"	"样品类型"
"I1A40678"	"ZD-00001"	"广解9号"	"GUANG JIE 9 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"广场矮98号/解放种"	"S82"	"籼"	"早"	"水"	"粘"	"白"	"短"	"椭圆"	"中"	"秆黄"	"秆黄"	"80"	"早熟"	"80.50"	"72.45"	" "	"12.90"	"0.510"	"74.10"	"24.8"	"57.5"	"5.0"	"36"	" "	" "	" "	" "	" "	" "	" "	" "	"叶色淡,分蘖力强,成穗率高"	"广东"	"选育"
"I1A49051"	"ZD-00002"	"广陆矮4号"	"GUANG LU AI 4 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"广矮3784/陆财"	"S67"	"籼"	"早"	"水"	"粘"	"白"	"无"	"阔卵"	"中"	"秆黄"	"秆黄"	"85"	"早熟"	"79.57"	"71.51"	" "	"12.70"	"0.520"	"75.20"	"26.5"	"57.1"	"5.0"	"29"	" "	" "	" "	" "	" "	" "	" "	" "	"叶厚直,成穗率高,结实好,可作三季稻中稻"	"广东"	"选育"
"I1A44911"	"ZD-00003"	"辐陆早1号"	"FU LU ZAO 1 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"P辐射处理广陆矮4/科六"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"80"	"早熟"	"78.47"	"70.52"	" "	"10.50"	"0.440"	"77.40"	"25.7"	"60.3"	"6.0"	"30"	" "	" "	" "	" "	" "	" "	" "	" "	"叶片较大,分蘖力强,成穗率高"	"广东"	"选育"
" "	"ZD-00004"	"辐陆早2号"	"FU LU ZAO 2 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"P辐射处理广陆矮4/科六"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"80"	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶片较大,分蘖力强,成穗率高"	"广东"	"选育"
"I1A44912"	"ZD-00005"	"珍江矮13"	"ZHEN JIANG AI 13"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院,中山县农科所"	"珍珠矮6/江南择"	"S62"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"80"	"早熟"	"80.50"	"72.75"	" "	"11.50"	"0.490"	"75.80"	"27.3"	"56.9"	"5.0"	"28"	" "	" "	" "	" "	" "	" "	" "	" "	"叶色淡,长披,秆粗,转色好"	"广东"	"选育"
" "	"ZD-00006"	"江矮早"	"JIANG AI ZAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"矮仔占/江南1224"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"85"	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶阔厚,分蘖力强,秆粗壮"	"广东"	"选育"
"I1A40679"	"ZD-00007"	"沱沿矮15"	"TUO YAN AI 15"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"四沱矮248/沿江仑园京"	"S3"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	" "	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"出穗整齐,穗较大"	"广东"	"选育"
" "	"ZD-00008"	"江南矮"	"JIANG NAN AI"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"矮仔占/江南1224"	" "	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"紫"	"秆黄"	" "	"早熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"叶厚直, 秆粗壮,粒密,粒饱"	"广东"	"选育"
"I1A40680"	"ZD-00009"	"早金风12"	"ZAO JIN FENG 12"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"广场矮3784/马尾齐"	"2397"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	" "	"中熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"广东"	"选育"
"I1A40681"	"ZD-00010"	"广场矮6号"	"GUANG CHANG AI 6 HAO"	"Gramineae(禾本科)"	"Oryza L.(稻属)"	"Oryza sativa L. spp. hsien Ting(籼亚种)"	"广东农科院"	"矮仔占/广场13"	"S52"	"籼"	"早"	"水"	"粘"	"白"	"无"	"椭圆"	"中"	"秆黄"	"秆黄"	"90"	"中熟"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"穗大粒多,适于中上肥田载培"	"广东"	"选育"
