"id"	"统一编号"	"品种名称"	"原产地"	"亲本来源"	"保存单位"	"保存编号"	"播种期"	"株高"	"穗位高"	"主茎叶片数"	"雄穗分枝数"	"抽丝日数"	"生育日数"	"双穗率"	"穗形"	"粒型"	"粒色"	"轴色"	"穗长"	"穗粗"	"穗行数"	"千粒重"	"地点"	"播种日期"	"株型"	"单株粒重"	"出籽率"	"大斑病"	"小斑病"	"黑穗病"	"花叶病"	"粗蛋白"	"粗脂肪"	"总淀粉"	"赖氨酸"
"1"	"50148"	"大白马牙"	"库伦旗"		"赤峰市农科所"	"233"	"春"	"205"	"50"	"15"			"104"	"6.0"	"柱"	"马齿"	"白"	"白"	"18.1"	"4.2"	"8-10"	"419.0"	"赤峰市"	"春"				"MS"	"S"	"R"	"S"	"12.08"	"4.38"	"68.01"	
"2"	"60055"	"白马牙"	"台安县"		"辽宁农科院育种所"	"81-443"	"春"	"231"	"96"	"19"			"140"	"10.0"	"柱"	"马齿"	"白"	"白"	"20.0"	"6.5"	"18-20"	"316.0"	"沈阳市"	"春"	"中间"	"290.0"						"11.62"	"6.0"	"67.43"	"0.454
"
"3"	"60067"	"大白马牙子"	"辽阳市"		"丹东市农科所"	"81-417"	"春"	"287"	"140"	"19"			"144"	"40.0"	"柱"	"马齿"	"白"	"白"	"21.8"	"5.2"	"12-14"	"460.0"	"凤城县"	"春"	"中间"	"127.5"	"82.5"	"MS"				"12.27"	"5.46"	"68.32"	
"4"	"60098"	"红瓢玉米"	"新民县"		"辽宁农科院育种所"	"81-416"	"春"	"259"	"121"	"19"			"140"	"20.0"	"柱"	"马齿"	"白"	"白、红"	"18.5"	"5.5"	"14"	"415.0"	"沈阳市"	"春"	"中间"	"280.0"	"82.4"			"HR"	"S"	"11.19"	"4.88"	"69.54"	"0.306
"
"5"	"60186"	"大金顶"	"义县"		"辽宁农科院育种所"	"81-389"	"春"	"245"	"86"	"17"			"108"	"10.0"	"锥"	"硬粒"	"桔黄"	"白"	"16.5"	"3.7"	"10"	"281.0"	"沈阳市"	"春"	"中间"	"135.0"	"79.4"	"MR"	"MS"	"R"	"S"	"12.28"	"5.17"	"68.89"	
"6"	"70148"	"红骨子"	"东丰县"		"吉林农科院玉米所"	"260"	"春"	"240"	"75"	"17"			"133"	"6.7"	"柱"	"马齿"	"黄"	"红"	"17.1"	"4.5"	"14-16"	"271.0"	"公主岭市"	"4.26"		"55.8"	"78.1"	"MR"	"S"	"R"	"S"	"11.81"	"5.27"	"68.82"	
"7"	"70253"	"大八岔"	"双阳县"		"吉林农科院玉米所"	"319"	"春"	"161"	"53"	"16"			"124"	"3.3"	"长锥"	"甜质"	"黄、白"	"白"	"18.0"	"3.6"	"10-12"	"202.0"	"公主岭市"	"4.26"		"37.9"	"77.8"					"15.39"	"8.0"	"45.47"	
"8"	"70259"	"黄老来瘪"	"长春市"		"吉林农科院玉米所"	"273"	"春"	"260"	"85"	"22"			"131"	"4.5"	"柱"	"马齿"	"黄"	"红"	"18.3"	"4.6"	"14"	"313.0"	"公主岭市"	"4.26"		"112.9"	"80.1"	"R"	"MS"	"R"	"S"	"12.06"	"5.37"	"66.69"	
"9"	"70567"	"白头霜"	"靖宇县"		"通化市农科所"	"通原123"	"5/6"	"235"	"71"	"17"			"127"	"1.9"	"锥"	"偏马"	"淡黄"	"白"	"16.6"	"4.4"	"16-18"	"265.0"	"梅河口市"	"5.06"	"中间"	"65.0"	"60.1"	"R"	"MS"	"R"		"12.02"	"4.27"	"69.36"	
"10"	"70571"	"老来瘪"	"靖宇县"		"通化市农科所"	"通原182"	"5/6"	"218"	"84"	"18"			"134"	"9.6"	"锥"	"马齿"	"黄"	"红、白"	"17.8"	"5.0"	"12-14"	"332.0"	"梅河口市"	"5.06"		"160.0"	"81.7"	"MR"	"MS"	"R"		"10.77"	"5.31"	"68.78"	
