"id"	"品种名称"	"代表品种"	"来源"
"1"	"原黄81"	"京垦 114（丰 5×原黄 81）;"	"北京市农场局农业科学研究所"
"2"	"四自四"	"京早10号"	"北京市农林科学院作物研究所"
"4"	"京 630"	"京玉8号"	"北京市农林科学院作物所"
"5"	"克一"	"克单6号；克839杂交种"	"由黑龙江省农业科学院克山农业科学研究所曹任之"
"6"	"KI3"	"克单8号"	"黑龙江省农业科学院克山小麦研究所玉米室刘兴焱、谭福忠"
"7"	"KI4"	"克单8号"	"黑龙江省农业科学院克山小麦研究所玉米室刘兴焱、谭福忠"
"8"	"合344"	"合玉17（合344×熊掌）、哲单 37"	"黑龙江省农科院合江农科所"
"9"	"龙抗11"	"龙单13（K10×龙抗 11）"	"黑龙江省龙江农科所"
"10"	"抗旱大粒黄"	"沈单 8号(5003×抗旱大粒黄)"	
"11"	"冀35"	"7503（冀 35×综 31）、7505"	"河北省农林科学院粮油作物研究所崔绍平"
"12"	"黄野四"	"唐抗5号"	"河北省唐山市农科所"
"13"	"北711"	"冀承单 3号（北 711 ×承 18）"	"河北省承德地区农业科学研究所"
"14"	"承18"	"冀承单 3号(北711×承 18)"	"河北省承德地区农业科学研究所"
"15"	"获唐黄"	"唐抗5号"	"河北省唐山市农科所"
"16"	"长455"	"长早 6号（长 455 ×获塘嘉）"	"山西省农业科学院谷子研究所（所址在长治市）玉米研究室"
"17"	"运 87－422"	"晋单 34号（Sh15×运 87－422"	"由山西省农业科学院棉花研究所（所址在运城市）玉米组"
"18"	"Sh10"	"选出优良组合Sh10×GY237，Sh1"	"山西省农业科学院小麦研究所玉米研究课题组"
"19"	"屯56"	"屯玉4号；还有屯试 102、屯试 103"	"山西省屯留玉米种业集团"
"20"	"T52"	"屯玉6号"	"山西省屯玉种业集团"
"21"	"扎461"	"哲单37（合344×461）、哲单36（"	"内蒙古自治区哲里木盟扎鲁特旗原种场"
"22"	"扎143"	"哲单 35（917 × 143）"	"内蒙古自治区哲里木盟扎鲁特旗原种场"
"23"	"扎917"	"哲单39(917 ×黑系2)、哲单35（"	"内蒙古自治区哲里木盟扎鲁特旗原种场"
"24"	"文黄31413"	"烟单 16号；烟单 17号；烟单18号"	"山东省烟台市农业科学研究所"
"25"	"酒341－2"	"酒单二号"	"酒泉地区农科所"
"26"	"830"	"克单三，克单四，克单五，克879"	"黑龙江克山县第一良种场孙玉才"
"27"	"D黄212"	"中夏2号；唐玉5号；唐单6号；唐单9号"	"河北省唐山市农业科学研究所"
"28"	"黄早四"	"黄417 掖单2号 掖单4号"	"中国农业科学院作物育种栽培研究所与北京市农林科学院作物研究所共同育成"
"29"	"Mo17"	"中单2号、丹玉11号、丹玉13号、丹玉1"	"中国农业科学院作物育种栽培研究所于 1974年从美国引入"
"30"	"中黄 64"	"中单14号"	"中国农业科学院作物育种栽培研究所"
"31"	"京 06"	"京单 901 、京单 841"	"北京市农林科学院作物研究所"
"32"	"也铁21"		"中国农业科学院作物所与品资所合作"
"33"	"京02"	"京单 841、京 02 × 08等，京单"	"北京市农林科学院作物研究所"
"34"	"中7490"		"中国农业科学院作物所与品资所"
"35"	"多黄22A"	"中单8号"	"中国农业科学院作物育种栽培研究所"
"36"	"多黄25"	"中单8号"	"中国农业科学院作物育种栽培研究所"
"37"	"阿西16"		"中国农业科学院作物所与品资所"
"38"	"阿西10"		"中国农业科学院作物所与品资所"
"39"	"京404"	"京单951"	"北京市农林科学院作物研究所"
"40"	"多黄29"	"中单2996"	"中国农业科学院作物育种栽培研究所"
"41"	"京 186"	"京单601"	"北京市农林科学院作物研究所"
"42"	"京 701"	"京单958 京单668"	"北京市农林科学院作物所"
"43"	"中自01"	"中单321"	"中国农业科学院作物育种栽培研究所"
"44"	"中27"		"中国农业科学院作物育种栽培研究所"
"45"	"中 9064"		"中国农业科学院作物育种栽培研究所"
"46"	"中451"		"中国农业科学院作物所与品资所"
"47"	"中 128"		"中国农业科学院作物所与品资所"
"48"	"原辐黄"	"中原单32号"	"中国农业科学院原子能利用研究所"
"49"	"中74－106"		"中国农业科学院作物所与品资所"
"50"	"丰5"	"京垦114"	"北京市农场局农业科学研究所"
"51"	"中 5021"		"中国农业科学院作物育种栽培研究所"
"52"	"中 741"		"中国农业科学院作物育种栽培研究所"
"53"	"丰2"	"京垦 109"	"北京市农场局农业科学研究所"
"54"	"京501"	"京玉1号、京玉7号、京玉201、京单50"	"北京市农林科学院作物研究所"
